年次,Year,産業（大分類） Industry (Division),男女及び産業 (大分類),Gender and industry (Division),項番 Item number,産業（中分類） ,Industry (Major groups),総数 Total／事業所数 Number of establishments,総数 Total／従業者数 Number of employees 1),1～4人 1-4 Persons／事業所数 Number of establishments,1～4人 1-4 Persons／従業者数 Number of employees 1),5～9人 5-9 Persons／事業所数 Number of establishments,5～9人 5-9 Persons／従業者数 Number of employees 1),10～19人 10-19 Persons／事業所数 Number of establishments,10～19人 10-19 Persons／従業者数 Number of employees 1),20～29人 20-29 Persons／事業所数 Number of establishments,20～29人 20-29 Persons／従業者数 Number of employees 1),30～49人 30-49 Persons／事業所数 Number of establishments,30～49人 30-49 Persons／従業者数 Number of employees 1),50～99人 50-99 Persons／事業所数 Number of establishments,50～99人 50-99 Persons／従業者数 Number of employees 1),100～199人 100-199 Persons／事業所数 Number of establishments,100～199人 100-199 Persons／従業者数 Number of employees 1),200～299人 200-299 Persons／事業所数 Number of establishments,200～299人 200-299 Persons／従業者数 Number of employees 1) ,300人以上 300 Persons and over／事業所数 Number of establishments,300人以上 300 Persons and over／従業者数 Number of employees 1) ,500人以上 500 Persons and over／事業所数 Number of establishments,500人以上 500 Persons and over／従業者数 Number of employees 1) ,出向・派遣従業者のみの事業所数 Number of establishments where all workers are on loan or dispatched from other places
平成24,2012,Ｅ,製造業,Manufacturing,15,非鉄金属製造業　,Non-ferrous metals and products,712,8850,450,970,133,872,54,719,32,750,16,599,16,1177,4,563,2,496,3,2704,…,…,2
平成24,2012,Ｅ,製造業,Manufacturing,16,金属製品製造業   　　　　　,Fabricated metal products,6410,45712,4071,9399,1360,8768,617,8306,186,4407,100,3804,43,2717,18,2578,1,290,7,5443,…,…,7
平成24,2012,Ｅ,製造業,Manufacturing,17,はん用機械器具製造業,General-purpose machinery,1585,17303,909,2113,341,2239,173,2345,71,1729,43,1643,30,1929,5,672,6,1444,6,3189,…,…,1
平成24,2012,Ｅ,製造業,Manufacturing,18,生産用機械器具製造業,Production machinery,3901,38345,2346,5528,813,5194,415,5622,140,3437,92,3587,55,3749,22,3170,3,642,12,7416,…,…,3
平成24,2012,Ｅ,製造業,Manufacturing,19,業務用機械器具製造業,Business oriented machinery,2000,32878,986,2338,471,3038,244,3375,114,2745,87,3332,43,2834,26,3389,11,2808,12,9019,…,…,6
平成24,2012,Ｅ,製造業,Manufacturing,20,電子部品・デバイス・電子回路製造業,Electronic parts， devices and electronic circuits,1210,27657,567,1345,284,1864,159,2244,74,1774,49,1827,37,2472,20,2804,7,1847,12,11480,…,…,1
平成24,2012,Ｅ,製造業,Manufacturing,21,電気機械器具製造業,Electrical machinery， equipment and supplies,2209,43595,1065,2540,499,3303,310,4210,121,2879,81,2992,67,4566,37,5187,6,1436,20,16482,…,…,3
平成24,2012,Ｅ,製造業,Manufacturing,22,情報通信機械器具製造業,Information and communication electronics equipment,627,69654,219,512,128,836,88,1120,60,1431,41,1561,31,2171,23,3375,5,1270,31,57378,…,…,1
平成24,2012,Ｅ,製造業,Manufacturing,23,輸送用機械器具製造業,Transportation equipment,1098,43896,543,1251,254,1649,130,1772,58,1382,41,1555,30,2117,20,2624,6,1442,16,30104,…,…,-
平成24,2012,Ｅ,製造業,Manufacturing,24,その他の製造業　,Miscellaneous manufacturing industries,3920,30087,2538,5684,764,4898,374,4982,117,2824,49,1857,46,3211,19,2279,4,1002,4,3350,…,…,5
平成24,2012,Ｅ,製造業,Manufacturing,EZ,製造業内格付不能,Unable to classify within the Manufacturing,508,12312,264,620,100,652,66,914,29,683,26,981,8,574,7,928,1,200,6,6760,…,…,1
平成24,2012,Ｆ,電気・ガス・熱供給・水道業,Electricity， gas， heat supply and water,,,,376,30953,70,144,57,388,101,1311,18,423,27,1034,18,1321,30,4288,18,4451,22,17593,…,…,15
平成24,2012,Ｆ,電気・ガス・熱供給・水道業,Electricity， gas， heat supply and water,1,電気業,Production， transmission and distribution of electricity,121,17873,19,37,13,87,15,195,6,137,11,446,7,554,16,2138,14,3439,15,10840,…,…,5
平成24,2012,Ｆ,電気・ガス・熱供給・水道業,Electricity， gas， heat supply and water,2,ガス業,Production and distribution of gas,42,8584,6,13,2,10,5,65,3,69,7,250,5,320,5,834,1,270,7,6753,…,…,1
平成24,2012,Ｆ,電気・ガス・熱供給・水道業,Electricity， gas， heat supply and water,3,熱供給業,Heat supply,79,789,24,47,16,98,23,293,2,47,3,113,1,74,1,117,-,-,-,-,…,…,9
平成24,2012,Ｆ,電気・ガス・熱供給・水道業,Electricity， gas， heat supply and water,4,水道業,Collection， purification and distribution of water， and sewage collection， processing and disposal,134,3707,21,47,26,193,58,758,7,170,6,225,5,373,8,1199,3,742,-,-,…,…,-
平成24,2012,Ｆ,電気・ガス・熱供給・水道業,Electricity， gas， heat supply and water,FZ,電気・ガス・熱供給・水道業内格付不能,Unable to classify within the Electricity， Gas， Heat Supply and Water,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,…,…,-
平成24,2012,Ｇ,情報通信業,Information and communications,,,,21792,786859,8257,18694,4328,28764,3433,46827,1576,37701,1469,55726,1255,87744,709,98585,236,57613,411,355205,…,…,118
平成24,2012,Ｇ,情報通信業,Information and communications,1,通信業,Communications,766,67277,187,480,205,1371,111,1497,70,1694,53,2015,48,3407,40,5753,12,2843,32,48217,…,…,8
平成24,2012,Ｇ,情報通信業,Information and communications,2,放送業,Broadcasting,287,20454,81,179,39,278,57,787,16,386,22,838,33,2172,15,2115,5,1191,8,12508,…,…,11
平成24,2012,Ｇ,情報通信業,Information and communications,3,情報サービス業,Information services,10911,513171,3497,7845,1922,12812,1825,25142,968,23271,915,34789,793,55758,472,65479,163,40128,303,247947,…,…,53
平成24,2012,Ｇ,情報通信業,Information and communications,4,インターネット附随サービス業,Internet based services,1373,35421,581,1208,265,1762,201,2723,83,1968,86,3220,71,4830,44,6085,11,2698,17,10927,…,…,14
平成24,2012,Ｇ,情報通信業,Information and communications,5,映像・音声・文字情報制作業,Video picture， sound information， character information production and distribution,8134,144496,3753,8635,1840,12190,1200,16182,419,9905,378,14303,286,20072,136,18890,43,10319,49,34000,…,…,30
平成24,2012,Ｇ,情報通信業,Information and communications,G1,通信業，放送業，映像・音声・文字情報制作業内格付不能,Unable to classify within the Communications，  Broadcasting， Video picture， sound information， character information production and distribution,140,1577,75,175,26,157,11,141,12,282,1,44,13,778,-,-,-,-,-,-,…,…,2
平成24,2012,Ｇ,情報通信業,Information and communications,G2,情報サービス業，インターネット付随サービス業内格付不能,Unable to classify within the Information services and Internet based services,181,4463,83,172,31,194,28,355,8,195,14,517,11,727,2,263,2,434,2,1606,…,…,-
平成24,2012,Ｈ,運輸業，郵便業,Transport and postal activities,,,,16718,467518,7945,12642,2262,15475,2434,33412,1154,27748,1033,39407,823,56996,572,80966,225,54394,215,146478,…,…,55
平成24,2012,Ｈ,運輸業，郵便業,Transport and postal activities,1,鉄道業,Railway transport,671,56441,35,99,112,775,134,1825,89,2212,90,3348,92,6390,55,8221,27,6521,35,27050,…,…,2
平成24,2012,Ｈ,運輸業，郵便業,Transport and postal activities,2,道路旅客運送業,Road passenger transport,6251,107091,5441,6720,94,625,78,1014,51,1232,64,2515,131,9525,239,35297,106,25382,47,24781,…,…,-
平成24,2012,Ｈ,運輸業，郵便業,Transport and postal activities,3,道路貨物運送業,Road freight transport,6089,143457,1335,3057,1257,8717,1599,22068,729,17484,583,22261,360,24481,147,19603,38,9037,28,16749,…,…,13
平成24,2012,Ｈ,運輸業，郵便業,Transport and postal activities,4,水運業,Water transport,397,12648,119,315,89,605,70,947,27,633,36,1352,28,1976,15,1983,3,727,4,4110,…,…,6
平成24,2012,Ｈ,運輸業，郵便業,Transport and postal activities,5,航空運輸業,Air transport,168,36996,30,85,26,185,24,329,19,467,17,664,15,982,12,1718,4,1031,18,31535,…,…,3
平成24,2012,Ｈ,運輸業，郵便業,Transport and postal activities,6,倉庫業,Warehousing,905,22195,300,698,192,1283,158,2179,78,1859,67,2602,58,4112,29,3772,5,1322,8,4368,…,…,10
平成24,2012,Ｈ,運輸業，郵便業,Transport and postal activities,7,運輸に附帯するサービス業,Services incidental to transport,2020,51573,640,1552,457,3057,352,4808,151,3635,175,6625,129,8785,59,7976,19,4652,17,10483,…,…,21
平成24,2012,Ｈ,運輸業，郵便業,Transport and postal activities,8,郵便業(信書便事業を含む),Postal activities， including mail delivery,124,35221,5,17,15,98,5,60,5,108,-,-,2,143,11,1671,23,5722,58,27402,…,…,-
平成24,2012,Ｈ,運輸業，郵便業,Transport and postal activities,HZ,運輸業，郵便業内格付不能,Unable to classify within the Transport and Postal Activities,93,1896,40,99,20,130,14,182,5,118,1,40,8,602,5,725,-,-,-,-,…,…,-
平成24,2012,Ｉ,卸売業，小売業,Wholesale and retail trade,,,,154578,1920451,81814,193882,33398,217798,20990,286351,7720,182173,4661,174419,3049,209946,1399,192170,348,84708,484,379004,…,…,715
平成24,2012,Ｉ,卸売業，小売業,Wholesale and retail trade,1,各種商品卸売業,Wholesale trade， general merchandise,215,24767,77,206,54,349,26,381,14,336,18,663,9,595,6,912,3,779,8,20546,…,…,-
平成24,2012,Ｉ,卸売業，小売業,Wholesale and retail trade,2,繊維・衣服等卸売業,Wholesale trade ( textile and apparel ),6109,96120,2893,7081,1497,9911,835,11182,323,7679,243,9097,167,11375,71,10078,26,6542,31,23175,…,…,23
平成24,2012,Ｉ,卸売業，小売業,Wholesale and retail trade,3,飲食料品卸売業,Wholesale trade ( food and beverages ),9075,136402,3928,10053,2333,15448,1406,19032,522,12433,407,15263,244,16532,127,17562,32,7909,36,22170,…,…,40
平成24,2012,Ｉ,卸売業，小売業,Wholesale and retail trade,4,建築材料，鉱物・金属材料等卸売業,Wholesale trade ( building materials， minerals and metals， etc. ),10734,154666,4865,12332,2850,18654,1603,21292,523,12462,381,14360,249,16576,119,16519,36,8780,54,33691,…,…,54
平成24,2012,Ｉ,卸売業，小売業,Wholesale and retail trade,5,機械器具卸売業,Wholesale trade ( machinery and equipment ),13658,310616,5376,13436,3487,23019,2247,30430,819,19500,706,26606,513,35536,251,34308,66,16209,120,111572,…,…,73
平成24,2012,Ｉ,卸売業，小売業,Wholesale and retail trade,6,その他の卸売業,Miscellaneous wholesale trade,13784,227324,6583,16080,3194,20917,1985,26628,688,16311,552,20905,403,27733,172,23525,51,12167,82,63058,…,…,74
平成24,2012,Ｉ,卸売業，小売業,Wholesale and retail trade,7,各種商品小売業,Retail trade， general merchandise,234,45074,39,92,19,119,33,453,14,324,13,496,31,2082,19,3012,16,3901,50,34595,…,…,-
平成24,2012,Ｉ,卸売業，小売業,Wholesale and retail trade,8,織物・衣服・身の回り品小売業,Retail trade ( dry goods， apparel and apparel accessories ),17656,124529,11406,27350,4229,26684,1178,15188,255,6166,209,8021,156,10317,67,9012,14,3366,12,18425,…,…,130
平成24,2012,Ｉ,卸売業，小売業,Wholesale and retail trade,9,飲食料品小売業,Retail trade ( food and beverage ),30949,357258,15832,37057,4665,30913,5644,80503,2548,59427,1058,39110,670,47691,307,41081,47,11130,21,10346,…,…,157
平成24,2012,Ｉ,卸売業，小売業,Wholesale and retail trade,10,機械器具小売業,Machinery and equipment,9368,75689,5953,13727,1705,10801,914,12789,381,8995,226,8370,97,6829,42,6006,14,3365,10,4807,…,…,26
平成24,2012,Ｉ,卸売業，小売業,Wholesale and retail trade,11,その他の小売業,Miscellaneous retail trade,36506,255060,21710,49473,8228,53561,4263,56753,1240,29220,549,20140,265,17827,106,14915,19,4528,17,8643,…,…,109
平成24,2012,Ｉ,卸売業，小売業,Wholesale and retail trade,12,無店舗小売業,Nonstore retailers,3337,44662,1870,3916,514,3331,426,5863,208,4859,124,4684,115,7931,43,5711,4,1099,13,7268,…,…,20
平成24,2012,Ｉ,卸売業，小売業,Wholesale and retail trade,I1,卸売業内格付不能,Unable to classify within the Wholesale trade,2342,63086,876,2181,531,3495,370,5057,162,3897,160,6133,123,8434,62,8656,20,4933,29,20300,…,…,9
平成24,2012,Ｉ,卸売業，小売業,Wholesale and retail trade,I2,小売業内格付不能,Unable to classify within the Retail Trade,611,5198,406,898,92,596,60,800,23,564,15,571,7,488,7,873,-,-,1,408,…,…,-
平成24,2012,Ｊ,金融業，保険業,Finance and insurance,,,,10758,414185,3504,7996,1651,11127,2177,30564,1160,27830,940,35300,630,42723,283,38493,85,20516,179,199636,…,…,149
平成24,2012,Ｊ,金融業，保険業,Finance and insurance,1,銀行業,Banking,1600,113752,128,334,192,1388,432,6106,298,7186,229,8491,192,13204,81,10199,10,2485,36,64359,…,…,2
平成24,2012,Ｊ,金融業，保険業,Finance and insurance,2,協同組織金融業,Financial institutions for cooperative organizations,1127,29567,71,230,105,771,581,8284,233,5457,68,2437,25,1562,23,3108,8,1793,10,5925,…,…,3
平成24,2012,Ｊ,金融業，保険業,Finance and insurance,3,貸金業，クレジットカード業等非預金信用機関,Non-deposit money corporations， including lending and credit card business,1109,46698,587,1366,189,1210,84,1113,41,990,44,1687,54,3915,41,6107,18,4401,32,25909,…,…,19
平成24,2012,Ｊ,金融業，保険業,Finance and insurance,4,金融商品取引業，商品先物取引業,Financial products transaction dealers and futures commodity transaction dealers,1389,53402,596,1063,179,1244,171,2421,86,2044,111,4229,99,6889,37,4924,21,4900,28,25688,…,…,61
平成24,2012,Ｊ,金融業，保険業,Finance and insurance,5,補助的金融業等,Financial auxiliaries,336,11012,93,223,84,545,47,656,27,661,20,693,23,1666,17,2454,4,1030,6,3084,…,…,15
平成24,2012,Ｊ,金融業，保険業,Finance and insurance,6,保険業(保険媒介代理業，保険サービス業を含む)  ,Insurance institutions， including insurance agents， brokers and services,5064,156873,2000,4720,888,5865,791,11074,468,11323,465,17647,232,15139,84,11701,24,5907,66,73497,…,…,46
平成24,2012,Ｊ,金融業，保険業,Finance and insurance,JZ,金融業，保険業内格付不能,Unable to classify within the Finance and Insurance,133,2881,29,60,14,104,71,910,7,169,3,116,5,348,-,-,-,-,1,1174,…,…,3
平成24,2012,Ｋ,不動産業，物品賃貸業,Real estate and goods rental and leasing,,,,58658,343789,45996,93963,7821,48810,2572,33731,773,18282,475,17856,339,23299,163,22602,69,16899,106,68347,…,…,344
平成24,2012,Ｋ,不動産業，物品賃貸業,Real estate and goods rental and leasing,1,不動産取引業,Real estate,11449,78956,7388,17995,2679,16862,870,11145,217,5028,121,4509,68,4875,34,4588,17,4233,18,9721,…,…,37
平成24,2012,Ｋ,不動産業，物品賃貸業,Real estate and goods rental and leasing,2,不動産賃貸業・管理業,Real estate lessors and managers,43309,197114,36789,71828,4341,26638,1085,14049,280,6600,189,7177,159,10873,84,11462,41,9989,54,38498,…,…,287
平成24,2012,Ｋ,不動産業，物品賃貸業,Real estate and goods rental and leasing,K1,不動産業内格付不能,Unable to classify within the Real Estate,1025,11883,769,1655,122,766,59,799,18,444,17,665,20,1372,10,1549,2,532,6,4101,…,…,2
平成24,2012,Ｋ,不動産業，物品賃貸業,Real estate and goods rental and leasing,3,物品賃貸業,Goods rental and leasing,2875,55836,1050,2485,679,4544,558,7738,258,6210,148,5505,92,6179,35,5003,9,2145,28,16027,…,…,18
平成24,2012,Ｌ,学術研究，専門・技術サービス業,Scientific research， professional and technical services,,,,41024,422454,25917,57653,8264,52892,3646,47789,1093,25974,829,31282,610,42095,272,38449,93,22433,136,103887,…,…,164
平成24,2012,Ｌ,学術研究，専門・技術サービス業,Scientific research， professional and technical services,1,学術・開発研究機関,Scientific and development research institutes,986,38158,387,843,156,1039,141,1958,62,1509,72,2702,67,4706,40,5876,16,3947,21,15578,…,…,24
平成24,2012,Ｌ,学術研究，専門・技術サービス業,Scientific research， professional and technical services,2,専門サービス業(他に分類されないもの),Professional services， n.e.c.,25025,195025,16787,37291,5069,32056,1876,24384,497,11760,313,11754,218,15073,90,12586,25,5989,54,44132,…,…,96
平成24,2012,Ｌ,学術研究，専門・技術サービス業,Scientific research， professional and technical services,3,広告業,Advertising,2885,64110,1279,3073,706,4680,423,5611,157,3752,130,4877,93,6413,41,5559,22,5295,25,24850,…,…,9
平成24,2012,Ｌ,学術研究，専門・技術サービス業,Scientific research， professional and technical services,4,技術サービス業(他に分類されないもの),Technical services， n.e.c.,11718,115821,7226,15939,2261,14655,1172,15379,360,8538,304,11550,215,14827,93,13080,27,6437,31,15416,…,…,29
平成24,2012,Ｌ,学術研究，専門・技術サービス業,Scientific research， professional and technical services,LZ,学術研究，専門・技術サービス業内格付不能,Unable to classify within the Scientific Research， Professional and Technical Services,410,9340,238,507,72,462,34,457,17,415,10,399,17,1076,8,1348,3,765,5,3911,…,…,6
平成24,2012,Ｍ,宿泊業，飲食サービス業,Accommodations， eating and drinking services,,,,88820,852433,45286,105062,19961,131897,13580,185161,5322,126546,3036,111588,1094,71796,225,29146,50,12479,82,78758,…,…,184
平成24,2012,Ｍ,宿泊業，飲食サービス業,Accommodations， eating and drinking services,1,宿泊業,Accommodations,3040,61434,1179,2693,657,4460,634,8757,198,4601,134,5049,78,5446,42,5511,21,5510,28,19407,…,…,69
平成24,2012,Ｍ,宿泊業，飲食サービス業,Accommodations， eating and drinking services,2,飲食店,Eating and drinking places,80740,723682,42609,98681,17554,115400,11881,162321,4765,113278,2674,98101,925,60159,152,19405,22,5209,43,51128,…,…,115
平成24,2012,Ｍ,宿泊業，飲食サービス業,Accommodations， eating and drinking services,3,持ち帰り・配達飲食サービス業,Food take out and delivery services,4713,63504,1331,3282,1680,11594,1019,13490,345,8342,211,7815,83,5600,27,3682,6,1476,11,8223,…,…,-
平成24,2012,Ｍ,宿泊業，飲食サービス業,Accommodations， eating and drinking services,M2,飲食店，持ち帰り・配達飲食サービス業内格付不能,Unable to classify within the Eating and drinking places， and Food tale out and delivery services,327,3813,167,406,70,443,46,593,14,325,17,623,8,591,4,548,1,284,-,-,…,…,-
平成24,2012,Ｎ,生活関連サービス業，娯楽業,Living-related and personal services and amusement services,,,,46173,349804,31908,68350,7491,48022,3630,48773,1275,30003,892,33400,517,34079,183,23971,32,8031,72,55175,…,…,173
平成24,2012,Ｎ,生活関連サービス業，娯楽業,Living-related and personal services and amusement services,1,洗濯・理容・美容・浴場業,Laundry， beauty and bath services,32330,141300,25393,53191,4489,28286,1555,20334,368,8583,244,9007,128,8612,52,6861,2,455,10,5971,…,…,89
平成24,2012,Ｎ,生活関連サービス業，娯楽業,Living-related and personal services and amusement services,2,その他の生活関連サービス業,Miscellaneous living-related and personal services,6356,73186,3646,8559,1388,8944,679,9066,228,5362,173,6432,118,7743,49,6450,12,2948,28,17682,…,…,35
平成24,2012,Ｎ,生活関連サービス業，娯楽業,Living-related and personal services and amusement services,3,娯楽業,Services for amusement and hobbies,7252,132470,2706,6241,1566,10499,1381,19170,673,15913,474,17928,270,17629,82,10660,18,4628,33,29802,…,…,49
平成24,2012,Ｎ,生活関連サービス業，娯楽業,Living-related and personal services and amusement services,NZ,生活関連サービス業，娯楽業内格付不能,Unable to classify within the Living-Related and Personal Services and Amusement Services,235,2848,163,359,48,293,15,203,6,145,1,33,1,95,-,-,-,-,1,1720,…,…,-
平成24,2012,Ｏ,教育，学習支援業,Education， learning support,,,,16330,322331,8151,15536,2913,19513,2343,31928,1062,25374,802,30210,596,41063,228,30530,59,13788,134,114389,…,…,42
平成24,2012,Ｏ,教育，学習支援業,Education， learning support,1,学校教育,School education,2340,191138,141,352,231,1679,593,8457,343,8214,344,13056,368,25742,161,21419,42,9761,113,102458,…,…,4
平成24,2012,Ｏ,教育，学習支援業,Education， learning support,2,その他の教育，学習支援業,Miscellaneous education， learning support,13990,131193,8010,15184,2682,17834,1750,23471,719,17160,458,17154,228,15321,67,9111,17,4027,21,11931,…,…,38
平成24,2012,Ｐ,医療，福祉,Medical， health care and welfare,,,,39701,644732,15675,38386,11788,77994,6250,82563,1928,46105,1876,71008,1224,83792,533,71571,139,33661,189,139652,…,…,99
