年次,Year,地域階層,地域コード,項番 Item number,地域,District,発生件数 Number of fires／総数 Total,発生件数 Number of fires／建物 Buildings,発生件数 Number of fires／車両 Vehicles,発生件数 Number of fires／船舶 Vessels,発生件数 Number of fires／林野 Forests,発生件数 Number of fires／その他 Others,被災世帯数 Households damaged／全損 Total destruction,被災世帯数 Households damaged／半損 Significant partial destruction,被災世帯数 Households damaged／小損 Partial destruction,被災延面積 Total area damaged／建物 Buildings (m2),被災延面積 Total area damaged／林野 Forests (m2),死傷者 Killed or injured／死者 Killed,死傷者 Killed or injured／傷者 Injured,損害見積額 Estimated amount of loss (千円 in thousand yen)
平成24,2012,2,13207,7,昭島市,Akishima-shi,31,16,5,-,-,10,1,3,10,181,-,1,6,9536
平成24,2012,2,13208,8,調布市,Chofu-shi,66,48,4,-,-,14,11,3,36,909,-,6,20,144735
平成24,2012,2,13209,9,町田市,Machida-shi,121,75,5,-,-,41,3,11,38,608,-,3,21,92634
平成24,2012,2,13210,10,小金井市,Koganei-shi,36,22,2,-,-,12,2,3,21,121,-,-,6,19161
平成24,2012,2,13211,11,小平市,Kodaira-shi,53,29,2,-,-,22,3,4,22,269,-,2,7,70918
平成24,2012,2,13212,12,日野市,Hino-shi ,50,24,5,-,-,21,2,2,26,465,-,1,10,50894
平成24,2012,2,13213,13,東村山市,Higashimurayama-shi,45,26,2,-,-,17,5,2,21,151,-,1,6,18735
平成24,2012,2,13214,14,国分寺市,Kokubunji-shi,30,21,1,-,-,8,2,2,16,166,-,2,4,19963
平成24,2012,2,13215,15,国立市,Kunitachi-shi,28,15,1,-,-,12,3,-,15,253,-,2,1,42059
平成24,2012,2,13218,16,福生市,Fussa-shi,36,17,2,-,-,17,2,-,17,50,-,-,5,17562
平成24,2012,2,13219,17,狛江市,Komae-shi,20,15,-,-,-,5,2,2,15,180,-,-,7,24110
平成24,2012,2,13220,18,東大和市,Higashiyamato-shi,30,14,3,-,-,13,-,-,10,30,-,-,6,6238
平成24,2012,2,13221,19,清瀬市,Kiyose-shi,39,21,2,-,-,16,3,-,17,301,-,-,6,120396
平成24,2012,2,13222,20,東久留米市,Higashikurume-shi,35,22,4,-,-,9,3,11,20,465,-,1,5,66387
平成24,2012,2,13223,21,武蔵村山市,Musashimurayama-shi,48,30,1,-,-,17,1,1,20,160,-,1,11,32364
平成24,2012,2,13224,22,多摩市,Tama-shi,59,37,4,-,-,18,1,-,18,140,-,-,5,12927
平成24,2012,2,13225,23,稲城市,Inagi-shi,24,15,3,-,-,6,2,-,11,466,-,1,4,273942
平成24,2012,2,13227,24,羽村市,Hamura-shi,30,21,1,-,-,8,5,1,12,580,-,-,11,93777
平成24,2012,2,13228,25,あきる野市,Akiruno-shi,45,15,1,-,-,29,3,3,9,636,-,2,4,43893
平成24,2012,2,13229,26,西東京市,Nishitokyo-shi,51,34,3,-,-,14,4,3,34,144,-,-,11,28483
平成24,2012,1,13300,,郡部,All gun,31,17,2,-,-,12,2,-,1,678,-,2,5,116172
平成24,2012,2,13303,1,瑞穂町,Mizuho-machi,20,11,-,-,-,9,-,-,-,34,-,1,1,13855
平成24,2012,2,13305,2,日の出町,Hinode-machi ,5,3,-,-,-,2,-,-,1,374,-,-,1,80772
平成24,2012,2,13307,3,檜原村,Hinohara-mura,2,2,-,-,-,-,1,-,-,160,-,1,1,1167
平成24,2012,2,13308,4,奥多摩町,Okutama-machi,4,1,2,-,-,1,1,-,-,110,-,-,2,20378
平成24,2012,1,13350,,島部,All islands,19,9,2,-,6,2,1,-,3,196,15786,-,2,175339
平成24,2012,2,13361,1,大島町,Oshima-machi,2,2,-,-,-,-,-,-,-,94,-,-,-,-
平成24,2012,2,13362,2,利島村,Toshima-mura,-,-,-,-,-,-,-,-,-,-,-,-,-,-
平成24,2012,2,13363,3,新島村,Niijima-mura ,-,-,-,-,-,-,-,-,-,-,-,-,-,-
平成24,2012,2,13364,4,神津島村,Kozushima-mura,1,-,-,-,1,-,-,-,-,-,-,-,-,-
平成24,2012,2,13381,5,三宅村,Miyake-mura ,9,3,1,-,4,1,-,-,-,-,15766,-,1,-
平成24,2012,2,13382,6,御蔵島村,Mikurajima-mura,-,-,-,-,-,-,-,-,-,-,-,-,-,-
平成24,2012,2,13401,7,八丈町,Hachijo-machi,6,4,1,-,-,1,1,-,3,102,-,-,1,175339
平成24,2012,2,13402,8,青ヶ島村,Aogashima-mura,-,-,-,-,-,-,-,-,-,-,-,-,-,-
平成24,2012,2,13421,9,小笠原村,Ogasawara-mura ,1,-,-,-,1,-,-,-,-,-,20,-,-,-
,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成24年）TOKYO STATISTICAL YEARBOOK ( 2012 ) 20  司法・警察・消防 20  JUSTICE， POLICE， AND FIRE FIGHTING SERVICES,,,,,,,,,,,,,,,,,,,,
20-17  地域別火災の発生件数 （平成23，24年） 20-17 NUMBER OF FIRES BY DISTRICT ( 2011 and 2012 ),,,,,,,,,,,,,,,,,,,,
注) 死傷者には消防吏員及び消防団員を含む。,,,,,,,,,,,,,,,,,,,,
Note: Firefighter personnel and fire corps volunteers are included in the number of people killed or injured.,,,,,,,,,,,,,,,,,,,,
資料：都総務局総合防災部防災管理課 Source: Bureau of General Affairs， TMG,,,,,,,,,,,,,,,,,,,,
地域階層(0:東京都総数　1:区部・市部・郡部・島部　2:区市町村),,,,,,,,,,,,,,,,,,,,
