年度,Fiscal year,地域コード,項番 Item number,地域,District,総額 Total,地方税 Local taxes,地方譲与税 Local transfer tax,利子割交付金 Interest grants,配当割交付金等 Dividend grants,地方消費税 交付金 Local consumption tax allocations,ゴルフ場利用税交付金 Golf facilities tax allocations,特別地方消費税交付金 Special local consumption tax allocations,自動車取得税交付金 Automobile acquisition tax allocations,地方特例交付金 Special local grants,地方交付税 Local allocation tax,交通安全対策特別交付金 Special grants for traffic safety measures,分担金及び負担金 Beneficiary contribution,使用料 Facility use charges,手数料 Fees,国庫支出金 National treasury disbursements,国有提供施設等所在市町村助成交付金 Subsidies to municipalities where national facilities are located,都支出金 Metropolitan disbursements,財産収入 Revenue from property,寄附金 Contributions,繰入金 Funds transferred,繰越金 Balance brought forward,諸収入 Miscellaneous,地方債 Municipal bonds
平成22,2010,13300,,郡部,All gun,34195,11880,186,49,24,701,-,-,110,115,3379,17,412,229,182,2105,695,8493,271,17,671,1102,2312,1245
平成23,2011,13300,,郡部,All gun,32105,10277,179,45,24,708,-,-,90,125,3778,16,204,238,180,2471,704,8440,174,15,744,885,1415,1392
平成24,2012,13300,,郡部,All gun,32098,10147,170,42,27,704,-,-,103,41,4265,15,227,244,182,2052,692,8641,302,24,1012,859,1039,1312
平成24,2012,13303,1,瑞穂町,Mizuho-machi,13430,6430,83,25,16,421,-,-,50,28,180,9,83,79,132,1292,692,2023,14,1,784,438,112,540
平成24,2012,13305,2,日の出町,Hinode-machi,8942,2688,45,12,8,192,-,-,27,12,1152,4,100,38,25,534,0,2227,235,0,179,161,795,508
平成24,2012,13307,3,檜原村,Hinohara-mura,3577,210,11,1,1,27,-,-,7,0,1332,1,6,21,7,126,0,1538,11,4,41,122,28,83
平成24,2012,13308,4,奥多摩町,Okutama-machi,6149,820,31,4,2,64,-,-,19,1,1601,2,37,106,19,99,0,2853,42,18,7,139,104,181
平成22,2010,13350,,島部,All islands,37643,3356,216,22,11,343,1,-,122,79,10693,13,77,896,164,3229,158,11850,112,118,1824,1080,963,2317
平成23,2011,13350,,島部,All islands,37763,3400,209,20,11,328,1,-,101,81,10706,12,65,902,222,1803,149,11580,147,2,1712,2186,1657,2467
平成24,2012,13350,,島部,All islands,36198,3388,196,20,12,319,1,-,113,4,10672,13,48,941,349,2051,143,10764,117,19,2045,2079,999,1905
平成24,2012,13361,1,大島町,Oshima-machi,8115,925,63,5,3,94,1,-,37,2,2011,4,26,140,91,914,0,2557,8,0,79,137,247,770
平成24,2012,13362,2,利島村,Toshima-mura,1041,45,2,0,0,4,-,-,1,0,365,0,0,17,0,16,0,460,3,0,35,19,53,20
平成24,2012,13363,3,新島村,Niijima-mura,3878,337,18,2,1,35,-,-,11,1,1321,1,0,98,12,285,11,1153,45,1,131,166,77,174
平成24,2012,13364,4,神津島村,Kozushima-mura,2608,214,9,1,1,22,-,-,5,1,857,1,0,49,36,42,0,1099,3,0,77,52,80,58
平成24,2012,13381,5,三宅村,Miyake-mura,3825,349,20,2,1,31,-,-,12,0,1367,1,0,63,172,81,0,1296,14,2,64,84,180,86
平成24,2012,13382,6,御蔵島村,Mikurajima-mura,1223,57,2,0,0,5,-,-,1,0,476,0,1,49,0,11,0,366,2,0,112,19,93,28
平成24,2012,13401,7,八丈町,Hachijo-machi,9591,960,72,5,3,91,-,-,38,1,2412,4,20,223,15,380,0,2323,3,2,1139,1195,125,577
平成24,2012,13402,8,青ヶ島村,Aogashima-mura,1300,37,4,0,0,3,-,-,2,0,414,0,0,10,0,3,0,492,1,0,3,246,85,0
平成24,2012,13421,9,小笠原村,Ogasawara-mura,4618,464,7,3,2,35,-,-,4,0,1447,0,0,293,23,318,132,1018,39,13,405,160,59,192
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成24年）TOKYO STATISTICAL YEARBOOK ( 2012 )　21  財政 21  PUBLIC FINANCE,,,,,,,,,,,,,,,,,,,,,   ,,,,,,,,
21-6 市町村普通会計決算額 (1) 歳入 (平成22～24年度) 21-6  SETTLEMENTS OF THE ORDINARY ACCOUNTS OF SHI， MACHI， AND MURA (1) REVENUE ( Fiscal Years 2010-2012 ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
注) 配当割交付金等に株式等譲渡所得割交付金を含む。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: Dividend grants include stock etc. transfer income grants. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
資料：都総務局行政部市町村課「市町村決算状況調査結果」Source: Bureau of General Affairs， TMG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
（単位　百万円）(In millions of yen),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
