品目 1,Item 1,品目 2,Item 2,品目 3,Item 3,品目 4,Item 4,単位, Units,総数 Total／数量 Quantity,総数 Total／金額 Value,海上 By sea／数量 Quantity,海上 By sea／金額 Value,航空 By air／数量 Quantity,航空 By air／金額 Value
原料別製品,Manufactured goods by raw materials,非鉄金属,Non-ferrous metals,,,,,1，000t,,68,341242,61,103656,7,237586
原料別製品,Manufactured goods by raw materials,金属製品,Metal goods,,,,,,,,221618,,109236,,112382
機械類及び輸送用機器,Machinery and transport equipment,,,,,,,,,,6800163,,2910925,,3889238
機械類及び輸送用機器,Machinery and transport equipment,一般機械,Machinery,,,,,,,,2623629,,1422603,,1201026
機械類及び輸送用機器,Machinery and transport equipment,一般機械,Machinery,原動機,Power generating machinery,,,1，000t,,149,374520,141,219954,8,154566
機械類及び輸送用機器,Machinery and transport equipment,一般機械,Machinery,事務用機器,Office machines,,,,,,675596,,454654,,220942
機械類及び輸送用機器,Machinery and transport equipment,一般機械,Machinery,事務用機器,Office machines,（電算機類 (含周辺機器)),(Computers (including peripheral devices)),100万台,1mil.units,6,185868,2,79248,4,106620
機械類及び輸送用機器,Machinery and transport equipment,電気機器,Electric machinery,,,,,,,,3658258,,1012660,,2645598
機械類及び輸送用機器,Machinery and transport equipment,電気機器,Electric machinery,重電機器,Heavy electrical power machinery,,,,,,163543,,84458,,79085
機械類及び輸送用機器,Machinery and transport equipment,電気機器,Electric machinery,電気回路等の機器,Electrical apparatuses,,,,,,515511,,190910,,324601
機械類及び輸送用機器,Machinery and transport equipment,電気機器,Electric machinery,映像機器,Visual apparatuses,,,10，000台,10，000 units,1035,399001,178,44922,858,354079
機械類及び輸送用機器,Machinery and transport equipment,電気機器,Electric machinery,音響・映像機器の部分品,Parts of audio／visual apparatuses,,,1，000t,,5,162186,2,29819,3,132367
機械類及び輸送用機器,Machinery and transport equipment,電気機器,Electric machinery,通信機,Communication instruments,,,,,,239431,,82603,,156828
機械類及び輸送用機器,Machinery and transport equipment,電気機器,Electric machinery,半導体等電子部品,Semiconductors and other electronic parts,,,,,,1036843,,130738,,906105
機械類及び輸送用機器,Machinery and transport equipment,電気機器,Electric machinery,半導体等電子部品,Semiconductors and other electronic parts,(IC）,(Integrated circuits),1，000万個,10 mil. Units,2721,700130,546,81783,2175,618347
機械類及び輸送用機器,Machinery and transport equipment,電気機器,Electric machinery,電気計測機器,Electrical measuring instruments,,,,,,413260,,142046,,271215
機械類及び輸送用機器,Machinery and transport equipment,電気機器,Electric machinery,コンデンサー,Condensers,,,1億個,100 mil. units,1446,108253,35,19472,1411,88781
機械類及び輸送用機器,Machinery and transport equipment,輸送用機器,Transport equipment,,,,,,,,518275,,475662,,42613
機械類及び輸送用機器,Machinery and transport equipment,輸送用機器,Transport equipment,自動車,Motor vehicles ,,,1，000台,1，000units,42,103004,42,103004,-,-
機械類及び輸送用機器,Machinery and transport equipment,輸送用機器,Transport equipment,自動車の部分品,Parts of motor vehicles,,,1，000t,,316,361946,302,334627,14,27320
機械類及び輸送用機器,Machinery and transport equipment,輸送用機器,Transport equipment,航空機類,Aircrafts,,,,,,32686,,30350,,2336
雑製品,Miscellaneous manufactured goods,,,,,,,,,,1480916,,417896,,1063020
雑製品,Miscellaneous manufactured goods,精密機器類,Precision instruments,,,,,,,,799575,,183157,,616418
雑製品,Miscellaneous manufactured goods,精密機器類,Precision instruments,科学光学機器,Scientific and optical instruments,,,,,,708764,,161378,,547387
雑製品,Miscellaneous manufactured goods,精密機器類,Precision instruments,時計及び部分品,Watches， clocks and parts,,,,,,90806,,21779,,69027
雑製品,Miscellaneous manufactured goods,記録媒体（含記録済）,Blank／recorded media,,,,,100万個,1mil.units,384,107789,285,25089,100,82700
特殊取扱品,Special commodities,,,,,,,,,,2118836,,294184,,1824651
特殊取扱品,Special commodities,再輸出品,Re-export goods,,,,,,,,1637322,,280710,,1356612
,,,,,,,,,,,,,,,
東京都統計年鑑（平成24年）TOKYO STATISTICAL YEARBOOK ( 2012 )　12  商業・サービス・貿易 12  COMMERCE，SERVICES，AND FOREIGN TRADE,,,,,,,,,,,,,,,
12-7  主要品目別輸出入数量及び金額 (1) 輸出 (平成24年) 12-7  QUANTITY AND VALUE OF IMPORTS AND EXPORTS BY SELECTED COMMODITY (1) EXPORTS ( 2012 ),,,,,,,,,,,,,,,
この表は， 輸出入申告書， 積みもどし申告書及び船舶， 航空機の入出港届等を資料として作成されたものである。輸出は本船渡金額 (F.O.B.)，輸入は到着金額 (C.I.F.) である。 なお，「海上」 は東京税関管内の「東京港」であり，「航空」は「東京国際空港(羽田)」 と「成田国際空港」分を合計したものである。,,,,,,,,,,,,,,,
"This table has been prepared in reference to import／export declarations， reshipment declarations， notifications of the seaports／airports of entry／departure， and others. Values of exports and imports are based on F.O.B. and C.I.F. prices， respectively.""By sea"" refers to the values of imports／exports passing through the Port of Tokyo， Tokyo Customs， and ""By air"" refers to the value of trade (import／export) through the Tokyo International Airport (Haneda Airport) and Narita International Airport.  ",,,,,,,,,,,,,,,
注) 主要品目のみを掲げたので，各品目の合計と総数は一致しない。 ,,,,,,,,,,,,,,,
Note: The sums of each commodity does not add up to the total of all items because data only refer to selected commodities.,,,,,,,,,,,,,,,
資料：東京税関 「貿易年表」 Source: Tokyo Customs,,,,,,,,,,,,,,,
（単位  金額　百万円）(Value in millions of yen),,,,,,,,,,,,,,,
