年度,Fiscalyear,組織,Formoforganization,業種,Contractorclassification,資本金階層別,Bysizeofcapital,企業数Enterprises,完成工事高Valueofconstructionworkcompleted／元請Originalcontract／総数Total,完成工事高Valueofconstructionworkcompleted／元請Originalcontract／民間発注Privatecontract／総数Total,完成工事高Valueofconstructionworkcompleted／元請Originalcontract／民間発注Privatecontract／土木Civilengineering,完成工事高Valueofconstructionworkcompleted／元請Originalcontract／民間発注Privatecontract／建築Buildingconstruction,完成工事高Valueofconstructionworkcompleted／元請Originalcontract／民間発注Privatecontract／機械Machinery,完成工事高Valueofconstructionworkcompleted／元請Originalcontract／公共発注Publiccontract／総数Total,完成工事高Valueofconstructionworkcompleted／元請Originalcontract／公共発注Publiccontract／土木Civilengineering,完成工事高Valueofconstructionworkcompleted／元請Originalcontract／公共発注Publiccontract／建築Buildingconstruction,完成工事高Valueofconstructionworkcompleted／元請Originalcontract／公共発注Publiccontract／機械Machinery,完成工事高Valueofconstructionworkcompleted／下請Subcontract／総数Total,完成工事高Valueofconstructionworkcompleted／下請Subcontract／土木Civilengineering,完成工事高Valueofconstructionworkcompleted／下請Subcontract／建築Buildingconstruction,完成工事高Valueofconstructionworkcompleted／下請Subcontract／機械Machinery
平成23,2011,業種別（許可業者）,Bycontractorclassification(licensedcontractors),総合工事業,Generalconstructionwork,木造建築工事業,Buildingwork(woodenbuildings),1277,716767,709644,-,709582,61,7123,5,7118,-,49826,-,49826,-
平成23,2011,業種別（許可業者）,Bycontractorclassification(licensedcontractors),職別工事業,Constructionworkbyspecialistcontractor,,,7150,981895,897649,84788,768532,44330,84246,50979,32048,1219,1772035,292920,1447948,31167
平成23,2011,業種別（許可業者）,Bycontractorclassification(licensedcontractors),設備工事業,Equipmentinstallationwork,,,7294,4330940,3510625,525763,1179799,1805062,820315,69075,299042,452198,2942047,99270,2053898,788878
平成23,2011,（再掲）建設業専業会社,(Relisted)Companiesexclusivelyengagedinconstruction,総数,Total,,,17523,13381741,10669476,1545044,8707606,416826,2712265,1716470,958774,37021,4597245,1012272,3275434,309539
平成23,2011,（再掲）建設業専業会社,(Relisted)Companiesexclusivelyengagedinconstruction,総数／個人,Total／Soleproprietorship,,,1134,21852,21253,615,20553,85,599,65,534,-,13917,266,13422,229
平成23,2011,（再掲）建設業専業会社,(Relisted)Companiesexclusivelyengagedinconstruction,総数／法人,Total／Corporation,,,16389,13359890,10648224,1544429,8687053,416741,2711666,1716405,958240,37021,4583328,1012006,3262012,309310
平成23,2011,（再掲）建設業専業会社,(Relisted)Companiesexclusivelyengagedinconstruction,総数／法人,Total／Corporation,200万円未満,Under2millionyen,298,4793,4573,-,1709,2864,220,195,25,-,17892,2839,9295,5758
平成23,2011,（再掲）建設業専業会社,(Relisted)Companiesexclusivelyengagedinconstruction,総数／法人,Total／Corporation,200万円～500万円未満,2-5millionyen,4856,100309,92787,8225,83213,1350,7522,4827,2634,62,235861,37833,193347,4682
平成23,2011,（再掲）建設業専業会社,(Relisted)Companiesexclusivelyengagedinconstruction,総数／法人,Total／Corporation,500万円～1000万円未満,5-10millionyen,1813,108904,102668,9011,93457,200,6236,4375,1753,108,89455,13459,75202,794
平成23,2011,（再掲）建設業専業会社,(Relisted)Companiesexclusivelyengagedinconstruction,総数／法人,Total／Corporation,1000万円～3000万円未満,10-30millionyen,7570,598699,423899,25780,366241,31876,174801,59265,110076,5459,1035775,183220,759541,93013
平成23,2011,（再掲）建設業専業会社,(Relisted)Companiesexclusivelyengagedinconstruction,総数／法人,Total／Corporation,3000万円～5000万円未満,30-50millionyen,959,469113,350823,18954,320539,11330,118290,65667,50041,2582,384356,101391,245710,37255
平成23,2011,（再掲）建設業専業会社,(Relisted)Companiesexclusivelyengagedinconstruction,総数／法人,Total／Corporation,5000万円～1億円未満,50-100millionyen,581,505193,387042,69106,294486,23450,118151,55663,57874,4614,648935,162665,423871,62399
平成23,2011,（再掲）建設業専業会社,(Relisted)Companiesexclusivelyengagedinconstruction,総数／法人,Total／Corporation,1億円～10億円未満,100millionyento1billionyen,221,1511745,1294843,171847,986632,136364,216902,139186,58189,19527,801381,202254,540187,58940
平成23,2011,（再掲）建設業専業会社,(Relisted)Companiesexclusivelyengagedinconstruction,総数／法人,Total／Corporation,10億円～50億円未満,1-5billionyen,49,1565678,1312743,194632,1005371,112740,252935,161411,88768,2756,602047,102240,461152,38655
平成23,2011,（再掲）建設業専業会社,(Relisted)Companiesexclusivelyengagedinconstruction,総数／法人,Total／Corporation,50億円以上,5billionyenormore,41,8495456,6678847,1046875,5535404,96568,1816609,1225816,588880,1913,767626,206105,553707,7814
平成23,2011,（再掲）建設業専業会社,(Relisted)Companiesexclusivelyengagedinconstruction,総数／法人,Total／Corporation,都内元請完成工事高及び施工企業数,Value of original contracts and number of enterprises completing construction work within Tokyo-to ,15341,6937020,5580935,498146,4760898,321890,1356085,568397,649642,138047,…,…,…,…
,,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成24年）TOKYO STATISTICAL YEARBOOK ( 2012 )　3  建設・住居 3  CONSTRUCTION AND HOUSING,,,,,,,,,,,,,,,,,,,,,
3-6  経営組織，業種別による企業数，完成工事高（平成19～23年度） 3-6  ENTERPRISES， VALUE OF CONSTRUCTION WORK COMPLETED BY FORM OF ORGANIZATION AND CONTRACTOR CLASSIFICATION ( Fiscal Years 2007～2011 ）,,,,,,,,,,,,,,,,,,,,,
資料：国土交通省 「建設工事施工統計調査報告」 Source: Ministry of Land， Infrastructure， Transport and Tourism,,,,,,,,,,,,,,,,,,,,,
（単位　金額　百万円）(Value in millions of yen),,,,,,,,,,,,,,,,,,,,,
