年度,Fiscal Year,科名,Courses,入校者 Enrolled,修了者 Completed,就職状況 Placement／就職 Employed,就職状況 Placement／自営 Self Employed,就職状況 Placement／就職率 Employment Rate (%)
平成24,2012,住宅内外装仕上,Interior and exterior finishing,45,28,19,2,75
平成24,2012,建築設備施工,Equipment installation,48,42,33,-,78.6
平成24,2012,住宅リフォーム,Home renovation,56,44,30,7,84.1
平成24,2012,グリーンエクステリア,Gardening and exterior work,63,55,47,1,87.3
平成24,2012,セキュリティサービス,Security services,57,54,34,-,63
平成24,2012,電気・通信工事,Electrical／telecommunications wiring,60,54,41,-,75.9
平成24,2012,印刷企画営業,Print design and marketing,44,36,26,3,80.6
平成24,2012,グラフィック印刷,Graphic printing,33,32,24,1,78.1
平成24,2012,ＤＴＰ,DTP,59,51,45,1,90.2
平成24,2012,医療事務,Medical billing,177,146,91,-,62.3
平成24,2012,貿易実務,International trade documentation,88,67,41,1,62.7
平成24,2012,ＯＡソフト管理,Office software management,114,88,44,-,50
平成24,2012,単位制パソコン,Computer operations (flexible course),117,100,38,2,40
平成24,2012,ネットワーク構築,Network construction,60,38,16,1,44.7
平成24,2012,配管,Plumbing,22,22,19,-,86.4
平成24,2012,物流管理実務,Logistics management,93,76,42,2,57.9
平成24,2012,ファッションリテール,Fashion retail,31,24,16,-,66.7
平成24,2012,調理,Cooking,59,44,37,-,84.1
平成24,2012,介護サービス,Nursing care,325,310,282,2,91.6
平成24,2012,ビルクリーニング管理,Building custodial services,34,31,30,-,96.8
平成24,2012,ビルクリーニング管理（高年齢者向）,Building custodial services (for elderly people)             ,42,39,37,1,97.4
平成24,2012,福祉調理,Cooking for welfare institutions,60,51,33,-,64.7
平成24,2012,D1Yアドバイザー,DIY advisor,59,53,34,1,66
平成24,2012,三次元ＣＡＤ,3D CAD,109,100,55,4,59
平成24,2012,マンション維持管理,Condominium maintenance and management,74,70,50,-,71.4
平成24,2012,パソコン実践,Computer operations,246,238,101,2,43.3
平成24,2012,インテリアリフォーム,Interior renovation,58,56,23,3,46.4
平成24,2012,ビル管理,Building management,176,169,137,-,81.1
平成24,2012,電気設備管理,Electrical facility management,64,61,56,-,91.8
平成24,2012,電気設備管理（高年齢者向）,Electrical facility management (for elderly people),76,68,59,-,86.8
平成24,2012,電気設備保全,Electrical facility maintenance,55,53,34,-,64.2
平成24,2012,経営管理実務,Business management,113,100,35,2,37
平成24,2012,ビジネス経理,Business accounting,59,52,18,-,34.6
平成24,2012,庭園施工管理,Gardening,60,60,58,2,100
平成24,2012,ホテル・レストランサービス,Hotel and restaurant services,50,46,28,-,60.9
平成24,2012,設備保全,Facility maintenance,57,50,19,-,38
平成24,2012,板金溶接,Sheet metal welding,22,17,13,-,76.5
平成24,2012,施設警備,Security services for facilities,26,25,21,-,84
平成24,2012,自動車運転（足立）,Vehicle driving,-,-,-,-,-
,,,,,,,,
7-2  都立職業能力開発センター(職業訓練校）修了者就職状況 （平成23，24年度） ,,,,,,,,
PLACEMENT OF TRAINEES OF ＴMG VOCATIONAL SKILLS DEVELOPMENT CENTER ,,,,,,,,
(VOCATIONAL TRAINING FACILITIES) (Fiscal Years 2011 and 2012) ,,,,,,,,
この表の数字には， 2ケ月以下の訓練，障害者訓練，高年齢者向け夜間訓練及び受託訓練を含まない。 ,,,,,,,,
Figures do not include training courses of two months or less those for the disabled night courses for the elderly or courses commissioned by others. ,,,,,,,,
資料：都産業労働局雇用就業部能力開発課,,,,,,,,
Source: Bureau of Industrial and Labor Affairs， TMG,,,,,,,,
