地域階層,地区コード,項番 Item number,地域,District,総数 All manufacturing／事業所数 Establishments,総数 All manufacturing／従業者数 Employees,総数 All manufacturing／現金給与総額 Total cash wages,総数 All manufacturing／原材料使用額等 Value of raw materials used， etc.,総数 All manufacturing／製造品出荷額等 Shipment value of manufactured goods， etc.,総数 All manufacturing／粗付加価値額 Gross value added,事業所数 Establishments／食料品 Food,事業所数 Establishments／飲料・たばこ・飼料 Beverages， tobacco and feed,事業所数 Establishments／繊維工業 Textiles,事業所数 Establishments／木材・木製品(家具を除く) Lumber and wood products， except furniture,事業所数 Establishments／家具・装備品 Furniture and fixtures,事業所数 Establishments／パルプ・紙・紙加工品 Pulp， paper and paper products,事業所数 Establishments／印刷・同関連業 Printing and allied industries,事業所数 Establishments／化学工業 Chemicals,事業所数 Establishments／石油・石炭製品 Petroleum and coal products,事業所数 Establishments／プラスチック製品(別掲を除く) Plastic products， except otherwise classified,事業所数 Establishments／ゴム製品 Rubber products,事業所数 Establishments／なめし革・同製品・毛皮 Tanned leather， leather products and fur skins,事業所数 Establishments／窯業・土石製品 Ceramic， stone and clay products,事業所数 Establishments／鉄鋼業 Iron and steel,事業所数 Establishments／非鉄金属 Non-ferrous metals and products,事業所数 Establishments／金属製品 Fabricated metal products,事業所数 Establishments／はん用機械器具 General-purpose machinery,事業所数 Establishments／生産用機械器具 Production machinery,事業所数 Establishments／業務用機械器具 Business use machinery,事業所数 Establishments／電子部品・デバイス・電子回路 Electronic parts， devices and electronic circuits,事業所数 Establishments／電気機械器具 Electrical machinery， equipment and supplies,事業所数 Establishments／情報通信機械器具 Information and communications equipment,事業所数 Establishments／輸送用機械器具 Transportation equipment,事業所数 Establishments／その他 Others,従業者数 Persons engaged／食料品 Food,従業者数 Persons engaged／飲料・たばこ・飼料 Beverages， tobacco and feed,従業者数 Persons engaged／繊維工業 Textiles,従業者数 Persons engaged／木材・木製品(家具を除く) Lumber and wood products， except furniture,従業者数 Persons engaged／家具・装備品 Furniture and fixtures,従業者数 Persons engaged／パルプ・紙・紙加工品 Pulp， paper and paper products,従業者数 Persons engaged／印刷・同関連業 Printing and allied industries,従業者数 Persons engaged／化学工業 Chemicals,従業者数 Persons engaged／石油・石炭製品 Petroleum and coal products,従業者数 Persons engaged／プラスチック製品(別掲を除く) Plastic products， except otherwise classified,従業者数 Persons engaged／ゴム製品 Rubber products,従業者数 Persons engaged／なめし革・同製品・毛皮 Tanned leather， leather products and fur skins,従業者数 Persons engaged／窯業・土石製品 Ceramic， stone and clay products,従業者数 Persons engaged／鉄鋼業 Iron and steel,従業者数 Persons engaged／非鉄金属 Non-ferrous metals and products,従業者数 Persons engaged／金属製品 Fabricated metal products,従業者数 Persons engaged／はん用機械器具 General-purpose machinery,従業者数 Persons engaged／生産用機械器具 Production machinery,従業者数 Persons engaged／業務用機械器具 Business use machinery,従業者数 Persons engaged／電子部品・デバイス・電子回路 Electronic parts， devices and electronic circuits,従業者数 Persons engaged／電気機械器具 Electrical machinery， equipment and supplies,従業者数 Persons engaged／情報通信機械器具 Information and communications equipment,従業者数 Persons engaged／輸送用機械器具 Transportation equipment,従業者数 Persons engaged／その他 Others,製造品出荷額等 Value of manufactured goods shipments， etc.／食料品 Food,製造品出荷額等 Value of manufactured goods shipments， etc.／飲料・たばこ・飼料 Beverages， tobacco and feed,製造品出荷額等 Value of manufactured goods shipments， etc.／繊維工業 Textiles,製造品出荷額等 Value of manufactured goods shipments， etc.／木材・木製品(家具を除く) Lumber and wood products， except furniture,製造品出荷額等 Value of manufactured goods shipments， etc.／家具・装備品 Furniture and fixtures,製造品出荷額等 Value of manufactured goods shipments， etc.／パルプ・紙・紙加工品 Pulp， paper and paper products,製造品出荷額等 Value of manufactured goods shipments， etc.／印刷・同関連業 Printing and allied industries,製造品出荷額等 Value of manufactured goods shipments， etc.／化学工業 Chemicals,製造品出荷額等 Value of manufactured goods shipments， etc.／石油・石炭製品 Petroleum and coal products,製造品出荷額等 Value of manufactured goods shipments， etc.／プラスチック製品 Plastic products， except otherwise classified,製造品出荷額等 Value of manufactured goods shipments， etc.／ゴム製品 Rubber products,製造品出荷額等 Value of manufactured goods shipments， etc.／なめし革・同製品・毛皮 Tanned leather， leather products and fur skins,製造品出荷額等 Value of manufactured goods shipments， etc.／窯業・土石製品 Ceramic， stone and clay products,製造品出荷額等 Value of manufactured goods shipments， etc.／鉄鋼業 Iron and steel,製造品出荷額等 Value of manufactured goods shipments， etc.／非鉄金属 Non-ferrous metals and products,製造品出荷額等 Value of manufactured goods shipments， etc.／金属製品 Fabricated metal products,製造品出荷額等 Value of manufactured goods shipments， etc.／はん用機械器具 General-purpose machinery,製造品出荷額等 Value of manufactured goods shipments， etc.／生産用機械器具 Production machinery,製造品出荷額等 Value of manufactured goods shipments， etc.／業務用機械器具 Business use machinery,製造品出荷額等 Value of manufactured goods shipments， etc.／電子部品・デバイス・電子回路 Electronic parts， devices and electronic circuits,製造品出荷額等 Value of manufactured goods shipments， etc.／電気機械器具 Electrical machinery， equipment and supplies,製造品出荷額等 Value of manufactured goods shipments， etc.／情報通信機械器具 Information and communications equipment,製造品出荷額等 Value of manufactured goods shipments， etc.／輸送用機械器具 Transportation equipment,製造品出荷額等 Value of manufactured goods shipments， etc.／その他 Others
2,13111,11,大田区,Ota-ku,3788,29921,12551249,28261380,53061877,24093883,92,9,49,6,59,37,202,28,2,229,21,3,31,82,95,763,332,820,182,117,274,43,187,125,2076,182,290,37,264,309,1755,779,39,1727,279,32,412,579,515,5182,1971,5191,2009,1039,2666,698,1158,732,4601585,239457,635788,85958,340628,535303,2821753,2300476,x,2519448,457708,x,1479547,2144361,2361771,6589020,2900513,8506163,3915845,1601194,4571670,1376449,1745814,1030656
2,13112,12,世田谷区,Setagaya-ku,347,2723,992955,1790468,4121985,2242844,32,1,19,3,19,11,51,11,-,6,5,-,6,3,6,34,12,15,30,15,28,11,2,27,495,4,118,11,87,49,405,125,-,71,14,-,45,8,28,169,128,117,252,114,197,155,5,126,700671,x,211081,15374,95120,50928,571888,337275,-,108734,7292,-,211071,8771,15395,170639,298567,202283,398165,196309,221656,164659,x,127371
2,13113,13,渋谷区,Shibuya-ku,170,1812,811670,1491893,3123948,1579399,7,1,30,-,5,2,45,4,-,5,2,1,4,-,1,12,1,5,10,4,8,1,2,20,64,3,255,-,8,14,802,30,-,12,7,35,9,-,14,46,20,18,150,63,97,5,4,156,78848,x,366667,-,3263,x,1429185,x,-,9486,x,x,14687,-,x,48674,x,7876,x,257259,125853,x,x,288700
2,13114,14,中野区,Nakano-ku,294,1798,689950,1368592,2759894,1345366,21,4,34,6,17,12,69,8,-,9,1,5,4,-,1,20,4,11,16,10,10,1,3,28,202,26,164,15,45,101,374,201,-,20,5,17,16,-,2,114,19,85,151,81,44,3,21,92,263489,22589,116255,9266,50659,62225,502453,743042,-,19029,x,65723,7654,-,x,124700,55677,125590,285456,122615,39681,x,30896,109356
2,13115,15,杉並区,Suginami-ku,307,1759,649086,1277718,2905354,1588026,21,-,25,1,24,9,71,5,-,10,2,5,3,2,2,12,2,14,16,7,20,9,10,37,166,-,120,2,72,52,335,90,-,44,10,18,11,4,22,50,5,74,84,58,274,85,53,130,234505,-,102182,x,74279,45035,475648,507230,-,76880,x,4554,9824,x,x,43244,x,112227,87920,101690,459163,199050,192175,96494
2,13116,16,豊島区,Toshima-ku,466,4875,2234218,3193335,7639473,4347788,26,1,41,1,15,27,171,5,1,8,3,7,4,2,2,30,8,9,29,10,18,5,1,42,560,3,146,13,68,145,2017,57,3,57,25,33,23,6,6,314,137,30,213,102,598,30,10,279,742708,x,137025,x,124509,157458,3293153,81258,x,44700,26720,39347,47034,x,x,502504,145547,30341,250345,129815,1294743,81553,x,483397
2,13117,17,北区,Kita-ku,914,10587,4857474,12968519,26482478,13263323,42,3,89,5,24,39,221,17,2,29,14,23,8,3,12,104,29,53,49,12,35,7,13,81,334,24,353,8,79,390,4684,563,11,160,317,128,26,27,73,568,171,355,1245,85,271,85,87,543,432571,x,327883,3746,106640,663746,13172457,2959651,x,253832,481776,188099,139732,622198,107413,796175,335851,787989,3444206,81141,426449,142673,240036,683228
2,13118,18,荒川区,Arakawa-ku,1712,9002,2984246,5409446,11749379,6104524,54,2,117,21,76,112,318,12,-,107,32,128,18,3,26,264,27,79,68,13,45,5,12,173,680,23,324,70,242,480,2153,214,-,467,179,487,158,12,76,1107,202,423,340,117,394,29,46,779,1294609,x,243586,35251,234660,582796,2903130,543449,-,503202,143697,620994,144601,20874,55280,1105341,272458,666808,405165,171588,636843,x,37749,1069746
2,13119,19,板橋区,Itabashi-ku,1528,19922,8792994,22031546,40883039,18331366,53,-,65,3,34,75,435,44,1,70,8,9,22,17,33,177,38,122,123,22,39,9,24,105,1553,-,409,21,149,701,7672,806,59,506,23,51,474,867,136,1025,228,1128,2229,124,365,517,184,695,2524985,-,461530,x,181153,1149397,11220132,3225276,x,878196,21423,37409,1463316,5479997,300574,1113405,318854,1831009,6266249,337637,628605,1954016,239628,920884
2,13120,20,練馬区,Nerima-ku,593,4523,1575918,4014423,7799694,3676506,43,-,87,10,35,26,91,10,-,41,4,3,12,5,11,38,12,24,29,7,35,7,10,53,896,-,340,25,114,180,647,95,-,303,19,8,86,33,213,210,106,199,180,64,303,224,72,206,1883521,-,228564,12732,84710,966782,660279,204815,-,445075,14514,14480,474976,20184,577552,379890,200620,383276,204344,72088,391108,305507,69933,204744
2,13121,21,足立区,Adachi-ku,2888,18807,6709540,16869243,31146860,13863809,122,-,238,37,150,144,236,33,2,164,61,359,28,24,52,479,95,184,87,13,66,9,59,246,1946,-,1024,152,683,1263,1541,1135,29,1170,330,1488,295,289,306,2519,571,1053,720,78,459,149,421,1186,2631657,-,717071,133568,970094,2266807,1970625,4880629,x,1175648,403695,1904565,715540,1829476,646223,2902495,760030,1484821,2738299,98505,718181,x,555408,1116584
2,13122,22,葛飾区,Katsushika-ku,2673,14656,4631163,10607696,19838830,8945027,54,2,175,25,63,77,171,18,-,187,191,181,32,31,51,659,53,239,61,24,59,9,46,265,610,10,629,74,270,712,921,319,-,1001,1058,926,167,108,193,3299,290,1194,431,180,575,224,243,1222,2211883,x,513988,65215,255139,2007141,882972,653983,-,1175515,1042983,891628,441403,156475,136561,3345080,595505,1401424,557406,199462,944339,x,233551,1639287
2,13123,23,江戸川区,Edogawa-ku,2293,15197,5107881,14274288,25370465,10721861,65,3,323,22,75,85,168,20,2,133,29,86,50,84,29,477,88,239,59,14,58,9,48,127,1730,5,1239,63,300,830,1364,287,3,847,205,314,367,410,158,2717,495,1828,362,172,372,69,300,760,4862699,x,798233,76892,329017,2900324,1467788,573961,x,1116680,218618,310943,857360,795215,543386,3938238,542292,3296814,453345,199910,591923,117599,462178,877801
1,13200,,市部,All shi,5036,128673,66647566,284162356,470440194,182190254,332,23,224,34,206,82,408,68,7,257,15,18,103,37,75,560,143,573,328,397,500,135,176,335,17176,778,1027,167,1524,1274,5469,3230,83,2639,1025,56,1462,544,981,4919,4299,7397,6199,9553,17254,13098,23521,4998,39284965,12931753,823930,202917,4168192,x,10781463,x,x,3392936,x,30455,5307808,3985180,3396096,6134577,20995985,19120494,12666844,30998181,53148263,77120923,128174328,15832286
2,13201,1,八王子市,Hachioji-shi,1127,18693,7771935,25010338,46553290,21267494,59,5,96,10,37,15,62,19,2,75,3,3,20,6,18,124,38,141,67,113,108,17,30,59,2500,71,516,60,145,259,1669,987,26,889,41,5,235,25,197,876,643,2121,1612,2295,2049,311,709,452,4701372,243845,481973,87530,140989,514441,3270033,4593619,x,1341459,73942,x,624427,64465,375534,925706,1040430,7801801,4624505,9475163,3370170,380638,1460779,727122
2,13202,2,立川市,Tachikawa-shi,179,3793,1531638,4664273,8063789,3304918,14,-,6,-,6,5,28,3,-,5,1,1,3,2,1,18,7,15,11,9,22,3,7,12,734,-,18,-,737,61,358,119,-,153,6,3,26,14,2,176,49,112,251,183,439,172,115,65,1141511,-,9975,-,3138946,53297,364372,343389,-,255092,x,x,39925,x,x,229152,103148,209240,187227,230394,989349,334361,255671,137081
2,13203,3,武蔵野市,Musashino-shi,98,4559,3160902,846831,1930037,1057370,11,1,4,1,3,-,18,-,-,3,-,2,2,1,-,5,1,5,11,2,12,-,2,14,70,23,18,1,9,-,138,-,-,11,-,10,21,1,-,12,10,43,57,12,270,-,3807,46,76626,x,10507,x,7800,-,168019,-,-,25626,-,x,x,x,-,4400,x,78762,82105,x,609446,-,x,88491
2,13204,4,三鷹市,Mitaka-shi,191,4681,2603897,8429952,9650304,1161890,7,-,8,-,4,2,21,1,-,4,1,-,5,1,3,31,1,26,20,13,19,10,5,9,409,-,28,-,9,12,231,42,-,20,2,-,24,3,14,200,3,155,223,74,183,2695,309,45,519787,-,13671,-,3668,x,276889,x,-,20483,x,-,110129,x,33905,198736,x,184239,470835,65110,219462,6836841,599564,54992
2,13205,5,青梅市,Ome-shi,458,10317,4635352,14056440,23474780,9243091,26,3,10,3,23,6,18,5,2,39,1,1,16,12,5,57,13,73,27,36,31,11,19,21,2171,89,35,6,65,65,233,281,20,305,16,2,151,130,14,537,57,894,609,2254,898,595,691,199,2532762,119399,26242,1139,68243,55812,418447,537503,x,325863,x,x,499799,1273781,9521,601741,89161,1870244,949491,5545108,5591317,622266,1971898,230037
2,13206,6,府中市,Fuchu-shi,233,14122,8903454,66418416,82447394,13508882,19,2,6,1,5,5,23,2,1,4,2,1,6,-,5,28,6,14,12,23,32,14,6,16,1197,149,31,1,12,34,433,17,19,40,19,3,103,-,339,185,141,280,221,564,5156,4966,83,129,2079055,x,18687,x,8977,36032,1586072,x,x,61611,x,x,402937,-,2090975,309652,158002,683994,292665,1756245,22183223,44369820,182379,233286
2,13207,7,昭島市,Akishima-shi,235,11327,8035199,38348216,67830115,29331410,15,1,4,3,12,3,11,1,1,8,-,-,4,3,4,30,7,36,17,11,29,5,17,13,1574,16,14,16,126,37,27,8,10,66,-,-,413,22,38,410,175,706,153,1550,2485,473,2906,102,3545303,x,11744,19586,378131,96572,32800,x,x,120037,-,-,1863713,30232,24385,476794,304056,1955471,165706,8697548,9576830,16228567,24062635,84211
2,13208,8,調布市,Chofu-shi,209,2796,1460502,3441045,6115830,2639503,14,1,7,1,9,4,23,1,-,18,-,-,7,1,4,13,7,15,16,22,21,6,5,14,479,34,57,12,24,43,215,7,-,169,-,-,36,15,8,96,86,74,129,136,987,53,47,89,1401628,x,62621,x,11801,57014,235501,x,-,141926,-,-,364620,x,10452,112610,103761,59383,130491,126814,2375792,300092,64253,93759
2,13209,9,町田市,Machida-shi,323,5417,2334694,4973632,9141494,4069454,25,-,14,3,4,7,22,3,1,14,3,2,2,1,3,39,11,24,15,35,33,17,14,31,730,-,73,13,12,251,118,67,8,193,22,4,3,13,49,397,99,470,713,334,419,895,179,355,986515,-,36508,12298,12498,496000,110754,338371,x,225548,20028,x,x,x,140728,700904,171613,1264727,700979,678240,565054,1749093,161218,672399
2,13210,10,小金井市,Koganei-shi,59,455,166995,373417,898720,514927,5,-,2,-,2,1,4,2,-,2,-,-,3,-,-,4,-,6,5,2,8,1,4,8,22,-,11,-,5,13,13,22,-,27,-,-,16,-,-,52,-,22,46,4,19,5,56,122,25796,-,x,-,x,x,x,x,-,x,-,-,27301,-,-,19323,-,60963,33469,x,16181,x,281223,248614
2,13211,11,小平市,Kodaira-shi,155,4068,2617865,5482367,11939258,6317793,14,-,7,-,9,5,19,1,-,5,2,-,4,-,1,13,7,14,9,16,16,2,-,11,780,-,26,-,47,54,174,9,-,20,891,-,47,-,2,100,136,148,70,204,155,1148,-,57,1273215,-,11905,-,34504,67312,249203,x,-,12632,x,-,117625,-,x,106011,629193,171204,76331,188003,205728,x,-,35166
2,13212,12,日野市,Hino-shi,154,14282,8299471,31695975,76295725,44673274,4,-,6,-,6,3,19,1,-,9,-,-,5,1,2,7,4,18,14,11,17,6,7,14,348,-,18,-,16,22,213,859,-,34,-,-,85,5,7,13,1430,111,287,631,2085,159,7913,46,1024683,-,17374,-,9833,13411,368590,x,-,36863,-,-,257425,x,x,13300,13996617,85102,463415,2130419,3875374,264645,50614807,32253
2,13213,13,東村山市,Higashimurayama-shi,177,3316,1290912,4992114,8392316,3325140,17,1,8,2,10,4,25,9,-,9,1,-,2,-,4,17,5,12,6,16,14,1,2,12,1024,28,29,7,44,57,197,326,-,91,24,-,40,-,21,141,501,129,19,351,190,5,19,73,2578558,x,17724,x,35521,119186,397978,885033,-,114814,x,-,x,-,12323,150807,2469453,183320,28445,801620,282114,x,x,101318
2,13214,14,国分寺市,Kokubunji-shi,61,1078,645440,822340,2145694,1278078,1,-,5,1,2,-,11,3,-,1,-,-,1,1,-,3,-,-,7,7,8,4,1,5,7,-,16,3,5,-,64,38,-,11,-,-,1,2,-,47,-,-,40,103,135,564,8,34,x,-,13617,x,x,-,104877,84747,-,x,-,-,x,x,-,x,-,-,106744,111422,146696,1406394,x,89372
2,13215,15,国立市,Kunitachi-shi,47,395,161961,189909,619902,426487,7,-,1,-,-,2,6,-,-,2,-,1,-,-,-,2,1,5,4,-,5,1,4,6,67,-,2,-,-,5,16,-,-,5,-,2,-,-,-,10,18,18,102,-,87,13,26,24,165000,-,x,-,-,x,7843,-,-,x,-,x,-,-,-,x,x,x,x,-,201672,x,33670,33557
