地域階層,地域コード,地域,District,延べ面積 Area of floor space／29m2以下 29m2 and under,延べ面積 Area of floor space／30～49m2,延べ面積 Area of floor space／50～69m2,延べ面積 Area of floor space／70～99m2,延べ面積 Area of floor space／100～149m2,延べ面積 Area of floor space／150m2以上 150m2 and over,所有関係別主世帯数 Principal households by tenure of dwelling／持ち家 Owner's dwelling,所有関係別主世帯数 Principal households by tenure of dwelling／借家 Rented dwelling
2,13120,練馬区,Nerima-ku,47800,44300,57100,57200,35000,13900,125300,130000
2,13121,足立区,Adachi-ku,44000,67300,62100,45200,26500,12100,126700,130500
2,13122,葛飾区,Katsushika-ku,27800,37500,41400,31000,19900,10100,90300,77400
2,13123,江戸川区,Edogawa-ku,53100,59200,62700,54900,25700,11100,117900,148900
-,13500,市町村部,All shi， machi & mura,312200,285000,329800,419700,257500,94500,882200,816400
2,13201,八王子市,Hachioji-shi,47400,24600,37700,56900,46500,14300,126700,100600
2,13202,立川市,Tachikawa-shi,12100,16400,16100,17500,8200,2800,35300,38000
2,13203,武蔵野市,Musashino-shi,17300,12300,12100,11100,7100,3500,27400,35900
2,13204,三鷹市,Mitaka-shi,20400,12800,12800,18100,9400,3700,34500,42600
2,13205,青梅市,Ome-shi,3600,7000,11200,13600,10500,4500,35700,14500
2,13206,府中市,Fuchu-shi,20200,18300,21600,24700,11400,5200,50600,50800
2,13207,昭島市,Akishima-shi,6300,8700,10500,11500,5400,2400,22300,22600
2,13208,調布市,Chofu-shi,25000,19100,21000,19900,9000,3600,40000,57700
2,13209,町田市,Machida-shi,19600,32600,23100,42700,34700,11900,91700,72800
2,13210,小金井市,Koganei-shi,13000,8700,8800,11000,5900,2400,23500,26400
2,13211,小平市,Kodaira-shi,14500,12400,14900,21400,9600,3500,38500,37700
2,13212,日野市,Hino-shi,17600,9900,12700,18700,12700,4100,39100,36600
2,13213,東村山市,Higashimurayama-shi,7400,10000,15300,15000,9500,2700,32800,27000
2,13214,国分寺市,Kokubunji-shi,15900,6800,7700,14500,7400,2700,27500,27500
2,13215,国立市,Kunitachi-shi,7700,5500,7400,6200,3600,1900,13800,18500
2,13218,福生市,Fussa-shi,3100,6700,5900,4600,2900,1400,11600,13100
2,13219,狛江市,Komae-shi,11500,6600,5800,6800,4300,1600,16800,20000
2,13220,東大和市,Higashiyamato-shi,2600,4900,7500,8600,5500,1400,18400,12200
2,13221,清瀬市,Kiyose-shi,4000,7500,6400,8400,3700,1200,15100,16000
2,13222,東久留米市,Higashikurume-shi,5400,8600,10200,13100,5700,2400,24500,20900
2,13223,武蔵村山市,Musashimurayama-shi,2300,5200,8900,6800,3400,1200,12700,15000
2,13224,多摩市,Tama-shi,11100,11200,14000,16500,7100,2300,31200,31000
2,13225,稲城市,Inagi-shi,4300,5200,6800,8100,4700,1500,16300,14500
2,13227,羽村市,Hamura-shi,2200,4000,4700,6000,3700,1300,13000,9100
2,13228,あきる野市,Akiruno-shi,600,3300,4200,8300,7700,2900,20300,6600
2,13229,西東京市,Nishitokyo-shi,14700,13200,17600,21100,10300,3500,39800,40600
2,13303,瑞穂町,Mizuho-machi,1700,1400,1700,3200,2000,1300,7600,3600
2,13305,日の出町,Ｈinode-machi,100,300,600,1700,1600,700,4200,700
,,,,,,,,,,,
東京都統計年鑑（平成24年）TOKYO STATISTICAL YEARBOOK ( 2012 )　3  建設・住居 3  CONSTRUCTION AND HOUSING,,,,,,,,,,,
3-12  地域別，延べ面積別住宅数，住宅の所有関係別主世帯数（平成20年） ,,,,,,,,,,,
　　　　　　　　　　　　　　　DWELLINGS BY DISTRICT ＡＮD FLOOR SPACE AREA,,,,,,,,,,,
AND PRINCIPAL HOUSEHOLDS BY TENURE OF DWELLING (2008) ,,,,,,,,,,,
注) 延べ面積 「不詳」 を含む。   Note: Includes dwellings whose floor space area is unknown. ,,,,,,,,,,,
資料：都都市整備局住宅政策推進部住宅政策課 「平成20年住宅 ・土地統計調査報告に係る東京都特別集計」　　 ,,,,,,,,,,,
Source: Bureau of  Urban Development，TMG,,,,,,,,,,,
