年次(平成),Year,地域階層,地域コード,地域,District,マーク Mark,総数 Total,国有 National forest／計 Total,国有 National forest／林野庁 Forestry Agency,国有 National forest／その他官庁 Other government agencies,民有 Non-national forests／計 Total,民有 Non-national forests／独立行政法人等 Incorporated administrative agency 1),民有 Non-national forests／公有 Publicly owned／都道府県 Prefecture,民有 Non-national forests／公有 Publicly owned／森林整備法人 Forest improvement corporation,民有 Non-national forests／公有 Publicly owned／市区町村 Cities， wards， towns and villages,民有 Non-national forests／公有 Publicly owned／財産区 Property wards,民有 Non-national forests／私有 Privately owned
22,2010,2,13210,小金井市,Koganei-shi,,7,-,-,-,7,-,-,-,-,-,7
22,2010,2,13211,小平市,Kodaira-shi,,5,-,-,-,5,-,-,-,-,-,5
22,2010,2,13212,日野市,Hino-shi,,100,1,-,1,99,-,11,-,1,-,87
22,2010,2,13213,東村山市,Higashimurayama-shi,,71,-,-,-,71,-,1,-,-,-,70
22,2010,2,13214,国分寺市,Kokubunji-shi,,6,-,-,-,6,-,-,-,-,-,6
22,2010,2,13215,国立市,Kunitachi-shi,,-,-,-,-,-,-,-,-,-,-,-
22,2010,2,13218,福生市,Fussa-shi,,6,1,-,1,5,-,-,-,3,-,2
22,2010,2,13219,狛江市,Komae-shi,,2,-,-,-,2,-,-,-,-,-,2
22,2010,2,13220,東大和市,Higashiyamato-shi,,202,-,-,-,202,-,172,-,9,-,21
22,2010,2,13221,清瀬市,Kiyose-shi,,10,-,-,-,10,-,-,-,-,-,10
22,2010,2,13222,東久留米市,Higashikurume-shi,,1,-,-,-,1,-,-,-,-,-,1
22,2010,2,13223,武蔵村山市,Musashimurayama-shi,,172,-,-,-,172,-,78,-,-,-,94
22,2010,2,13224,多摩市,Tama-shi,,36,-,-,-,36,5,-,-,-,-,31
22,2010,2,13225,稲城市,Inagi-shi,,146,65,-,65,81,-,3,-,-,-,78
22,2010,2,13227,羽村市,Hamura-shi,,13,-,-,-,13,-,-,-,-,-,13
22,2010,2,13228,あきる野市,Akiruno-shi,,4421,-,-,-,4421,-,106,53,592,212,3458
22,2010,2,13229,西東京市,Nishitokyo-shi,,12,-,-,-,12,8,2,-,-,-,2
22,2010,1,13300,郡部,All gun,,"33,190",-,-,-,33190,76,9484,508,896,-,22226
22,2010,2,13303,瑞穂町,Mizuho-machi,,284,-,-,-,284,-,182,-,2,-,100
22,2010,2,13305,日の出町,Hinode-machi,,1920,-,-,-,1920,-,64,2,173,-,1681
22,2010,2,13307,檜原村,Hinohara-mura,,9751,-,-,-,9751,32,1214,138,61,-,8306
22,2010,2,13308,奥多摩町,Okutama-machi,,21235,-,-,-,21235,44,8024,368,660,-,12139
22,2010,1,13350,島部,All islands,,"24,970","5,805","5,786",19,19165,11,935,-,5807,1454,10958
22,2010,2,13361,大島町,Oshima-machi,,4745,-,-,-,4745,-,524,-,109,1454,2658
22,2010,2,13362,利島村,Toshima-mura,,272,-,-,-,272,-,-,-,50,-,222
22,2010,2,13363,新島村,Niijima-mura,,"1,804",19,-,19,1785,-,19,-,1473,-,293
22,2010,2,13364,神津島村,Kouzushima-mura,,1425,13,13,-,1412,-,41,-,970,-,401
22,2010,2,13381,三宅村,Miyake-mura,,4183,152,152,-,4031,-,9,-,1426,-,2596
22,2010,2,13382,御蔵島村,Mikurajima-mura,,1827,-,-,-,1827,-,13,-,1117,-,697
22,2010,2,13401,八丈町,Hachijo-machi,,3966,25,25,-,3941,-,105,-,593,-,3243
22,2010,2,13402,青ヶ島村,Aogashima-mura,,491,148,148,-,343,-,-,-,13,-,330
22,2010,2,13421,小笠原村,Ogasawara-mura,,"6,257","5,448","5,448",-,809,11,224,-,56,-,518
,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成24年）TOKYO STATISTICAL YEARBOOK ( 2012 ) 9　農林水産業 9 AGRICULTURE， FORESTRY， AND FISHERIES,,,,,,,,,,,,,,,,,
9-4  地域，所有形態別現況森林面積 （平成2年～22年） 9-4 CURRENT FOREST AREA BY TYPE OF OWNERSHIP AND DISTRICT ( 1990-2010 ),,,,,,,,,,,,,,,,,
「農林業センサス（農山村地域調査）」による。,,,,,,,,,,,,,,,,,
Data are based on the Census of Agriculture and Forestry (Survey on Agriculture and Forestry Area).,,,,,,,,,,,,,,,,,
注 1) 平成12年は緑資源公団。平成17年は緑資源機構。,,,,,,,,,,,,,,,,,
2) 三宅村は含まず。 ,,,,,,,,,,,,,,,,,
Note: 1) For 2000，Japan Green Resources Corporation. For 2005，Japan Green Resources Agency.,,,,,,,,,,,,,,,,,
2) Excluding Miyake-mura,,,,,,,,,,,,,,,,,
資料：農林水産省 「2010年世界農林業センサス」 Source: Ministry of Agriculture， Forestry and Fisheries,,,,,,,,,,,,,,,,,
地域階層(0:総数　1:区部・市部・郡部・島部　2:区市町村),,,,,,,,,,,,,,,,,
（単位　ヘクタール）（In hectare）,,,,,,,,,,,,,,,,,
