年度,Fiscal year,地域コード,項番 Item number,地域,District,総額 Total,議会費 Assemblies,総務費 General services,民生費 Social welfare,衛生費 Sanitation,労働費 Labor,農林水産業費 Agriculture， forestry and fisheries,商工費 Commerce and industry,土木費 Civil engineering works,消防費 Fire fighting,教育費 Education,災害復旧費 Disaster restoration,公債費 Debt services,諸支出金 Miscellaneous
平成24,2012,13224,22,多摩市,Tama-shi,48421,401,7189,22281,3750,295,60,522,2627,1787,6828,0,2680,0
平成24,2012,13225,23,稲城市,Inagi-shi,33492,325,2498,11435,2974,104,58,114,5849,1000,7165,0,1971,0
平成24,2012,13227,24,羽村市,Hamura-shi,19985,255,2559,8865,2129,162,31,242,1508,853,2167,0,1216,0
平成24,2012,13228,25,あきる野市,Akiruno-shi,30569,290,3174,11924,3731,370,330,285,3969,1140,2698,0,2657,0
平成24,2012,13229,26,西東京市,Nishitokyo-shi,64232,480,5815,30635,5241,380,109,274,6186,2375,6489,0,6248,0
平成22,2010,13300,,郡部,All gun,33310,456,6949,9518,2998,349,1282,702,4641,1340,3281,13,1781,-
平成23,2011,13300,,郡部,All gun,31246,586,5608,8918,3179,389,1229,931,4268,1248,3288,62,1541,-
平成24,2012,13300,,郡部,All gun,31153,504,4786,9291,3324,443,1222,687,4295,1458,3583,42,1518,0
平成24,2012,13303,1,瑞穂町,Mizuho-machi,12927,171,1957,4408,1457,126,52,69,1981,564,1703,1,438,0
平成24,2012,13305,2,日の出町,Hinode-machi,8735,157,1064,3313,855,205,188,91,1049,367,804,1,641,0
平成24,2012,13307,3,檜原村,Hinohara-mura,3475,79,826,592,344,49,347,38,411,289,386,15,99,0
平成24,2012,13308,4,奥多摩町,Okutama-machi,6016,97,940,977,668,63,636,489,853,238,690,24,340,0
平成22,2010,13350,,島部,All islands,35392,399,8167,5478,5340,443,1889,2174,3334,1093,3559,365,3047,104
平成23,2011,13350,,島部,All islands,35484,514,9106,4963,4991,512,1885,1828,3641,1395,3367,207,2979,94
平成24,2012,13350,,島部,All islands,35070,455,9198,5139,5315,476,1813,1981,2929,1563,2863,74,3175,89
平成24,2012,13361,1,大島町,Oshima-machi,8011,84,1403,1460,1813,124,367,529,664,199,559,16,791,0
平成24,2012,13362,2,利島村,Toshima-mura,1024,20,226,146,137,27,128,91,100,14,81,12,43,0
平成24,2012,13363,3,新島村,Niijima-mura,3735,55,715,514,336,67,262,269,405,412,426,0,275,0
平成24,2012,13364,4,神津島村,Kozushima-mura,2542,48,461,418,300,96,345,229,222,51,288,0,84,0
平成24,2012,13381,5,三宅村,Miyake-mura,3675,52,699,496,512,45,208,361,307,340,293,18,306,39
平成24,2012,13382,6,御蔵島村,Mikurajima-mura,1200,18,632,111,70,0,78,71,70,16,87,0,46,0
平成24,2012,13401,7,八丈町,Hachijo-machi,9317,96,3455,1346,982,117,296,216,1003,276,765,27,687,50
平成24,2012,13402,8,青ヶ島村,Aogashima-mura,1133,16,504,43,114,0,42,16,19,179,134,0,67,0
平成24,2012,13421,9,小笠原村,Ogasawara-mura,4434,66,1105,605,1050,0,86,198,139,76,231,2,876,0
,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成24年）TOKYO STATISTICAL YEARBOOK ( 2012 )　21  財政 21  PUBLIC FINANCE,,,,,,,,,,,,,,,,,,   ,
21-6  市町村普通会計決算額 (2) 歳出 (平成22～平成24年度) 21-6  SETTLEMENTS OF THE ORDINARY ACCOUNTS OF SHI， MACHI， AND MURA (2) EXPENDITURE ( Fiscal Years 2010-2012 ),,,,,,,,,,,,,,,,,,,
資料：都総務局行政部市町村課「市町村決算状況調査結果」Source: Bureau of General Affairs， TMG,,,,,,,,,,,,,,,,,,,
（単位　百万円）(In millions of yen),,,,,,,,,,,,,,,,,,,
