年次,Year,地域階層,地域コード,項番 Item number,地域,District,総数 Total／事業所数 Number of establishments,総数 Total／従業者数 Number of  employees 1),総数 Total／従業者数 Number of  employees 1) ／男 Male,総数 Total／従業者数 Number of  employees 1) ／女 Female,Ａ農業，林業・Ｂ漁業 Agriculture And Forestry And Fisheries Explanatory Notes／事業所数 Number of establishments　,Ａ農業，林業・Ｂ漁業 Agriculture And Forestry And Fisheries Explanatory Notes／従業者数 Number of employees 1),Ａ農業，林業・Ｂ漁業 Agriculture And Forestry And Fisheries Explanatory Notes／従業者数 Number of employees 1)／男 Male,Ａ農業，林業・Ｂ漁業 Agriculture And Forestry And Fisheries Explanatory Notes／従業者数 Number of employees 1)／女 Female,Ｃ鉱業，採石業，砂利採取業 Mining and quarrying of stone and gravel／事業所数 Number of establishments,Ｃ鉱業，採石業，砂利採取業 Mining and quarrying of stone and gravel／従業者数 Number of employees 1),Ｃ鉱業，採石業，砂利採取業 Mining and quarrying of stone and gravel／従業者数 Number of employees 1)／男 Male,Ｃ鉱業，採石業，砂利採取業 Mining and quarrying of stone and gravel／従業者数 Number of employees 1)／女 Female,Ｄ建設業 Construction／事業所数 Number of establishments,Ｄ建設業 Construction／従業者数 Number of employees 1),Ｄ建設業 Construction／従業者数 Number of employees 1)／男 Male,Ｄ建設業 Construction／従業者数 Number of employees 1)／女 Female,Ｅ製造業 Manufacturing／事業所数 Number of establishments,Ｅ製造業 Manufacturing／従業者数 Number of employees 1),Ｅ製造業 Manufacturing／従業者数 Number of employees 1)／男 Male,Ｅ製造業 Manufacturing／従業者数 Number of employees 1)／女 Female,Ｆ電気・ガス・熱供給・水道業 Electricity， gas， heat supply and water／事業所数 Number of establishments,Ｆ電気・ガス・熱供給・水道業 Electricity， gas， heat supply and water／従業者数 Number of employees 1),Ｆ電気・ガス・熱供給・水道業 Electricity， gas， heat supply and water／従業者数 Number of employees 1)／男 Male,Ｆ電気・ガス・熱供給・水道業 Electricity， gas， heat supply and water／従業者数 Number of employees 1)／女 Female,Ｇ情報通信業 Information and communications／事業所数 Number of establishments,Ｇ情報通信業 Information and communications／従業者数 Number of employees 1) ,Ｇ情報通信業 Information and communications／従業者数 Number of employees 1)／男 Male,Ｇ情報通信業 Information and communications／従業者数 Number of employees 1)／女 Female,Ｈ運輸業、郵便業 Transport and postal activities／事業所数 Number of establishments,Ｈ運輸業、郵便業 Transport and postal activities／従業者数 Number of employees 1),Ｈ運輸業、郵便業 Transport and postal activities／従業者数 Number of employees 1)／男 Male,Ｈ運輸業、郵便業 Transport and postal activities／従業者数 Number of employees 1)／女 Female,Ｉ卸売業，小売業 Wholesale and retail trade／事業所数 Number of establishments,Ｉ卸売業，小売業 Wholesale and retail trade／従業者数 Number of employees 1),Ｉ卸売業，小売業 Wholesale and retail trade／従業者数 Number of employees 1)／男 Male,Ｉ卸売業，小売業 Wholesale and retail trade／従業者数 Number of employees 1)／女 Female,Ｊ金融業，保険業 Finance and insurance／事業所数 Number of establishments,Ｊ金融業，保険業 Finance and insurance／従業者数 Number of employees 1),Ｊ金融業，保険業 Finance and insurance／従業者数 Number of employees 1)／男 Male,Ｊ金融業，保険業 Finance and insurance／従業者数 Number of employees 1)／女 Female,Ｋ不動産業，物品賃貸業 Real estate and goods rental and leasing／事業所数 Number of establishments,Ｋ不動産業，物品賃貸業 Real estate and goods rental and leasing／従業者数 Number of employees 1),Ｋ不動産業，物品賃貸業 Real estate and goods rental and leasing／従業者数 Number of employees 1)／男 Male,Ｋ不動産業，物品賃貸業 Real estate and goods rental and leasing／従業者数 Number of employees 1)／女 Female,Ｌ学術研究，専門・技術サービス業 Scientific research，professional and technical services／事業所数 Number of establishments,Ｌ学術研究，専門・技術サービス業 Scientific research，professional and technical services／従業者数 Number of employees 1),Ｌ学術研究，専門・技術サービス業 Scientific research，professional and technical services／従業者数 Number of employees 1)／男 Male,Ｌ学術研究，専門・技術サービス業 Scientific research，professional and technical services／従業者数 Number of employees 1)／女 Female,Ｍ宿泊業，飲食サービス業 Accommodations， eating and drinking services／事業所数 Number of establishments,Ｍ宿泊業，飲食サービス業 Accommodations， eating and drinking services／従業者数 Number of employees 1),Ｍ宿泊業，飲食サービス業 Accommodations， eating and drinking services／従業者数 Number of employees 1)／男 Male,Ｍ宿泊業，飲食サービス業 Accommodations， eating and drinking services／従業者数 Number of employees 1)／女 Female,Ｎ生活関連サービス業，娯楽業 Living-related and personal services and amusement services／事業所数 Number of establishments,Ｎ生活関連サービス業，娯楽業 Living-related and personal services and amusement services／従業者数 Number of employees 1),Ｎ生活関連サービス業，娯楽業 Living-related and personal services and amusement services／従業者数 Number of employees 1)／男 Male,Ｎ生活関連サービス業，娯楽業 Living-related and personal services and amusement services／従業者数 Number of employees 1)／女 Female,Ｏ教育，学習支援業 Education，learning support／事業所数 Number of establishments,Ｏ教育，学習支援業 Education，learning support／従業者数 Number of employees 1),Ｏ教育，学習支援業 Education，learning support／従業者数 Number of employees 1)／男 Male,Ｏ教育，学習支援業 Education，learning support／従業者数 Number of employees 1)／女 Female,Ｐ医療，福祉 Medical， health care and welfare／事業所数 Number of establishments,Ｐ医療，福祉 Medical， health care and welfare／従業者数 Number of employees 1),Ｐ医療，福祉 Medical， health care and welfare／従業者数 Number of employees 1)／男 Male,Ｐ医療，福祉 Medical， health care and welfare／従業者数 Number of employees 1)／女 Female,Ｑ複合サービス事業 Compound services／事業所数 Number of establishments,Ｑ複合サービス事業 Compound services／従業者数 Number of employees 1),Ｑ複合サービス事業 Compound services／従業者数 Number of employees 1)／男 Male,Ｑ複合サービス事業 Compound services／従業者数 Number of employees 1)／女 Female,Ｒサービス業 (他に分類されないもの) Services， n.e.c.／事業所数 Number of establishments,Ｒサービス業 (他に分類されないもの) Services， n.e.c.／従業者数 Number of employees 1),Ｒサービス業 (他に分類されないもの) Services， n.e.c.／従業者数 Number of employees 1)／男 Male (Female),Ｒサービス業 (他に分類されないもの) Services， n.e.c.／従業者数 Number of employees 1)／女 Female,Ｓ公務（他に分類されるものを除く） Government， except elsewhere classified ／事業所数 Number of establishments,Ｓ公務（他に分類されるものを除く） Government， except elsewhere classified ／従業者数 Number of employees 1),Ｓ公務（他に分類されるものを除く） Government， except elsewhere classified ／従業者数 Number of employees 1)／男 Male,Ｓ公務（他に分類されるものを除く） Government， except elsewhere classified ／従業者数 Number of employees 1)／女 Female
平成24,2012,3,13111,11,大田区,Ota-ku,30463,334046,209946,122546,19,145,116,…,1,7,6,…,2329,18117,15120,…,4933,44268,32296,…,11,733,591,…,382,13694,11151,…,1515,55795,39162,…,7044,77945,48932,…,361,5509,2635,…,3039,12628,7755,…,979,6209,4252,…,3907,27650,12266,…,2117,12552,6181,…,533,6444,3440,…,1818,25933,8669,…,87,805,444,…,1388,25612,16930,…,…,…,…,…
平成24,2012,3,13112,12,世田谷区,Setagaya-ku,24536,240038,131198,107928,35,372,240,…,2,26,20,…,1784,14638,11721,…,787,6970,4441,…,7,569,422,…,513,8208,5758,…,521,13525,12406,…,6712,61094,31233,…,305,5226,2532,…,2303,11635,7135,…,1099,6192,3799,…,3452,29498,14413,…,2515,14081,6969,…,942,20007,10699,…,2343,29631,8364,…,88,1025,499,…,1128,17341,10547,…,…,…,…,…
平成24,2012,3,13113,13,渋谷区,Shibuya-ku,23627,438942,256086,180983,9,228,108,…,2,13,9,…,746,19340,16569,…,638,15204,10140,…,10,515,423,…,1798,64612,47781,…,184,11226,9737,…,6279,94886,46943,…,423,16813,9383,…,2208,19888,12921,…,2575,25971,16310,…,3506,46654,25743,…,1878,24184,10465,…,686,20387,10084,…,1149,14933,4696,…,40,406,220,…,1496,63682,34554,…,…,…,…,…
平成24,2012,3,13114,14,中野区,Nakano-ku,12752,110322,61875,48127,4,19,15,…,1,15,11,…,891,6327,5091,…,469,3555,2260,…,5,118,76,…,420,8402,6128,…,226,4618,4113,…,2869,26861,14078,…,136,3971,2084,…,1915,6338,3762,…,776,4305,2717,…,1802,11607,5789,…,1204,5777,2939,…,410,6769,3479,…,985,11744,3419,…,33,354,161,…,606,9542,5753,…,…,…,…,…
平成24,2012,3,13115,15,杉並区,Suginami-ku,19926,160099,87322,72039,19,91,72,…,-,-,-,…,1277,10117,8188,…,507,5349,3494,…,4,491,356,…,529,6282,4241,…,364,10108,9088,…,4655,35162,18553,…,223,4790,2150,…,2856,8538,4768,…,1062,5086,3142,…,3080,18433,9058,…,1795,8675,4137,…,751,9693,4595,…,1810,22811,7102,…,56,544,236,…,938,13929,8142,…,…,…,…,…
平成24,2012,3,13116,16,豊島区,Toshima-ku,17911,252786,147059,104861,4,7,4,…,-,-,-,…,944,13734,11812,…,855,10236,6910,…,7,534,415,…,824,21056,15860,…,211,5784,5069,…,4378,50736,27796,…,395,16138,6077,…,1817,10133,6176,…,1473,12351,8602,…,2846,31430,15848,…,1421,14394,7756,…,559,14436,7760,…,1109,13752,4621,…,40,447,235,…,1028,37618,22118,…,…,…,…,…
平成24,2012,3,13117,17,北区,Kita-ku,13366,125613,75102,50110,2,4,3,…,-,-,-,…,1050,8567,7195,…,1172,13994,10209,…,6,348,295,…,170,3355,2548,…,478,14097,12604,…,3287,26529,14538,…,158,3394,1247,…,1447,4196,2320,…,557,4832,3431,…,1984,13692,5815,…,1141,5699,2792,…,318,5041,2528,…,944,13372,4056,…,43,407,180,…,609,8086,5341,…,…,…,…,…
平成24,2012,3,13118,18,荒川区,Arakawa-ku,9695,79599,46941,32302,1,12,10,…,1,5,3,…,694,5269,4366,…,2077,12208,8313,…,7,1839,1616,…,95,1677,1341,…,226,4899,4502,…,2454,19680,10091,…,92,1362,724,…,711,2783,1587,…,295,2292,1686,…,1191,7285,3116,…,691,3707,2008,…,170,2261,1125,…,588,8455,2550,…,23,200,99,…,379,5665,3804,…,…,…,…,…
平成24,2012,3,13119,19,板橋区,Itabashi-ku,18669,190303,110569,78935,10,34,23,…,1,6,5,…,1626,11906,9841,…,2227,29063,21194,…,12,473,340,…,222,3214,2269,…,809,17143,15232,…,4356,41267,22960,…,214,3231,1235,…,1555,5343,3128,…,635,3469,2251,…,2519,15878,6669,…,1637,8805,4536,…,505,9464,4954,…,1480,30800,9736,…,52,521,231,…,809,9686,5965,…,…,…,…,…
平成24,2012,3,13120,20,練馬区,Nerima-ku,20194,167060,89854,76172,20,147,104,…,-,-,-,…,2403,17501,14246,…,926,7884,4973,…,10,402,290,…,379,3163,1949,…,887,12860,11304,…,4773,39130,19591,…,248,3776,1383,…,2019,6938,4042,…,872,4260,2724,…,2250,17808,7931,…,1893,10176,4512,…,754,8450,3996,…,1869,24768,6671,…,68,663,305,…,823,9134,5833,…,…,…,…,…
平成24,2012,3,13121,21,足立区,Adachi-ku,25751,215333,122332,89622,12,123,101,…,-,-,-,…,2688,19260,16060,…,3674,25652,15799,…,8,481,329,…,154,1090,675,…,1642,25236,22156,…,6283,48915,25750,…,285,4149,1702,…,2010,7588,4544,…,646,3396,2158,…,3090,23092,8828,…,1956,10104,3752,…,476,4755,2282,…,1490,25709,6941,…,78,881,471,…,1259,14902,10784,…,…,…,…,…
平成24,2012,3,13122,22,葛飾区,Katsushika-ku,17779,127856,70009,57379,5,30,25,…,1,3,-,…,1441,9438,7770,…,3172,19263,12178,…,5,257,208,…,117,572,337,…,611,11920,10531,…,4183,29469,14537,…,196,2728,1175,…,1657,4602,2466,…,482,2392,1498,…,2176,13044,5412,…,1513,6882,3272,…,361,3297,1575,…,1123,17702,4926,…,51,503,212,…,685,5754,3887,…,…,…,…,…
平成24,2012,3,13123,23,江戸川区,Edogawa-ku,21301,177228,99265,77077,13,139,102,…,-,-,-,…,2145,16528,13667,…,2966,20508,13253,…,5,232,157,…,131,2398,1567,…,1439,16975,13911,…,4867,41210,21081,…,247,3476,1525,…,1650,6707,4051,…,532,3191,1893,…,2540,19684,7879,…,1851,8889,4320,…,456,4844,2212,…,1362,19603,5618,…,64,632,310,…,1033,12212,7719,…,…,…,…,…
平成24,2012,3,13199,24,境界未定地域,Unattached area,507,20032,11636,8324,-,-,-,…,-,-,-,…,5,100,90,…,5,265,203,…,1,103,99,…,13,3857,2002,…,10,231,227,…,175,1441,632,…,12,2875,1980,…,19,529,441,…,17,3012,2110,…,173,2877,1475,…,24,580,292,…,3,13,1,…,7,153,48,…,2,15,10,…,41,3981,2026,…,…,…,…,…
平成24,2012,1,13200,,市部,All shi,123816,1403627,755053,639472,195,1446,1145,…,13,102,82,…,12096,80965,65182,…,6981,162288,122464,…,65,3191,2730,…,2206,41639,29131,…,2140,71157,60585,…,29774,289084,137903,…,1795,39625,16174,…,11471,45661,26384,…,5662,44681,31079,…,17091,159829,67838,…,11368,71509,30227,…,5223,84494,43524,…,10713,201970,55152,…,461,5166,2625,…,6562,100820,62828,…,…,…,…,…
平成24,2012,3,13201,1,八王子市,Hachioji-shi,18384,211823,116825,93910,20,244,227,…,2,35,30,…,1852,12686,10453,…,1523,25426,17687,…,10,876,765,…,279,4179,2602,…,374,12045,10139,…,4335,44215,22365,…,262,3855,1466,…,1503,5298,3155,…,823,7177,5132,…,2375,22184,9500,…,1536,9494,4132,…,708,14342,8269,…,1545,32718,9741,…,64,604,279,…,1173,16445,10883,…,…,…,…,…
平成24,2012,3,13202,2,立川市,Tachikawa-shi,7584,112936,61244,51081,7,36,32,…,3,10,5,…,637,5631,4561,…,302,4999,3372,…,8,806,728,…,197,4938,3785,…,139,4954,4346,…,1931,21428,10737,…,215,7900,3714,…,632,4255,2574,…,411,3974,2660,…,1161,12964,5633,…,642,6503,2440,…,268,3779,1794,…,526,14895,4845,…,22,242,135,…,483,15622,9883,…,…,…,…,…
平成24,2012,3,13203,3,武蔵野市,Musashino-shi,7560,87590,46493,40781,2,12,11,…,-,-,-,…,307,2132,1662,…,147,6409,5282,…,1,215,182,…,225,3592,2596,…,63,2284,2083,…,1970,16571,6545,…,118,5173,2252,…,1051,5006,2884,…,358,3744,2723,…,1334,16637,8784,…,691,4542,2087,…,351,7226,3682,…,618,8832,2362,…,19,180,84,…,305,5035,3274,…,…,…,…,…
平成24,2012,3,13204,4,三鷹市,Mitaka-shi,5348,57640,32535,24778,8,49,38,…,1,11,10,…,482,3077,2402,…,274,6883,5641,…,2,30,28,…,129,2136,1453,…,166,4760,4290,…,1057,10260,5221,…,53,1400,642,…,908,2419,1325,…,279,2187,1558,…,611,4916,2149,…,416,1975,956,…,192,3520,1783,…,477,10138,2620,…,20,197,93,…,273,3682,2326,…,…,…,…,…
平成24,2012,3,13205,5,青梅市,Ome-shi,4600,52370,29970,22171,10,68,51,…,3,37,29,…,588,2965,2425,…,594,11724,8742,…,3,176,149,…,28,734,594,…,77,2234,1809,…,1074,12274,7197,…,52,1465,798,…,280,825,495,…,153,930,654,…,586,4077,1516,…,373,2411,1014,…,160,792,419,…,308,8994,2301,…,26,316,175,…,285,2348,1602,…,…,…,…,…
