品目階層,品目,Item,平成22年 2010／数量 Quantity,平成22年 2010／金額 Value,平成23年 2011／数量 Quantity,平成23年 2011／金額 Value,平成24年 2012／数量 Quantity,平成24年 2012／金額 Value
2,メロン類,Melons,24078,10630821,23407,10234361,23090,10063278
2,すいか類,Watermelons,44197,8863287,41824,8041505,44471,8050387
2,その他果実,Other fruits,66517,11698982,58647,10862657,58342,10616108
2,果実加工品,Processed fruits,5695,3668912,5940,3784140,4390,3087031
1,つけ物,Pickles,15414,7462646,14544,7125763,13874,6849855
1,その他食料品,Other foods,20576,4414601,19596,4006822,18246,3630739
1,鳥卵,Poultry eggs,14760,3318771,13665,3198499,13375,2879707
,,,,,,,,
東京都統計年鑑（平成24年）TOKYO STATISTICAL YEARBOOK ( 2012 ) 10　卸売市場取引 10  WHOLESALE MARKET TRANSACTIONS,,,,,,,,
10-1  品目別農産物の入荷数量 （平成22～24年） 10-1 RECEIVED AGRICULTURAL PRODUCTS BY ITEM（ 2010-2012 ）,,,,,,,,
第10-1～10-4表は， 都中央卸売市場の卸売業者が取扱ったものである。,,,,,,,,
Tables 10-1 through 10-4 show figures for transactions by wholesalers at Tokyo Metropolitan Central Wholesale Market.,,,,,,,,
資料：都中央卸売市場事業部業務課 「東京都中央卸売市場年報」 Source: Tokyo Metropolitan Central Wholesale Market,,,,,,,,
品目階層(0:総数　1:野菜・果実・つけ物・その他食料品・鳥卵　2:農産物種類別　3:品目),,,,,,,,
（単位　数量　トン， 金額　千円） (Quantity in tons， Value in thousands of yen),,,,,,,,
