年次,Year,地域階層,地域コード,地域,District,項番 Item number,消防署,Fire station,出場件数 Number of dispatches,出場件数 Number of dispatches／うち従事 of which engaged,救助人員 Persons rescued／総数 Total,救助人員 Persons rescued／重症 Severe injury,救助人員 Persons rescued／中等症 Moderate injury,救助人員 Persons rescued／軽症 Minor injury,救助人員 Persons rescued／無症 No injury,救助人員 Persons rescued／死亡 Death,誘導人員 Persons guided to safety,出場車両数 Vehicles deployed／総数 Total,出場車両数 Vehicles deployed／ポンプ車 Pumpers,出場車両数 Vehicles deployed／救助車 Rescue trucks,出場車両数 Vehicles deployed／化学車 Foam pumpers,出場車両数 Vehicles deployed／はしご車 Aerial ladders,出場車両数 Vehicles deployed／救急車 Ambulances,出場車両数 Vehicles deployed／指揮隊車 Command vans,出場車両数 Vehicles deployed／その他 Others 1),従事台数 Vehicles engaged,出場人員 Persons deployed,従事人員 Persons engaged
平成24,2012,2,13110,目黒区,Meguro-ku,18,目黒署,Meguro F. Sta.,355,275,284,48,100,103,23,10,14,1158,438,153,21,9,373,151,13,726,4844,2933
平成24,2012,2,13112,世田谷区,Setagaya-ku,19,世田谷署,Setagaya F. Sta.,529,404,464,73,155,198,19,19,-,1577,517,177,84,3,576,189,31,1015,6207,3858
平成24,2012,2,13112,世田谷区,Setagaya-ku,20,玉川署,Tamagawa F. Sta.,313,268,319,43,102,149,15,10,-,912,358,83,9,3,344,95,20,677,3559,2548
平成24,2012,2,13112,世田谷区,Setagaya-ku,21,成城署,Seijo F. Sta.,382,305,329,57,143,93,22,14,2,1071,420,105,3,1,401,137,4,684,4268,2597
平成24,2012,2,13113,渋谷区,Shibuya-ku,22,渋谷署,Shibuya F. Sta.,495,348,373,50,119,177,12,15,-,1667,613,282,3,18,543,198,10,862,6924,3386
平成24,2012,2,13104,新宿区,Shinjuku-ku,23,四谷署,Yotsuya F. Sta.,196,166,167,32,58,67,4,6,-,555,221,47,-,7,214,57,9,391,2165,1486
平成24,2012,2,13104,新宿区,Shinjuku-ku,24,牛込署,Ushigome F. Sta.,194,157,164,28,67,54,9,6,-,607,257,65,-,3,198,83,1,370,2523,1478
平成24,2012,2,13104,新宿区,Shinjuku-ku,25,新宿署,Shinjuku F. Sta.,461,328,345,59,118,110,36,22,-,1490,554,184,-,17,489,222,24,772,6284,3114
平成24,2012,2,13114,中野区,Nakano-ku,26,中野署,Nakano F. Sta.,242,192,199,38,62,76,12,11,-,699,267,85,-,10,247,89,1,436,2887,1728
平成24,2012,2,13114,中野区,Nakano-ku,27,野方署,Nogata F. Sta.,226,181,166,41,54,48,11,12,-,719,228,96,39,5,232,110,9,475,2864,1855
平成24,2012,2,13115,杉並区,Suginami-ku,28,杉並署,Suginami F. Sta.,507,414,457,80,145,203,17,12,-,1561,597,181,-,7,550,199,27,1041,6149,3953
平成24,2012,2,13115,杉並区,Suginami-ku,29,荻窪署,Ogikubo F. Sta.,370,311,344,43,118,154,16,13,3,1230,347,104,122,49,416,176,16,874,4973,3462
平成24,2012,2,13105,文京区,Bunkyo-ku,30,小石川署,Koishikawa F. Sta.,188,153,170,45,55,57,8,5,-,580,231,63,-,3,201,74,8,387,2371,1542
平成24,2012,2,13105,文京区,Bunkyo-ku,31,本郷署,Hongo F. Sta.,166,142,138,31,41,44,10,12,-,491,187,53,-,3,171,76,1,347,2037,1415
平成24,2012,2,13116,豊島区,Toshima-ku,32,豊島署,Toshima F. Sta.,272,224,212,52,89,57,8,6,-,813,310,99,-,13,283,106,2,517,3461,2147
平成24,2012,2,13116,豊島区,Toshima-ku,33,池袋署,Ikebukuro F. Sta.,254,208,208,44,77,61,13,13,1,827,325,92,1,11,275,106,17,544,3420,2165
平成24,2012,2,13117,北区,Kita-ku,34,王子署,Oji F. Sta.,254,216,219,36,93,72,13,5,-,718,261,81,8,6,259,93,10,480,2901,1866
平成24,2012,2,13117,北区,Kita-ku,35,赤羽署,Akabane F. Sta.,265,207,205,39,62,69,19,16,-,931,315,128,23,4,277,152,32,575,3969,2408
平成24,2012,2,13117,北区,Kita-ku,36,滝野川署,Takinogawa F. Sta.,121,86,77,17,28,21,7,4,-,399,156,57,1,1,123,59,2,222,1637,892
平成24,2012,2,13119,板橋区,Itabashi-ku,37,板橋署,Itabashi F. Sta.,477,396,414,76,151,150,20,17,-,1479,480,161,129,7,507,174,21,999,5856,3855
平成24,2012,2,13119,板橋区,Itabashi-ku,38,志村署,Shimura F. Sta.,507,391,419,67,132,166,22,32,2,1636,449,198,179,8,542,232,28,1000,6627,3914
平成24,2012,2,13120,練馬区,Nerima-ku,39,練馬署,Nerima F. Sta.,296,233,234,58,74,78,16,8,-,897,249,108,94,3,313,123,7,552,3582,2161
平成24,2012,2,13120,練馬区,Nerima-ku,40,光が丘署,Hikarigaoka F. Sta.,186,143,160,25,44,70,13,8,-,586,212,69,-,2,204,95,4,360,2436,1485
平成24,2012,2,13120,練馬区,Nerima-ku,41,石神井署,Shakujii F. Sta.,409,325,350,69,125,109,27,20,-,1183,452,129,9,4,408,161,20,825,4853,3332
平成24,2012,2,13106,台東区,Taito-ku,42,上野署,Ueno F. Sta.,227,194,199,47,66,72,6,8,2,746,285,90,2,3,248,109,9,530,3280,2285
平成24,2012,2,13106,台東区,Taito-ku,43,浅草署,Asakusa F. Sta.,132,108,106,19,42,30,7,8,-,429,172,47,-,6,141,54,9,299,1846,1258
平成24,2012,2,13106,台東区,Taito-ku,44,日本堤署,Nihonzutsumi F. Sta.,128,96,90,23,31,23,6,7,1,424,155,44,-,3,136,55,31,248,1817,1032
平成24,2012,2,13118,荒川区,Arakawa-ku,45,荒川署,Arakawa F. Sta.,208,178,183,45,67,54,10,7,9,658,256,67,7,5,228,86,9,473,2702,1900
平成24,2012,2,13118,荒川区,Arakawa-ku,46,尾久署,Ogu F. Sta.,99,77,73,18,25,21,6,3,-,337,124,36,14,3,106,40,14,211,1353,811
平成24,2012,2,13121,足立区,Adachi-ku,47,千住署,Senju F. Sta.,182,150,156,30,49,54,11,12,-,682,234,77,23,4,196,78,70,432,2811,1724
平成24,2012,2,13121,足立区,Adachi-ku,48,足立署,Adachi F. Sta.,518,428,425,90,129,171,12,23,1,1646,535,190,90,9,557,223,42,1081,6672,4225
平成24,2012,2,13121,足立区,Adachi-ku,49,西新井署,Nishiarai F. Sta.,344,274,309,36,101,146,11,15,2,1049,392,107,16,6,378,132,18,693,4205,2681
平成24,2012,2,13107,墨田区,Sumida-ku,50,本所署,Honjo F. Sta.,292,242,273,38,86,129,9,11,2,912,353,82,10,3,323,104,37,637,3763,2555
平成24,2012,2,13107,墨田区,Sumida-ku,51,向島署,Mukojima F. Sta.,181,142,136,24,50,51,3,8,-,527,121,53,86,2,188,65,12,342,2131,1324
平成24,2012,2,13108,江東区,Koto-ku,52,深川署,Fukagawa F. Sta.,448,382,430,67,143,179,17,24,3,1477,469,173,88,13,513,163,58,1054,5882,4135
平成24,2012,2,13108,江東区,Koto-ku,53,城東署,Joto F. Sta.,384,303,351,62,101,156,15,17,-,1322,359,157,124,54,433,171,24,851,5284,3312
平成24,2012,2,13122,葛飾区,Katsushika-ku,54,本田署,Honden F. Sta.,502,427,453,74,172,172,14,21,-,1569,485,157,128,26,537,189,47,1111,6232,4313
平成24,2012,2,13122,葛飾区,Katsushika-ku,55,金町署,Kanamachi F. Sta.,243,187,191,30,80,44,25,12,10,828,164,90,152,3,256,119,44,509,3533,2187
平成24,2012,2,13123,江戸川区,Edogawa-ku,56,江戸川署,Edogawa F. Sta.,351,294,299,53,88,124,19,15,-,1094,253,109,163,19,376,124,50,758,4382,2974
平成24,2012,2,13123,江戸川区,Edogawa-ku,57,葛西署,Kasai F. Sta.,349,292,333,39,113,139,22,20,-,1063,335,105,85,4,377,124,33,723,4274,2788
平成24,2012,2,13123,江戸川区,Edogawa-ku,58,小岩署,Koiwa F. Sta.,334,274,280,56,104,84,22,14,4,1084,348,121,70,8,362,136,39,729,4366,2843
平成24,2012,3,,消防事務受託地区,Entrusted districts,,,,7164,5961,6434,1012,2196,2697,316,213,12,20653,7441,1119,1149,66,7729,2520,629,14605,81400,56248
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成24年）TOKYO STATISTICAL YEARBOOK ( 2012 ) 20  司法・警察・消防 20  JUSTICE， POLICE， AND FIRE FIGHTING SERVICES,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-16  消防署別救助活動状況（平成21～24年） 20-16  RESCUE OPERATIONS BY FIRE STATION ( 2009-2012 ）,,,,,,,,,,,,,,,,,,,,,,,,,,,,
この表は， 区部及び消防事務受託地区で， 東京消防庁が扱った件数である。,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figures refer to the number of cases handled by the Tokyo Fire Department in the special ward (ku) area and entrusted districts.  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
注 1) その他には次のものが含まれる。照明車，指揮統制車，水難救助車，救出救助車，ヘリコプター，消防艇。,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note: 1)  ""Others"" include floodlight trucks， command and operations vehicles， water rescue vehicles， heavy vehicles for rescue， fire helicopters， and fireboats.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
資料：東京消防庁企画調整部企画課 Source: Tokyo Fire Department,,,,,,,,,,,,,,,,,,,,,,,,,,,,
地域階層(0:東京都総数　1:区部　2:区市町村　3:消防事務受託地区),,,,,,,,,,,,,,,,,,,,,,,,,,,,
