年度末,End of fiscal year,地域階層,地域コード,項番 Item number,地域,District,飲食店 Eateries／総数 Total,飲食店 Eateries／旅館・ホテル Ryokan ・ hotel,飲食店 Eateries／バー・キャバレー Bars ・ cabarets,飲食店 Eateries／一般飲食店 Restaurant,飲食店 Eateries／民生食堂 Low-cost eatery,飲食店 Eateries／すし屋 Sushi restaurant,飲食店 Eateries／そば屋 Soba restaurant,飲食店 Eateries／仕出し屋 Caterer,飲食店 Eateries／弁当屋 Bento shop,飲食店 Eateries／そうざい店 Deli,飲食店 Eateries／その他 Others,喫茶店 Cafes／店舗 Shop,喫茶店 Cafes／その他 Others,乳類販売業 Dairy product sales,食肉販売業 Processed meat sales,魚介類販売業 Seafood sales,食料品等販売業 Food sales,アイスクリーム販売業 Ice cream sales,菓子販売業 Confectionery sales,魚介類加工品販売業 Fishery products sales
平成24,2012,2,13219,17,狛江市,Komae-shi,437,1,0,305,0,15,17,17,25,28,29,5,48,93,57,49,88,250,108,131
平成24,2012,2,13220,18,東大和市,Higashiyamato-shi,626,6,8,430,0,18,30,7,46,50,31,6,67,143,76,65,120,80,106,46
平成24,2012,2,13221,19,清瀬市,Kiyose-shi,454,0,5,324,0,13,16,8,26,32,30,3,49,140,58,56,114,73,90,54
平成24,2012,2,13222,20,東久留米市,Higashikurume-shi,585,0,3,387,0,31,27,11,56,40,30,5,114,172,100,99,181,117,148,98
平成24,2012,2,13223,21,武蔵村山市,Musashimurayama-shi,461,4,1,327,0,15,22,12,31,33,16,6,93,128,67,63,124,73,104,71
平成24,2012,2,13224,22,多摩市,Tama-shi,1069,10,18,699,0,26,21,16,65,61,153,24,215,261,98,97,230,169,186,88
平成24,2012,2,13225,23,稲城市,Inagi-shi,382,0,1,269,0,6,19,8,30,23,26,12,55,113,53,52,96,61,69,32
平成24,2012,2,13227,24,羽村市,Hamura-shi,734,3,48,547,0,21,17,10,28,28,32,4,178,152,70,67,111,75,139,40
平成24,2012,2,13228,25,あきる野市,Akiruno-shi,542,16,0,371,0,18,24,12,38,38,25,10,79,130,67,57,137,111,142,28
平成24,2012,2,13229,26,西東京市,Nishitokyo-shi,1353,3,27,991,0,37,43,21,86,68,77,18,122,265,134,123,254,654,548,463
平成24,2012,1,13300,,郡部,All gun,589,50,0,390,0,12,24,8,22,37,46,7,118,160,77,72,206,221,367,71
平成24,2012,1,13500,,島部,All islands,1190,467,13,505,0,21,14,3,52,60,55,16,1,161,98,114,207,171,212,139
,,,,,,,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成24年）TOKYO STATISTICAL YEARBOOK ( 2012 )　19  医療・衛生・環境 19  MEDICAL CARE， SANITATION， AND ENVIRONMENT,,,,,,,,,,,,,,,,,,,,,,,,,,
19-8  食品衛生営業施設数 (平成20～平成24年度末) 19-8  BUSINESS FACILITIES REGULATED BY THE FOOD SANITATION ACT ( End of Fiscal Years 2008-2012 )  ,,,,,,,,,,,,,,,,,,,,,,,,,,
資料：都福祉保健局総務部総務課 「福祉・衛生統計年報」 Source: Bureau of Social Welfare and Public Health， TMG,,,,,,,,,,,,,,,,,,,,,,,,,,
地域階層（0:東京都　1:区部・市部・郡部・島部　2:区市),,,,,,,,,,,,,,,,,,,,,,,,,,
