年次,Year,地域階層,地域コード,項番 Item number,地域,District,総数 Total／事業所数 Number of establishments,総数 Total／従業者数 Number of employees,総数 Total／年間販売額 Annual sales,総数 Total／商品手持額 Value of goods in stock,卸売業 Wholesale trade／事業所数 Number of establishments,卸売業 Wholesale trade／従業者数 Number of employees,卸売業 Wholesale trade／年間販売額 Annual sales,卸売業 Wholesale trade／商品手持額 Value of goods in stock,小売業 Retail trade／事業所数 Number of establishments,小売業 Retail trade／従業者数 Number of employees,小売業 Retail trade／年間販売額 Annual sales,小売業 Retail trade／売場面積 Sales floor space (m2),小売業 Retail trade／商品手持額 Value of goods in stock
平成19,2007,2,13105,5,文京区,Bunkyo-ku,3254,32189,2490874,156940,1356,20638,2306012,140814,1898,11551,184862,119075,16126
平成19,2007,2,13106,6,台東区,Taito-ku,7812,71971,4934625,412397,4160,49832,4425246,352024,3652,22139,509379,312652,60373
平成19,2007,2,13107,7,墨田区,Sumida-ku,4583,37604,2273374,178345,2084,23088,1988362,153553,2499,14516,285012,235741,24792
平成19,2007,2,13108,8,江東区,Koto-ku,4550,52973,4663713,221678,1572,27708,4148333,183862,2978,25265,515381,408023,37816
平成19,2007,2,13109,9,品川区,Shinagawa-ku,4441,58193,6169327,313115,1545,38099,5701017,276522,2896,20094,468310,269875,36593
平成19,2007,2,13110,10,目黒区,Meguro-ku,2850,24211,1052208,82275,578,8773,779641,58070,2272,15438,272567,172632,24205
平成19,2007,2,13111,11,大田区,Ota-ku,6947,60718,5549182,142676,1903,28747,4958524,101654,5044,31971,590658,396768,41022
平成19,2007,2,13112,12,世田谷区,Setagaya-ku,6498,50004,1569968,127387,1028,11942,833824,65217,5470,38062,736143,430693,62170
平成19,2007,2,13113,13,渋谷区,Shibuya-ku,5895,74189,5890925,455765,1906,37634,4745582,348718,3989,36555,1145343,583762,107047
平成19,2007,2,13114,14,中野区,Nakano-ku,2865,19576,1186136,48111,576,5799,888829,20905,2289,13777,297307,157709,27206
平成19,2007,2,13115,15,杉並区,Suginami-ku,4764,31896,1081659,69527,797,8008,683928,32287,3967,23888,397732,276115,37240
平成19,2007,2,13116,16,豊島区,Toshima-ku,4043,39001,1954756,126520,1035,13429,1181994,69787,3008,25572,772762,472946,56733
平成19,2007,2,13117,17,北区,Kita-ku,3578,23232,976709,71517,831,7259,739630,50403,2747,15973,237078,208395,21114
平成19,2007,2,13118,18,荒川区,Arakawa-ku,2702,15894,544830,41247,832,6541,407834,31576,1870,9353,136996,118054,9671
平成19,2007,2,13119,19,板橋区,Itabashi-ku,4580,35621,1410442,75600,1144,12014,999513,47967,3436,23607,410929,351624,27633
平成19,2007,2,13120,20,練馬区,Nerima-ku,4704,36620,1092534,77796,1071,9376,608257,40524,3633,27244,484278,397224,37272
平成19,2007,2,13121,21,足立区,Adachi-ku,6503,45786,1880295,92354,1734,13879,1280519,40941,4769,31907,599776,504458,51413
平成19,2007,2,13122,22,葛飾区,Katsushika-ku,4437,28697,740336,53583,934,7225,400915,26366,3503,21472,339420,309223,27217
平成19,2007,2,13123,23,江戸川区,Edogawa-ku,4969,38000,1217896,75977,1194,10950,733434,39617,3775,27050,484462,415758,36360
平成19,2007,2,13199,24,境界未定地,Unattached land,182,2035,459902,31561,19,1089,437690,28602,163,946,22212,15084,2959
平成19,2007,1,13200,,市部,All shi,29598,257723,7520831,483831,5167,46688,3649172,142418,24431,211035,3871659,3632270,341413
平成19,2007,2,13201,1,八王子市,Hachioji-shi,4285,39184,1142466,69795,941,8628,573892,22790,3344,30556,568574,540863,47006
平成19,2007,2,13202,2,立川市,Tachikawa-shi,1760,17841,876460,44498,428,4829,581286,19184,1332,13012,295174,273043,25313
平成19,2007,2,13203,3,武蔵野市,Musashino-shi,1911,16121,560216,50908,224,1949,278740,12829,1687,14172,281475,239065,38079
平成19,2007,2,13204,4,三鷹市,Mitaka-shi,1009,8476,211172,16749,193,1716,82120,8208,816,6760,129052,92880,8541
平成19,2007,2,13205,5,青梅市,Ome-shi,1128,8337,179180,12967,176,1325,66088,3744,952,7012,113092,134605,9223
平成19,2007,2,13206,6,府中市,Fuchu-shi,1703,15558,567281,26697,374,3920,337484,9804,1329,11638,229797,219175,16893
平成19,2007,2,13207,7,昭島市,Akishima-shi,953,9502,315794,15297,199,2207,195919,5319,754,7295,119875,132362,9977
平成19,2007,2,13208,8,調布市,Chofu-shi,1645,15504,457859,26925,314,3553,261468,13381,1331,11951,196391,146588,13544
平成19,2007,2,13209,9,町田市,Machida-shi,2842,26897,809656,55255,392,3271,304816,9224,2450,23626,504840,438488,46030
平成19,2007,2,13210,10,小金井市,Koganei-shi,695,5448,100055,6582,102,908,31894,1529,593,4540,68161,72866,5052
平成19,2007,2,13211,11,小平市,Kodaira-shi,1155,9307,234813,13178,189,1653,102394,2990,966,7654,132419,103683,10187
平成19,2007,2,13212,12,日野市,Hino-shi,896,7363,182982,8627,150,1031,83910,2001,746,6332,99072,84709,6626
平成19,2007,2,13213,13,東村山市,Higashimurayama-shi,946,6971,150231,9905,149,1016,52122,3486,797,5955,98109,80543,6419
平成19,2007,2,13214,14,国分寺市,Kokubunji-shi,808,6280,154572,14330,154,1007,57022,3443,654,5273,97550,89204,10887
平成19,2007,2,13215,15,国立市,Kunitachi-shi,629,5435,187486,7996,107,1387,132451,3213,522,4048,55034,47961,4783
平成19,2007,2,13218,16,福生市,Fussa-shi,577,3725,103164,7986,78,517,46245,2090,499,3208,56919,69563,5896
平成19,2007,2,13219,17,狛江市,Komae-shi,493,3277,69063,5207,91,670,28409,2150,402,2607,40655,36786,3057
平成19,2007,2,13220,18,東大和市,Higashiyamato-shi,636,5680,124327,10319,94,957,38684,2933,542,4723,85644,87130,7386
平成19,2007,2,13221,19,清瀬市,Kiyose-shi,491,3040,54910,4984,68,376,17298,1022,423,2664,37612,40202,3962
平成19,2007,2,13222,20,東久留米市,Higashikurume-shi,684,6273,166997,8220,136,1214,71410,1936,548,5059,95587,86178,6283
平成19,2007,2,13223,21,武蔵村山市,Musashimurayama-shi,683,5942,124404,12434,120,952,53272,2407,563,4990,71132,117452,10026
平成19,2007,2,13224,22,多摩市,Tama-shi,841,9910,238644,17766,105,1054,62433,2163,736,8856,176210,166833,15603
平成19,2007,2,13225,23,稲城市,Inagi-shi,395,3764,58729,4858,65,355,9216,1112,330,3409,49513,61601,3745
平成19,2007,2,13227,24,羽村市,Hamura-shi,473,3701,125055,6275,72,523,57022,1318,401,3178,68033,55527,4957
平成19,2007,2,13228,25,あきる野市,Akiruno-shi,637,4459,82095,6183,62,391,11421,529,575,4068,70674,79207,5654
平成19,2007,2,13229,26,西東京市,Nishitokyo-shi,1323,9728,243221,19892,184,1279,112157,3609,1139,8449,131064,135756,16283
平成19,2007,1,13330,,郡部,All gun,604,4545,122533,8158,130,1172,63080,2223,474,3373,59453,91028,5934
平成19,2007,1,13350,,島部,All islands,540,2162,28950,3342,52,238,4960,454,488,1924,23990,36403,2888
,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成24年）TOKYO STATISTICAL YEARBOOK ( 2012 )　12  商業・サービス・貿易 12  COMMERCE，SERVICES，AND FOREIGN TRADE,,,,,,,,,,,,,,,,,,,
12-1  卸売業， 小売業の地域別事業所数， 従業者数， 年間販売額，売り場面積及び商品手持額 （平成9～19年） 12-1 ESTABLISHMENTS， EMPLOYEES， ANNUAL SALES，SALES FLOOR SPACES， AND COMMODITY STOCKS OF WHOLESALE AND RETAIL TRADE BY DISTRICT (1997-2007),,,,,,,,,,,,,,,,,,,
この表は， 商業統計調査 によるものであり， 東京都が集計した結果である。 調査の時点は6月1日である。（ただし， 平成11年は7月1日）,,,,,,,,,,,,,,,,,,,
Data are based on the Census of Commerce taken as of June 1 of the year stated （for 1999 as of July 1）and this result was calculated by TMG. ,,,,,,,,,,,,,,,,,,,
資料：都総務局統計部商工統計課 「商業統計調査報告（卸売・小売業）」 Source: Bureau of General Affairs， TMG,,,,,,,,,,,,,,,,,,,
地域階層 (0:東京都　1:区部・市部・郡部・島部　2:区市町村),,,,,,,,,,,,,,,,,,,
（単位　金額　百万円）(Value in millions of yen),,,,,,,,,,,,,,,,,,,
