年末（平成）,End of year,地域階層,地域コード,地域,District,総数Total,中国China,韓国・朝鮮Korea,フィリピンPhilippines,アメリカU.S.A.,インドIndia,タイThailand,ネパールNepal,イギリスU.K.,フランスFrance,ミャンマーMyanmar,その他Others
24,2012,3,13308,奥多摩町,Okutama-machi,21,5,3,4,3,-,1,-,1,-,-,4
24,2012,1,13350,島部,All islands,219,16,82,66,15,-,8,-,-,-,-,32
24,2012,2,13360,大島支庁,Oshima-shicho,58,7,11,4,3,-,6,-,-,-,-,27
24,2012,2,13380,三宅支庁,Miyake-shicho,35,2,17,15,1,-,-,-,-,-,-,-
24,2012,2,13400,八丈支庁,Hachijo-shicho,108,5,50,46,3,-,2,-,-,-,-,2
24,2012,2,13420,小笠原支庁,Ogasawara-shicho,18,2,4,1,8,-,-,-,-,-,-,3
,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成24年）TOKYO STATISTICAL YEARBOOK ( 2012 )　2  人口・世帯 2  POPULATION AND HOUSEHOLDS,,,,,,,,,,,,,,,,,
2-4 地域，国籍別外国人人口（平成20年～24年末） 2-4 FOREIGN RESIDENTS BY DISTRICT AND NATIONALITY ( End of Years 2008-2012 ),,,,,,,,,,,,,,,,,
注) 外国人人口とは，住民基本台帳法（昭和42年法律第81号）に基づく外国人数である。（平成23年以前の数値は，外国人登録法（昭和27年法律第125号）に基づいて各区市町村に登録している外国人数である。) ,,,,,,,,,,,,,,,,,
Note: Foreign residents here mean foreign nationals who are registered according to the Basic Resident Registration Act.(Data for 2011 and earlier years are the numbers of foreigners registered with municipalities according to the Alien Registration Act.),,,,,,,,,,,,,,,,,
資料：都総務局統計部人口統計課「外国人人口」Source: Bureau of General Affairs， TMG,,,,,,,,,,,,,,,,,
地域階層（0:東京都総数　1:区部・市部・郡部・島部　2:支庁　3:区市町村）,,,,,,,,,,,,,,,,,
