年月,西暦（年）,月,総合,財,財／生鮮食品を除く財,財／農水畜産物,財／農水畜産物／生鮮商品,財／農水畜産物／他の農水畜産物,財／農水畜産物／他の農水畜産物／米類,財／工業製品,財／工業製品／食料工業製品,財／工業製品／繊維製品,財／工業製品／石油製品,財／工業製品／他の工業製品,財／電気・都市ガス・水道,財／出版物,サービス,サービス/持家の帰属家賃を除くサービス,サービス/公共サービス,サービス/一般サービス,サービス/一般サービス／外食,サービス/一般サービス／民営家賃,サービス/一般サービス／民営家賃／民営家賃（木造）,サービス/一般サービス／民営家賃／民営家賃（非木造）,サービス/一般サービス／持家の帰属家賃,サービス/一般サービス／持家の帰属家賃／持家の帰属家賃（木造）,サービス/一般サービス／持家の帰属家賃／持家の帰属家賃（非木造）,サービス/一般サービス／他のサービス,耐久消費財,半耐久消費財,非耐久消費財,公共料金
前月比（％）／平成29年10月,2017,10,0.1,-0.2,0.4,-2.7,-3.1,1.4,1.4,0.4,-0.1,0.8,2.3,0.7,0,0,0.2,0.3,0.2,0.2,0.1,0,0,0.1,0,0,0,0.6,2.2,0,-0.6,0.1
前月比（％）／平成29年11月,2017,11,0.3,0.9,0.1,5.2,5.5,1,1,0.1,-0.1,0.7,3.5,-0.1,-0.4,0.8,-0.1,-0.1,-0.1,-0.1,0,0,0,0,0,0,0,-0.2,-0.3,0.4,1.2,-0.2
前月比（％）／平成29年12月,2017,12,0.3,0.7,0,4.7,5,0.3,0.3,-0.1,0.1,-1.2,1,0.1,-0.2,0.1,0,0,0.2,0,0,0,-0.1,0,-0.1,-0.2,0,0,-0.3,-0.1,1,0
前月比（％）／平成30年1月,2018,1,-0.1,0.3,-0.5,4.7,5,0.2,0.2,-0.7,0.1,-4.7,0.5,-0.2,-0.1,0.1,-0.4,-0.6,-0.2,-0.4,0.2,0,0,0,0,0,0,-1.2,-0.6,-2.9,1.2,-0.2
前月比（％）／平成30年2月,2018,2,0,-0.3,0.2,-2.6,-2.9,0.5,0.5,0.2,0.1,1,1.3,0,0.1,-0.1,0.2,0.3,0,0.3,0.1,0,0,0,0,0,0,0.8,0,0.6,-0.5,0
前月比（％）／平成30年3月,2018,3,-0.3,-0.8,0.2,-5.3,-5.8,0.6,0.6,0.2,-0.1,2.5,-0.1,-0.4,0.5,0.1,0.1,0.1,0.4,0,0.1,0.1,0,0.1,0.1,0.1,0.1,0,-1,1.7,-1.3,0.4
前月比（％）／平成30年4月,2018,4,-0.1,-0.5,0.2,-4.6,-5,0.4,0.4,0.3,0.2,1.6,0,-0.1,0.9,0,0.3,0.4,0.1,0.3,0.1,0,0,0,0,0,0,0.8,-0.5,1,-0.8,0.3
前月比（％）／平成30年5月,2018,5,0,0.1,0.1,0.4,0.5,-0.3,-0.3,-0.2,-0.2,-0.3,2.5,-0.2,1.3,0,0,0,0,0,0.1,0,0,-0.1,0,0,-0.1,0,-0.4,-0.2,0.2,0.4
前月比（％）／平成30年6月,2018,6,0,0.1,0.2,-0.7,-0.8,-0.4,-0.4,0.2,0.1,-0.4,3.8,0.2,0.5,0,-0.1,-0.1,0,-0.1,0.1,0,0,0,0,0,0.1,-0.3,0.9,-0.4,0.1,0.1
前月比寄与度,,,0,0.03,0.08,-0.05,-0.05,0,0,0.06,0.02,-0.02,0.03,0.03,0.03,0,-0.04,-0.05,-0.01,-0.04,0,0,0,0,0.01,0,0.01,-0.05,0.04,-0.03,0.02,0.02
前年同月比（％）／平成29年6月,2017,6,0.1,0.5,0.3,1.9,1.7,4.8,4.8,-0.2,0.5,0.1,7.1,-1.6,2.4,0.6,-0.2,-0.1,0.2,-0.3,-0.1,-0.5,-0.3,-0.5,-0.5,-0.2,-0.7,-0.2,-2.8,0.3,1,0.8
前年同月比（％）／平成29年7月,2017,7,0.2,0.6,0.6,0.5,0.3,2.9,2.9,0,0.7,-0.3,8.1,-1.2,4,0.4,-0.1,0,0.2,-0.2,-0.2,-0.4,-0.2,-0.5,-0.5,-0.2,-0.7,0.1,-1.9,-0.1,1.1,1.3
前年同月比（％）／平成29年8月,2017,8,0.5,1.1,1.1,1.8,1.6,4.3,4.3,0.2,0.5,1.4,9.6,-1.2,6.2,0.2,0,0.2,0.7,-0.2,-0.1,-0.4,-0.3,-0.4,-0.4,-0.2,-0.6,0,-2.1,0.7,1.7,2.3
前年同月比（％）／平成29年9月,2017,9,0.5,1.1,1.2,1.3,1.2,2.6,2.6,0,0.4,0,8.3,-0.9,7.8,0.3,0,0.2,0.9,-0.2,0,-0.4,-0.3,-0.4,-0.4,-0.2,-0.5,-0.1,-0.9,-0.2,1.7,2.9
前年同月比（％）／平成29年10月,2017,10,-0.1,-0.4,1.4,-8.2,-9,2.1,2.1,0.2,0.5,0.4,10.6,-0.8,8.1,0.3,0,0.2,1.1,-0.2,0.1,-0.2,-0.3,-0.2,-0.3,-0.2,-0.3,-0.3,0.1,-0.5,-0.4,3
前年同月比（％）／平成29年11月,2017,11,0.3,0.4,1.3,-3.1,-3.6,3.5,3.5,0.2,0.3,0.2,11.4,-0.7,7.4,1.1,0.2,0.4,1.1,-0.1,0.3,-0.2,-0.2,-0.2,-0.3,-0.2,-0.3,0.1,-0.2,-0.8,0.8,2.9
前年同月比（％）／平成29年12月,2017,12,1,2.1,1.7,4.6,4.8,3.2,3.2,0.9,0.8,1.2,9.9,0.2,6.6,1.2,0.1,0.3,1.2,-0.2,0.3,-0.2,-0.3,-0.1,-0.3,-0.4,-0.2,-0.2,0.4,0.6,2.8,2.7
前年同月比（％）／平成30年1月,2018,1,1.3,2.9,1.6,9.9,10.4,3.7,3.7,0.8,0.7,1.9,8.8,0,6,1.1,0.1,0.3,0.9,-0.1,0.4,-0.2,-0.3,-0.1,-0.3,-0.4,-0.2,0,0.5,0.9,3.7,2.4
前年同月比（％）／平成30年2月,2018,2,1.4,2.8,1.6,9.3,9.7,4,4,0.9,0.9,0.2,10.7,0.6,5.2,1,0.4,0.7,0.9,0.2,0.4,-0.1,-0.3,-0.1,-0.2,-0.4,-0.2,0.8,1.3,-0.1,3.6,2.1
前年同月比（％）／平成30年3月,2018,3,1,2,1.5,4.7,4.8,4.4,4.4,0.9,0.8,0.4,7.6,0.8,4.6,1.1,0.3,0.5,1,0.1,0.6,0,-0.2,0,-0.1,-0.3,0,0.3,1.9,0.1,2.4,2
前年同月比（％）／平成30年4月,2018,4,0.5,0.7,1,-0.6,-1,4.5,4.5,0.5,0.7,0.9,7.2,-0.3,4.2,1.2,0.3,0.5,1.3,0.1,0.7,0.1,-0.1,0.1,0,-0.3,0.1,0.1,-0.7,0.4,1,2.1
前年同月比（％）／平成30年5月,2018,5,0.4,0.6,0.8,-0.4,-0.8,4.4,4.4,0.3,0.5,0.9,11,-0.9,3.5,1,0.3,0.4,1.2,0,0.7,0,-0.1,0,-0.1,-0.3,0,-0.1,-1.8,0.4,1,1.8
前年同月比（％）／平成30年6月,2018,6,0.6,0.8,1,0,-0.2,3.2,3.2,0.4,0.1,0.8,15.7,-0.3,3.5,1,0.5,0.7,1.2,0.3,0.8,0.1,-0.1,0.1,0,-0.1,0.1,0.5,-0.8,0.3,1.1,1.8
前年同月比寄与度,,,0.6,0.32,0.38,0,-0.01,0.02,0.02,0.13,0.02,0.04,0.11,-0.04,0.17,0.01,0.28,0.27,0.14,0.14,0.04,0,0,0,0.01,-0.01,0.02,0.09,-0.04,0.02,0.34,0.31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東京の物価／平成３０年６月,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
５．東京都区部消費者物価財・サービス分類指数,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
２０１５年＝１００／(平成２７年＝１００),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
