台帳番号,全解除,年度,文書記号,種別,番号,所在地,起点（地番）,起点ｘ座標,起点ｙ座標,回転角（度分秒）,調査区画数,調査種別（土壌概況/土壌詳細/地下水代表地点/地下水対象地境界/地下水詳細）,地点種別（一部対象混合/一部対象個別/全部対象/第一種代表地点/第二種・第三種代表地点）,評価区画,採取区画,深度(m),標高(TPm),標高(APm),TCE_GAS(ppm),PCE_GAS(ppm),DCM_GAS(ppm),VC_GAS(ppm),CCl4_GAS(ppm),EDC_GAS(ppm),"1,1-DCE_GAS(ppm)","1,2-DCE_GAS(ppm)","1,1,1-TCE_GAS(ppm)","1,1,2-TCE_GAS(ppm)","1,3-DCP_GAS(ppm)",Bz_GAS(ppm),TCE_GAS(WATER）(mg/l),PCE_GAS(WATER）(mg/l),DCM_GAS(WATER）(mg/l),VC_GAS(WATER）(mg/l),CCl4_GAS(WATER）(mg/l),EDC_GAS(WATER）(mg/l),"1,1-DCE_GAS(WATER）(mg/l)","1,2-DCE_GAS(WATER）(mg/l)","1,1,1-TCE_GAS(WATER）(mg/l)","1,1,2-TCE_GAS(WATER）(mg/l)","1,3-DCP_GAS(WATER）(mg/l)",Bz_GAS(WATER）(mg/l),TCE_Elu(mg/l),PCE_Elu(mg/l),DCM_Elu(mg/l),VC_Elu(mg/l),CCl4_Elu(mg/l),EDC_Elu(mg/l),"1,1-DCE_Elu(mg/l)","1,2-DCE_Elu(mg/l)","1,1,1-TCE_Elu(mg/l)","1,1,2-TCE_Elu(mg/l)","1,3-DCP_Elu(mg/l)",Bz_Elu(mg/l),Cd_Elu(mg/l),CN_Elu(mg/l),Pb_Elu(mg/l),Cr6+_Elu(mg/l),As_Elu(mg/l),Hg_Elu(mg/l),Se_Elu(mg/l),B_Elu(mg/l),F_Elu(mg/l),有機リン_Elu(mg/l),PCB_Elu(mg/l),チウラム_Elu(mg/l),シマジン_Elu(mg/l),チオベンカルブ_Elu(mg/l),Cd_Con(mg/kg),CN_Con(mg/kg),Pb_Con(mg/kg),Cr6+_Con(mg/kg),As_Con(mg/kg),Hg_Con(mg/kg),Se_Con(mg/kg),B_Con(mg/kg),F_Con(mg/kg),TCE_Wat(mg/l),PCE_Wat(mg/l),DCM_Wat(mg/l),VC_Wat(mg/l),CCl4_Wat(mg/l),EDC_Wat(mg/l),"1,1-DCE_Wat(mg/l)","1,2-DCE_Wat(mg/l)","1,1,1-TCE_Wat(mg/l)","1,1,2-TCE_Wat(mg/l)","1,3-DCP_Wat(mg/l)",Bz_Wat(mg/l),Cd_Wat(mg/l),CN_Wat(mg/l),Pb_Wat(mg/l),Cr6+_Wat(mg/l),As_Wat(mg/l),Hg_Wat(mg/l),Se_Wat(mg/l),B_Wat(mg/l),F_Wat(mg/l),有機リン_Wat(mg/l),PCB_Wat(mg/l),チウラム_Wat(mg/l),シマジン_Wat(mg/l),チオベンカルブ_Wat(mg/l)
指-518,○,26,環改化,三,1,大田区大森西三丁目３６３番１他７筆,,,,,15,地下水詳細,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.33,0.71,,,,,0.062,95,,,,,,,適合,,,,,,適合,,,,,
指-525,○,26,環改化,三,4,新宿区下落合一丁目９４５－１,,,,,8,土壌概況,,,,,,,16,830,21,,不検出,不検出,不検出,12,不検出,不検出,不検出,不検出,,,,,,,,,,,,,適合,2.1,適合,,,,適合,適合,,,,,適合,適合,適合,適合,0.016,適合,適合,適合,適合,,,,,,適合,適合,適合,適合,適合,適合,適合,適合,適合,,,,,,,,,,,,,,,,,,,,,,,,,,
指-525,○,26,環改化,三,4,新宿区下落合一丁目９４５－１,,,,,8,土壌詳細,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,適合,2.1,適合,,,,適合,適合,,,,,,,,,0.016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
指-525,○,26,環改化,三,4,新宿区下落合一丁目９４５－１,,,,,8,地下水詳細,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,適合,適合,適合,,,,適合,適合,,,,,,,,,適合,,,,,,,,,
指-500,○,26,環改化,三,5,葛飾区四つ木三丁目９８番２７,,,,,1,土壌概況,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8,,適合,,,,,0.82,,,,,,,適合,,適合,,,,,適合,,,,,,,,,,,,,,,,,,,,,,,,,,
指-500,○,26,環改化,三,5,葛飾区四つ木三丁目９８番２７,,,,,1,土壌詳細,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8,,,,,,,0.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
指-500,○,26,環改化,三,5,葛飾区四つ木三丁目９８番２７,,,,,1,地下水詳細,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,適合,,,,,,,適合,,,,,
指-531,,26,環改化,三,21,葛飾区青戸四丁目１０７５－１他１筆,,,,,5,土壌概況,,,,,,,不検出,,,,,,不検出,不検出,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.4,,,,1.4,,,,,,,,,,適合,,,,適合,,,,,,,,,,,,,,,,,,,,,,,,,,,
指-531,,26,環改化,三,21,葛飾区青戸四丁目１０７５－１他１筆,,,,,3,土壌詳細,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180,,,,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
指-531,,26,環改化,三,21,葛飾区青戸四丁目１０７５－１他１筆,,,,,3,地下水詳細,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2100,,,,7.9,,,,,,
指-513,○,26,環改化,三,22,荒川区荒川二丁目３９－１他１筆,,,,,13,土壌概況,,,,,,,不検出,0.3,不検出,,,,不検出,0.1,,,,,適合,適合,,,,,適合,適合,,,,,適合,0.014,,,,,適合,適合,,,,,適合,適合,適合,適合,適合,適合,適合,適合,,,,適合,,,適合,適合,2000,適合,適合,適合,適合,適合,,,,,,,,,,,,,,,,,,,,,,,,,,,
指-513,○,26,環改化,三,22,荒川区荒川二丁目３９－１他１筆,,,,,9,土壌詳細,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,適合,0.014,,,,,適合,適合,,,,,,,,,,,,,,,,,,,,,2200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
指-587,,26,環改化,三,23,板橋区栄町３５番２,,,,,51,土壌概況,,,,,,,不検出,不検出,不検出,,不検出,不検出,不検出,不検出,不検出,不検出,不検出,不検出,,,,,,,,,,,,,,,,,,,,,,,,,適合,適合,適合,適合,適合,適合,適合,適合,1.6,,,,,,適合,適合,適合,適合,適合,適合,適合,適合,適合,,,,,,,,,,,,,,,,,,,,,,,,,,
指-534,○,26,環改化,三,31,足立区神明二丁目５７７－１他１７筆,,,,,78,土壌概況,,,,,,,不検出,不検出,不検出,,不検出,不検出,不検出,不検出,不検出,不検出,不検出,不検出,,,,,,,,,,,,,,,,,,,,,,,,,適合,適合,0.054,適合,0.22,適合,適合,適合,適合,適合,適合,適合,適合,適合,適合,適合,5000,適合,適合,適合,適合,適合,適合,,,,,,,,,,,,,,,,,,,,,,,,,,
指-534,○,26,環改化,三,31,足立区神明二丁目５７７－１他１７筆,,,,,20,土壌詳細,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.91,,0.88,,,,,,,,,,,,8200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
指-534,○,26,環改化,三,31,足立区神明二丁目５７７－１他１７筆,,,,,3,地下水詳細,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,適合,,適合,,,,,,,,,
指-540,〇,26,環改化,三,32,品川区東大井２丁目８０番４,,,,,4,土壌概況,,,,,,,不検出,不検出,不検出,,不検出,不検出,不検出,不検出,不検出,不検出,不検出,不検出,,,,,,,,,,,,,,,,,,,,,,,,,適合,適合,適合,2,適合,適合,適合,適合,適合,適合,適合,適合,適合,適合,適合,適合,適合,適合,適合,適合,適合,適合,適合,,,,,,,,,,,,,,,,,,,,,,,,,,
指-540,〇,26,環改化,三,32,品川区東大井２丁目８０番４,,,,,2,土壌詳細,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
指-544,,26,環改化,三,37,北区浮間５丁目３番１他３筆,,,,,259,土壌概況,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,540,41,0.11,,,3.6,5.1,,,,,,,適合,45000,920,適合,,,適合,適合,,,,,,,,,,,,,,,,,,,,,,,,,,
指-544,,26,環改化,三,37,北区浮間５丁目３番１他３筆,,,,,251,土壌詳細,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,130,62,0.37,,,適合,4.1,,,,,,,,34000,490,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
指-544,,26,環改化,三,37,北区浮間５丁目３番１他３筆,,,,,251,地下水詳細,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,適合,250,0.52,0.3,,,適合,適合,,,,,
指-554,○,26,環改化,三,38,渋谷区大山町１０５０番３５,,,,,2,土壌概況,,,,,,,不検出,0.9,,,,,不検出,不検出,不検出,,,,,,,,,,,,,,,,0.31,2.4,,,,,,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
指-554,○,26,環改化,三,38,渋谷区大山町１０５０番３５,,,,,1,土壌詳細,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.31,2.4,,,,,,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
指-554,○,26,環改化,三,38,渋谷区大山町１０５０番３５,,,,,1,地下水詳細,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.52,2.8,,,,,,2.1,,,,,,,,,,,,,,,,,,
指-546,○,26,環改化,三,40,足立区千住元町５５番４他１筆,,,,,5,土壌概況,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,適合,適合,,,,,11,,,,,,,,適合,500,,,,,適合,,,,,,,,,,,,,,,,,,,,,,,,,,,
指-546,○,26,環改化,三,40,足立区千住元町５５番４他１筆,,,,,2,土壌詳細,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
指-546,○,26,環改化,三,40,足立区千住元町５５番４他１筆,,,,,2,地下水詳細,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,適合,,,,,,
指-574,○,26,環改化,三,53,新宿区市谷砂土原町一丁目２番８５,,,,,4,土壌概況,,,,,,,不検出,不検出,不検出,,不検出,不検出,不検出,不検出,不検出,不検出,不検出,不検出,,,,,,,,,,,,,,,,,,,,,,,,,適合,適合,適合,適合,適合,適合,適合,適合,1.9,適合,,適合,適合,適合,適合,適合,適合,適合,適合,適合,適合,適合,適合,,,,,,,,,,,,,,,,,,,,,,,,,,
指-574,○,26,環改化,三,53,新宿区市谷砂土原町一丁目２番１他１筆,,,,,1,土壌詳細,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
指-574,○,26,環改化,三,53,新宿区市谷砂土原町一丁目２番１他１筆,,,,,1,地下水詳細,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,適合,,,,,
指-566,,26,環改化,三,68,足立区保木間１丁目２２番１,,,,,4,土壌概況,,,,,,,370,23000,,,,,5.2,1100,,,,,,,,,,,,,,,,,1.6,81,,,,,適合,3.5,,,,,,,,,,,,,0.88,,,,,,,,,,,,,,適合,,,,,,,,,,,,,,,,,,,,,,,,,,
指-566,,26,環改化,三,68,足立区保木間１丁目２２番１,,,,,1,土壌詳細,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6,81,,,,,適合,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
指-566,,26,環改化,三,68,足立区保木間１丁目２２番１,,,,,1,地下水詳細,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.068,2.7,,,,,適合,5.2,,,,,,,,,,,,,,,,,,
指-570,,26,環改化,三,70,文京区後楽２丁目５８番３他６筆,,,,,6,土壌概況,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,0.068,18,,,0.11,適合,4.2,,,,,,,71,2600,2000,,,適合,適合,適合,,,,,,,,,,,,,,,,,,,,,,,,,,
指-628,○,26,環改化,三,74,中野区弥生町五丁目９番他１９筆,,,,,69,土壌概況,,,,,,,,,,,,,,,,,,不検出,,,,,,,,,,,,適合,,,,,,,,,,,,,,適合,0.051,適合,,0.00082,,適合,適合,,,,,,,適合,380,適合,,適合,,適合,適合,,,,,,,,,,,,,,,,,,,,,,,,,,
指-578,○,26,環改化,三,75,港区虎ノ門二丁目１０２番１,,,,,118,土壌概況,,,,,,,,,,,,,,,,,,不検出,,,,,,,,,,,,,,,,,,,,,,,,,適合,適合,0.039,適合,適合,0.0011,適合,適合,1.6,,,,,,適合,適合,310,適合,適合,適合,適合,適合,適合,,,,,,,,,,,,,,,,,,,,,,,,,,
指-578,○,26,環改化,三,75,港区虎ノ門二丁目１０２番１,,,,,8,土壌詳細,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.039,,,0.0011,,,2.1,,,,,,,,390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
指-578,○,26,環改化,三,75,港区虎ノ門二丁目１０２番１,,,,,6,地下水詳細,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,適合,,,適合,,,適合,,,,,
指-576,,26,環改化,三,76,大田区仲六郷一丁目１１番１０,,,,,2,土壌概況,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,適合,,,,,,,,,,,,,,710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
指-576,,26,環改化,三,76,大田区仲六郷一丁目１１番１０,,,,,1,土壌詳細,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
指-584,○,26,環改化,三,78,品川区西神延二丁目５２０番４他４筆,,,,,7,土壌概況,,,,,,,不検出,不検出,,,,,不検出,不検出,,,,,,,,,,,,,,,,,,,,,,,,,,,,,適合,適合,,適合,,,,適合,,,,,,,適合,適合,,適合,,,,適合,,,,,,,,,,,,,,,,,,,,,,,,,,,
指-584,○,26,環改化,三,78,品川区西神延二丁目５２０番４他４筆,,,,,4,土壌概況,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,適合,適合,,0.065,,,,適合,,,,,,,適合,適合,,適合,,,,適合,,,,,,,,,,,,,,,,,,,,,,,,,,,
指-584,○,26,環改化,三,78,品川区西神延二丁目５２０番４他４筆,,,,,1,土壌概況,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,適合,適合,,適合,,,,適合,,,,,,,適合,適合,,適合,,,,適合,,,,,,,,,,,,,,,,,,,,,,,,,,,
指-584,○,26,環改化,三,78,品川区西神延二丁目５２０番４他４筆,,,,,1,土壌詳細,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
指-584,○,26,環改化,三,78,品川区西神延二丁目５２０番４他４筆,,,,,1,地下水詳細,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,適合,,,,,,,,,,
指-626,○,26,環改化,三,87,大田区西六郷４丁目５０番１他２筆,,,,,3,土壌概況,,,,,,,不検出,不検出,不検出,,不検出,不検出,不検出,不検出,不検出,不検出,不検出,不検出,,,,,,,,,,,,,,,,,,,,,,,,,適合,適合,0.16,適合,0.24,適合,適合,適合,適合,適合,適合,適合,適合,適合,適合,適合,1400,適合,適合,適合,適合,適合,適合,,,,,,,,,,,,,,,,,,,,,,,,,,
指-626,○,26,環改化,三,87,大田区西六郷４丁目５０番１他２筆,,,,,2,土壌詳細,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,,0.26,,,,,,,,,,,,1400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
指-626,○,26,環改化,三,87,大田区西六郷４丁目５０番１他２筆,,,,,2,地下水詳細,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,適合,,適合,,,,,,,,,
指-594,,26,環改化,三,90,荒川区荒川七丁目５番２他２筆,,,,,6,土壌概況,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,適合,,0.19,,,,9.9,,,,,,,,適合,,適合,,,,適合,,,,,,,,,,,,,,,,,,,,,,,,,,,
指-594,,26,環改化,三,90,荒川区荒川七丁目５番２他２筆,,,,,1,土壌詳細,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.19,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
指-594,,26,環改化,三,90,荒川区荒川七丁目５番２他２筆,,,,,1,地下水詳細,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,適合,,,,180,,,,,,
指-599,,26,環改化,三,91,台東区元浅草３丁目１１番９,,,,,1,土壌概況,,,,,,,0.1,,不検出,,,,不検出,不検出,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11,適合,,,,,,,,,,,,,210,適合,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
指-599,,26,環改化,三,91,台東区元浅草３丁目１１番９,,,,,1,土壌詳細,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,適合,,,,,,,,,,,,,,0.11,,,,,,,,,,,,,,210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
指-599,,26,環改化,三,91,台東区元浅草３丁目１１番９,,,,,1,地下水詳細,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,適合,,,,,,,,,,,,,,適合,,,,,,,,,,,
指-604,○,26,環改化,三,96,千代田区神田駿河台一丁目８番１３,,,,,30,土壌概況,,,,,,,不検出,不検出,不検出,,不検出,不検出,不検出,不検出,不検出,不検出,不検出,不検出,,,,,,,,,,,,,,,,,,,,,,,,,適合,適合,適合,適合,適合,0.0007,,適合,適合,,,,,,適合,適合,適合,適合,適合,適合,,適合,適合,,,,,,,,,,,,,,,,,,,,,,,,,,
指-604,○,26,環改化,三,96,千代田区神田駿河台一丁目８番１３,,,,,1,土壌詳細,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
指-604,○,26,環改化,三,96,千代田区神田駿河台一丁目８番１３,,,,,1,地下水詳細,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,適合,,,,,,,,
指-629,〇,26,環改化,三,100,大田区南六郷三丁目１２番１他７筆,,,,,141,土壌概況,,,,,,,1.8,,不検出,,0.1,,不検出,0.2,,,,不検出,,,,,,,,,,,,,,,,,,,,,,,,,適合,,適合,0.24,,適合,,適合,,,適合,,,,適合,,7900,適合,,適合,,適合,,,,,,,,,,,,,,,,,,,,,,,,,,,
指-629,〇,26,環改化,三,100,大田区南六郷三丁目１２番１他７筆,,,,,5,土壌詳細,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,適合,,,,適合,,適合,適合,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
