,曜日,日（μｇ/m3）,月（μｇ/m3）,火（μｇ/m3）,水（μｇ/m3）,木（μｇ/m3）,金（μｇ/m3）,土（μｇ/m3）
,曜日,日（μｇ/m3）,月（μｇ/m3）,火（μｇ/m3）,水（μｇ/m3）,木（μｇ/m3）,金（μｇ/m3）,土（μｇ/m3）
テトラクロロエチレン（Tetrachloroethene）,4月,0.06,0.11,0.12,0.12,0.08,0.05,0.1
テトラクロロエチレン（Tetrachloroethene）,5月,0.07,0.12,0.08,0.07,0.05,0.06,0.07
テトラクロロエチレン（Tetrachloroethene）,6月,0.07,0.13,0.07,0.07,0.07,0.09,0.09
テトラクロロエチレン（Tetrachloroethene）,7月,0.06,0.04,0.11,0.04,0.06,0.09,0.07
テトラクロロエチレン（Tetrachloroethene）,8月,0.04,0.05,0.05,0.04,0.05,0.04,0.05
テトラクロロエチレン（Tetrachloroethene）,9月,0.04,0.07,0.05,0.06,0.04,0.05,0.05
テトラクロロエチレン（Tetrachloroethene）,10月,0.05,0.18,0.09,0.09,0.1,0.11,0.06
テトラクロロエチレン（Tetrachloroethene）,11月,0.09,0.21,0.09,0.15,0.17,0.13,0.12
テトラクロロエチレン（Tetrachloroethene）,12月,0.11,0.26,0.18,0.09,0.08,0.19,0.17
テトラクロロエチレン（Tetrachloroethene）,1月,0.07,0.08,0.14,0.16,0.16,0.14,0.08
テトラクロロエチレン（Tetrachloroethene）,2月,0.15,0.11,0.05,0.06,0.07,0.06,0.09
テトラクロロエチレン（Tetrachloroethene）,3月,0.04,0.06,0.08,0.06,0.07,0.11,0.08
テトラクロロエチレン（Tetrachloroethene）,平均,0.07,0.12,0.09,0.08,0.08,0.09,0.09
,曜日,日（μｇ/m3）,月（μｇ/m3）,火（μｇ/m3）,水（μｇ/m3）,木（μｇ/m3）,金（μｇ/m3）,土（μｇ/m3）
ジクロロメタン（Dichloromethane）,4月,0.97,1.6,1.7,2,1.3,0.88,1.1
ジクロロメタン（Dichloromethane）,5月,0.63,1,1.5,1.1,1,0.88,0.78
ジクロロメタン（Dichloromethane）,6月,0.94,1.1,0.96,0.92,1.7,1.7,1.3
ジクロロメタン（Dichloromethane）,7月,0.86,0.57,1.1,0.59,0.88,1.2,0.66
ジクロロメタン（Dichloromethane）,8月,0.68,0.81,0.7,1.2,0.72,0.64,0.72
ジクロロメタン（Dichloromethane）,9月,0.68,0.85,0.84,1,0.75,0.9,0.87
ジクロロメタン（Dichloromethane）,10月,0.72,2,1.2,1.1,1.6,1.7,0.71
ジクロロメタン（Dichloromethane）,11月,0.92,1.8,1.3,2,2.3,1.9,1.5
ジクロロメタン（Dichloromethane）,12月,1.2,2.1,1.9,1.2,1.8,2.5,1.8
ジクロロメタン（Dichloromethane）,1月,0.83,1.3,1.8,1.8,2,2,1.1
ジクロロメタン（Dichloromethane）,2月,1.1,1.2,0.83,1.1,0.96,0.97,1.2
ジクロロメタン（Dichloromethane）,3月,0.61,1,1.2,1.3,0.9,1.8,1.1
ジクロロメタン（Dichloromethane）,平均,0.85,1.3,1.3,1.3,1.3,1.4,1.1
,曜日,日（μｇ/m3）,月（μｇ/m3）,火（μｇ/m3）,水（μｇ/m3）,木（μｇ/m3）,金（μｇ/m3）,土（μｇ/m3）
塩化ビニルモノマー（Vinylchloride）,4月,0.01,0.01,0.08,0.07,0.02,0.08,0.04
塩化ビニルモノマー（Vinylchloride）,5月,0.06,0.16,0.19,0.07,0.03,0.07,0.07
塩化ビニルモノマー（Vinylchloride）,6月,0.04,0.05,0.19,0.06,0.41,0.06,0.16
塩化ビニルモノマー（Vinylchloride）,7月,0.01,0.02,0.02,0.02,0.03,0.13,0.05
塩化ビニルモノマー（Vinylchloride）,8月,0.04,0.1,0.03,0.09,0.06,0.03,0.1
塩化ビニルモノマー（Vinylchloride）,9月,0.02,0.03,0.01,0.01,0.02,0.01,0.01
塩化ビニルモノマー（Vinylchloride）,10月,0.04,0.04,0.01,0.01,0.01,0.01,0.04
塩化ビニルモノマー（Vinylchloride）,11月,0.11,0.18,0.03,0.13,0.09,0.03,0.05
塩化ビニルモノマー（Vinylchloride）,12月,0.03,0.43,0.08,0.03,0.02,0.03,0.11
塩化ビニルモノマー（Vinylchloride）,1月,0.01,0.09,0.03,0.04,0.03,0.02,0.05
塩化ビニルモノマー（Vinylchloride）,2月,0.1,0.12,0.03,0.01,0.02,0.02,0.1
塩化ビニルモノマー（Vinylchloride）,3月,0.01,0.05,0.02,0.01,0.02,0.04,0.05
塩化ビニルモノマー（Vinylchloride）,平均,0.04,0.11,0.06,0.05,0.06,0.04,0.07
,曜日,日（μｇ/m3）,月（μｇ/m3）,火（μｇ/m3）,水（μｇ/m3）,木（μｇ/m3）,金（μｇ/m3）,土（μｇ/m3）
"1,3-ブタジエン（1,3-Butadiene）",4月,0.063,0.07,0.26,0.48,0.22,0.13,0.2
"1,3-ブタジエン（1,3-Butadiene）",5月,0.65,0.36,0.38,0.15,0.32,0.22,0.37
"1,3-ブタジエン（1,3-Butadiene）",6月,0.21,0.18,0.17,0.21,0.095,0.49,0.28
"1,3-ブタジエン（1,3-Butadiene）",7月,0.26,0.36,0.26,0.18,0.17,0.65,0.32
"1,3-ブタジエン（1,3-Butadiene）",8月,0.18,0.49,0.54,0.64,0.25,#N/A,0.33
"1,3-ブタジエン（1,3-Butadiene）",9月,0.15,0.28,0.071,0.093,0.35,0.19,0.067
"1,3-ブタジエン（1,3-Butadiene）",10月,0.15,0.14,0.09,0.26,0.083,0.11,0.1
"1,3-ブタジエン（1,3-Butadiene）",11月,0.17,0.2,0.089,0.22,0.18,0.13,0.24
"1,3-ブタジエン（1,3-Butadiene）",12月,0.11,0.65,0.21,0.077,0.11,0.18,0.16
"1,3-ブタジエン（1,3-Butadiene）",1月,0.097,0.17,0.14,0.38,0.18,0.25,0.12
"1,3-ブタジエン（1,3-Butadiene）",2月,0.45,0.26,0.11,0.11,0.19,0.17,0.17
"1,3-ブタジエン（1,3-Butadiene）",3月,0.45,0.15,0.35,0.23,0.31,0.23,0.09
"1,3-ブタジエン（1,3-Butadiene）",平均,0.25,0.3,0.22,0.25,0.2,0.35,0.2
,曜日,日（μｇ/m3）,月（μｇ/m3）,火（μｇ/m3）,水（μｇ/m3）,木（μｇ/m3）,金（μｇ/m3）,土（μｇ/m3）
アクリロニトリル（Acrylonitrile）,4月,0.12,0.15,1.2,0.47,0.4,0.53,0.64
アクリロニトリル（Acrylonitrile）,5月,0.86,0.73,0.77,0.92,0.73,0.47,0.86
アクリロニトリル（Acrylonitrile）,6月,0.41,0.65,0.68,0.72,0.36,0.67,0.86
アクリロニトリル（Acrylonitrile）,7月,0.32,0.46,0.2,0.13,0.17,0.59,0.4
アクリロニトリル（Acrylonitrile）,8月,0.17,1.2,0.33,0.62,0.61,0.63,0.47
アクリロニトリル（Acrylonitrile）,9月,0.27,0.52,0.06,0.18,0.33,0.15,0.07
アクリロニトリル（Acrylonitrile）,10月,0.15,0.2,0.1,0.12,0.07,0.13,0.18
アクリロニトリル（Acrylonitrile）,11月,0.21,0.36,0.1,0.29,0.35,0.11,0.11
アクリロニトリル（Acrylonitrile）,12月,0.09,0.63,0.25,0.08,0.16,0.17,0.16
アクリロニトリル（Acrylonitrile）,1月,0.05,0.15,0.11,0.35,0.23,0.12,0.09
アクリロニトリル（Acrylonitrile）,2月,0.36,0.4,0.13,0.11,0.17,0.22,0.18
アクリロニトリル（Acrylonitrile）,3月,0.09,0.24,0.14,0.1,0.33,0.28,0.11
アクリロニトリル（Acrylonitrile）,平均,0.26,0.47,0.34,0.34,0.33,0.34,0.34
,曜日,日（μｇ/m3）,月（μｇ/m3）,火（μｇ/m3）,水（μｇ/m3）,木（μｇ/m3）,金（μｇ/m3）,土（μｇ/m3）
クロロホルム（Chloroform）,4月,0.18,0.22,0.21,0.26,0.15,0.14,0.17
クロロホルム（Chloroform）,5月,0.12,0.15,0.16,0.14,0.16,0.13,0.13
クロロホルム（Chloroform）,6月,0.18,0.21,0.15,0.14,0.14,0.94,0.17
クロロホルム（Chloroform）,7月,0.16,0.13,0.17,0.19,0.24,0.38,0.14
クロロホルム（Chloroform）,8月,0.18,0.2,0.13,0.18,0.22,0.36,0.21
クロロホルム（Chloroform）,9月,0.23,0.3,0.58,0.74,0.31,0.28,0.82
クロロホルム（Chloroform）,10月,0.25,1.4,0.67,0.27,0.63,0.63,0.22
クロロホルム（Chloroform）,11月,0.33,0.88,0.46,1.1,1.4,1.3,0.35
クロロホルム（Chloroform）,12月,0.34,0.59,0.34,0.33,0.49,0.48,0.39
クロロホルム（Chloroform）,1月,0.15,0.2,0.21,0.2,0.22,0.24,0.16
クロロホルム（Chloroform）,2月,0.2,0.27,0.23,0.17,0.19,0.16,0.19
クロロホルム（Chloroform）,3月,0.11,0.13,0.16,0.13,0.12,0.17,0.14
クロロホルム（Chloroform）,平均,0.2,0.39,0.29,0.32,0.36,0.43,0.26
,曜日,日（μｇ/m3）,月（μｇ/m3）,火（μｇ/m3）,水（μｇ/m3）,木（μｇ/m3）,金（μｇ/m3）,土（μｇ/m3）
"1,2－ジクロロエタン（1,2-Dichloroethane）",4月,0.18,0.18,0.13,0.11,0.11,0.11,0.11
"1,2－ジクロロエタン（1,2-Dichloroethane）",5月,0.11,0.18,0.23,0.13,0.11,0.097,0.11
"1,2－ジクロロエタン（1,2-Dichloroethane）",6月,0.17,0.17,0.15,0.15,0.16,0.16,0.18
"1,2－ジクロロエタン（1,2-Dichloroethane）",7月,0.17,0.086,0.075,0.085,0.11,0.14,0.073
"1,2－ジクロロエタン（1,2-Dichloroethane）",8月,0.093,0.1,0.14,0.13,0.081,0.094,0.097
"1,2－ジクロロエタン（1,2-Dichloroethane）",9月,0.092,0.097,0.084,0.079,0.076,0.06,0.12
"1,2－ジクロロエタン（1,2-Dichloroethane）",10月,0.079,0.091,0.092,0.086,0.075,0.075,0.1
"1,2－ジクロロエタン（1,2-Dichloroethane）",11月,0.14,0.09,0.11,0.084,0.093,0.079,0.12
"1,2－ジクロロエタン（1,2-Dichloroethane）",12月,0.13,0.11,0.11,0.09,0.079,0.12,0.1
"1,2－ジクロロエタン（1,2-Dichloroethane）",1月,0.097,0.09,0.11,0.098,0.12,0.093,0.12
"1,2－ジクロロエタン（1,2-Dichloroethane）",2月,0.11,0.12,0.093,0.08,0.096,0.099,0.091
"1,2－ジクロロエタン（1,2-Dichloroethane）",3月,0.11,0.096,0.15,0.15,0.1,0.13,0.14
"1,2－ジクロロエタン（1,2-Dichloroethane）",平均,0.12,0.12,0.12,0.11,0.1,0.1,0.11
,曜日,日（μｇ/m3）,月（μｇ/m3）,火（μｇ/m3）,水（μｇ/m3）,木（μｇ/m3）,金（μｇ/m3）,土（μｇ/m3）
トルエン（Toluene）,4月,2,4.4,5.8,7.6,4.2,2.9,3.8
トルエン（Toluene）,5月,2.1,3.4,4.5,3.3,3.6,2.9,2.8
トルエン（Toluene）,6月,2.4,4,3.4,3.6,4,5.6,3.9
トルエン（Toluene）,7月,2.4,3.2,4.2,3.3,3.3,4.8,2.9
トルエン（Toluene）,8月,2.1,3.5,3.2,3.4,3.1,3,2.9
トルエン（Toluene）,9月,2.3,3.6,3.4,4.6,3.4,2.7,3.1
トルエン（Toluene）,10月,2.5,6.2,5.6,6,8.2,6.5,2.9
トルエン（Toluene）,11月,3.7,7.8,5.3,6.7,10,8.2,6.1
トルエン（Toluene）,12月,5,12,8.8,5.4,7.4,13,8.8
トルエン（Toluene）,1月,3.1,4.8,9.5,10,14,10,4.6
トルエン（Toluene）,2月,4.4,5.4,3.3,3.7,4,5.4,5.7
トルエン（Toluene）,3月,1.1,4.3,4,3.9,3.2,7.2,3.6
トルエン（Toluene）,平均,2.8,5.2,5.1,5.2,5.7,6,4.3
,曜日,日（μｇ/m3）,月（μｇ/m3）,火（μｇ/m3）,水（μｇ/m3）,木（μｇ/m3）,金（μｇ/m3）,土（μｇ/m3）
m＋ｐ-キシレン（m+p-Xylene）,4月,0.35,0.86,1.1,1.5,0.88,0.72,0.82
m＋ｐ-キシレン（m+p-Xylene）,5月,0.48,0.88,0.94,0.66,0.67,0.73,0.66
m＋ｐ-キシレン（m+p-Xylene）,6月,0.56,1,1.2,0.76,0.91,1.3,0.9
m＋ｐ-キシレン（m+p-Xylene）,7月,0.68,1.1,1.2,0.94,0.91,1.2,0.84
m＋ｐ-キシレン（m+p-Xylene）,8月,0.51,0.84,0.81,0.97,1,1.1,0.71
m＋ｐ-キシレン（m+p-Xylene）,9月,0.46,0.83,0.65,0.89,1.2,0.78,0.56
m＋ｐ-キシレン（m+p-Xylene）,10月,0.52,1.4,1,1.4,1.4,1.4,0.65
m＋ｐ-キシレン（m+p-Xylene）,11月,0.8,1.6,0.97,1.3,2,1.5,1.2
m＋ｐ-キシレン（m+p-Xylene）,12月,1.2,3.1,1.9,1.1,1.4,2.4,1.9
m＋ｐ-キシレン（m+p-Xylene）,1月,0.63,1.1,1.8,1.9,2,1.7,0.89
m＋ｐ-キシレン（m+p-Xylene）,2月,0.83,1.3,0.64,0.77,0.83,0.92,1
m＋ｐ-キシレン（m+p-Xylene）,3月,0.27,0.81,0.74,0.69,0.81,1.3,0.59
m＋ｐ-キシレン（m+p-Xylene）,平均,0.6,1.2,1.1,1.1,1.2,1.3,0.9
,曜日,日（μｇ/m3）,月（μｇ/m3）,火（μｇ/m3）,水（μｇ/m3）,木（μｇ/m3）,金（μｇ/m3）,土（μｇ/m3）
o-キシレン（o-Xylene）,4月,0.15,0.31,0.42,0.56,0.33,0.32,0.33
o-キシレン（o-Xylene）,5月,0.21,0.33,0.36,0.3,0.29,0.27,0.29
o-キシレン（o-Xylene）,6月,0.26,0.45,0.48,0.51,0.34,0.53,0.45
o-キシレン（o-Xylene）,7月,0.3,0.47,0.45,0.36,0.35,0.53,0.35
o-キシレン（o-Xylene）,8月,0.2,0.45,0.34,0.48,0.43,0.57,0.32
o-キシレン（o-Xylene）,9月,0.2,0.37,0.24,0.33,0.44,0.3,0.21
o-キシレン（o-Xylene）,10月,0.21,0.52,0.37,0.47,0.48,0.49,0.23
o-キシレン（o-Xylene）,11月,0.3,0.58,0.34,0.49,0.74,0.53,0.43
o-キシレン（o-Xylene）,12月,0.41,1.1,0.68,0.37,0.48,0.81,0.65
o-キシレン（o-Xylene）,1月,0.24,0.41,0.59,0.79,0.71,0.59,0.33
o-キシレン（o-Xylene）,2月,0.37,0.49,0.25,0.29,0.33,0.34,0.38
o-キシレン（o-Xylene）,3月,0.1,0.3,0.29,0.25,0.33,0.67,0.23
o-キシレン（o-Xylene）,平均,0.25,0.48,0.4,0.43,0.44,0.5,0.35
,曜日,日（μｇ/m3）,月（μｇ/m3）,火（μｇ/m3）,水（μｇ/m3）,木（μｇ/m3）,金（μｇ/m3）,土（μｇ/m3）
総キシレン（total-Xylen）,4月,0.5,1.2,1.5,2.1,1.2,1,1.2
総キシレン（total-Xylen）,5月,0.69,1.2,1.3,0.97,0.95,1,0.95
総キシレン（total-Xylen）,6月,0.82,1.5,1.7,1.3,1.3,1.8,1.4
総キシレン（total-Xylen）,7月,0.98,1.6,1.7,1.3,1.3,1.7,1.2
総キシレン（total-Xylen）,8月,0.71,1.3,1.2,1.5,1.5,1.6,1
総キシレン（total-Xylen）,9月,0.67,1.2,0.89,1.2,1.6,1.1,0.77
総キシレン（total-Xylen）,10月,0.73,1.9,1.4,1.8,1.9,1.8,0.88
総キシレン（total-Xylen）,11月,1.1,2.2,1.3,1.8,2.8,2.1,1.6
総キシレン（total-Xylen）,12月,1.6,4.1,2.6,1.5,1.9,3.2,2.6
総キシレン（total-Xylen）,1月,0.87,1.5,2.4,2.7,2.7,2.3,1.2
総キシレン（total-Xylen）,2月,1.2,1.8,0.89,1.1,1.2,1.3,1.4
総キシレン（total-Xylen）,3月,0.37,1.1,1,0.94,1.1,1.9,0.82
総キシレン（total-Xylen）,平均,0.85,1.7,1.5,1.5,1.6,1.7,1.3
,曜日,日（μｇ/m3）,月（μｇ/m3）,火（μｇ/m3）,水（μｇ/m3）,木（μｇ/m3）,金（μｇ/m3）,土（μｇ/m3）
エチルベンゼン（Ethylbenzene）,4月,0.4,1.3,1.4,2.4,1.2,1,1
エチルベンゼン（Ethylbenzene）,5月,0.51,1.2,1.3,0.95,0.98,0.98,0.85
エチルベンゼン（Ethylbenzene）,6月,0.64,1.3,1.5,1.1,1.4,1.9,1.1
エチルベンゼン（Ethylbenzene）,7月,0.63,1.3,1.5,1.1,1.2,1.6,0.94
エチルベンゼン（Ethylbenzene）,8月,0.52,0.97,1.1,1.1,1.2,1.2,0.81
エチルベンゼン（Ethylbenzene）,9月,0.49,0.93,0.85,1.2,1.5,0.83,0.66
エチルベンゼン（Ethylbenzene）,10月,0.51,1.7,1.2,1.7,1.9,1.6,0.77
エチルベンゼン（Ethylbenzene）,11月,0.83,1.9,1.3,1.8,2.6,1.9,1.4
エチルベンゼン（Ethylbenzene）,12月,1.3,3.4,2.1,1.4,1.7,3,2.4
エチルベンゼン（Ethylbenzene）,1月,0.6,1.1,2.2,2.4,2.3,2,0.95
エチルベンゼン（Ethylbenzene）,2月,0.9,1.5,0.78,0.85,0.97,1.1,1.3
エチルベンゼン（Ethylbenzene）,3月,0.26,1.1,0.93,0.99,1.1,1.7,0.74
エチルベンゼン（Ethylbenzene）,平均,0.63,1.5,1.4,1.4,1.5,1.6,1.1
,曜日,日（μｇ/m3）,月（μｇ/m3）,火（μｇ/m3）,水（μｇ/m3）,木（μｇ/m3）,金（μｇ/m3）,土（μｇ/m3）
スチレン（Styrene）,4月,0.11,0.22,0.45,0.42,0.27,0.22,0.29
スチレン（Styrene）,5月,0.26,0.4,0.42,0.27,0.29,0.28,0.34
スチレン（Styrene）,6月,0.22,0.32,0.42,0.4,0.66,0.56,0.36
スチレン（Styrene）,7月,0.26,0.49,0.44,0.3,0.32,0.32,0.29
スチレン（Styrene）,8月,0.17,0.26,0.22,0.32,0.23,0.32,0.25
スチレン（Styrene）,9月,0.18,0.26,0.12,0.18,0.35,0.2,0.13
スチレン（Styrene）,10月,0.15,0.25,0.18,0.23,0.2,0.22,0.13
スチレン（Styrene）,11月,0.15,0.32,0.17,0.28,0.33,0.26,0.21
スチレン（Styrene）,12月,0.21,0.48,0.38,0.17,0.29,0.56,0.35
スチレン（Styrene）,1月,0.15,0.25,0.43,0.43,0.51,0.35,0.21
スチレン（Styrene）,2月,0.28,0.42,0.15,0.16,0.23,0.23,0.29
スチレン（Styrene）,3月,0.12,0.21,0.24,0.17,0.24,0.35,0.17
スチレン（Styrene）,平均,0.19,0.32,0.3,0.28,0.33,0.32,0.25
,曜日,日（μｇ/m3）,月（μｇ/m3）,火（μｇ/m3）,水（μｇ/m3）,木（μｇ/m3）,金（μｇ/m3）,土（μｇ/m3）
"1,1－ジクロロエタン（1,1-Dichloroethane）",4月,0.01,0.01,0.01,0.01,0.01,0.01,0.01
"1,1－ジクロロエタン（1,1-Dichloroethane）",5月,0.01,0.01,0.01,0.01,0.01,0.01,0.01
"1,1－ジクロロエタン（1,1-Dichloroethane）",6月,0.01,0.01,0.01,0.01,0.01,0.01,0.01
"1,1－ジクロロエタン（1,1-Dichloroethane）",7月,0.01,0.01,0.01,0.01,0.01,0.01,0.01
"1,1－ジクロロエタン（1,1-Dichloroethane）",8月,0.01,0.01,0.01,0.01,0.01,0.01,0.01
"1,1－ジクロロエタン（1,1-Dichloroethane）",9月,0.01,0.01,0.01,0.01,0.01,0.01,0.01
"1,1－ジクロロエタン（1,1-Dichloroethane）",10月,0.01,0.01,0.01,0.01,0.01,0.01,0.01
"1,1－ジクロロエタン（1,1-Dichloroethane）",11月,0.01,0.01,0.01,0.01,0.01,0.01,0.01
"1,1－ジクロロエタン（1,1-Dichloroethane）",12月,0.01,0.01,0.01,0.01,0.01,0.01,0.01
"1,1－ジクロロエタン（1,1-Dichloroethane）",1月,0.01,0.01,0.01,0.01,0.01,0.01,0.01
"1,1－ジクロロエタン（1,1-Dichloroethane）",2月,0.01,0.01,0.01,0.01,0.01,0.01,0.01
"1,1－ジクロロエタン（1,1-Dichloroethane）",3月,0.01,0.01,0.02,0.01,0.01,0.01,0.01
"1,1－ジクロロエタン（1,1-Dichloroethane）",平均,0.01,0.01,0.01,0.01,0.01,0.01,0.01
,曜日,日（μｇ/m3）,月（μｇ/m3）,火（μｇ/m3）,水（μｇ/m3）,木（μｇ/m3）,金（μｇ/m3）,土（μｇ/m3）
四塩化炭素（Carbon Tetrachloride）,4月,0.55,0.52,0.51,0.54,0.52,0.54,0.54
四塩化炭素（Carbon Tetrachloride）,5月,0.45,0.47,0.47,0.47,0.46,0.44,0.45
四塩化炭素（Carbon Tetrachloride）,6月,0.43,0.42,0.43,0.43,0.43,0.43,0.43
四塩化炭素（Carbon Tetrachloride）,7月,0.42,0.43,0.43,0.42,0.42,0.48,0.43
四塩化炭素（Carbon Tetrachloride）,8月,0.43,0.45,0.42,0.44,0.43,0.42,0.44
四塩化炭素（Carbon Tetrachloride）,9月,0.41,0.41,0.4,0.41,0.41,0.4,0.4
四塩化炭素（Carbon Tetrachloride）,10月,0.41,0.41,0.41,0.41,0.4,0.41,0.42
四塩化炭素（Carbon Tetrachloride）,11月,0.39,0.4,0.38,0.39,0.39,0.38,0.38
四塩化炭素（Carbon Tetrachloride）,12月,0.43,0.48,0.43,0.41,0.42,0.43,0.43
四塩化炭素（Carbon Tetrachloride）,1月,0.45,0.46,0.45,0.45,0.45,0.45,0.45
四塩化炭素（Carbon Tetrachloride）,2月,0.44,0.44,0.43,0.43,0.44,0.44,0.45
四塩化炭素（Carbon Tetrachloride）,3月,0.44,0.44,0.44,0.44,0.44,0.45,0.44
四塩化炭素（Carbon Tetrachloride）,平均,0.44,0.44,0.43,0.44,0.43,0.44,0.44
