台帳番号,全解除,年度,文書記号,種別,番号,所在地,起点（地番）,起点ｘ座標,起点ｙ座標,回転角（度分秒）,調査区画数,調査種別（土壌概況/土壌詳細/地下水代表地点/地下水対象地境界/地下水詳細）,地点種別（一部対象混合/一部対象個別/全部対象/第一種代表地点/第二種・第三種代表地点）,評価区画,採取区画,深度(m),標高(TPm),標高(APm),TCE_GAS(ppm),PCE_GAS(ppm),DCM_GAS(ppm),VC_GAS(ppm),CCl4_GAS(ppm),EDC_GAS(ppm),"1,1-DCE_GAS(ppm)","1,2-DCE_GAS(ppm)","1,1,1-TCE_GAS(ppm)","1,1,2-TCE_GAS(ppm)","1,3-DCP_GAS(ppm)",Bz_GAS(ppm),TCE_GAS(WATER）(mg/l),PCE_GAS(WATER）(mg/l),DCM_GAS(WATER）(mg/l),VC_GAS(WATER）(mg/l),CCl4_GAS(WATER）(mg/l),EDC_GAS(WATER）(mg/l),"1,1-DCE_GAS(WATER）(mg/l)","1,2-DCE_GAS(WATER）(mg/l)","1,1,1-TCE_GAS(WATER）(mg/l)","1,1,2-TCE_GAS(WATER）(mg/l)","1,3-DCP_GAS(WATER）(mg/l)",Bz_GAS(WATER）(mg/l),TCE_Elu(mg/l),PCE_Elu(mg/l),DCM_Elu(mg/l),VC_Elu(mg/l),CCl4_Elu(mg/l),EDC_Elu(mg/l),"1,1-DCE_Elu(mg/l)","1,2-DCE_Elu(mg/l)","1,1,1-TCE_Elu(mg/l)","1,1,2-TCE_Elu(mg/l)","1,3-DCP_Elu(mg/l)",Bz_Elu(mg/l),Cd_Elu(mg/l),CN_Elu(mg/l),Pb_Elu(mg/l),Cr6+_Elu(mg/l),As_Elu(mg/l),Hg_Elu(mg/l),Se_Elu(mg/l),B_Elu(mg/l),F_Elu(mg/l),有機リン_Elu(mg/l),PCB_Elu(mg/l),チウラム_Elu(mg/l),シマジン_Elu(mg/l),チオベンカルブ_Elu(mg/l),Cd_Con(mg/kg),CN_Con(mg/kg),Pb_Con(mg/kg),Cr6+_Con(mg/kg),As_Con(mg/kg),Hg_Con(mg/kg),Se_Con(mg/kg),B_Con(mg/kg),F_Con(mg/kg),TCE_Wat(mg/l),PCE_Wat(mg/l),DCM_Wat(mg/l),VC_Wat(mg/l),CCl4_Wat(mg/l),EDC_Wat(mg/l),"1,1-DCE_Wat(mg/l)","1,2-DCE_Wat(mg/l)","1,1,1-TCE_Wat(mg/l)","1,1,2-TCE_Wat(mg/l)","1,3-DCP_Wat(mg/l)",Bz_Wat(mg/l),Cd_Wat(mg/l),CN_Wat(mg/l),Pb_Wat(mg/l),Cr6+_Wat(mg/l),As_Wat(mg/l),Hg_Wat(mg/l),Se_Wat(mg/l),B_Wat(mg/l),F_Wat(mg/l),有機リン_Wat(mg/l),PCB_Wat(mg/l),チウラム_Wat(mg/l),シマジン_Wat(mg/l),チオベンカルブ_Wat(mg/l)
指-484,○,25,環改化,三,91,品川区北品川５丁目４２０番１他３筆,,,,,45,土壌概況,,,,,,,1.16,不検出,,,,不検出,不検出,不検出,,,,,,,,,,,,,,,,,0.039,,,,,,適合,0.088,,,,,,適合,適合,適合,適合,適合,,適合,9.4,,,,,,,適合,18000,適合,適合,適合,,適合,適合,,,,,,,,,,,,,,,,,,,,,,,,,,
"指-479
指-480","○
○",25,環改化,三,94,板橋区小豆沢二丁目２３番３,,,,,8,土壌概況,,,,,,,不検出,,,,,,不検出,不検出,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,適合,適合,3.3,,,,適合,5,,,,,,,適合,適合,適合,,,,適合,適合,,,,,,,,,,,,,,,,,,,,,,,,,,
"指-479
指-480","○
○",25,環改化,三,94,板橋区小豆沢二丁目２３番３,,,,,1,土壌詳細,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,適合,,,,,適合,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"指-479
指-480","○
○",25,環改化,三,94,板橋区小豆沢二丁目２３番３,,,,,1,地下水詳細,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,適合,,,,,適合,,,,,
指-504,,25,環改化,三,98,葛飾区西新小岩三丁目２２９０番２他２筆,,,,,11,土壌概況,,,,,,,9.9,4,8.5,,,,不検出,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,適合,0.79,1.6,,,,適合,4.6,,,,,,,適合,18000,適合,,,,適合,適合,,,,,,,,,,,,,,,,,,,,,,,,,,
指-504,,25,環改化,三,98,葛飾区西新小岩三丁目２２９０番２他２筆,,,,,8,土壌詳細,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.053,0.035,適合,,,,,適合,,,,,,,1.2,1.6,,,,,7.3,,,,,,,,18000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
指-504,,25,環改化,三,98,葛飾区西新小岩三丁目２２９０番２他２筆,,,,,8,地下水詳細,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,適合,適合,,,,,,,,,,,,,適合,適合,,,,,1.2,,,,,
指-473,○,25,環改化,三,102,足立区弘道二丁目２１３０番１,,,,,5,土壌概況,,,,,,,2,,,,,,不検出,不検出,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,適合,,,,,,,,,,,,,,適合,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
指-473,○,25,環改化,三,102,足立区弘道二丁目２１３０番１,,,,,2,土壌詳細,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.062,,,,,,適合,適合,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
指-473,○,25,環改化,三,102,足立区弘道二丁目２１３０番１,,,,,2,地下水詳細,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,適合,,,,,,適合,適合,,,,,,,,,,,,,,,,,,
指-478,,25,環改化,三,106,墨田区墨田３丁目３１２番２,,,,,3,土壌概況,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,,,,,,,,,,,,,,1100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
指-478,,25,環改化,三,106,墨田区墨田３丁目３１２番２,,,,,1,土壌詳細,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,,,,,,,,,,,,,,1100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
指-478,,25,環改化,三,106,墨田区墨田３丁目３１２番２,,,,,1,地下水詳細,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,適合,,,,,,,,,,,
指-494,,25,環改化,三,107,足立区足立三丁目８３５番１６他１筆,,,,,1,土壌概況,,,,,,,不検出,,,,,,不検出,不検出,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,適合,,,,4.5,3.1,8.4,,,,,,,160,440,,,,適合,適合,15000,,,,,,,,,,,,,,,,,,,,,,,,,,
指-494,,25,環改化,三,107,足立区足立三丁目８３５番１６他１筆,,,,,1,土壌詳細,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,4.5,3.4,8.4,,,,,,,160,440,,,,,,16000,,,,,,,,,,,,,,,,,,,,,,,,,,
指-494,,25,環改化,三,107,足立区足立三丁目８３５番１６他１筆,,,,,1,地下水詳細,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,,,,,0.095,適合,1.1,,,,,
指-491,,25,環改化,三,113,江戸川区船堀５丁目１３４６番,,,,,8,土壌概況,,,,,,,不検出,不検出,0.5,,570,不検出,不検出,不検出,不検出,不検出,不検出,1.2,,,,,,,,,,,,,,,適合,,0.12,,,,,,,適合,適合,適合,適合,適合,0.062,適合,適合,適合,1.4,適合,適合,適合,適合,適合,適合,適合,適合,適合,適合,適合,適合,適合,適合,,,,,,,,,,,,,,,,,,,,,,,,,,
指-491,,25,環改化,三,113,江戸川区船堀５丁目１３４６番,,,,,3,土壌詳細,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,適合,,0.12,,,,,,,適合,,,,,0.062,,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
指-491,,25,環改化,三,113,江戸川区船堀５丁目１３４６番,,,,,3,地下水詳細,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,適合,,適合,,,,,,,適合,,,,,適合,,,,適合,,,,,
指-501,○,25,環改化,三,118,板橋区前野町４丁目４６番１４,,,,,1,土壌概況,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,適合,,,,,,,,,,,,,,280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
指-484,○,25,環改化,三,119,品川区北品川５丁目４２０番１他３筆,,,,,45,土壌概況,,,,,,,1.16,不検出,,,,不検出,不検出,不検出,,,,,,,,,,,,,,,,,0.039,,,,,,適合,0.088,,,,,,,,,,,,,9.4,,,,,,,,18000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
指-484,○,25,環改化,三,119,品川区北品川５丁目４２０番１他３筆,,,,,45,土壌詳細,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,適合,,,,,,適合,適合,,,,,,,,,,,,,3.3,,,,,,,,1900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
指-521,,25,環改化,三,122,江東区東雲一丁目１４－３他１筆,,,,,62,土壌概況,,,,,,,不検出,,不検出,,不検出,,不検出,不検出,,,,不検出,,,,,,,,,,,,,,,,,,,,,,,,,,適合,0.012,,0.025,適合,,適合,0.9,,,,,,,適合,6600,,適合,適合,,適合,適合,,,,,,,,,,,,,,,,,,,,,,,,,,
指-405,○,25,環多改,自,1,三鷹市上連雀七丁目２４７番６他１筆,,,,,2,土壌概況,,,,,,,不検出,3.9,不検出,,不検出,不検出,不検出,不検出,不検出,不検出,不検出,不検出,,,,,,,,,,,,,適合,0.86,,,,,適合,適合,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
指-405,○,25,環多改,自,1,三鷹市上連雀七丁目２４７番６他１筆,,,,,1,地下水代表地点,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,適合,0.95,,,,,適合,適合,,,,,,,,,,,,,,,,,,
指-402,○,25,環多改,自,2,調布市仙川町二丁目６番５他１筆,,,,,112,土壌概況,,,,,,,不検出,不検出,不検出,,不検出,不検出,不検出,不検出,不検出,不検出,不検出,不検出,,,,,,,,,,,,,,,,,,,,,,,,,適合,適合,適合,適合,適合,適合,適合,適合,適合,適合,適合,適合,適合,適合,適合,適合,1400,適合,適合,適合,適合,適合,適合,,,,,,,,,,,,,,,,,,,,,,,,,,
指-402,○,25,環多改,自,2,調布市仙川町二丁目６番５他１筆,,,,,4,土壌詳細,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
指-439,,25,環多改,自,3,府中市四谷五丁目２３番６２外１筆,,,,,0,土壌概況,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,0.011,0.18,0.028,,,,3.2,,,,,,,,480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
指-440,○,25,環多改,自,4,立川市泉町１４７２－３他２１筆,,,,,546,土壌概況,,,,,,,0.1,1.9,,,,,,0.2,0.1,,,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,0.088,適合,,,0.14,,4.6,,,,,,,,12000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
指-440,○,25,環多改,自,4,立川市泉町１４７２－３他２１筆,,,,,691,土壌概況,,,,,,,0.2,1.9,不検出,,不検出,不検出,不検出,0.1,0.1,不検出,不検出,0.27,,,,,,,,,,,,,,,,,,,,,,,,,適合,適合,0.044,0.08,適合,適合,0.033,適合,1.1,適合,適合,適合,適合,適合,適合,適合,2500,適合,適合,適合,適合,適合,適合,,,,,,,,,,,,,,,,,,,,,,,,,,
指-440,○,25,環多改,自,4,昭島市福島町字砂川道下１０９８－１０他１筆,,,,,68,土壌概況,,,,,,,不検出,不検出,不検出,,不検出,不検出,不検出,不検出,不検出,不検出,不検出,不検出,,,,,,,,,,,,,,,,,,,,,,,,,適合,適合,適合,適合,適合,適合,適合,適合,適合,適合,適合,適合,適合,適合,適合,適合,770,適合,適合,適合,適合,適合,適合,,,,,,,,,,,,,,,,,,,,,,,,,,
指-440,○,25,環多改,自,4,立川市泉町１４７２－３他２１筆,,,,,222,土壌概況,,,,,,,不検出,不検出,不検出,,不検出,不検出,不検出,不検出,不検出,不検出,不検出,不検出,,,,,,,,,,,,,,,,,,,,,,,,,適合,0.1,0.018,0.077,適合,適合,0.098,適合,適合,,,,,,250,適合,13000,適合,適合,適合,適合,適合,適合,,,,,,,,,,,,,,,,,,,,,,,,,,
