テナントID,所在地,特定テナント等事業者名称（会社名）,特定テナント等事業所名称（支店名等）,特定テナントが入居する事業所名称,総合評価
2112-02,千代田区大手町一丁目9番2号,ソニー生命保険株式会社,ソニー生命保険株式会社,大手町フィナンシャルシティグランキューブ・宿泊施設棟,A評価
2112-06,千代田区大手町一丁目9番1号,株式会社星野リゾート,星のや東京,大手町フィナンシャルシティグランキューブ・宿泊施設棟,A評価
2112-07,千代田区大手町一丁目9番2号,株式会社 野村総合研究所,東京本社,大手町フィナンシャルシティグランキューブ・宿泊施設棟,AAA評価
2112-08,千代田区大手町一丁目9番2号,三菱地所レジデンス株式会社,本社,大手町フィナンシャルシティグランキューブ・宿泊施設棟,AA評価
2112-09,千代田区大手町一丁目9番2号,協和キリン株式会社,本社,大手町フィナンシャルシティグランキューブ・宿泊施設棟,AAA評価
2113-01,千代田区紀尾井町１番３号,メットライフ生命保険株式会社,メットライフ生命保険株式会社,東京ガーデンテラス紀尾井町,AAA評価
2113-02,千代田区紀尾井町１番３号,ヤフー株式会社,紀尾井町オフィス,東京ガーデンテラス紀尾井町,AAA評価
2115-01,千代田区神田錦町三丁目22番地,パシフィックコンサルタンツ株式会社,パシフィックコンサルタンツ株式会社,テラススクエア,AA評価
2116-01,新宿区新宿四丁目1番6号,株式会社マイナビ,株式会社マイナビ,ＪＲ新宿ミライナタワー,AAA評価
2116-03,新宿区新宿四丁目1番6号,セイコーエプソン株式会社,セイコーエプソン株式会社,ＪＲ新宿ミライナタワー,AAA評価
2119-01,江東区有明一丁目6番7号,株式会社ファーストリテイリング,株式会社ファーストリテイリング,有明物流センター,AA評価
2122-01,中央区京橋二丁目2番1号,株式会社 明治,株式会社 明治,京橋エドグラン,A評価
2126-01,千代田区大手町一丁目１番１号,PwCあらた有限責任監査法人,東京 大手町オフィス,大手町パークビルディング,AAA評価
2126-02,千代田区大手町一丁目１番１号,株式会社アスコットジャパン,アスコット丸の内東京,大手町パークビルディング,A評価
2126-03,千代田区大手町一丁目１番１号,シティグループ証券株式会社,シティグループ証券株式会社,大手町パークビルディング,AAA評価
2126-04,千代田区大手町一丁目１番１号,アンダーソン・毛利・友常法律事務所外国法共同事業,アンダーソン・毛利・友常法律事務所外国法共同事業,大手町パークビルディング,AA評価
2127-01,港区赤坂一丁目８番１号,グラクソ・スミスクライン株式会社,グラクソ・スミスクライン株式会社,赤坂インターシティAIR,AA評価
2127-02,港区赤坂一丁目８番１号,株式会社ＮＴＴドコモ,赤坂インターシティＡＩＲ,赤坂インターシティAIR,A評価
2127-03,港区赤坂一丁目８番１号,アクセンチュア株式会社,赤坂インターシティAIR,赤坂インターシティAIR,AAA評価
2127-04,港区赤坂一丁目８番１号,スカパーJSAT株式会社,赤坂本社,赤坂インターシティAIR,AA評価
2127-06,港区赤坂一丁目８番１号,株式会社ドコモＣＳ,赤坂インターシティＡＩＲ,赤坂インターシティAIR,AA評価
2130-01,日野市旭が丘三丁目1番1号,セレスティカ・ジャパン株式会社,東京・日野サイト,三井不動産ロジスティクスパーク日野,AAA評価
2130-05,日野市旭が丘三丁目1番1号,日本無線株式会社,日本無線株式会社,三井不動産ロジスティクスパーク日野,AA評価
2130-12,日野市旭が丘三丁目1番1号,日本通運株式会社,関東甲信越ﾛｼﾞｽﾃｨｸｽﾋﾞｼﾞﾈｽﾕﾆｯﾄ多摩支店 日野事業所 営業課,三井不動産ロジスティクスパーク日野,AA評価
2141-01,江東区新砂二丁目２番８号,佐川急便株式会社,佐川東京ロジスティクスセンター,佐川東京ロジスティクスセンター,AAA評価
