,時間,1（μｇ/m3）,2（μｇ/m3）,3（μｇ/m3）,4（μｇ/m3）,5（μｇ/m3）,6（μｇ/m3）,7（μｇ/m3）,8（μｇ/m3）,9（μｇ/m3）,10（μｇ/m3）,11（μｇ/m3）,12（μｇ/m3）,13（μｇ/m3）,14（μｇ/m3）,15（μｇ/m3）,16（μｇ/m3）,17（μｇ/m3）,18（μｇ/m3）,19（μｇ/m3）,20（μｇ/m3）,21（μｇ/m3）,22（μｇ/m3）,23（μｇ/m3）,24（μｇ/m3）
ベンゼン（Benzene）,3月,0.57,0.56,0.57,0.51,0.45,0.45,0.52,0.6,0.57,0.57,0.53,0.5,0.53,0.49,0.5,0.48,0.49,0.46,0.6,0.59,0.52,0.58,0.61,0.64
ベンゼン（Benzene）,平均,0.63,0.62,0.6,0.56,0.55,0.54,0.54,0.59,0.61,0.6,0.61,0.63,0.58,0.59,0.6,0.6,0.62,0.65,0.7,0.7,0.71,0.69,0.66,0.64
,時間,1（μｇ/m3）,2（μｇ/m3）,3（μｇ/m3）,4（μｇ/m3）,5（μｇ/m3）,6（μｇ/m3）,7（μｇ/m3）,8（μｇ/m3）,9（μｇ/m3）,10（μｇ/m3）,11（μｇ/m3）,12（μｇ/m3）,13（μｇ/m3）,14（μｇ/m3）,15（μｇ/m3）,16（μｇ/m3）,17（μｇ/m3）,18（μｇ/m3）,19（μｇ/m3）,20（μｇ/m3）,21（μｇ/m3）,22（μｇ/m3）,23（μｇ/m3）,24（μｇ/m3）
トリクロロエチレン（Trichloroethene）,4月,0.48,0.63,0.56,0.69,0.88,0.66,0.62,0.6,0.68,0.81,0.75,0.68,0.48,0.42,0.54,0.61,0.48,0.48,0.47,0.37,0.35,0.33,0.39,0.43
トリクロロエチレン（Trichloroethene）,5月,0.54,0.6,0.57,0.58,0.79,0.82,0.59,0.58,0.76,1,0.82,0.55,0.44,0.42,0.4,0.41,0.54,0.4,0.39,0.37,0.39,0.46,0.42,0.51
トリクロロエチレン（Trichloroethene）,6月,0.49,0.57,0.5,0.63,0.51,0.56,0.54,0.56,0.87,1.5,1.3,0.8,0.79,0.71,0.73,0.55,0.57,0.63,0.46,0.4,0.41,0.46,0.37,0.41
トリクロロエチレン（Trichloroethene）,7月,0.35,0.39,0.51,0.47,0.42,0.45,0.47,0.46,0.58,0.64,0.74,0.7,0.72,0.47,0.54,0.56,0.57,0.63,0.42,0.4,0.4,0.38,0.37,0.37
トリクロロエチレン（Trichloroethene）,8月,0.29,0.37,0.38,0.34,0.37,0.35,0.4,0.41,0.4,0.47,0.36,0.34,0.27,0.21,0.21,0.23,0.21,0.21,0.25,0.22,0.21,0.22,0.27,0.25
トリクロロエチレン（Trichloroethene）,9月,0.49,0.57,0.52,0.54,0.51,0.51,0.52,0.63,0.79,0.94,0.95,0.91,0.85,0.61,0.61,0.55,0.5,0.53,0.38,0.38,0.35,0.33,0.39,0.47
トリクロロエチレン（Trichloroethene）,10月,0.65,0.71,0.75,0.95,1,0.75,0.79,1.1,1.1,1.8,1.9,1.5,1.5,0.88,1.2,1.2,1.1,1,1.2,0.85,0.63,0.64,0.69,0.67
トリクロロエチレン（Trichloroethene）,11月,1.3,1.1,1.1,1,0.94,0.93,0.95,1,1.3,2,1.7,1.7,1.5,1.1,1.2,1.4,1.4,1.5,1.3,2.5,1.2,1.3,1.3,1.2
トリクロロエチレン（Trichloroethene）,12月,1.3,1.3,1.3,1.2,1.3,1.2,1.1,1.1,1.6,2.4,2.1,1.5,1.5,1.2,1,0.84,0.84,0.89,0.87,1.1,0.99,1.3,1.2,1.4
トリクロロエチレン（Trichloroethene）,1月,1.2,1,1,0.76,0.72,0.66,0.64,0.83,1,1.4,1.9,1.3,1.1,1.1,1,0.79,0.88,1,1.6,1.3,0.8,0.87,0.82,0.83
トリクロロエチレン（Trichloroethene）,2月,0.51,0.5,0.59,0.56,0.53,0.58,0.56,0.65,0.85,1.1,2.2,1.1,0.87,0.69,0.53,0.38,0.37,0.4,0.52,0.34,0.38,0.36,0.43,0.53
トリクロロエチレン（Trichloroethene）,3月,0.52,0.77,0.79,0.72,0.77,0.72,0.7,0.57,0.77,1,1,1,0.76,0.5,0.5,0.38,0.38,0.31,0.34,0.43,0.38,1.6,0.38,0.39
トリクロロエチレン（Trichloroethene）,平均,0.67,0.71,0.71,0.71,0.73,0.68,0.65,0.71,0.89,1.3,1.3,1,0.89,0.69,0.71,0.66,0.65,0.67,0.7,0.72,0.54,0.69,0.58,0.62
,時間,1（μｇ/m3）,2（μｇ/m3）,3（μｇ/m3）,4（μｇ/m3）,5（μｇ/m3）,6（μｇ/m3）,7（μｇ/m3）,8（μｇ/m3）,9（μｇ/m3）,10（μｇ/m3）,11（μｇ/m3）,12（μｇ/m3）,13（μｇ/m3）,14（μｇ/m3）,15（μｇ/m3）,16（μｇ/m3）,17（μｇ/m3）,18（μｇ/m3）,19（μｇ/m3）,20（μｇ/m3）,21（μｇ/m3）,22（μｇ/m3）,23（μｇ/m3）,24（μｇ/m3）
テトラクロロエチレン（Tetrachloroethene）,4月,0.08,0.08,0.09,0.1,0.12,0.1,0.1,0.12,0.14,0.13,0.11,0.1,0.09,0.09,0.08,0.08,0.08,0.05,0.06,0.06,0.05,0.06,0.06,0.07
テトラクロロエチレン（Tetrachloroethene）,5月,0.07,0.1,0.1,0.12,0.11,0.15,0.1,0.09,0.13,0.12,0.1,0.08,0.06,0.07,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.1,0.05,0.06
テトラクロロエチレン（Tetrachloroethene）,6月,0.07,0.07,0.07,0.07,0.08,0.07,0.07,0.08,0.15,0.15,0.21,0.16,0.17,0.13,0.1,0.08,0.08,0.07,0.06,0.05,0.05,0.07,0.07,0.05
テトラクロロエチレン（Tetrachloroethene）,7月,0.05,0.11,0.07,0.06,0.06,0.06,0.06,0.09,0.09,0.13,0.17,0.09,0.1,0.09,0.09,0.08,0.1,0.07,0.07,0.09,0.07,0.07,0.06,0.05
テトラクロロエチレン（Tetrachloroethene）,8月,0.05,0.04,0.06,0.08,0.08,0.05,0.1,0.08,0.09,0.11,0.09,0.07,0.05,0.05,0.04,0.05,0.04,0.04,0.05,0.05,0.04,0.04,0.07,0.05
テトラクロロエチレン（Tetrachloroethene）,9月,0.07,0.06,0.08,0.07,0.06,0.06,0.06,0.09,0.15,0.13,0.17,0.17,0.1,0.08,0.09,0.06,0.06,0.05,0.05,0.05,0.05,0.04,0.05,0.05
テトラクロロエチレン（Tetrachloroethene）,10月,0.11,0.13,0.1,0.11,0.17,0.19,0.16,0.17,0.32,0.25,0.27,0.19,0.2,0.19,0.18,0.15,0.19,0.17,0.14,0.13,0.11,0.1,0.08,0.08
テトラクロロエチレン（Tetrachloroethene）,11月,0.18,0.22,0.22,0.22,0.32,0.24,0.16,0.12,0.25,0.26,0.23,0.23,0.17,0.14,0.13,0.12,0.12,0.12,0.13,0.13,0.13,0.17,0.16,0.15
テトラクロロエチレン（Tetrachloroethene）,12月,0.26,0.21,0.3,0.24,0.3,0.2,0.19,0.2,0.32,0.44,0.28,0.24,0.3,0.17,0.15,0.17,0.14,0.15,0.19,0.14,0.18,0.18,0.18,0.21
テトラクロロエチレン（Tetrachloroethene）,1月,0.14,0.18,0.15,0.16,0.16,0.16,0.12,0.12,0.17,0.19,0.18,0.14,0.13,0.12,0.1,0.09,0.11,0.12,0.16,0.12,0.12,0.11,0.16,0.13
テトラクロロエチレン（Tetrachloroethene）,2月,0.08,0.1,0.13,0.12,0.15,0.16,0.14,0.15,0.2,0.17,0.23,0.14,0.12,0.11,0.09,0.06,0.06,0.06,0.05,0.06,0.06,0.06,0.08,0.1
テトラクロロエチレン（Tetrachloroethene）,3月,0.09,0.08,0.1,0.09,0.09,0.13,0.1,0.08,0.15,0.1,0.09,0.11,0.08,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.05,0.05,0.06
テトラクロロエチレン（Tetrachloroethene）,平均,0.1,0.12,0.12,0.12,0.14,0.13,0.11,0.12,0.18,0.18,0.18,0.14,0.13,0.11,0.1,0.09,0.09,0.08,0.1,0.08,0.08,0.09,0.09,0.09
,時間,1（μｇ/m3）,2（μｇ/m3）,3（μｇ/m3）,4（μｇ/m3）,5（μｇ/m3）,6（μｇ/m3）,7（μｇ/m3）,8（μｇ/m3）,9（μｇ/m3）,10（μｇ/m3）,11（μｇ/m3）,12（μｇ/m3）,13（μｇ/m3）,14（μｇ/m3）,15（μｇ/m3）,16（μｇ/m3）,17（μｇ/m3）,18（μｇ/m3）,19（μｇ/m3）,20（μｇ/m3）,21（μｇ/m3）,22（μｇ/m3）,23（μｇ/m3）,24（μｇ/m3）
ジクロロメタン（Dichloromethane）,4月,0.83,0.99,1.1,1.1,0.94,0.99,0.91,0.84,0.77,0.7,0.79,1.1,1.1,1.4,1.1,1.4,1.1,1.3,1.5,1.1,1,0.79,0.74,0.96
ジクロロメタン（Dichloromethane）,5月,0.97,0.99,0.87,0.96,1,1.1,0.99,1,0.91,0.99,0.88,1.2,1.9,1.3,1.1,0.98,1,1,1.3,1.1,1.5,1.5,1.4,1.2
ジクロロメタン（Dichloromethane）,6月,0.91,1.1,1.2,1.1,1.1,1.1,0.92,0.88,0.87,1.1,1.1,1.3,1.5,1.6,1.6,1.3,1.3,1.7,1.2,1.1,1.1,1,0.93,0.91
ジクロロメタン（Dichloromethane）,7月,0.85,0.91,0.92,0.83,0.77,0.72,0.8,0.85,0.76,0.77,1,1.3,1.6,1.5,2.4,1.4,1.6,1.5,1.2,1.4,1,0.99,0.9,0.79
ジクロロメタン（Dichloromethane）,8月,0.72,0.66,0.78,0.72,0.8,0.9,0.84,0.82,0.68,0.65,0.72,0.86,0.99,0.98,0.9,0.82,0.67,0.66,0.88,0.78,0.67,0.66,0.76,0.66
ジクロロメタン（Dichloromethane）,9月,0.95,1,0.96,0.93,0.88,0.84,0.84,0.74,0.8,0.74,0.78,1.3,1.4,2.2,2.2,1.9,1.6,1.4,1.5,1.5,1.1,1.1,1.1,1.2
ジクロロメタン（Dichloromethane）,10月,1.3,1.2,1.2,1.2,1.2,1.2,1.3,1.2,1,1,1.2,1.6,2.4,2.5,3,2.5,5.5,3.1,2.6,4,2.2,2.5,1.7,1.4
ジクロロメタン（Dichloromethane）,11月,2.4,2,1.8,1.7,1.6,1.5,1.5,1.4,1.4,1.5,1.6,1.9,2.6,2.7,2.8,2.1,3.7,3.7,3.1,5.6,3.5,3.4,2.7,2.4
ジクロロメタン（Dichloromethane）,12月,2.6,2.6,2.5,2.3,2.3,2.1,1.9,1.9,1.8,1.6,1.5,2,2.4,3.2,2.6,2.9,3.2,2.7,5,3.7,4.8,3.5,2.8,3.2
ジクロロメタン（Dichloromethane）,1月,1.8,1.8,1.6,1.5,1.3,1.2,1.2,1.2,1.2,1.1,1.3,1.6,2.3,2.6,2.7,2.1,1.7,3,4.8,2.5,2.1,2,2.7,1.7
ジクロロメタン（Dichloromethane）,2月,1.1,1,1,1,0.98,1.1,1.1,1.1,1,1.5,1.5,1.4,1.4,1.3,1.5,1.2,2.4,1.9,1.9,1.1,0.99,1.1,1.1,1.1
ジクロロメタン（Dichloromethane）,3月,1,0.98,1.2,1.2,1.2,1.2,1.1,0.98,1,0.96,1.2,1.6,1.9,1.9,1.6,2,1.6,1.6,1.5,2,1.6,1.3,1.2,1
ジクロロメタン（Dichloromethane）,平均,1.3,1.3,1.3,1.2,1.2,1.2,1.1,1.1,1,1.1,1.1,1.4,1.8,1.9,2,1.7,2.1,2,2.2,2.2,1.8,1.7,1.5,1.4
,時間,1（μｇ/m3）,2（μｇ/m3）,3（μｇ/m3）,4（μｇ/m3）,5（μｇ/m3）,6（μｇ/m3）,7（μｇ/m3）,8（μｇ/m3）,9（μｇ/m3）,10（μｇ/m3）,11（μｇ/m3）,12（μｇ/m3）,13（μｇ/m3）,14（μｇ/m3）,15（μｇ/m3）,16（μｇ/m3）,17（μｇ/m3）,18（μｇ/m3）,19（μｇ/m3）,20（μｇ/m3）,21（μｇ/m3）,22（μｇ/m3）,23（μｇ/m3）,24（μｇ/m3）
塩化ビニルモノマー（Vinylchloride）,4月,0.03,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.03,0.08,0.04,0.03,0.05,0.03,0.04,0.02,0.02,0.02,0.02,0.02,0.01,0.02
塩化ビニルモノマー（Vinylchloride）,5月,0.15,0.19,0.19,0.12,0.07,0.05,0.01,0.04,0.03,0.02,0.04,0.03,0.04,0.05,0.04,0.13,0.09,0.1,0.07,0.13,0.12,0.13,0.08,0.11
塩化ビニルモノマー（Vinylchloride）,6月,0.21,0.15,0.14,0.08,0.08,0.07,0.05,0.04,0.12,0.05,0.09,0.16,0.09,0.08,0.85,0.17,0.27,0.42,0.31,0.15,4.8,0.19,0.14,0.22
塩化ビニルモノマー（Vinylchloride）,7月,0.05,0.05,0.02,0.03,0.04,0.02,0.02,0.04,0.03,0.02,0.02,0.05,0.03,0.03,0.03,0.16,0.5,0.08,0.08,0.04,0.03,0.06,0.04,0.03
塩化ビニルモノマー（Vinylchloride）,8月,0.07,0.1,0.1,0.06,0.07,0.11,0.04,0.03,0.03,0.03,0.07,0.04,0.02,0.03,0.04,0.08,0.13,0.11,0.09,0.09,0.08,0.04,0.12,0.07
塩化ビニルモノマー（Vinylchloride）,9月,0.02,0.01,0.02,0.02,0.02,0.01,0.02,0.01,0.01,0.02,0.03,0.04,0.02,0.02,0.01,0.02,0.02,0.02,0.07,0.02,0.03,0.01,0.02,0.02
塩化ビニルモノマー（Vinylchloride）,10月,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.04,0.01,0.01,0.02,0.03,0.06,0.03,0.02,0.02,0.01,0.01
塩化ビニルモノマー（Vinylchloride）,11月,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.07,0.07,0.06,0.07,0.11,0.04,0.06,0.09,0.09,0.03,0.02,0.01,0.02,0.02
塩化ビニルモノマー（Vinylchloride）,12月,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.05,0.03,0.03,0.08,0.07,0.04,0.04,0.04,0.05,0.02,0.02
塩化ビニルモノマー（Vinylchloride）,1月,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.04,0.02,0.03,0.02,0.02,0.02,0.02,0.03,0.02,0.02,0.02,0.02,0.02,0.02
塩化ビニルモノマー（Vinylchloride）,2月,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.03,0.04,0.09,0.05,0.09,0.06,0.08,0.13,0.06,0.02,0.02,0.04,0.06,0.03,0.03
塩化ビニルモノマー（Vinylchloride）,3月,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.05,0.04,0.03,0.03,0.02,0.03,0.02,0.02,0.02,0.03,0.02,0.03
塩化ビニルモノマー（Vinylchloride）,平均,0.05,0.05,0.05,0.03,0.03,0.03,0.02,0.02,0.03,0.02,0.04,0.05,0.04,0.05,0.11,0.07,0.12,0.09,0.1,0.05,0.44,0.05,0.04,0.05
,時間,1（μｇ/m3）,2（μｇ/m3）,3（μｇ/m3）,4（μｇ/m3）,5（μｇ/m3）,6（μｇ/m3）,7（μｇ/m3）,8（μｇ/m3）,9（μｇ/m3）,10（μｇ/m3）,11（μｇ/m3）,12（μｇ/m3）,13（μｇ/m3）,14（μｇ/m3）,15（μｇ/m3）,16（μｇ/m3）,17（μｇ/m3）,18（μｇ/m3）,19（μｇ/m3）,20（μｇ/m3）,21（μｇ/m3）,22（μｇ/m3）,23（μｇ/m3）,24（μｇ/m3）
"1,3-ブタジエン（1,3-Butadiene）",4月,0.041,0.038,0.033,0.032,0.035,0.038,0.038,0.036,0.035,0.033,0.041,0.046,0.032,0.043,0.036,0.044,0.057,0.058,0.057,0.058,0.064,0.066,0.061,0.047
"1,3-ブタジエン（1,3-Butadiene）",5月,0.21,0.19,0.14,0.085,0.1,0.11,0.079,0.11,0.083,0.061,0.053,0.057,0.045,0.09,0.074,0.086,7.28,0.21,0.23,0.23,0.24,0.24,0.24,0.17
"1,3-ブタジエン（1,3-Butadiene）",6月,0.15,0.15,0.088,0.11,0.09,0.099,0.09,0.069,0.066,0.09,0.062,0.055,0.045,0.061,0.089,0.08,0.11,0.19,0.21,0.32,0.22,0.17,0.12,0.13
"1,3-ブタジエン（1,3-Butadiene）",7月,0.15,0.13,0.14,0.19,0.11,0.27,0.1,0.1,0.26,0.15,0.14,0.088,0.16,0.29,0.15,0.096,0.12,0.15,0.47,0.2,0.21,0.17,0.14,0.29
"1,3-ブタジエン（1,3-Butadiene）",8月,1.14,0.92,0.54,0.78,0.75,0.47,0.26,0.14,0.095,0.086,0.14,0.087,0.029,0.57,0.46,0.46,0.74,1.2,1.8,1.48,1.97,0.37,1.39,0.52
"1,3-ブタジエン（1,3-Butadiene）",9月,0.065,0.06,0.083,0.059,0.064,0.051,0.051,0.056,0.06,0.037,0.036,0.031,0.028,0.025,0.049,0.057,0.067,0.059,0.085,0.079,0.083,0.065,0.075,0.077
"1,3-ブタジエン（1,3-Butadiene）",10月,0.047,0.045,0.035,0.033,0.035,0.04,0.045,0.051,0.047,0.047,0.039,0.036,0.033,0.031,0.034,0.034,0.042,0.052,0.076,0.078,0.088,0.071,0.064,0.063
"1,3-ブタジエン（1,3-Butadiene）",11月,0.072,0.066,0.058,0.053,0.052,0.045,0.05,0.074,0.063,0.067,0.053,0.063,0.063,0.066,0.058,0.079,0.077,0.12,0.12,0.19,0.13,0.13,0.14,0.11
"1,3-ブタジエン（1,3-Butadiene）",12月,0.13,0.12,0.1,0.084,0.07,0.066,0.073,0.089,0.091,0.076,0.068,0.054,0.047,0.042,0.046,0.058,0.071,0.11,0.13,0.12,0.14,0.18,0.13,0.13
"1,3-ブタジエン（1,3-Butadiene）",1月,0.084,0.066,0.06,0.052,0.043,0.049,0.052,0.069,0.081,0.065,0.077,0.059,0.053,0.046,0.043,0.053,0.057,0.074,0.11,0.1,0.088,0.079,0.083,0.083
"1,3-ブタジエン（1,3-Butadiene）",2月,0.058,0.047,0.04,0.039,0.036,0.038,0.049,0.064,0.077,0.13,0.074,0.066,0.052,0.068,0.063,0.053,0.058,1.21,0.084,0.074,0.11,0.22,0.13,0.078
"1,3-ブタジエン（1,3-Butadiene）",3月,0.066,0.047,0.071,0.058,0.043,0.032,0.057,0.06,0.056,0.058,0.049,0.039,0.039,0.03,0.032,0.041,0.04,0.041,0.068,0.053,0.051,0.063,0.073,0.1
"1,3-ブタジエン（1,3-Butadiene）",平均,0.18,0.16,0.12,0.13,0.12,0.11,0.079,0.077,0.084,0.075,0.07,0.057,0.052,0.11,0.094,0.095,0.73,0.29,0.29,0.25,0.28,0.15,0.22,0.15
,時間,1（μｇ/m3）,2（μｇ/m3）,3（μｇ/m3）,4（μｇ/m3）,5（μｇ/m3）,6（μｇ/m3）,7（μｇ/m3）,8（μｇ/m3）,9（μｇ/m3）,10（μｇ/m3）,11（μｇ/m3）,12（μｇ/m3）,13（μｇ/m3）,14（μｇ/m3）,15（μｇ/m3）,16（μｇ/m3）,17（μｇ/m3）,18（μｇ/m3）,19（μｇ/m3）,20（μｇ/m3）,21（μｇ/m3）,22（μｇ/m3）,23（μｇ/m3）,24（μｇ/m3）
アクリロニトリル（Acrylonitrile）,4月,0.04,0.04,0.06,0.06,0.05,0.04,0.03,0.03,0.03,0.04,0.13,0.2,0.11,0.13,0.24,0.15,0.16,0.11,0.12,0.08,0.13,0.08,0.07,0.06
アクリロニトリル（Acrylonitrile）,5月,0.62,0.42,0.31,0.47,0.43,0.45,0.12,0.29,0.49,0.35,0.41,0.44,0.3,0.34,0.27,0.46,0.59,0.78,0.68,0.62,0.82,0.69,0.5,0.36
アクリロニトリル（Acrylonitrile）,6月,0.32,0.31,0.31,0.21,0.18,0.18,0.23,0.14,0.23,0.19,0.29,0.27,0.18,0.26,0.3,0.35,0.36,0.37,0.3,0.41,0.34,0.31,0.25,0.36
アクリロニトリル（Acrylonitrile）,7月,0.16,0.13,0.19,0.15,0.1,0.12,0.07,0.06,0.13,0.32,0.07,0.09,0.14,0.11,0.21,0.19,0.17,0.19,0.23,0.29,0.33,0.31,0.22,0.12
アクリロニトリル（Acrylonitrile）,8月,0.15,0.15,0.27,0.14,0.18,0.23,0.15,0.2,0.11,0.1,0.11,0.06,0.03,0.05,0.08,0.1,0.15,0.18,0.2,0.18,0.16,0.11,0.09,0.17
アクリロニトリル（Acrylonitrile）,9月,0.08,0.07,0.1,0.08,0.1,0.04,0.03,0.05,0.06,0.05,0.06,0.04,0.03,0.02,0.1,0.05,0.2,0.09,0.12,0.08,0.06,0.07,0.14,0.1
アクリロニトリル（Acrylonitrile）,10月,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.04,0.03,0.03,0.02,0.03,0.03,0.02,0.02
アクリロニトリル（Acrylonitrile）,11月,0.03,0.03,0.03,0.03,0.05,0.03,0.03,0.04,0.03,0.03,0.04,0.1,0.07,0.12,0.07,0.08,0.05,0.15,0.1,0.05,0.04,0.04,0.08,0.04
アクリロニトリル（Acrylonitrile）,12月,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.05,0.06,0.04,0.04,0.03,0.04,0.04,0.04,0.04
アクリロニトリル（Acrylonitrile）,1月,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.13,0.05,0.06,0.07,0.04,0.06,0.03,0.03,0.04,0.04,0.03,0.02,0.03,0.03
アクリロニトリル（Acrylonitrile）,2月,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.05,0.05,0.03,0.11,0.05,0.12,0.08,0.07,0.06,0.03,0.04,0.02,0.02,0.04,0.03,0.03
アクリロニトリル（Acrylonitrile）,3月,0.04,0.04,0.04,0.04,0.02,0.02,0.04,0.05,0.03,0.04,0.05,0.06,0.04,0.02,0.04,0.07,0.06,0.04,0.05,0.04,0.03,0.04,0.08,0.09
アクリロニトリル（Acrylonitrile）,平均,0.13,0.11,0.12,0.11,0.1,0.1,0.07,0.08,0.1,0.1,0.11,0.12,0.09,0.11,0.12,0.14,0.16,0.17,0.2,0.16,0.17,0.15,0.13,0.12
,時間,1（μｇ/m3）,2（μｇ/m3）,3（μｇ/m3）,4（μｇ/m3）,5（μｇ/m3）,6（μｇ/m3）,7（μｇ/m3）,8（μｇ/m3）,9（μｇ/m3）,10（μｇ/m3）,11（μｇ/m3）,12（μｇ/m3）,13（μｇ/m3）,14（μｇ/m3）,15（μｇ/m3）,16（μｇ/m3）,17（μｇ/m3）,18（μｇ/m3）,19（μｇ/m3）,20（μｇ/m3）,21（μｇ/m3）,22（μｇ/m3）,23（μｇ/m3）,24（μｇ/m3）
クロロホルム（Chloroform）,4月,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.1,0.1,0.1,0.09,0.09,0.11,0.09,0.09,0.09,0.1,0.1,0.1,0.1,0.1,0.11
クロロホルム（Chloroform）,5月,0.11,0.11,0.1,0.11,0.11,0.12,0.12,0.13,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.12,0.12,0.12,0.11
クロロホルム（Chloroform）,6月,0.14,0.15,0.13,0.13,0.12,0.13,0.12,0.12,0.12,0.12,0.12,0.13,0.14,0.13,0.14,0.14,0.14,0.14,0.14,0.13,0.14,0.14,0.13,0.14
クロロホルム（Chloroform）,7月,0.1,0.1,0.1,0.1,0.1,0.1,0.11,0.1,0.12,0.12,0.13,0.11,0.11,0.12,0.11,0.11,0.1,0.11,0.1,0.1,0.12,0.12,0.1,0.1
クロロホルム（Chloroform）,8月,0.1,0.11,0.1,0.1,0.11,0.1,0.1,0.11,0.11,0.09,0.09,0.09,0.08,0.08,0.08,0.1,0.1,0.09,0.12,0.11,0.11,0.1,0.13,0.11
クロロホルム（Chloroform）,9月,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.09,0.09,0.09,0.09,0.09,0.09,0.1,0.1,0.11,0.1,0.09,0.09,0.1
クロロホルム（Chloroform）,10月,0.1,0.13,0.11,0.11,0.12,0.11,0.1,0.11,0.1,0.1,0.1,0.1,0.1,0.09,0.1,0.11,0.11,0.11,0.1,0.13,0.14,0.12,0.1,0.12
クロロホルム（Chloroform）,11月,0.13,0.14,0.14,0.12,0.12,0.11,0.11,0.12,0.11,0.12,0.11,0.11,0.11,0.12,0.11,0.12,0.11,0.12,0.12,0.14,0.14,0.13,0.17,0.14
