,曜日,日（μｇ/m3）,月（μｇ/m3）,火（μｇ/m3）,水（μｇ/m3）,木（μｇ/m3）,金（μｇ/m3）,土（μｇ/m3）
トリクロロエチレン（Trichloroethene）,平均,0.38,0.85,0.81,0.84,0.88,0.93,0.58
,曜日,日（μｇ/m3）,月（μｇ/m3）,火（μｇ/m3）,水（μｇ/m3）,木（μｇ/m3）,金（μｇ/m3）,土（μｇ/m3）
テトラクロロエチレン（Tetrachloroethene）,4月,0.06,0.1,0.1,0.12,0.08,0.07,0.07
テトラクロロエチレン（Tetrachloroethene）,5月,0.06,0.07,0.1,0.1,0.08,0.07,0.09
テトラクロロエチレン（Tetrachloroethene）,6月,0.1,0.1,0.07,0.06,0.09,0.11,0.11
テトラクロロエチレン（Tetrachloroethene）,7月,0.1,0.07,0.12,0.05,0.06,0.1,0.1
テトラクロロエチレン（Tetrachloroethene）,8月,0.06,0.06,0.05,0.06,0.07,0.05,0.07
テトラクロロエチレン（Tetrachloroethene）,9月,0.06,0.09,0.07,0.08,0.08,0.05,0.11
テトラクロロエチレン（Tetrachloroethene）,10月,0.19,0.23,0.15,0.09,0.2,0.2,0.1
テトラクロロエチレン（Tetrachloroethene）,11月,0.11,0.2,0.15,0.21,0.21,0.17,0.22
テトラクロロエチレン（Tetrachloroethene）,12月,0.12,0.19,0.26,0.17,0.24,0.27,0.31
テトラクロロエチレン（Tetrachloroethene）,1月,0.09,0.09,0.16,0.16,0.2,0.18,0.12
テトラクロロエチレン（Tetrachloroethene）,2月,0.1,0.13,0.11,0.08,0.06,0.12,0.19
テトラクロロエチレン（Tetrachloroethene）,3月,0.03,0.06,0.1,0.06,0.06,0.12,0.09
テトラクロロエチレン（Tetrachloroethene）,平均,0.09,0.12,0.12,0.1,0.12,0.13,0.13
,曜日,日（μｇ/m3）,月（μｇ/m3）,火（μｇ/m3）,水（μｇ/m3）,木（μｇ/m3）,金（μｇ/m3）,土（μｇ/m3）
ジクロロメタン（Dichloromethane）,4月,0.62,1.1,1.1,1.4,1.2,0.77,0.75
ジクロロメタン（Dichloromethane）,5月,0.86,0.88,1.8,1.2,1.2,1.3,0.82
ジクロロメタン（Dichloromethane）,6月,0.78,1,1.1,1.1,1.5,1.5,1.2
ジクロロメタン（Dichloromethane）,7月,0.73,0.99,1.5,1,1.4,1.4,0.69
ジクロロメタン（Dichloromethane）,8月,0.63,0.75,1.1,0.87,0.81,0.74,0.65
ジクロロメタン（Dichloromethane）,9月,0.65,1.3,1.4,1.5,1.4,0.94,1.1
ジクロロメタン（Dichloromethane）,10月,1.1,2.6,1.6,2.4,2.9,2.3,0.83
ジクロロメタン（Dichloromethane）,11月,0.89,2.2,2.4,3.8,3.3,3.4,1.8
ジクロロメタン（Dichloromethane）,12月,1.1,2.9,2.8,2.8,3,4.6,1.8
ジクロロメタン（Dichloromethane）,1月,0.81,1.8,2.6,2.3,2.9,2.3,1.5
ジクロロメタン（Dichloromethane）,2月,1.1,1.6,1.1,1.4,1.1,1.5,1.3
ジクロロメタン（Dichloromethane）,3月,0.52,1.5,1.6,1.4,1.7,1.8,1.1
ジクロロメタン（Dichloromethane）,平均,0.81,1.6,1.7,1.8,1.8,1.9,1.1
,曜日,日（μｇ/m3）,月（μｇ/m3）,火（μｇ/m3）,水（μｇ/m3）,木（μｇ/m3）,金（μｇ/m3）,土（μｇ/m3）
塩化ビニルモノマー（Vinylchloride）,4月,0.01,0.02,0.03,0.03,0.01,0.03,0.05
塩化ビニルモノマー（Vinylchloride）,5月,0.08,0.08,0.21,0.01,0.02,0.08,0.1
塩化ビニルモノマー（Vinylchloride）,6月,0.09,0.06,0.33,0.11,1.7,0.32,0.1
塩化ビニルモノマー（Vinylchloride）,7月,0.04,0.02,0.03,0.04,0.19,0.05,0.04
塩化ビニルモノマー（Vinylchloride）,8月,0.05,0.06,0.04,0.07,0.07,0.13,0.08
塩化ビニルモノマー（Vinylchloride）,9月,0.01,0.02,0.01,0.01,0.06,0.03,0.01
塩化ビニルモノマー（Vinylchloride）,10月,0.02,0.03,0.01,0.03,0.01,0.01,0.01
塩化ビニルモノマー（Vinylchloride）,11月,0.03,0.05,0.02,0.08,0.06,0.01,0.03
塩化ビニルモノマー（Vinylchloride）,12月,0.01,0.05,0.03,0.02,0.02,0.06,0.03
塩化ビニルモノマー（Vinylchloride）,1月,0.01,0.02,0.01,0.02,0.04,0.01,0.02
塩化ビニルモノマー（Vinylchloride）,2月,0.11,0.06,0.01,0.02,0.02,0.03,0.06
塩化ビニルモノマー（Vinylchloride）,3月,0.01,0.02,0.03,0.02,0.02,0.02,0.02
塩化ビニルモノマー（Vinylchloride）,平均,0.04,0.04,0.06,0.04,0.19,0.07,0.05
,曜日,日（μｇ/m3）,月（μｇ/m3）,火（μｇ/m3）,水（μｇ/m3）,木（μｇ/m3）,金（μｇ/m3）,土（μｇ/m3）
"1,3-ブタジエン（1,3-Butadiene）",4月,0.038,0.033,0.05,0.051,0.04,0.037,0.062
"1,3-ブタジエン（1,3-Butadiene）",5月,0.19,0.1,0.12,0.04,0.14,0.15,#N/A
"1,3-ブタジエン（1,3-Butadiene）",6月,0.093,0.082,0.19,0.1,0.15,0.15,0.067
"1,3-ブタジエン（1,3-Butadiene）",7月,0.12,0.12,0.13,0.3,0.27,0.13,0.13
"1,3-ブタジエン（1,3-Butadiene）",8月,0.072,0.12,0.14,#N/A,#N/A,#N/A,0.22
"1,3-ブタジエン（1,3-Butadiene）",9月,0.033,0.072,0.06,0.045,0.1,0.061,0.038
"1,3-ブタジエン（1,3-Butadiene）",10月,0.051,0.066,0.045,0.047,0.044,0.052,0.041
"1,3-ブタジエン（1,3-Butadiene）",11月,0.089,0.076,0.053,0.081,0.11,0.076,0.11
"1,3-ブタジエン（1,3-Butadiene）",12月,0.054,0.15,0.11,0.076,0.081,0.11,0.071
"1,3-ブタジエン（1,3-Butadiene）",1月,0.041,0.084,0.069,0.079,0.11,0.065,0.045
"1,3-ブタジエン（1,3-Butadiene）",2月,0.17,0.41,0.052,0.042,0.058,0.053,0.062
"1,3-ブタジエン（1,3-Butadiene）",3月,0.044,0.04,0.075,0.046,0.07,0.058,0.036
"1,3-ブタジエン（1,3-Butadiene）",平均,0.083,0.11,0.092,0.19,0.27,0.19,0.24
,曜日,日（μｇ/m3）,月（μｇ/m3）,火（μｇ/m3）,水（μｇ/m3）,木（μｇ/m3）,金（μｇ/m3）,土（μｇ/m3）
アクリロニトリル（Acrylonitrile）,4月,0.05,0.07,0.1,0.11,0.09,0.07,0.15
アクリロニトリル（Acrylonitrile）,5月,0.91,0.44,0.28,0.07,0.14,0.55,0.64
アクリロニトリル（Acrylonitrile）,6月,0.22,0.18,0.26,0.24,0.42,0.55,0.11
アクリロニトリル（Acrylonitrile）,7月,0.21,0.18,0.2,0.19,0.16,0.14,0.14
アクリロニトリル（Acrylonitrile）,8月,0.08,0.2,0.13,0.15,0.15,0.16,0.11
アクリロニトリル（Acrylonitrile）,9月,0.02,0.09,0.07,0.07,0.21,0.06,0.02
アクリロニトリル（Acrylonitrile）,10月,0.02,0.03,0.02,0.02,0.02,0.02,0.02
アクリロニトリル（Acrylonitrile）,11月,0.07,0.07,0.02,0.05,0.1,0.03,0.04
アクリロニトリル（Acrylonitrile）,12月,0.02,0.05,0.04,0.03,0.02,0.04,0.03
アクリロニトリル（Acrylonitrile）,1月,0.02,0.02,0.02,0.03,0.1,0.04,0.02
アクリロニトリル（Acrylonitrile）,2月,0.09,0.07,0.02,0.04,0.03,0.02,0.03
アクリロニトリル（Acrylonitrile）,3月,0.03,0.07,0.08,0.03,0.03,0.04,0.02
アクリロニトリル（Acrylonitrile）,平均,0.15,0.12,0.1,0.09,0.12,0.14,0.11
,曜日,日（μｇ/m3）,月（μｇ/m3）,火（μｇ/m3）,水（μｇ/m3）,木（μｇ/m3）,金（μｇ/m3）,土（μｇ/m3）
クロロホルム（Chloroform）,4月,0.09,0.09,0.11,0.11,0.1,0.08,0.1
クロロホルム（Chloroform）,5月,0.1,0.12,0.13,0.12,0.11,0.11,0.11
クロロホルム（Chloroform）,6月,0.17,0.14,0.13,0.13,0.12,0.12,0.13
クロロホルム（Chloroform）,7月,0.12,0.1,0.1,0.09,0.1,0.15,0.09
クロロホルム（Chloroform）,8月,0.1,0.09,0.09,0.12,0.11,0.1,0.1
クロロホルム（Chloroform）,9月,0.11,0.1,0.09,0.09,0.09,0.08,0.09
クロロホルム（Chloroform）,10月,0.1,0.16,0.11,0.1,0.1,0.11,0.09
クロロホルム（Chloroform）,11月,0.11,0.12,0.12,0.13,0.15,0.11,0.14
クロロホルム（Chloroform）,12月,0.1,0.12,0.13,0.1,0.11,0.14,0.11
クロロホルム（Chloroform）,1月,0.09,0.1,0.11,0.12,0.14,0.11,0.1
クロロホルム（Chloroform）,2月,0.12,0.12,0.09,0.09,0.1,0.11,0.11
クロロホルム（Chloroform）,3月,0.08,0.09,0.11,0.11,0.09,0.13,0.1
クロロホルム（Chloroform）,平均,0.11,0.11,0.11,0.11,0.11,0.11,0.11
,曜日,日（μｇ/m3）,月（μｇ/m3）,火（μｇ/m3）,水（μｇ/m3）,木（μｇ/m3）,金（μｇ/m3）,土（μｇ/m3）
"1,2－ジクロロエタン（1,2-Dichloroethane）",4月,0.1,0.11,0.098,0.084,0.09,0.076,0.089
"1,2－ジクロロエタン（1,2-Dichloroethane）",5月,0.12,0.18,0.24,0.15,0.12,0.1,0.12
"1,2－ジクロロエタン（1,2-Dichloroethane）",6月,0.22,0.16,0.14,0.17,0.15,0.2,0.18
"1,2－ジクロロエタン（1,2-Dichloroethane）",7月,0.13,0.078,0.063,0.061,0.079,0.1,0.059
"1,2－ジクロロエタン（1,2-Dichloroethane）",8月,0.08,0.07,0.094,0.11,0.085,0.074,0.077
"1,2－ジクロロエタン（1,2-Dichloroethane）",9月,0.086,0.078,0.073,0.078,0.078,0.056,0.091
"1,2－ジクロロエタン（1,2-Dichloroethane）",10月,0.078,0.11,0.076,0.075,0.069,0.07,0.078
"1,2－ジクロロエタン（1,2-Dichloroethane）",11月,0.1,0.087,0.11,0.1,0.1,0.085,0.12
"1,2－ジクロロエタン（1,2-Dichloroethane）",12月,0.091,0.077,0.085,0.076,0.069,0.087,0.084
"1,2－ジクロロエタン（1,2-Dichloroethane）",1月,0.078,0.07,0.077,0.076,0.1,0.076,0.094
"1,2－ジクロロエタン（1,2-Dichloroethane）",2月,0.12,0.1,0.085,0.072,0.086,0.077,0.08
"1,2－ジクロロエタン（1,2-Dichloroethane）",3月,0.098,0.089,0.14,0.13,0.59,0.12,0.094
"1,2－ジクロロエタン（1,2-Dichloroethane）",平均,0.11,0.1,0.11,0.099,0.14,0.093,0.097
,曜日,日（μｇ/m3）,月（μｇ/m3）,火（μｇ/m3）,水（μｇ/m3）,木（μｇ/m3）,金（μｇ/m3）,土（μｇ/m3）
トルエン（Toluene）,4月,1.2,2.4,3,3.9,2.4,1.8,1.9
トルエン（Toluene）,5月,1.8,1.9,2.3,2.9,3.5,3.1,2.5
トルエン（Toluene）,6月,2.3,3.1,2.2,3.2,3.7,4,2.8
トルエン（Toluene）,7月,2,1.9,4.3,1.8,2.1,3,2.1
トルエン（Toluene）,8月,1.4,1.8,1.8,2,1.8,1.9,2
トルエン（Toluene）,9月,1.5,2.2,2.3,2.7,2,2,2.3
トルエン（Toluene）,10月,2.4,6.3,4.4,3.3,6,5.2,2.4
トルエン（Toluene）,11月,3.5,7.1,4.8,8.3,10,7.8,6.9
トルエン（Toluene）,12月,3.5,6.1,8.3,6.2,7.7,10,6.3
トルエン（Toluene）,1月,2.1,3.4,6.7,6.1,8.2,6.5,3.2
トルエン（Toluene）,2月,3.3,4,3,2.8,2.5,4.2,5.8
トルエン（Toluene）,3月,0.79,2,3.5,3,2.3,5.9,2.9
トルエン（Toluene）,平均,2.2,3.5,3.9,3.9,4.4,4.6,3.4
,曜日,日（μｇ/m3）,月（μｇ/m3）,火（μｇ/m3）,水（μｇ/m3）,木（μｇ/m3）,金（μｇ/m3）,土（μｇ/m3）
m＋ｐ-キシレン（m+p-Xylene）,4月,0.32,0.42,0.57,0.62,0.4,0.3,0.43
m＋ｐ-キシレン（m+p-Xylene）,5月,0.57,0.55,0.64,0.57,0.72,0.79,0.67
m＋ｐ-キシレン（m+p-Xylene）,6月,0.69,0.72,0.66,0.8,0.9,1.1,0.64
m＋ｐ-キシレン（m+p-Xylene）,7月,0.56,0.67,0.95,0.64,0.63,0.82,0.64
m＋ｐ-キシレン（m+p-Xylene）,8月,0.4,0.49,0.57,0.65,0.58,0.63,0.5
m＋ｐ-キシレン（m+p-Xylene）,9月,0.32,0.52,0.48,0.57,0.53,0.55,0.39
m＋ｐ-キシレン（m+p-Xylene）,10月,0.46,0.96,0.75,0.58,0.85,0.8,0.44
m＋ｐ-キシレン（m+p-Xylene）,11月,0.62,1.2,0.85,1.2,1.9,1.2,1
m＋ｐ-キシレン（m+p-Xylene）,12月,0.63,1.2,1.3,0.98,1.3,1.7,1
m＋ｐ-キシレン（m+p-Xylene）,1月,0.4,0.69,1,0.98,1.2,0.91,0.56
m＋ｐ-キシレン（m+p-Xylene）,2月,0.57,0.83,0.48,0.43,0.47,0.7,0.9
m＋ｐ-キシレン（m+p-Xylene）,3月,0.21,0.39,0.56,0.45,0.44,0.8,0.41
m＋ｐ-キシレン（m+p-Xylene）,平均,0.48,0.72,0.74,0.71,0.82,0.86,0.64
,曜日,日（μｇ/m3）,月（μｇ/m3）,火（μｇ/m3）,水（μｇ/m3）,木（μｇ/m3）,金（μｇ/m3）,土（μｇ/m3）
o-キシレン（o-Xylene）,4月,0.13,0.15,0.21,0.24,0.16,0.12,0.16
o-キシレン（o-Xylene）,5月,0.26,0.23,0.27,0.23,0.28,0.31,0.28
o-キシレン（o-Xylene）,6月,0.31,0.31,0.29,0.33,0.37,0.45,0.28
o-キシレン（o-Xylene）,7月,0.28,0.29,0.37,0.27,0.26,0.34,0.27
o-キシレン（o-Xylene）,8月,0.18,0.23,0.24,0.27,0.25,0.27,0.21
o-キシレン（o-Xylene）,9月,0.14,0.22,0.19,0.22,0.22,0.21,0.16
o-キシレン（o-Xylene）,10月,0.2,0.37,0.28,0.22,0.31,0.3,0.19
o-キシレン（o-Xylene）,11月,0.25,0.43,0.31,0.42,0.65,0.41,0.38
o-キシレン（o-Xylene）,12月,0.24,0.45,0.49,0.37,0.45,0.62,0.38
o-キシレン（o-Xylene）,1月,0.16,0.27,0.37,0.36,0.45,0.35,0.22
o-キシレン（o-Xylene）,2月,0.24,0.31,0.18,0.17,0.18,0.26,0.33
o-キシレン（o-Xylene）,3月,0.1,0.16,0.21,0.18,0.17,0.3,0.16
o-キシレン（o-Xylene）,平均,0.21,0.29,0.28,0.27,0.31,0.33,0.25
,曜日,日（μｇ/m3）,月（μｇ/m3）,火（μｇ/m3）,水（μｇ/m3）,木（μｇ/m3）,金（μｇ/m3）,土（μｇ/m3）
総キシレン（total-Xylen）,4月,0.45,0.57,0.78,0.86,0.56,0.42,0.59
総キシレン（total-Xylen）,5月,0.83,0.78,0.91,0.8,1,1.1,0.95
総キシレン（total-Xylen）,6月,1,1,0.95,1.1,1.3,1.5,0.92
総キシレン（total-Xylen）,7月,0.84,0.96,1.3,0.92,0.89,1.2,0.92
総キシレン（total-Xylen）,8月,0.59,0.72,0.81,0.92,0.83,0.9,0.72
総キシレン（total-Xylen）,9月,0.46,0.73,0.67,0.78,0.74,0.76,0.55
総キシレン（total-Xylen）,10月,0.65,1.3,1,0.8,1.2,1.1,0.63
総キシレン（total-Xylen）,11月,0.87,1.6,1.2,1.6,2.5,1.6,1.4
総キシレン（total-Xylen）,12月,0.87,1.7,1.8,1.4,1.7,2.4,1.4
総キシレン（total-Xylen）,1月,0.57,0.97,1.4,1.3,1.7,1.3,0.78
総キシレン（total-Xylen）,2月,0.81,1.1,0.66,0.6,0.65,0.96,1.2
総キシレン（total-Xylen）,3月,0.31,0.54,0.77,0.63,0.61,1.1,0.57
総キシレン（total-Xylen）,平均,0.69,1,1,0.98,1.1,1.2,0.89
,曜日,日（μｇ/m3）,月（μｇ/m3）,火（μｇ/m3）,水（μｇ/m3）,木（μｇ/m3）,金（μｇ/m3）,土（μｇ/m3）
エチルベンゼン（Ethylbenzene）,4月,0.35,0.56,0.78,0.94,0.57,0.39,0.52
エチルベンゼン（Ethylbenzene）,5月,0.59,0.7,0.84,0.83,0.95,0.96,0.76
エチルベンゼン（Ethylbenzene）,6月,0.85,0.89,0.83,1.1,1.3,1.4,0.8
エチルベンゼン（Ethylbenzene）,7月,0.53,0.78,1.2,0.72,0.79,1.1,0.61
エチルベンゼン（Ethylbenzene）,8月,0.43,0.55,0.68,0.77,0.66,0.75,0.52
エチルベンゼン（Ethylbenzene）,9月,0.32,0.6,0.62,0.78,0.59,0.67,0.45
エチルベンゼン（Ethylbenzene）,10月,0.5,1.3,1,0.75,1.2,1.1,0.51
エチルベンゼン（Ethylbenzene）,11月,0.66,1.5,1.1,1.6,2.5,1.6,1.3
エチルベンゼン（Ethylbenzene）,12月,0.69,1.4,1.7,1.2,1.6,2.2,1.3
エチルベンゼン（Ethylbenzene）,1月,0.43,0.78,1.3,1.3,1.7,1.2,0.7
エチルベンゼン（Ethylbenzene）,2月,0.76,1.1,0.63,0.56,0.63,0.93,1.3
エチルベンゼン（Ethylbenzene）,3月,0.25,0.48,0.75,0.65,0.58,1.2,0.59
エチルベンゼン（Ethylbenzene）,平均,0.53,0.88,0.95,0.93,1.1,1.1,0.78
,曜日,日（μｇ/m3）,月（μｇ/m3）,火（μｇ/m3）,水（μｇ/m3）,木（μｇ/m3）,金（μｇ/m3）,土（μｇ/m3）
スチレン（Styrene）,4月,0.14,0.17,0.22,0.26,0.15,0.13,0.17
スチレン（Styrene）,5月,0.31,0.28,0.29,0.25,0.24,0.28,0.28
スチレン（Styrene）,6月,0.3,0.27,0.21,0.25,0.35,0.43,0.25
スチレン（Styrene）,7月,0.2,0.2,0.39,0.21,0.17,0.22,0.24
スチレン（Styrene）,8月,0.11,0.15,0.15,0.18,0.18,0.17,0.13
スチレン（Styrene）,9月,0.1,0.15,0.13,0.14,0.17,0.14,0.11
スチレン（Styrene）,10月,0.11,0.24,0.18,0.13,0.18,0.2,0.11
スチレン（Styrene）,11月,0.13,0.24,0.17,0.3,0.37,0.25,0.21
スチレン（Styrene）,12月,0.16,0.31,0.33,0.25,0.29,0.42,0.27
スチレン（Styrene）,1月,0.14,0.23,0.35,0.32,0.55,0.33,0.19
スチレン（Styrene）,2月,0.21,0.3,0.19,0.15,0.15,0.21,0.29
スチレン（Styrene）,3月,0.12,0.14,0.18,0.15,0.17,0.27,0.15
スチレン（Styrene）,平均,0.17,0.22,0.23,0.22,0.25,0.25,0.2
,曜日,日（μｇ/m3）,月（μｇ/m3）,火（μｇ/m3）,水（μｇ/m3）,木（μｇ/m3）,金（μｇ/m3）,土（μｇ/m3）
"1,1－ジクロロエタン（1,1-Dichloroethane）",4月,0.01,0.01,0.01,0.01,0.01,0.01,0.01
"1,1－ジクロロエタン（1,1-Dichloroethane）",5月,0.01,0.01,0.01,0.01,0.01,0.01,0.01
"1,1－ジクロロエタン（1,1-Dichloroethane）",6月,0.02,0.01,0.01,0.01,0.01,0.01,0.01
"1,1－ジクロロエタン（1,1-Dichloroethane）",7月,0.01,0.01,0.01,0.01,0.01,0.01,0.01
"1,1－ジクロロエタン（1,1-Dichloroethane）",8月,0.01,0.01,0.01,0.01,0.01,0.01,0.01
"1,1－ジクロロエタン（1,1-Dichloroethane）",9月,0.01,0.01,0.01,0.01,0.01,0.01,0.01
"1,1－ジクロロエタン（1,1-Dichloroethane）",10月,0.01,0.01,0.01,0.01,0.01,0.01,0.01
"1,1－ジクロロエタン（1,1-Dichloroethane）",11月,0.01,0.01,0.01,0.01,0.01,0.01,0.01
"1,1－ジクロロエタン（1,1-Dichloroethane）",12月,0.01,0.01,0.01,0.01,0.01,0.01,0.01
"1,1－ジクロロエタン（1,1-Dichloroethane）",1月,0.01,0.01,0.01,0.01,0.01,0.01,0.01
"1,1－ジクロロエタン（1,1-Dichloroethane）",2月,0.01,0.01,0.01,0.01,0.01,0.01,0.01
"1,1－ジクロロエタン（1,1-Dichloroethane）",3月,0.01,0.01,0.02,0.01,0.01,0.01,0.01
"1,1－ジクロロエタン（1,1-Dichloroethane）",平均,0.01,0.01,0.01,0.01,0.01,0.01,0.01
,曜日,日（μｇ/m3）,月（μｇ/m3）,火（μｇ/m3）,水（μｇ/m3）,木（μｇ/m3）,金（μｇ/m3）,土（μｇ/m3）
四塩化炭素（Carbon Tetrachloride）,4月,0.37,0.37,0.37,0.38,0.38,0.37,0.38
四塩化炭素（Carbon Tetrachloride）,5月,0.43,0.44,0.45,0.44,0.44,0.43,0.43
四塩化炭素（Carbon Tetrachloride）,6月,0.45,0.45,0.41,0.44,0.43,0.43,0.43
四塩化炭素（Carbon Tetrachloride）,7月,0.39,0.38,0.38,0.39,0.36,0.4,0.38
四塩化炭素（Carbon Tetrachloride）,8月,0.41,0.39,0.4,0.41,0.41,0.41,0.41
四塩化炭素（Carbon Tetrachloride）,9月,0.38,0.38,0.38,0.37,0.39,0.38,0.37
四塩化炭素（Carbon Tetrachloride）,10月,0.4,0.38,0.37,0.37,0.37,0.38,0.37
四塩化炭素（Carbon Tetrachloride）,11月,0.38,0.38,0.39,0.41,0.4,0.4,0.4
四塩化炭素（Carbon Tetrachloride）,12月,0.36,0.35,0.35,0.35,0.35,0.36,0.36
四塩化炭素（Carbon Tetrachloride）,1月,0.38,0.37,0.38,0.38,0.39,0.38,0.38
四塩化炭素（Carbon Tetrachloride）,2月,0.38,0.39,0.37,0.37,0.38,0.37,0.38
四塩化炭素（Carbon Tetrachloride）,3月,0.36,0.37,0.38,0.37,0.36,0.36,0.36
四塩化炭素（Carbon Tetrachloride）,平均,0.39,0.39,0.39,0.39,0.39,0.39,0.39
