,曜日,日（μｇ/m3）,月（μｇ/m3）,火（μｇ/m3）,水（μｇ/m3）,木（μｇ/m3）,金（μｇ/m3）,土（μｇ/m3）,,,,
テトラクロロエチレン（Tetrachloroethene）,3月,0.06,0.09,0.1,0.1,0.08,0.1,0.07,,,,
テトラクロロエチレン（Tetrachloroethene）,平均,0.12,0.14,0.12,0.14,0.12,0.12,0.13,,,,
,曜日,日（μｇ/m3）,月（μｇ/m3）,火（μｇ/m3）,水（μｇ/m3）,木（μｇ/m3）,金（μｇ/m3）,土（μｇ/m3）,,,,
ジクロロメタン（Dichloromethane）,4月,0.57,0.64,0.51,0.86,0.81,0.82,0.62,,,,
ジクロロメタン（Dichloromethane）,5月,0.69,0.65,0.58,0.59,0.74,0.91,0.89,,,,
ジクロロメタン（Dichloromethane）,6月,0.82,0.69,0.59,0.69,0.87,0.9,0.82,,,,
ジクロロメタン（Dichloromethane）,7月,0.63,0.97,1.2,1.1,0.77,0.99,1.1,,,,
ジクロロメタン（Dichloromethane）,8月,0.64,0.66,0.69,0.78,0.97,0.84,1.1,,,,
ジクロロメタン（Dichloromethane）,9月,0.72,0.78,1,0.99,1,0.9,0.77,,,,
ジクロロメタン（Dichloromethane）,10月,0.68,0.68,1.3,1.1,1.1,0.98,0.8,,,,
ジクロロメタン（Dichloromethane）,11月,0.8,0.91,0.93,1.7,1.3,1.2,0.83,,,,
ジクロロメタン（Dichloromethane）,12月,0.94,1.7,1.4,1.9,1.8,1.3,0.86,,,,
ジクロロメタン（Dichloromethane）,1月,0.66,1,0.95,1.3,1.3,0.98,0.75,,,,
ジクロロメタン（Dichloromethane）,2月,0.75,0.88,0.84,1,1.2,1.1,1.1,,,,
ジクロロメタン（Dichloromethane）,3月,0.7,0.74,0.82,0.96,0.89,0.91,0.69,,,,
ジクロロメタン（Dichloromethane）,平均,0.72,0.86,0.9,1.1,1.1,0.98,0.86,,,,
,曜日,日（μｇ/m3）,月（μｇ/m3）,火（μｇ/m3）,水（μｇ/m3）,木（μｇ/m3）,金（μｇ/m3）,土（μｇ/m3）,,,,
塩化ビニルモノマー（Vinylchloride）,4月,0.02,0.03,0.02,0.02,0.01,0.06,0.01,,,,
塩化ビニルモノマー（Vinylchloride）,5月,0.01,0.02,0.01,0.01,0.01,0.01,0.02,,,,
塩化ビニルモノマー（Vinylchloride）,6月,0.04,0.02,0.09,0.01,0.06,0.04,0.03,,,,
塩化ビニルモノマー（Vinylchloride）,7月,0.05,0.02,0.01,0.02,0.01,0.01,0.03,,,,
塩化ビニルモノマー（Vinylchloride）,8月,0.03,0.03,0.02,0.01,0.01,0.01,0.01,,,,
塩化ビニルモノマー（Vinylchloride）,9月,0.01,0.02,0.03,0.02,0.07,0.04,0.01,,,,
塩化ビニルモノマー（Vinylchloride）,10月,0.01,0.01,0.02,0.07,0.01,0.01,0.02,,,,
塩化ビニルモノマー（Vinylchloride）,11月,0.02,0.01,0.02,0.05,0.01,0.03,0.04,,,,
塩化ビニルモノマー（Vinylchloride）,12月,0.02,0.02,0.03,0.02,0.02,0.01,0.01,,,,
塩化ビニルモノマー（Vinylchloride）,1月,0.02,0.03,0.01,0.02,0.07,0.02,0.03,,,,
塩化ビニルモノマー（Vinylchloride）,2月,0.01,0.02,0.02,0.01,0.01,0.07,0.02,,,,
塩化ビニルモノマー（Vinylchloride）,3月,0.01,0.01,0.01,0.01,0.01,0.01,0.01,,,,
塩化ビニルモノマー（Vinylchloride）,平均,0.02,0.02,0.02,0.02,0.03,0.03,0.02,,,,
,曜日,日（μｇ/m3）,月（μｇ/m3）,火（μｇ/m3）,水（μｇ/m3）,木（μｇ/m3）,金（μｇ/m3）,土（μｇ/m3）,,,,
"1,3-ブタジエン（1,3-Butadiene）",4月,0.094,0.11,0.11,0.085,0.1,0.14,0.079,,,,
"1,3-ブタジエン（1,3-Butadiene）",5月,0.077,0.065,0.063,0.069,0.07,0.098,0.079,,,,
"1,3-ブタジエン（1,3-Butadiene）",6月,0.12,0.091,0.13,0.058,0.068,0.12,0.12,,,,
"1,3-ブタジエン（1,3-Butadiene）",7月,0.13,0.12,0.14,0.13,0.1,0.1,0.12,,,,
"1,3-ブタジエン（1,3-Butadiene）",8月,0.16,0.2,0.12,0.11,0.067,0.05,0.081,,,,
"1,3-ブタジエン（1,3-Butadiene）",9月,0.11,0.1,0.14,0.15,0.13,0.17,0.64,,,,
"1,3-ブタジエン（1,3-Butadiene）",10月,0.14,0.11,0.12,0.15,0.11,0.1,0.12,,,,
"1,3-ブタジエン（1,3-Butadiene）",11月,0.21,0.16,0.14,0.15,0.15,0.13,0.18,,,,
"1,3-ブタジエン（1,3-Butadiene）",12月,0.25,0.24,0.17,0.27,0.26,0.14,0.17,,,,
"1,3-ブタジエン（1,3-Butadiene）",1月,0.13,0.15,0.1,0.14,0.17,0.12,0.16,,,,
"1,3-ブタジエン（1,3-Butadiene）",2月,0.11,0.12,0.13,0.13,0.12,0.21,0.15,,,,
"1,3-ブタジエン（1,3-Butadiene）",3月,0.1,0.1,0.1,0.12,0.07,0.13,0.095,,,,　
"1,3-ブタジエン（1,3-Butadiene）",平均,0.14,0.13,0.12,0.13,0.12,0.13,0.17,,,,
,曜日,日（μｇ/m3）,月（μｇ/m3）,火（μｇ/m3）,水（μｇ/m3）,木（μｇ/m3）,金（μｇ/m3）,土（μｇ/m3）,,,,
アクリロニトリル（Acrylonitrile）,4月,0.05,0.07,0.09,0.05,0.09,0.18,0.05,,,,
アクリロニトリル（Acrylonitrile）,5月,0.06,0.06,0.03,0.03,0.05,0.17,0.1,,,,
アクリロニトリル（Acrylonitrile）,6月,0.1,0.05,0.24,0.04,0.09,0.12,0.07,,,,
アクリロニトリル（Acrylonitrile）,7月,0.06,0.04,0.07,0.14,0.06,0.02,0.09,,,,
アクリロニトリル（Acrylonitrile）,8月,0.12,0.18,0.07,0.1,0.06,0.12,0.06,,,,
アクリロニトリル（Acrylonitrile）,9月,0.06,0.06,0.07,0.08,0.05,0.17,0.06,,,,
アクリロニトリル（Acrylonitrile）,10月,0.03,0.04,0.04,0.09,0.03,0.06,0.05,,,,
アクリロニトリル（Acrylonitrile）,11月,0.08,0.04,0.07,0.08,0.04,0.07,0.06,,,,
アクリロニトリル（Acrylonitrile）,12月,0.04,0.08,0.05,0.06,0.09,0.04,0.03,,,,
アクリロニトリル（Acrylonitrile）,1月,0.07,0.16,0.13,0.12,0.14,0.06,0.09,,,,
アクリロニトリル（Acrylonitrile）,2月,0.06,0.13,0.12,0.1,0.11,0.31,0.11,,,,
アクリロニトリル（Acrylonitrile）,3月,0.07,0.04,0.05,0.08,0.09,0.07,0.05,,,,
アクリロニトリル（Acrylonitrile）,平均,0.07,0.08,0.09,0.08,0.08,0.12,0.07,,,,
,曜日,日（μｇ/m3）,月（μｇ/m3）,火（μｇ/m3）,水（μｇ/m3）,木（μｇ/m3）,金（μｇ/m3）,土（μｇ/m3）,,,,
クロロホルム（Chloroform）,4月,0.09,0.11,0.09,0.1,0.1,0.11,0.1,,,,
クロロホルム（Chloroform）,5月,0.12,0.12,0.09,0.1,0.11,0.12,0.13,,,,
クロロホルム（Chloroform）,6月,0.13,0.11,0.12,0.11,0.12,0.14,0.12,,,,
クロロホルム（Chloroform）,7月,0.13,0.12,0.16,0.23,0.11,0.11,0.14,,,,
クロロホルム（Chloroform）,8月,0.11,0.14,0.1,0.14,0.11,0.1,0.12,,,,
クロロホルム（Chloroform）,9月,0.11,0.11,0.14,0.12,0.13,0.12,0.1,,,,
クロロホルム（Chloroform）,10月,0.11,0.1,0.12,0.14,0.15,0.11,0.11,,,,
クロロホルム（Chloroform）,11月,0.12,0.11,0.12,0.16,0.12,0.13,0.12,,,,
クロロホルム（Chloroform）,12月,0.14,0.15,0.15,0.19,0.21,0.13,0.13,,,,
クロロホルム（Chloroform）,1月,0.09,0.11,0.1,0.11,0.14,0.11,0.09,,,,
クロロホルム（Chloroform）,2月,0.09,0.11,0.1,0.1,0.11,0.12,0.11,,,,
クロロホルム（Chloroform）,3月,0.09,0.09,0.11,0.1,0.08,0.08,0.08,,,,
クロロホルム（Chloroform）,平均,0.11,0.12,0.12,0.13,0.12,0.12,0.11,,,,
,曜日,日（μｇ/m3）,月（μｇ/m3）,火（μｇ/m3）,水（μｇ/m3）,木（μｇ/m3）,金（μｇ/m3）,土（μｇ/m3）,,,,
"1,2－ジクロロエタン（1,2-Dichloroethane）",4月,0.11,0.11,0.09,0.097,0.085,0.094,0.11,,,,
"1,2－ジクロロエタン（1,2-Dichloroethane）",5月,0.14,0.14,0.093,0.093,0.086,0.099,0.12,,,,
"1,2－ジクロロエタン（1,2-Dichloroethane）",6月,0.11,0.095,0.097,0.084,0.096,0.12,0.11,,,,
"1,2－ジクロロエタン（1,2-Dichloroethane）",7月,0.11,0.072,0.11,0.11,0.087,0.07,0.081,,,,
"1,2－ジクロロエタン（1,2-Dichloroethane）",8月,0.14,0.13,0.09,0.076,0.08,0.11,0.12,,,,
"1,2－ジクロロエタン（1,2-Dichloroethane）",9月,0.077,0.076,0.092,0.084,0.16,0.084,0.056,,,,
"1,2－ジクロロエタン（1,2-Dichloroethane）",10月,0.098,0.084,0.093,0.11,0.11,0.086,0.091,,,,
"1,2－ジクロロエタン（1,2-Dichloroethane）",11月,0.11,0.09,0.11,0.083,0.096,0.1,0.11,,,,
"1,2－ジクロロエタン（1,2-Dichloroethane）",12月,0.097,0.11,0.12,0.13,0.14,0.11,0.088,,,,
"1,2－ジクロロエタン（1,2-Dichloroethane）",1月,0.073,0.088,0.077,0.084,0.086,0.088,0.083,,,,
"1,2－ジクロロエタン（1,2-Dichloroethane）",2月,0.091,0.086,0.091,0.09,0.079,0.099,0.091,,,,
"1,2－ジクロロエタン（1,2-Dichloroethane）",3月,0.098,0.08,0.073,0.091,0.089,0.087,0.079,,,,
"1,2－ジクロロエタン（1,2-Dichloroethane）",平均,0.1,0.096,0.094,0.095,0.099,0.095,0.095,,,,
,曜日,日（μｇ/m3）,月（μｇ/m3）,火（μｇ/m3）,水（μｇ/m3）,木（μｇ/m3）,金（μｇ/m3）,土（μｇ/m3）,,,,
トルエン（Toluene）,4月,2.2,2.2,2,3.4,3.5,3.7,2.4,,,,
トルエン（Toluene）,5月,2.4,2.4,2.3,2.4,4.6,4,3.9,,,,
トルエン（Toluene）,6月,3.5,2.8,2.7,2.8,3.3,3.7,3.7,,,,
トルエン（Toluene）,7月,2.6,4.4,5.3,4.7,3.5,3.9,4.5,,,,
トルエン（Toluene）,8月,2.4,2.5,2.8,4.1,4.1,3.1,4.7,,,,
トルエン（Toluene）,9月,3.3,3.3,4.8,5,5.2,4.8,4.2,,,,
トルエン（Toluene）,10月,3.5,3.1,5.3,5.5,6,4.6,3.7,,,,
トルエン（Toluene）,11月,4.8,4.5,5.3,8.7,7,6.2,5.7,,,,
トルエン（Toluene）,12月,6.8,8.4,6.3,12,10,5.9,5.1,,,,
トルエン（Toluene）,1月,3.3,5.3,4.4,6.2,6.2,4.8,4.1,,,,
トルエン（Toluene）,2月,3,4.2,3.8,5.1,6.3,5.6,5.7,,,,
トルエン（Toluene）,3月,2.5,2.9,3.4,3.6,3.2,3.9,3,,,,
トルエン（Toluene）,平均,3.4,3.8,4,5.3,5.3,4.5,4.2,,,,
,曜日,日（μｇ/m3）,月（μｇ/m3）,火（μｇ/m3）,水（μｇ/m3）,木（μｇ/m3）,金（μｇ/m3）,土（μｇ/m3）,,,,
m＋ｐ-キシレン（m+p-Xylene）,4月,0.42,0.41,0.36,0.56,0.66,0.74,0.46,,,,
m＋ｐ-キシレン（m+p-Xylene）,5月,0.51,0.56,0.46,0.53,0.66,0.77,0.73,,,,
m＋ｐ-キシレン（m+p-Xylene）,6月,0.79,0.64,0.7,0.65,0.73,0.99,0.77,,,,
m＋ｐ-キシレン（m+p-Xylene）,7月,0.76,0.93,1.1,1.1,0.83,0.85,1,,,,
m＋ｐ-キシレン（m+p-Xylene）,8月,0.56,0.64,0.54,0.74,0.74,0.67,0.85,,,,
m＋ｐ-キシレン（m+p-Xylene）,9月,0.69,0.71,0.93,0.82,0.93,0.93,0.87,,,,
m＋ｐ-キシレン（m+p-Xylene）,10月,0.72,0.59,0.87,1,1,0.66,0.79,,,,
m＋ｐ-キシレン（m+p-Xylene）,11月,0.97,0.89,0.96,1.4,1.1,1.1,1.3,,,,
m＋ｐ-キシレン（m+p-Xylene）,12月,1.3,1.7,1.1,2,1.9,0.99,0.87,,,,
m＋ｐ-キシレン（m+p-Xylene）,1月,0.64,1.1,0.79,1,1.1,0.93,0.79,,,,
m＋ｐ-キシレン（m+p-Xylene）,2月,0.56,0.76,1.1,0.93,0.86,1.1,0.95,,,,
m＋ｐ-キシレン（m+p-Xylene）,3月,0.4,0.46,0.57,0.65,0.5,0.58,0.54,,,,
m＋ｐ-キシレン（m+p-Xylene）,平均,0.69,0.78,0.78,0.96,0.92,0.86,0.82,,,,
,曜日,日（μｇ/m3）,月（μｇ/m3）,火（μｇ/m3）,水（μｇ/m3）,木（μｇ/m3）,金（μｇ/m3）,土（μｇ/m3）,,,,
o-キシレン（o-Xylene）,4月,0.18,0.16,0.15,0.21,0.26,0.28,0.17,,,,
o-キシレン（o-Xylene）,5月,0.21,0.23,0.17,0.21,0.26,0.3,0.29,,,,
o-キシレン（o-Xylene）,6月,0.32,0.25,0.29,0.25,0.28,0.41,0.3,,,,
o-キシレン（o-Xylene）,7月,0.29,0.35,0.4,0.42,0.31,0.32,0.39,,,,
o-キシレン（o-Xylene）,8月,0.23,0.27,0.22,0.29,0.28,0.25,0.34,,,,
o-キシレン（o-Xylene）,9月,0.29,0.3,0.36,0.33,0.37,0.37,0.34,,,,
o-キシレン（o-Xylene）,10月,0.29,0.23,0.33,0.42,0.39,0.25,0.31,,,,
o-キシレン（o-Xylene）,11月,0.38,0.34,0.36,0.51,0.39,0.4,0.48,,,,
o-キシレン（o-Xylene）,12月,0.49,0.62,0.42,0.73,0.72,0.36,0.33,,,,
o-キシレン（o-Xylene）,1月,0.25,0.39,0.29,0.37,0.43,0.35,0.29,,,,
o-キシレン（o-Xylene）,2月,0.23,0.31,0.38,0.36,0.34,0.46,0.38,,,,
o-キシレン（o-Xylene）,3月,0.18,0.19,0.23,0.26,0.2,0.23,0.22,,,,
o-キシレン（o-Xylene）,平均,0.28,0.3,0.3,0.36,0.35,0.33,0.32,,,,
,曜日,日（μｇ/m3）,月（μｇ/m3）,火（μｇ/m3）,水（μｇ/m3）,木（μｇ/m3）,金（μｇ/m3）,土（μｇ/m3）,,,,
総キシレン（total-Xylen）,4月,0.6,0.58,0.5,0.77,0.92,1,0.63,,,,
総キシレン（total-Xylen）,5月,0.72,0.79,0.63,0.74,0.92,1.1,1,,,,
総キシレン（total-Xylen）,6月,1.1,0.88,0.98,0.9,1,1.4,1.1,,,,
総キシレン（total-Xylen）,7月,1.1,1.3,1.5,1.5,1.1,1.2,1.4,,,,
総キシレン（total-Xylen）,8月,0.79,0.91,0.77,1,1,0.92,1.2,,,,
総キシレン（total-Xylen）,9月,0.97,1,1.3,1.2,1.3,1.3,1.2,,,,
総キシレン（total-Xylen）,10月,1,0.81,1.2,1.5,1.4,0.92,1.1,,,,
総キシレン（total-Xylen）,11月,1.4,1.2,1.3,1.9,1.5,1.5,1.7,,,,
総キシレン（total-Xylen）,12月,1.8,2.3,1.5,2.8,2.6,1.4,1.2,,,,
総キシレン（total-Xylen）,1月,0.89,1.5,1.1,1.4,1.6,1.3,1.1,,,,
総キシレン（total-Xylen）,2月,0.79,1.1,1.5,1.3,1.2,1.6,1.3,,,,
総キシレン（total-Xylen）,3月,0.58,0.66,0.8,0.91,0.69,0.81,0.76,,,,
総キシレン（total-Xylen）,平均,0.97,1.1,1.1,1.3,1.3,1.2,1.1,,,,
,曜日,日（μｇ/m3）,月（μｇ/m3）,火（μｇ/m3）,水（μｇ/m3）,木（μｇ/m3）,金（μｇ/m3）,土（μｇ/m3）,,,,
エチルベンゼン（Ethylbenzene）,4月,0.34,0.45,0.39,0.7,0.86,0.88,0.49,,,,
エチルベンゼン（Ethylbenzene）,5月,0.45,0.59,0.57,0.59,0.81,0.92,0.84,,,,
エチルベンゼン（Ethylbenzene）,6月,0.66,0.62,0.8,0.8,0.94,1,0.76,,,,
エチルベンゼン（Ethylbenzene）,7月,0.58,0.98,1.1,1.3,0.96,0.98,1.1,,,,
エチルベンゼン（Ethylbenzene）,8月,0.42,0.58,0.61,0.86,0.93,0.85,1,,,,
エチルベンゼン（Ethylbenzene）,9月,0.61,0.7,1.1,0.9,1.2,1.1,1,,,,
エチルベンゼン（Ethylbenzene）,10月,0.66,0.61,1.2,1.4,1.5,0.95,0.9,,,,
エチルベンゼン（Ethylbenzene）,11月,0.99,0.96,1.3,2.2,1.6,1.6,1.5,,,,
エチルベンゼン（Ethylbenzene）,12月,1.3,2.2,1.4,2.9,2.7,1.4,1,,,,
エチルベンゼン（Ethylbenzene）,1月,0.63,1.3,1.1,1.3,1.5,1.1,0.9,,,,
エチルベンゼン（Ethylbenzene）,2月,0.63,0.98,1.6,1.4,1.4,1.6,1.3,,,,
エチルベンゼン（Ethylbenzene）,3月,0.45,0.58,0.84,0.95,0.75,0.84,0.81,,,,
エチルベンゼン（Ethylbenzene）,平均,0.65,0.88,0.99,1.3,1.3,1.1,0.98,,,,
,曜日,日（μｇ/m3）,月（μｇ/m3）,火（μｇ/m3）,水（μｇ/m3）,木（μｇ/m3）,金（μｇ/m3）,土（μｇ/m3）,,,,
スチレン（Styrene）,4月,0.07,0.08,0.08,0.11,0.15,0.16,0.09,,,,
スチレン（Styrene）,5月,0.09,0.11,0.12,0.13,0.14,0.16,0.13,,,,
スチレン（Styrene）,6月,0.18,0.17,0.19,0.13,0.18,0.25,0.19,,,,
スチレン（Styrene）,7月,0.17,0.22,0.23,0.25,0.22,0.18,0.22,,,,
スチレン（Styrene）,8月,0.12,0.16,0.17,0.21,0.17,0.17,0.21,,,,
スチレン（Styrene）,9月,0.14,0.18,0.27,0.18,0.18,0.21,0.18,,,,
スチレン（Styrene）,10月,0.16,0.13,0.24,0.27,0.22,0.2,0.25,,,,
スチレン（Styrene）,11月,0.2,0.21,0.31,0.37,0.25,0.26,0.25,,,,
スチレン（Styrene）,12月,0.28,0.37,0.25,0.56,0.49,0.24,0.24,,,,
スチレン（Styrene）,1月,0.21,0.38,0.29,0.43,0.44,0.32,0.26,,,,
スチレン（Styrene）,2月,0.18,0.31,0.35,0.41,0.36,0.57,0.36,,,,
スチレン（Styrene）,3月,0.15,0.19,0.24,0.29,0.2,0.2,0.2,,,,
スチレン（Styrene）,平均,0.16,0.21,0.23,0.28,0.25,0.24,0.22,,,,
,曜日,日（μｇ/m3）,月（μｇ/m3）,火（μｇ/m3）,水（μｇ/m3）,木（μｇ/m3）,金（μｇ/m3）,土（μｇ/m3）,,,,
"1,1－ジクロロエタン（1,1-Dichloroethane）",4月,0.01,0.01,0.01,0.01,0.01,0.01,0.01,,,,
"1,1－ジクロロエタン（1,1-Dichloroethane）",5月,0.01,0.01,0.01,0.01,0.01,0.01,0.01,,,,
"1,1－ジクロロエタン（1,1-Dichloroethane）",6月,0.01,0.01,0.01,0.01,0.01,0.01,0.01,,,,
"1,1－ジクロロエタン（1,1-Dichloroethane）",7月,0.01,0.01,0.01,0.01,0.01,0.01,0.01,,,,
"1,1－ジクロロエタン（1,1-Dichloroethane）",8月,0.01,0.01,0.01,0.01,0.01,0.01,0.01,,,,
"1,1－ジクロロエタン（1,1-Dichloroethane）",9月,0.01,0.01,0.01,0.01,0.01,0.01,0.01,,,,
"1,1－ジクロロエタン（1,1-Dichloroethane）",10月,0.01,0.01,0.01,0.01,0.01,0.01,0.01,,,,
"1,1－ジクロロエタン（1,1-Dichloroethane）",11月,0.01,0.01,0.01,0.01,0.01,0.01,0.01,,,,
"1,1－ジクロロエタン（1,1-Dichloroethane）",12月,0.01,0.01,0.01,0.01,0.01,0.01,0.01,,,,
"1,1－ジクロロエタン（1,1-Dichloroethane）",1月,0.01,0.01,0.01,0.01,0.01,0.01,0.01,,,,
"1,1－ジクロロエタン（1,1-Dichloroethane）",2月,0.01,0.01,0.01,0.01,0.01,0.01,0.01,,,,
"1,1－ジクロロエタン（1,1-Dichloroethane）",3月,0.01,0.01,0.01,0.01,0.01,0.01,0.01,,,,
"1,1－ジクロロエタン（1,1-Dichloroethane）",平均,0.01,0.01,0.01,0.01,0.01,0.01,0.01,,,,
,曜日,日（μｇ/m3）,月（μｇ/m3）,火（μｇ/m3）,水（μｇ/m3）,木（μｇ/m3）,金（μｇ/m3）,土（μｇ/m3）,,,,
四塩化炭素（Carbon Tetrachloride）,4月,0.39,0.39,0.39,0.39,0.38,0.39,0.39,,,,
四塩化炭素（Carbon Tetrachloride）,5月,0.41,0.41,0.41,0.4,0.4,0.41,0.41,,,,
四塩化炭素（Carbon Tetrachloride）,6月,0.46,0.45,0.49,0.46,0.47,0.47,0.46,,,,
四塩化炭素（Carbon Tetrachloride）,7月,0.54,0.46,0.45,0.45,0.44,0.44,0.45,,,,
四塩化炭素（Carbon Tetrachloride）,8月,0.41,0.4,0.39,0.39,0.39,0.39,0.39,,,,
四塩化炭素（Carbon Tetrachloride）,9月,0.42,0.42,0.42,0.42,0.42,0.42,0.42,,,,
四塩化炭素（Carbon Tetrachloride）,10月,0.4,0.39,0.4,0.41,0.41,0.4,0.4,,,,
四塩化炭素（Carbon Tetrachloride）,11月,0.44,0.44,0.45,0.46,0.46,0.46,0.46,,,,
四塩化炭素（Carbon Tetrachloride）,12月,0.52,0.53,0.53,0.53,0.53,0.52,0.52,,,,
四塩化炭素（Carbon Tetrachloride）,1月,0.41,0.41,0.39,0.41,0.41,0.41,0.41,,,,
四塩化炭素（Carbon Tetrachloride）,2月,0.4,0.4,0.4,0.41,0.4,0.4,0.39,,,,
四塩化炭素（Carbon Tetrachloride）,3月,0.37,0.37,0.36,0.36,0.36,0.36,0.36,,,,
四塩化炭素（Carbon Tetrachloride）,平均,0.43,0.42,0.42,0.42,0.42,0.42,0.42,,,,
