台帳番号	全解除	年度	文書記号	種別	番号	所在地	起点（地番）	起点ｘ座標	起点ｙ座標	回転角（度分秒）	調査区画数	調査種別（土壌概況/土壌詳細/地下水代表地点/地下水対象地境界/地下水詳細）	地点種別（一部対象混合/一部対象個別/全部対象/第一種代表地点/第二種・第三種代表地点）	評価区画	採取区画	深度(m)	標高(TPm)	標高(APm)	TCE_GAS(ppm)	PCE_GAS(ppm)	DCM_GAS(ppm)	VC_GAS(ppm)	CCl4_GAS(ppm)	EDC_GAS(ppm)	"1,1-DCE_GAS(ppm)"	"1,2-DCE_GAS(ppm)"	"1,1,1-TCE_GAS(ppm)"	"1,1,2-TCE_GAS(ppm)"	"1,3-DCP_GAS(ppm)"	Bz_GAS(ppm)	TCE_GAS(WATER）(mg/l)	PCE_GAS(WATER）(mg/l)	DCM_GAS(WATER）(mg/l)	VC_GAS(WATER）(mg/l)	CCl4_GAS(WATER）(mg/l)	EDC_GAS(WATER）(mg/l)	"1,1-DCE_GAS(WATER）(mg/l)"	"1,2-DCE_GAS(WATER）(mg/l)"	"1,1,1-TCE_GAS(WATER）(mg/l)"	"1,1,2-TCE_GAS(WATER）(mg/l)"	"1,3-DCP_GAS(WATER）(mg/l)"	Bz_GAS(WATER）(mg/l)	TCE_Elu(mg/l)	PCE_Elu(mg/l)	DCM_Elu(mg/l)	VC_Elu(mg/l)	CCl4_Elu(mg/l)	EDC_Elu(mg/l)	"1,1-DCE_Elu(mg/l)"	"1,2-DCE_Elu(mg/l)"	"1,1,1-TCE_Elu(mg/l)"	"1,1,2-TCE_Elu(mg/l)"	"1,3-DCP_Elu(mg/l)"	Bz_Elu(mg/l)	Cd_Elu(mg/l)	CN_Elu(mg/l)	Pb_Elu(mg/l)	Cr6+_Elu(mg/l)	As_Elu(mg/l)	Hg_Elu(mg/l)	Se_Elu(mg/l)	B_Elu(mg/l)	F_Elu(mg/l)	有機リン_Elu(mg/l)	PCB_Elu(mg/l)	チウラム_Elu(mg/l)	シマジン_Elu(mg/l)	チオベンカルブ_Elu(mg/l)	Cd_Con(mg/kg)	CN_Con(mg/kg)	Pb_Con(mg/kg)	Cr6+_Con(mg/kg)	As_Con(mg/kg)	Hg_Con(mg/kg)	Se_Con(mg/kg)	B_Con(mg/kg)	F_Con(mg/kg)	TCE_Wat(mg/l)	PCE_Wat(mg/l)	DCM_Wat(mg/l)	VC_Wat(mg/l)	CCl4_Wat(mg/l)	EDC_Wat(mg/l)	"1,1-DCE_Wat(mg/l)"	"1,2-DCE_Wat(mg/l)"	"1,1,1-TCE_Wat(mg/l)"	"1,1,2-TCE_Wat(mg/l)"	"1,3-DCP_Wat(mg/l)"	Bz_Wat(mg/l)	Cd_Wat(mg/l)	CN_Wat(mg/l)	Pb_Wat(mg/l)	Cr6+_Wat(mg/l)	As_Wat(mg/l)	Hg_Wat(mg/l)	Se_Wat(mg/l)	B_Wat(mg/l)	F_Wat(mg/l)	有機リン_Wat(mg/l)	PCB_Wat(mg/l)	チウラム_Wat(mg/l)	シマジン_Wat(mg/l)	チオベンカルブ_Wat(mg/l)
S0012		31	環改化	土	171	北区堀船二丁目２６番３					1	土壌概況							不検出	不検出	不検出	不検出	不検出	不検出	不検出	不検出	不検出	不検出	不検出	不検出																									適合	適合	適合	適合	適合	適合	適合	適合	適合		適合				適合	適合	660	適合	適合	適合	適合	適合	適合																										
S0012		31	環改化	土	171	北区堀船二丁目２６番３					1	土壌詳細																																																											1600																																
S0068	○	31	環改化	土	172	港区三田一丁目１０２番１					204	土壌概況							不検出	不検出	不検出	不検出	不検出	不検出	不検出	不検出	不検出	不検出	不検出	不検出																									適合	適合	0.059	適合	適合	適合	適合	適合	適合		適合				適合	適合	2000	適合	適合	適合	適合	適合	適合																										
S0006	○	31	環改化	土	180	墨田区堤通二丁目１４０５－１外１０筆					28	土壌概況																																											適合	適合	適合	適合	0.019	適合	適合	適合	適合	適合	適合	適合	適合	適合	適合	適合	適合	適合	適合	適合	適合	適合	適合																										
S0006	○	31	環改化	土	180	墨田区堤通二丁目１４０５－１外１０筆					2	地下水代表地点																																																																																		適合									
S0006	○	31	環改化	土	180	墨田区堤通二丁目１４０５－１１外１筆					2	土壌詳細																																															0.014																																												
S0006	○	31	環改化	土	180	墨田区堤通二丁目１４０５－１１外１筆					2	地下水詳細																																																																																		適合									
S0014		31	環改化	土	222	足立区千住桜木２丁目４８番１					30	土壌概況																																																											940																																
S0014		31	環改化	土	222	足立区千住桜木２丁目４８番１					2	土壌詳細																																																											940																																
S0016		31	環改化	土	256	江東区南砂三丁目１１番１９外２５筆					60	土壌概況																		不検出																									適合	適合	適合	適合	0.09	適合	適合	適合	0.94		適合				適合	適合	480	適合	適合	適合	適合	適合	適合																										
S0016		31	環改化	土	256	江東区南砂三丁目１１番１９外２５筆					3	地下水代表地点																																																																																		0.035				1.1					
S0016		31	環改化	土	256	江東区南砂三丁目１１番１９外２５筆					1	地下水対象地境界																																																																																		適合				0.82					
S0021		31	環改化	土	260	江東区豊洲六丁目９番３					79	土壌概況																																										省略	省略	省略	省略	省略	省略	省略									省略	省略	省略	省略	省略	省略																													
S0029		31	環改化	土	285	北区西ケ原二丁目３番１					2	土壌概況							不検出	不検出		不検出			0.3	不検出	不検出			0.06													適合	適合		適合			適合	適合	適合			適合		適合	適合	適合		適合	適合	適合	1							適合	適合	適合		適合	適合	適合	適合																										
S0029		31	環改化	土	285	北区西ケ原二丁目３番１					1	地下水代表地点																																																																		適合	適合		適合			適合	適合	適合			適合									適合					
S0029		31	環改化	土	285	北区西ケ原二丁目３番１					1	土壌詳細																																																			1																																								
S0028		31	環改化	土	365	足立区千住曙町５６番４					20	土壌概況							不検出	不検出	不検出	不検出	不検出	不検出	不検出	不検出	不検出	不検出	不検出	不検出																									適合	適合	0.026	適合	適合	適合	適合	適合	適合						適合	適合	490	適合	適合	適合	適合	適合	適合																										
S0028		31	環改化	土	365	足立区千住曙町５６番４					1	地下水代表地点																																																																																適合											
S0028		31	環改化	土	365	足立区千住曙町５６番４					6	土壌詳細																																													0.026														610																																
S0033		31	環改化	土	415	新島村式根島８０２番１外１筆					34	土壌概況							不検出	不検出	不検出	不検出	不検出	不検出	不検出	不検出	不検出	不検出	不検出	不検出																									適合	適合	適合	適合	適合	適合	適合	適合	1.2	適合	適合	適合	適合	適合	適合	適合	適合	適合	適合	適合	適合	適合	適合																										
S0033		31	環改化	土	415	新島村式根島８０２番１外１筆					1	土壌詳細																																																			1.4																																								
S0032		31	環改化	土	450	北区赤羽南２丁目１８４					8	土壌概況							不検出	不検出	不検出	不検出	不検出	不検出	不検出	不検出	不検出	不検出	不検出	不検出																									適合	適合	適合	0.53	適合	適合	適合	3.2	1.9		適合				適合	適合	480	適合	適合	適合	適合	適合	適合																										
S0032		31	環改化	土	450	北区赤羽南２丁目１８４					2	地下水代表地点																																																																																	適合				3.7	適合					
S0032		31	環改化	土	450	北区赤羽南２丁目１８４					1	地下水対象地境界																																																																																					2.7						
S0032		31	環改化	土	450	北区赤羽南２丁目１８４					4	土壌詳細																																														0.25				9.2	0.99								270																																
S0032		31	環改化	土	450	北区赤羽南２丁目１８４					3	地下水詳細																																																																																	適合				8.5						
S0080		31	環改化	土	456	江戸川区平井五丁目１７番１外４５筆					6	土壌概況							不検出	不検出		不検出			不検出	不検出	不検出																												適合		0.055	適合	0.021	適合		適合	適合		適合				適合		適合	適合	適合	適合		適合	適合																										
S0050		31	環改化	土	476	品川区東品川３丁目２６番２外１筆					17	土壌概況							0.1	不検出	不検出	不検出	不検出	不検出	不検出	不検出	不検出	不検出	不検出	不検出													省略	省略		省略			省略	省略					適合	適合	適合	適合	適合	適合	適合	適合	1.7		適合				適合	適合	適合	適合	適合	適合	適合	適合	適合																										
S0059		31	環改化	土	479	足立区堀之内一丁目１４番５外３筆					17	土壌概況							不検出	不検出	不検出	不検出	不検出	不検出	不検出	不検出	不検出	不検出	不検出	不検出																									適合	適合	0.026	0.11	0.011	適合	適合	適合	適合	適合	適合	適合	適合	適合	適合	適合	210	適合	適合	適合	適合	適合	適合																										
S0059		31	環改化	土	479	足立区堀之内一丁目１４番５外３筆					2	地下水代表地点																																																																																適合	適合	適合									
S0059		31	環改化	土	479	足立区堀之内一丁目１４番５外３筆					2	土壌詳細																																													0.041	0.11	0.011												210																																
S0059		31	環改化	土	479	足立区堀之内一丁目１４番５外３筆					2	地下水詳細																																																																																適合	適合	適合									
S0048		31	環改化	土	502	墨田区立花六丁目８６番					6	土壌概況							不検出	不検出	不検出	不検出	不検出	不検出	不検出	不検出	不検出	不検出	不検出	不検出																									適合	適合	適合	適合	0.07	適合	適合	適合	適合		適合				適合	適合	440	適合	適合	適合	適合	適合	適合																										
S0048		31	環改化	土	502	墨田区立花六丁目８６番					1	地下水代表地点																																																																																		0.02									
S0048		31	環改化	土	502	墨田区立花六丁目８６番					1	地下水対象地境界																																																																																		適合									
S0048		31	環改化	土	502	墨田区立花六丁目８６番					6	土壌詳細																																															0.03												440																																
S0053		31	環改化	土	507	品川区広町一丁目６６６番１					4	土壌概況							不検出	不検出	不検出	不検出	不検出	不検出	不検出	不検出	不検出	不検出	不検出	不検出																									適合	適合	適合	適合	1.1	適合	適合	適合	適合	適合	適合	適合	適合	適合	適合	適合	適合	適合	320	適合	適合	適合	適合																										
S0053		31	環改化	土	507	品川区広町一丁目６６６番１					1	地下水代表地点																																																																																		0.35									
S0053		31	環改化	土	507	品川区広町一丁目６６６番１					1	地下水対象地境界																																																																																		0.011									
S0053		31	環改化	土	507	品川区広町一丁目６６６番１					4	土壌詳細																																															0.13														320																														
S0053		31	環改化	土	507	品川区広町一丁目６６６番１					4	地下水詳細																																																																																		0.69									
S0092		31	環改化	土	535	世田谷区松原一丁目６０４－２外３筆					1	土壌詳細																																																											450																																
S0092		31	環改化	土	535	世田谷区桜上水五丁目４３８－１外１５筆					1	土壌詳細																																																											260																																
S0092		31	環改化	土	535	世田谷区上北沢四丁目４５４－１					4	土壌詳細																																																											400																																
S0047		31	環改化	土	539	足立区堀之内１丁目６６３－１外１００筆					35	土壌概況							不検出		不検出	不検出			不検出	不検出				不検出																									適合	適合	0.26	0.98	適合			適合			適合				適合	適合	21000	460	適合			適合																											
S0047		31	環改化	土	539	足立区堀之内１丁目６６３－１外１００筆					4	地下水代表地点																																																																																適合	適合										
S0047		31	環改化	土	539	足立区堀之内１丁目６６３－１外１００筆					12	土壌詳細																																													1	0.98													21000	460																															
S0047		31	環改化	土	539	足立区堀之内１丁目６６３－１外１００筆					2	地下水詳細																																																																																適合	適合										
S0046		31	環改化	土	542	大田区羽田一丁目２番２６					16	土壌概況							不検出	不検出	不検出	不検出	不検出	不検出	不検出	不検出	不検出	不検出	不検出	不検出	適合	適合	適合	適合	適合	適合	適合	適合	適合	適合	適合	適合													適合	適合	適合	適合	0.097	適合	適合	適合	0.86	適合	適合	適合	適合	適合	適合	適合	適合	適合	適合	適合	適合	適合	適合																										
S0046		31	環改化	土	542	大田区羽田一丁目２番２６					3	地下水代表地点																																																																																		適合				適合					
S0065		31	環改化	土	557	墨田区墨田五丁目３１０番６					4	土壌概況							不検出	不検出	不検出		不検出	不検出	不検出		不検出	不検出	不検出	不検出																									適合	適合	適合	適合	0.26	適合	適合	適合	適合	適合	適合	適合	適合	適合	適合	適合	適合	適合	適合	適合	適合	適合	適合																										
S0065		31	環改化	土	557	墨田区墨田五丁目３１０番６					1	地下水代表地点																																																																																		0.071									
S0065		31	環改化	土	557	墨田区墨田五丁目３１０番６					1	地下水対象地境界																																																																																		適合									
S0065		31	環改化	土	557	墨田区墨田五丁目３１０番					4	土壌詳細																																															5.2																																												
S0065		31	環改化	土	557	墨田区墨田五丁目３１０番					2	地下水詳細																																																																																		適合									
S0045		31	環改化	土	565	北区浮間一丁目３番１					30	土壌概況							0.1	不検出	0.6	不検出	不検出	不検出	不検出		不検出	不検出	不検出	不検出													適合	適合	適合	適合	適合	適合	適合						適合	適合	適合	適合	適合	適合	適合	適合	1.2		適合				適合	適合	160	適合	適合	適合	適合	適合	適合																										
S0045		31	環改化	土	565	北区浮間一丁目３番１					2	地下水代表地点																																																																		適合	適合	0.033	適合	適合	適合	適合														1.1					
S0045		31	環改化	土	565	北区浮間一丁目３番１					1	地下水対象地境界																																																																																						1.1					
S0045		31	環改化	土	565	北区浮間一丁目３番１					2	土壌詳細																																																			1.2								160																																
S0044		31	環改化	土	569	品川区西五反田八丁目４番１					18	土壌概況							不検出	不検出	不検出	不検出	不検出	不検出	不検出	不検出	不検出	不検出	不検出	不検出																									適合	適合	0.012	0.052	0.016	適合	適合	適合	適合		適合				適合	適合	適合	適合	適合	適合	適合	適合	適合																										
S0044		31	環改化	土	569	品川区西五反田八丁目４番１					1	地下水代表地点																																																																																適合	適合	適合									
S0044		31	環改化	土	569	品川区西五反田八丁目４番１					1	土壌詳細																																													0.012	0.052	0.016																																												
S0044		31	環改化	土	569	品川区西五反田八丁目４番１					1	地下水詳細																																																																																適合	適合	適合									
S0050		31	環改化	土	599	品川区東品川３丁目２６番２外１筆					1	土壌概況																															適合	適合		0.0022		0.016	適合																																																						
S0050		31	環改化	土	599	品川区東品川３丁目２６番２外１筆					1	地下水代表地点																																																																		適合	適合		0.066		0.032	適合																			
"指-1065
指-1129"	"
○"	31	環多改	三	19	日野市日野台３丁目１番２外２筆					47	土壌概況							不検出	不検出	不検出	不検出	不検出	不検出	不検出	不検出	不検出	不検出	不検出	不検出																									適合	適合	適合	0.07	適合	適合	適合	適合	適合		適合				適合	適合	260	適合	適合	適合	適合	適合	適合																										
指-1303		31	環多改	三	33	日野市百草９９９番１					1	土壌概況							3.6	130		0.2			不検出	4.6																	適合	0.36		適合			適合	適合																																																					
指-1303		31	環多改	三	33	日野市百草９９９番１					1	地下水代表地点																																																																		適合	0.07		0.26			適合	0.14																		
指-1143		31	環多改	三	41	調布市国領町八丁目９番１外５筆					95	土壌概況							不検出	0.4		不検出			不検出	不検出	不検出																適合	適合		適合			適合	適合						0.1	0.15	適合		適合		2.1								適合	2800	適合		適合		適合																											
指-1143		31	環多改	三	41	調布市国領町八丁目９番１外５筆					3	地下水代表地点																																																																		適合	適合		適合			適合	適合						適合	適合					適合						
指-1077		31	環改化	三	5	墨田区東駒形三丁目１２番１０					3	土壌概況							1.7			不検出			不検出	不検出																	省略													適合	0.13	0.16			0.038	3.9	3.5		適合					適合	400	適合			適合	適合	適合																										
指-1082		31	環改化	三	7	墨田区立花四丁目１６８番１０外２筆					10	土壌概況																																											0.04	2.4	0.15	0.12			0.023	1.1	29						適合	適合	300	適合			適合	適合	適合																										
指-1082		31	環改化	三	7	墨田区立花四丁目１６８番１０外２筆					6	土壌詳細																																											0.04	2.4	0.15	0.12			0.1	1.3	29								300																																
指-1082		31	環改化	三	7	墨田区立花四丁目１６８番１０外２筆					6	地下水詳細																																																																														適合	適合	適合	適合			適合	適合	1.5					
指-1088	○	31	環改化	三	8	足立区新田二丁目８番１１					1	土壌概況																																													0.42	0.56				2.2									1800	適合				適合																											
指-1088	○	31	環改化	三	8	足立区新田二丁目８番１１					1	土壌詳細																																													0.42	0.56				2.2									1800																																
指-1088	○	31	環改化	三	8	足立区新田二丁目８番１１					1	地下水詳細																																																																																適合	適合				適合						
指-1093	○	31	環改化	三	20	板橋区坂下一丁目２４番５					6	土壌概況							不検出	不検出		不検出			不検出	不検出	不検出																													0.46	0.027	2.7				適合	29							89	1400	適合				適合	適合																										
指-1093	○	31	環改化	三	20	板橋区坂下一丁目２４番５					4	土壌詳細																																												0.34	1	2.7					230							270	2800																																
指-1093	○	31	環改化	三	20	板橋区坂下一丁目２４番５					4	地下水詳細																																																																															適合	適合	適合					適合					
指-1118		31	環改化	三	28	大田区城南島４丁目８番５外１筆					24	土壌概況																																											適合	適合	適合		0.024										適合	適合	適合		適合																														
指-1096	○	31	環改化	三	29	足立区小台二丁目３３０番１					3	土壌概況							不検出			不検出			不検出	不検出																														0.2	0.11	0.19				適合	適合							適合	470	適合				適合	適合																										
指-1096	○	31	環改化	三	29	足立区小台二丁目３３０番１					3	地下水代表地点																																																																															適合	適合	適合										
指-1096	○	31	環改化	三	29	足立区小台二丁目３３０番１					3	土壌詳細																																												0.2	0.11	0.19													470																																
指-1096	○	31	環改化	三	29	足立区小台二丁目３３０番１					3	地下水詳細																																																																															適合	適合	適合										
指-1100	○	31	環改化	三	30	板橋区熊野町５番２８					2	土壌概況							7.6	不検出	不検出	不検出	不検出	不検出	不検出	不検出	不検出	不検出	不検出	不検出													適合			適合			適合	適合					適合	適合	適合	適合	適合	適合	適合	適合	適合	適合	適合	適合	適合	適合	適合	適合	290	適合	適合	適合	適合	適合	適合																										
指-1100	○	31	環改化	三	30	板橋区熊野町５番２８					1	地下水代表地点																																																																		適合			適合			適合	適合																		
指-1135	○	31	環改化	三	34	港区虎ノ門二丁目１０５					37	土壌概況							不検出	不検出	不検出	不検出			不検出	不検出																													適合	適合	適合	0.09	0.016	適合	適合	適合							適合	適合	適合	適合	適合	適合	適合	適合																											
指-1114	○	31	環改化	三	46	板橋区赤塚新町２丁目５１１番１					2	土壌概況							不検出	14	不検出	不検出	不検出	不検出	不検出	不検出	不検出	不検出	不検出	不検出													適合	0.12		適合			適合	適合					適合	適合	適合	適合	適合	適合	適合	適合	適合		適合				適合	適合	適合	適合	適合	適合	適合	適合	適合																										
指-1114	○	31	環改化	三	46	板橋区赤塚新町２丁目５１１番１					2	地下水代表地点																																																																		0.074	0.19		0.23			適合	1.5																		
指-1117		31	環改化	三	48	葛飾区東四つ木３丁目３０４番地５					3	土壌概況							1.8			不検出			不検出	不検出																	適合			0.0026			適合	適合						適合	0.068	1				2.3	2.1							適合	320	適合				適合	適合																										
指-1117		31	環改化	三	48	葛飾区東四つ木３丁目３０４番地５					1	地下水代表地点																																																																		適合			0.2			適合	適合																		
"指-1127
指-1128"	○	31	環改化	三	52	世田谷区経堂五丁目７１９番２外４筆					37	土壌概況							6.9	150	不検出	53	不検出		0.1	4.6				不検出													適合	2.5		適合			適合	適合					0.031	適合	適合							適合					適合	適合	230																																
"指-1127
指-1128"	○	31	環改化	三	52	世田谷区経堂五丁目７１９番２外４筆					17	地下水代表地点																																																																		適合	適合		適合			適合	適合																		
"指-1127
指-1128"	○	31	環改化	三	52	世田谷区経堂五丁目７１９番２外４筆					17	土壌詳細																															適合	2.5		適合			適合	適合					適合																230																																
"指-1127
指-1128"	○	31	環改化	三	52	世田谷区経堂五丁目７１９番２外４筆					17	地下水詳細																																																																		適合	適合		適合			適合	適合					適合													
指-1130	○	31	環改化	三	55	足立区関原三丁目１７４７番７外１筆					4	土壌概況																																												0.8						1.3								適合						適合																											
指-1130	○	31	環改化	三	55	足立区関原三丁目１７４７番７外１筆					1	地下水代表地点																																																																															適合						適合						
指-1130	○	31	環改化	三	55	足立区関原三丁目１７４７番７外１筆					1	土壌詳細																																												0.8						1.3																																									
指-1125	○	31	環改化	三	57	世田谷区世田谷１丁目３４６番１外１筆					2	土壌概況							不検出	1		不検出			不検出	不検出																	適合	0.011		適合			適合	適合													適合														適合																										
指-1125	○	31	環改化	三	57	世田谷区世田谷１丁目３４６番１外１筆					1	地下水代表地点																																																																		適合	適合		適合			適合	適合																		
指-1138		31	環改化	三	70	江東区塩浜二丁目１番１６					17	土壌概況																																											適合	適合	適合	適合	0.055	適合	適合	適合	適合	適合		適合	適合	適合	適合	適合	480	適合	適合	適合	適合	適合	適合																										
指-1138		31	環改化	三	70	江東区塩浜二丁目１番１６					9	土壌詳細																																															0.076												2100																																
指-1138		31	環改化	三	70	江東区塩浜二丁目１番１６					9	地下水詳細																																																																																		適合									
"指-1148
指-1174"		31	環改化	三	73	板橋区板橋二丁目６１番６					14	土壌概況							不検出	不検出	不検出	不検出	不検出	不検出	不検出	不検出	不検出	不検出	不検出	不検出																									適合	適合	適合	適合	適合	適合	適合	適合	4.3	適合	適合				適合	適合	1400	適合	適合	適合	適合	適合	適合																										
"指-1148
指-1174"		31	環改化	三	73	板橋区板橋二丁目６１番６					1	地下水代表地点																																																																																						適合					
"指-1148
指-1174"		31	環改化	三	73	板橋区板橋二丁目６１番６					2	土壌詳細																																																			6.9								1800																																
指-1146	○	31	環改化	三	81	板橋区小豆沢１丁目８番８					16	土壌概況							不検出	不検出	不検出	不検出	不検出	不検出	不検出	不検出	不検出	不検出	不検出	不検出																									適合	適合	適合	0.11	適合	適合	適合	適合	適合		適合				適合	適合	適合	適合	適合	適合	適合	適合	適合																										
指-1146	○	31	環改化	三	81	板橋区小豆沢１丁目８番８					1	地下水代表地点																																																																																	適合										
指-1146	○	31	環改化	三	81	板橋区小豆沢１丁目８番８					1	土壌詳細																																														0.11																																													
指-1146	○	31	環改化	三	81	板橋区小豆沢１丁目８番８					1	地下水詳細																																																																																	適合										
指-1155	○	31	環改化	三	86	北区浮間四丁目２３番１０					6	土壌概況							0.9	不検出	不検出	0.2	不検出	不検出	不検出	0.2	不検出	不検出	不検出	不検出													0.053			適合			適合	適合					適合	適合	適合	適合	適合	適合	適合	1.2	4.8		適合				適合	適合	370	適合	適合	適合	適合	適合	適合																										
指-1155	○	31	環改化	三	86	北区浮間四丁目２３番１０					1	地下水代表地点																																																																		適合			適合			適合	適合												適合	適合					
指-1155	○	31	環改化	三	86	北区浮間四丁目２３番１０					1	土壌詳細																																																		1.2	4.8								370																																
指-1149		31	環改化	三	91	大田区大森南二丁目３３３番１外１筆					3	土壌概況							34			不検出			不検出	不検出	0.48																0.042			適合			適合	適合	適合						0.017	150					0.87								適合	1900					適合																										
指-1149		31	環改化	三	91	大田区大森南二丁目３３３番１外１筆					3	地下水代表地点																																																																		適合			適合			適合	適合	適合						適合	2100					1.5					
