,曜日,日（μｇ/m3）,月（μｇ/m3）,火（μｇ/m3）,水（μｇ/m3）,木（μｇ/m3）,金（μｇ/m3）,土（μｇ/m3）
トリクロロエチレン（Trichloroethene）,2月,0.19,0.37,0.31,0.27,0.25,0.33,0.38
トリクロロエチレン（Trichloroethene）,3月,0.1,0.24,0.36,0.27,0.29,0.49,0.27
トリクロロエチレン（Trichloroethene）,平均,0.19,0.35,0.41,0.43,0.44,0.41,0.3
,曜日,日（μｇ/m3）,月（μｇ/m3）,火（μｇ/m3）,水（μｇ/m3）,木（μｇ/m3）,金（μｇ/m3）,土（μｇ/m3）
テトラクロロエチレン（Tetrachloroethene）,4月,0.06,0.08,0.09,0.09,0.06,0.05,0.1
テトラクロロエチレン（Tetrachloroethene）,5月,0.12,0.12,0.16,0.09,0.07,0.06,0.08
テトラクロロエチレン（Tetrachloroethene）,6月,0.2,0.17,0.12,0.14,0.13,0.23,0.19
テトラクロロエチレン（Tetrachloroethene）,7月,0.1,0.11,0.11,0.1,0.08,0.14,0.12
テトラクロロエチレン（Tetrachloroethene）,8月,0.1,0.08,0.07,0.07,0.05,0.06,0.07
テトラクロロエチレン（Tetrachloroethene）,9月,0.08,0.07,0.07,0.1,0.06,0.04,0.07
テトラクロロエチレン（Tetrachloroethene）,10月,0.09,0.17,0.09,0.11,0.1,0.12,0.09
テトラクロロエチレン（Tetrachloroethene）,11月,0.12,0.13,0.1,0.1,0.16,0.14,0.11
テトラクロロエチレン（Tetrachloroethene）,12月,0.16,0.29,0.29,0.24,0.25,0.16,0.14
テトラクロロエチレン（Tetrachloroethene）,1月,0.07,0.1,0.21,0.12,0.14,0.13,0.08
テトラクロロエチレン（Tetrachloroethene）,2月,0.08,0.1,0.08,0.07,0.07,0.09,0.11
テトラクロロエチレン（Tetrachloroethene）,3月,0.04,0.08,0.09,0.07,0.07,0.12,0.07
テトラクロロエチレン（Tetrachloroethene）,平均,0.1,0.13,0.12,0.11,0.1,0.11,0.1
,曜日,日（μｇ/m3）,月（μｇ/m3）,火（μｇ/m3）,水（μｇ/m3）,木（μｇ/m3）,金（μｇ/m3）,土（μｇ/m3）
ジクロロメタン（Dichloromethane）,4月,0.61,0.76,0.83,1.1,0.78,0.52,0.58
ジクロロメタン（Dichloromethane）,5月,0.61,0.8,1,0.91,0.84,0.64,0.72
ジクロロメタン（Dichloromethane）,6月,1,1.1,1.1,0.91,0.89,1.3,1.2
ジクロロメタン（Dichloromethane）,7月,0.7,0.59,0.99,0.63,0.74,1.1,0.68
ジクロロメタン（Dichloromethane）,8月,0.53,0.62,0.64,0.67,0.51,0.56,0.64
ジクロロメタン（Dichloromethane）,9月,0.6,0.67,0.66,0.76,0.73,0.59,0.74
ジクロロメタン（Dichloromethane）,10月,0.59,1.1,0.82,0.87,1.1,1.1,0.81
ジクロロメタン（Dichloromethane）,11月,0.66,1.1,1,1.2,1.5,1.1,0.98
ジクロロメタン（Dichloromethane）,12月,0.89,1.3,1.4,1.7,1.9,1.8,1.1
ジクロロメタン（Dichloromethane）,1月,0.65,0.81,1.2,1.2,1.4,1.3,1
ジクロロメタン（Dichloromethane）,2月,0.82,1.1,0.86,0.69,0.7,0.88,1.1
ジクロロメタン（Dichloromethane）,3月,0.54,0.69,0.87,0.9,0.7,1.2,0.87
ジクロロメタン（Dichloromethane）,平均,0.69,0.88,0.95,0.96,0.97,1,0.87
,曜日,日（μｇ/m3）,月（μｇ/m3）,火（μｇ/m3）,水（μｇ/m3）,木（μｇ/m3）,金（μｇ/m3）,土（μｇ/m3）
塩化ビニルモノマー（Vinylchloride）,4月,0.01,0.01,0.03,0.02,0.01,0.02,0.02
塩化ビニルモノマー（Vinylchloride）,5月,0.01,0.05,0.1,0.01,0.02,0.01,0.05
塩化ビニルモノマー（Vinylchloride）,6月,0.07,0.02,0.01,0.05,0.03,0.14,0.09
塩化ビニルモノマー（Vinylchloride）,7月,0.01,0.01,0.02,0.01,0.01,0.03,0.01
塩化ビニルモノマー（Vinylchloride）,8月,0.02,0.05,0.01,0.05,0.02,0.01,0.02
塩化ビニルモノマー（Vinylchloride）,9月,0.02,0.02,0.01,0.01,0.02,0.01,0.01
塩化ビニルモノマー（Vinylchloride）,10月,0.01,0.01,0.01,0.03,0.01,0.02,0.01
塩化ビニルモノマー（Vinylchloride）,11月,0.06,0.02,0.02,0.02,0.04,0.01,0.02
塩化ビニルモノマー（Vinylchloride）,12月,0.01,0.08,0.04,0.06,0.01,0.01,0.04
塩化ビニルモノマー（Vinylchloride）,1月,0.01,0.06,0.02,0.01,0.01,0.01,0.01
塩化ビニルモノマー（Vinylchloride）,2月,0.02,0.03,0.01,0.01,0.01,0.03,0.07
塩化ビニルモノマー（Vinylchloride）,3月,0.01,0.01,0.02,0.01,0.01,0.01,0.02
塩化ビニルモノマー（Vinylchloride）,平均,0.02,0.03,0.03,0.02,0.02,0.03,0.03
,曜日,日（μｇ/m3）,月（μｇ/m3）,火（μｇ/m3）,水（μｇ/m3）,木（μｇ/m3）,金（μｇ/m3）,土（μｇ/m3）
"1,3-ブタジエン（1,3-Butadiene）",4月,0.094,0.076,0.11,0.084,0.068,0.081,0.085
"1,3-ブタジエン（1,3-Butadiene）",5月,0.056,0.093,0.13,0.084,0.082,0.061,0.089
"1,3-ブタジエン（1,3-Butadiene）",6月,0.19,0.12,0.072,0.2,0.16,0.15,0.17
"1,3-ブタジエン（1,3-Butadiene）",7月,0.053,0.055,0.071,0.058,0.077,0.13,0.078
"1,3-ブタジエン（1,3-Butadiene）",8月,0.088,0.075,0.059,0.15,0.1,0.064,0.082
"1,3-ブタジエン（1,3-Butadiene）",9月,0.1,0.12,0.078,0.094,0.069,0.056,0.12
"1,3-ブタジエン（1,3-Butadiene）",10月,0.087,0.1,0.097,0.1,0.091,0.089,0.088
"1,3-ブタジエン（1,3-Butadiene）",11月,0.12,0.14,0.12,0.11,0.15,0.11,0.16
"1,3-ブタジエン（1,3-Butadiene）",12月,0.18,0.21,0.21,0.33,0.21,0.21,0.21
"1,3-ブタジエン（1,3-Butadiene）",1月,0.11,0.19,0.13,0.13,0.11,0.17,0.11
"1,3-ブタジエン（1,3-Butadiene）",2月,0.1,0.12,0.079,0.073,0.076,0.11,0.12
"1,3-ブタジエン（1,3-Butadiene）",3月,0.052,0.11,0.081,0.07,0.18,0.11,0.086
"1,3-ブタジエン（1,3-Butadiene）",平均,0.1,0.12,0.1,0.12,0.11,0.11,0.12
,曜日,日（μｇ/m3）,月（μｇ/m3）,火（μｇ/m3）,水（μｇ/m3）,木（μｇ/m3）,金（μｇ/m3）,土（μｇ/m3）
アクリロニトリル（Acrylonitrile）,4月,0.05,0.05,0.16,0.1,0.13,0.12,0.13
アクリロニトリル（Acrylonitrile）,5月,0.1,0.18,0.17,0.1,0.08,0.14,0.08
アクリロニトリル（Acrylonitrile）,6月,0.16,0.16,0.05,0.1,0.08,0.07,0.1
アクリロニトリル（Acrylonitrile）,7月,0.03,0.04,0.08,0.05,0.04,0.1,0.03
アクリロニトリル（Acrylonitrile）,8月,0.05,0.12,0.07,0.16,0.16,0.07,0.05
アクリロニトリル（Acrylonitrile）,9月,0.08,0.03,0.02,0.07,0.06,0.03,0.04
アクリロニトリル（Acrylonitrile）,10月,0.03,0.04,0.04,0.05,0.03,0.06,0.05
アクリロニトリル（Acrylonitrile）,11月,0.1,0.06,0.14,0.07,0.13,0.03,0.04
アクリロニトリル（Acrylonitrile）,12月,0.04,0.11,0.11,0.17,0.05,0.05,0.07
アクリロニトリル（Acrylonitrile）,1月,0.04,0.09,0.08,0.08,0.05,0.05,0.04
アクリロニトリル（Acrylonitrile）,2月,0.05,0.06,0.03,0.03,0.03,0.09,0.14
アクリロニトリル（Acrylonitrile）,3月,0.02,0.06,0.04,0.04,0.08,0.09,0.04
アクリロニトリル（Acrylonitrile）,平均,0.06,0.08,0.08,0.09,0.08,0.08,0.07
,曜日,日（μｇ/m3）,月（μｇ/m3）,火（μｇ/m3）,水（μｇ/m3）,木（μｇ/m3）,金（μｇ/m3）,土（μｇ/m3）
クロロホルム（Chloroform）,4月,0.1,0.11,0.12,0.11,0.1,0.08,0.09
クロロホルム（Chloroform）,5月,0.1,0.11,0.12,0.11,0.1,0.1,0.1
クロロホルム（Chloroform）,6月,0.19,0.15,0.15,0.15,0.14,0.15,0.15
クロロホルム（Chloroform）,7月,0.1,0.09,0.1,0.08,0.11,0.15,0.1
クロロホルム（Chloroform）,8月,0.1,0.1,0.1,0.12,0.09,0.09,0.1
クロロホルム（Chloroform）,9月,0.11,0.12,0.11,0.11,0.09,0.08,0.1
クロロホルム（Chloroform）,10月,0.09,0.12,0.11,0.12,0.11,0.1,0.1
クロロホルム（Chloroform）,11月,0.1,0.12,0.12,0.12,0.14,0.1,0.12
クロロホルム（Chloroform）,12月,0.12,0.14,0.16,0.15,0.16,0.15,0.11
クロロホルム（Chloroform）,1月,0.1,0.13,0.11,0.11,0.12,0.13,0.11
クロロホルム（Chloroform）,2月,0.11,0.11,0.09,0.09,0.09,0.1,0.1
クロロホルム（Chloroform）,3月,0.08,0.09,0.11,0.1,0.1,0.12,0.1
クロロホルム（Chloroform）,平均,0.11,0.12,0.12,0.11,0.11,0.11,0.11
,曜日,日（μｇ/m3）,月（μｇ/m3）,火（μｇ/m3）,水（μｇ/m3）,木（μｇ/m3）,金（μｇ/m3）,土（μｇ/m3）
"1,2－ジクロロエタン（1,2-Dichloroethane）",4月,0.12,0.13,0.11,0.093,0.1,0.08,0.084
"1,2－ジクロロエタン（1,2-Dichloroethane）",5月,0.099,0.14,0.17,0.11,0.1,0.09,0.1
"1,2－ジクロロエタン（1,2-Dichloroethane）",6月,0.19,0.17,0.16,0.19,0.13,0.25,0.2
"1,2－ジクロロエタン（1,2-Dichloroethane）",7月,0.13,0.077,0.071,0.073,0.089,0.11,0.066
"1,2－ジクロロエタン（1,2-Dichloroethane）",8月,0.085,0.093,0.11,0.12,0.063,0.065,0.082
"1,2－ジクロロエタン（1,2-Dichloroethane）",9月,0.082,0.086,0.08,0.077,0.069,0.058,0.099
"1,2－ジクロロエタン（1,2-Dichloroethane）",10月,0.071,0.081,0.077,0.077,0.07,0.067,0.082
"1,2－ジクロロエタン（1,2-Dichloroethane）",11月,0.11,0.078,0.09,0.079,0.086,0.073,0.11
"1,2－ジクロロエタン（1,2-Dichloroethane）",12月,0.095,0.1,0.11,0.11,0.11,0.11,0.084
"1,2－ジクロロエタン（1,2-Dichloroethane）",1月,0.096,0.089,0.088,0.086,0.1,0.093,0.11
"1,2－ジクロロエタン（1,2-Dichloroethane）",2月,0.1,0.1,0.09,0.082,0.092,0.09,0.085
"1,2－ジクロロエタン（1,2-Dichloroethane）",3月,0.1,0.087,0.14,0.14,0.09,0.11,0.11
"1,2－ジクロロエタン（1,2-Dichloroethane）",平均,0.11,0.1,0.11,0.1,0.092,0.099,0.1
,曜日,日（μｇ/m3）,月（μｇ/m3）,火（μｇ/m3）,水（μｇ/m3）,木（μｇ/m3）,金（μｇ/m3）,土（μｇ/m3）
トルエン（Toluene）,4月,1.5,1.9,3,3.7,2.7,1.6,1.9
トルエン（Toluene）,5月,2,2.4,3.1,3.2,2.6,3.3,3.1
トルエン（Toluene）,6月,5.4,4.2,3.9,4.3,4.7,7.8,7.9
トルエン（Toluene）,7月,2.4,3.3,3.7,2.6,4.8,4.7,3.4
トルエン（Toluene）,8月,2.6,2.7,2.6,2.9,2.7,2.7,3.1
トルエン（Toluene）,9月,2.9,3.1,3.3,3.5,2.7,2.5,3.7
トルエン（Toluene）,10月,3,5.1,4.4,5.3,5,4.2,4.1
トルエン（Toluene）,11月,3.7,5.3,4.2,5.7,8,5.5,5.1
トルエン（Toluene）,12月,6.2,7.3,8.3,8.4,10,10,6
トルエン（Toluene）,1月,3.8,4.6,5.8,5.6,6.8,7,4.8
トルエン（Toluene）,2月,4,4.3,3.5,3.4,3.6,4.5,5.8
トルエン（Toluene）,3月,1.3,2.5,3.1,2.5,3.1,5.1,3.3
トルエン（Toluene）,平均,3.2,3.9,4.1,4.3,4.7,4.9,4.3
,曜日,日（μｇ/m3）,月（μｇ/m3）,火（μｇ/m3）,水（μｇ/m3）,木（μｇ/m3）,金（μｇ/m3）,土（μｇ/m3）
m＋ｐ-キシレン（m+p-Xylene）,4月,0.31,0.35,0.62,0.58,0.45,0.31,0.4
m＋ｐ-キシレン（m+p-Xylene）,5月,0.4,0.51,0.56,0.5,0.47,0.41,0.42
m＋ｐ-キシレン（m+p-Xylene）,6月,1.1,0.97,0.84,0.87,0.97,1.3,1.2
m＋ｐ-キシレン（m+p-Xylene）,7月,0.5,0.58,0.83,0.55,0.77,0.99,0.65
m＋ｐ-キシレン（m+p-Xylene）,8月,0.63,0.65,0.6,0.68,0.57,0.65,0.67
m＋ｐ-キシレン（m+p-Xylene）,9月,0.77,0.87,0.69,0.74,0.67,0.62,0.82
m＋ｐ-キシレン（m+p-Xylene）,10月,0.73,1.1,1,1.1,0.99,0.89,0.92
m＋ｐ-キシレン（m+p-Xylene）,11月,0.88,1.1,1,1.1,1.6,1.1,1.1
m＋ｐ-キシレン（m+p-Xylene）,12月,1.5,2,2.3,2.2,2.4,2.5,1.7
m＋ｐ-キシレン（m+p-Xylene）,1月,0.86,1.4,1.2,1.3,1.5,1.4,1
m＋ｐ-キシレン（m+p-Xylene）,2月,0.81,0.84,0.54,0.57,0.59,0.82,1
m＋ｐ-キシレン（m+p-Xylene）,3月,0.29,0.54,0.58,0.44,0.66,0.84,0.56
m＋ｐ-キシレン（m+p-Xylene）,平均,0.73,0.91,0.91,0.87,0.97,1,0.88
,曜日,日（μｇ/m3）,月（μｇ/m3）,火（μｇ/m3）,水（μｇ/m3）,木（μｇ/m3）,金（μｇ/m3）,土（μｇ/m3）
o-キシレン（o-Xylene）,4月,0.14,0.15,0.26,0.24,0.18,0.14,0.17
o-キシレン（o-Xylene）,5月,0.17,0.21,0.22,0.2,0.18,0.16,0.17
o-キシレン（o-Xylene）,6月,0.46,0.39,0.32,0.35,0.38,0.54,0.49
o-キシレン（o-Xylene）,7月,0.2,0.22,0.31,0.2,0.28,0.38,0.25
o-キシレン（o-Xylene）,8月,0.25,0.26,0.23,0.27,0.23,0.25,0.26
o-キシレン（o-Xylene）,9月,0.32,0.35,0.26,0.29,0.26,0.24,0.33
o-キシレン（o-Xylene）,10月,0.29,0.43,0.39,0.39,0.36,0.33,0.37
o-キシレン（o-Xylene）,11月,0.36,0.43,0.37,0.4,0.59,0.43,0.43
o-キシレン（o-Xylene）,12月,0.59,0.77,0.87,0.84,0.91,0.91,0.65
o-キシレン（o-Xylene）,1月,0.34,0.54,0.45,0.48,0.54,0.55,0.4
o-キシレン（o-Xylene）,2月,0.34,0.33,0.23,0.22,0.23,0.33,0.41
o-キシレン（o-Xylene）,3月,0.12,0.22,0.23,0.18,0.26,0.33,0.22
o-キシレン（o-Xylene）,平均,0.3,0.36,0.35,0.34,0.37,0.38,0.35
,曜日,日（μｇ/m3）,月（μｇ/m3）,火（μｇ/m3）,水（μｇ/m3）,木（μｇ/m3）,金（μｇ/m3）,土（μｇ/m3）
総キシレン（total-Xylen）,4月,0.44,0.5,0.88,0.82,0.64,0.45,0.58
総キシレン（total-Xylen）,5月,0.56,0.72,0.79,0.7,0.65,0.57,0.59
総キシレン（total-Xylen）,6月,1.6,1.4,1.2,1.2,1.4,1.9,1.7
総キシレン（total-Xylen）,7月,0.7,0.8,1.1,0.75,1.1,1.4,0.9
総キシレン（total-Xylen）,8月,0.89,0.91,0.84,0.95,0.8,0.9,0.93
総キシレン（total-Xylen）,9月,1.1,1.2,0.95,1,0.93,0.86,1.2
総キシレン（total-Xylen）,10月,1,1.6,1.4,1.5,1.4,1.2,1.3
総キシレン（total-Xylen）,11月,1.2,1.5,1.4,1.5,2.2,1.6,1.6
総キシレン（total-Xylen）,12月,2.1,2.8,3.2,3,3.3,3.4,2.3
総キシレン（total-Xylen）,1月,1.2,1.9,1.7,1.8,2,2,1.4
総キシレン（total-Xylen）,2月,1.2,1.2,0.76,0.79,0.82,1.2,1.4
総キシレン（total-Xylen）,3月,0.41,0.75,0.81,0.62,0.92,1.2,0.78
総キシレン（total-Xylen）,平均,1,1.3,1.3,1.2,1.3,1.4,1.2
,曜日,日（μｇ/m3）,月（μｇ/m3）,火（μｇ/m3）,水（μｇ/m3）,木（μｇ/m3）,金（μｇ/m3）,土（μｇ/m3）
エチルベンゼン（Ethylbenzene）,4月,0.3,0.41,0.79,0.84,0.67,0.37,0.47
エチルベンゼン（Ethylbenzene）,5月,0.41,0.61,0.69,0.66,0.55,0.52,0.48
エチルベンゼン（Ethylbenzene）,6月,1,1.2,1.1,1.1,1.1,1.8,1.3
エチルベンゼン（Ethylbenzene）,7月,0.42,0.67,1.1,0.6,0.93,1.1,0.59
エチルベンゼン（Ethylbenzene）,8月,0.48,0.65,0.63,0.67,0.55,0.61,0.61
エチルベンゼン（Ethylbenzene）,9月,0.54,0.66,0.66,0.78,0.66,0.66,0.61
エチルベンゼン（Ethylbenzene）,10月,0.51,1.1,1,1.1,1.1,0.88,0.78
エチルベンゼン（Ethylbenzene）,11月,0.71,1.1,1.1,1.3,2,1.3,1.3
エチルベンゼン（Ethylbenzene）,12月,1,1.7,2.1,2,2.4,2.5,1.2
エチルベンゼン（Ethylbenzene）,1月,0.66,1.2,1.3,1.3,1.7,1.5,0.87
エチルベンゼン（Ethylbenzene）,2月,0.83,0.93,0.54,0.62,0.64,0.9,1.2
エチルベンゼン（Ethylbenzene）,3月,0.24,0.56,0.66,0.53,0.71,1.1,0.62
エチルベンゼン（Ethylbenzene）,平均,0.59,0.89,0.97,0.95,1.1,1.1,0.84
,曜日,日（μｇ/m3）,月（μｇ/m3）,火（μｇ/m3）,水（μｇ/m3）,木（μｇ/m3）,金（μｇ/m3）,土（μｇ/m3）
スチレン（Styrene）,4月,0.13,0.16,0.31,0.24,0.19,0.14,0.18
スチレン（Styrene）,5月,0.17,0.26,0.28,0.24,0.24,0.18,0.18
スチレン（Styrene）,6月,0.28,0.3,0.23,0.24,0.27,0.37,0.32
スチレン（Styrene）,7月,0.14,0.18,0.31,0.17,0.18,0.24,0.21
スチレン（Styrene）,8月,0.16,0.23,0.17,0.21,0.17,0.17,0.17
スチレン（Styrene）,9月,0.17,0.2,0.16,0.19,0.19,0.18,0.21
スチレン（Styrene）,10月,0.13,0.28,0.25,0.2,0.21,0.21,0.2
スチレン（Styrene）,11月,0.17,0.22,0.21,0.22,0.3,0.24,0.23
スチレン（Styrene）,12月,0.27,0.38,0.47,0.44,0.57,0.59,0.33
スチレン（Styrene）,1月,0.2,0.34,0.4,0.4,0.42,0.41,0.26
スチレン（Styrene）,2月,0.21,0.29,0.18,0.18,0.2,0.27,0.33
スチレン（Styrene）,3月,0.1,0.2,0.2,0.15,0.24,0.28,0.2
スチレン（Styrene）,平均,0.18,0.25,0.26,0.24,0.27,0.27,0.24
,曜日,日（μｇ/m3）,月（μｇ/m3）,火（μｇ/m3）,水（μｇ/m3）,木（μｇ/m3）,金（μｇ/m3）,土（μｇ/m3）
"1,1－ジクロロエタン（1,1-Dichloroethane）",4月,0.01,0.01,0.01,0.01,0.01,0.01,0.01
"1,1－ジクロロエタン（1,1-Dichloroethane）",5月,0.01,0.01,0.01,0.01,0.01,0.01,0.01
"1,1－ジクロロエタン（1,1-Dichloroethane）",6月,0.01,0.01,0.01,0.01,0.01,0.01,0.01
"1,1－ジクロロエタン（1,1-Dichloroethane）",7月,0.01,0.01,0.01,0.01,0.01,0.01,0.01
"1,1－ジクロロエタン（1,1-Dichloroethane）",8月,0.01,0.01,0.01,0.01,0.01,0.01,0.01
"1,1－ジクロロエタン（1,1-Dichloroethane）",9月,0.01,0.01,0.01,0.01,0.01,0.01,0.01
"1,1－ジクロロエタン（1,1-Dichloroethane）",10月,0.01,0.01,0.01,0.01,0.01,0.01,0.01
"1,1－ジクロロエタン（1,1-Dichloroethane）",11月,0.01,0.01,0.01,0.01,0.01,0.01,0.01
"1,1－ジクロロエタン（1,1-Dichloroethane）",12月,0.01,0.01,0.01,0.01,0.01,0.01,0.01
"1,1－ジクロロエタン（1,1-Dichloroethane）",1月,0.01,0.01,0.01,0.01,0.01,0.01,0.01
"1,1－ジクロロエタン（1,1-Dichloroethane）",2月,0.01,0.01,0.01,0.01,0.01,0.01,0.01
"1,1－ジクロロエタン（1,1-Dichloroethane）",3月,0.01,0.01,0.02,0.01,0.01,0.01,0.01
"1,1－ジクロロエタン（1,1-Dichloroethane）",平均,0.01,0.01,0.01,0.01,0.01,0.01,0.01
,曜日,日（μｇ/m3）,月（μｇ/m3）,火（μｇ/m3）,水（μｇ/m3）,木（μｇ/m3）,金（μｇ/m3）,土（μｇ/m3）
四塩化炭素（Carbon Tetrachloride）,4月,0.41,0.42,0.42,0.4,0.4,0.42,0.42
四塩化炭素（Carbon Tetrachloride）,5月,0.4,0.4,0.4,0.4,0.4,0.39,0.4
四塩化炭素（Carbon Tetrachloride）,6月,0.6,0.53,0.53,0.59,0.59,0.59,0.6
四塩化炭素（Carbon Tetrachloride）,7月,0.39,0.39,0.39,0.39,0.39,0.41,0.39
四塩化炭素（Carbon Tetrachloride）,8月,0.4,0.4,0.39,0.41,0.4,0.39,0.4
四塩化炭素（Carbon Tetrachloride）,9月,0.38,0.38,0.38,0.38,0.38,0.38,0.38
四塩化炭素（Carbon Tetrachloride）,10月,0.37,0.37,0.36,0.35,0.36,0.37,0.37
四塩化炭素（Carbon Tetrachloride）,11月,0.34,0.34,0.34,0.34,0.34,0.33,0.34
四塩化炭素（Carbon Tetrachloride）,12月,0.47,0.48,0.48,0.49,0.48,0.47,0.47
四塩化炭素（Carbon Tetrachloride）,1月,0.43,0.43,0.41,0.4,0.41,0.42,0.43
四塩化炭素（Carbon Tetrachloride）,2月,0.41,0.41,0.41,0.42,0.42,0.42,0.41
四塩化炭素（Carbon Tetrachloride）,3月,0.41,0.4,0.4,0.4,0.4,0.4,0.41
四塩化炭素（Carbon Tetrachloride）,平均,0.42,0.41,0.41,0.41,0.41,0.42,0.42
