測定物質,測定局名,測定局の区分,４月(μg/m3),５月(μg/m3),６月(μg/m3),７月(μg/m3),８月(μg/m3),９月(μg/m3),１０月(μg/m3),１１月(μg/m3),１２月(μg/m3),１月(μg/m3),２月(μg/m3),３月(μg/m3),年間(μg/m3),環境基準等(μg/m3)注1,定量下限値(μg/m3)注2,検出下限値(μg/m3)注2,公定法(μg/m3)注3(毎月24時間）
ﾃﾄﾗｸﾛﾛｴﾁﾚﾝ,板橋区氷川町,一般,0.38,0.29,0.21,0.14,0.15,0.16,0.2,,,,,,0.22,200,0.2,0.06,0.27
ﾃﾄﾗｸﾛﾛｴﾁﾚﾝ,環八通り八幡山,自排,0.11,0.11,0.13,0.08,0.1,0.13,0.13,0.23,0.17,0.11,0.09,0.09,0.12,200,0.2,0.06,0.24
ｼﾞｸﾛﾛﾒﾀﾝ,江東区大島,一般,1.63,1.41,1.55,1.02,1.13,1.87,2.62,2.69,2.59,,,2.4,1.81,150,0.05,0.02,―
ｼﾞｸﾛﾛﾒﾀﾝ,大田区東糀谷,一般,1.59,1.15,0.92,0.72,0.81,1.21,1.73,1.88,1.64,1.3,1.27,1.05,1.27,150,0.05,0.02,1.8
ｼﾞｸﾛﾛﾒﾀﾝ,板橋区氷川町,一般,0.92,0.96,1.3,0.77,0.85,0.99,1.05,,,,,,0.96,150,0.05,0.02,1.7
ｼﾞｸﾛﾛﾒﾀﾝ,環八通り八幡山,自排,0.8,0.8,1.01,0.59,0.72,0.89,1.18,1.45,1.33,0.76,0.87,0.78,0.92,150,0.05,0.02,1.5
塩化ﾋﾞﾆﾙﾓﾉﾏｰ,江東区大島,一般,0.12,0.05,0.07,0.02,0.04,0.03,0.04,0.03,0.04,,,0.05,0.05,10,0.03,0.01,―
塩化ﾋﾞﾆﾙﾓﾉﾏｰ,大田区東糀谷,一般,0.06,0.05,0.06,0.01,0.03,0.07,0.02,0.05,0.07,0.05,0.03,0.05,0.05,10,0.03,0.01,0.1
塩化ﾋﾞﾆﾙﾓﾉﾏｰ,板橋区氷川町,一般,0.02,0.03,0.01,0.01,0.02,0.01,0.01,,,,,,0.02,10,0.03,0.01,0.05
塩化ﾋﾞﾆﾙﾓﾉﾏｰ,環八通り八幡山,自排,0.02,0.02,0.02,0.01,0.02,0.03,0.01,0.03,0.03,0.02,0.03,0.02,0.02,10,0.03,0.01,0.06
"1,3-ﾌﾞﾀｼﾞｴﾝ",江東区大島,一般,0.11,0.13,0.13,0.14,0.17,0.08,0.09,0.08,0.11,,,0.08,0.12,2.5,0.02,0.006,―
"1,3-ﾌﾞﾀｼﾞｴﾝ",大田区東糀谷,一般,0.33,0.26,0.14,0.37,0.56,0.23,0.18,0.19,0.19,0.15,0.18,0.12,0.24,2.5,0.02,0.006,0.21
"1,3-ﾌﾞﾀｼﾞｴﾝ",板橋区氷川町,一般,0.06,0.06,0.11,0.05,0.07,0.07,0.06,,,,,,0.07,2.5,0.02,0.006,0.11
"1,3-ﾌﾞﾀｼﾞｴﾝ",環八通り八幡山,自排,0.11,0.12,0.09,0.07,0.1,0.13,0.16,0.17,0.17,0.11,0.1,0.09,0.12,2.5,0.02,0.006,0.14
ｱｸﾘﾛﾆﾄﾘﾙ,江東区大島,一般,0.18,0.19,0.18,0.25,0.32,0.23,0.11,0.06,0.07,,,0.08,0.18,2,0.1,0.03,―
ｱｸﾘﾛﾆﾄﾘﾙ,大田区東糀谷,一般,0.53,0.75,0.36,0.59,1.64,0.59,0.35,0.29,0.21,0.2,0.14,0.15,0.49,2,0.1,0.03,0.17
ｱｸﾘﾛﾆﾄﾘﾙ,板橋区氷川町,一般,0.05,0.09,0.09,0.07,0.1,0.06,0.03,,,,,,0.07,2,0.1,0.03,0.07
ｱｸﾘﾛﾆﾄﾘﾙ,環八通り八幡山,自排,0.08,0.12,0.08,0.1,0.15,0.15,0.08,0.11,0.09,0.06,0.05,0.05,0.09,2,0.1,0.03,0.11
ｸﾛﾛﾎﾙﾑ,江東区大島,一般,0.16,0.15,0.14,0.1,0.12,0.11,0.17,0.13,0.13,,,0.14,0.13,18,0.04,0.01,―
ｸﾛﾛﾎﾙﾑ,大田区東糀谷,一般,0.26,0.23,0.17,0.12,0.15,0.25,0.27,0.35,0.27,0.34,0.2,0.58,0.27,18,0.04,0.01,0.28
ｸﾛﾛﾎﾙﾑ,板橋区氷川町,一般,0.13,0.14,0.18,0.1,0.11,0.15,0.12,,,,,,0.13,18,0.04,0.01,0.23
ｸﾛﾛﾎﾙﾑ,環八通り八幡山,自排,0.12,0.13,0.13,0.09,0.1,0.12,0.12,0.14,0.13,0.09,0.1,0.1,0.11,18,0.04,0.01,0.18
"1,2-ｼﾞｸﾛﾛｴﾀﾝ",江東区大島,一般,0.18,0.16,0.14,0.06,0.06,0.12,0.11,0.14,0.12,,,0.15,0.12,1.6,0.02,0.006,―
"1,2-ｼﾞｸﾛﾛｴﾀﾝ",大田区東糀谷,一般,0.2,0.2,0.16,0.07,0.08,0.12,0.14,0.15,0.11,0.1,0.11,0.11,0.13,1.6,0.02,0.006,0.15
"1,2-ｼﾞｸﾛﾛｴﾀﾝ",板橋区氷川町,一般,0.15,0.14,0.17,0.06,0.06,0.1,0.08,,,,,,0.11,1.6,0.02,0.006,0.14
"1,2-ｼﾞｸﾛﾛｴﾀﾝ",環八通り八幡山,自排,0.13,0.13,0.13,0.06,0.07,0.11,0.11,0.14,0.12,0.09,0.09,0.1,0.1,1.6,0.02,0.006,0.13
ﾄﾙｴﾝ,江東区大島,一般,3.52,2.67,3.5,1.88,2.17,3.71,4.86,7.4,8.84,,,4.32,4.17,,0.1,0.03,―
ﾄﾙｴﾝ,大田区東糀谷,一般,6.02,5.29,5.07,3.27,4.22,5.51,7.06,8.82,9.3,5.95,6.26,4.97,6,,0.1,0.03,10
ﾄﾙｴﾝ,板橋区氷川町,一般,3.57,3.44,5.54,2.55,3.39,4.95,5.79,,,,,,4.03,,0.1,0.03,8.8
ﾄﾙｴﾝ,環八通り八幡山,自排,3.68,3.82,4.44,2.66,3.27,4.66,5.58,7.81,6.71,4.1,4.2,3.27,4.48,,0.1,0.03,6.8
m+p-ｷｼﾚﾝ,江東区大島,一般,0.67,0.66,1.1,0.65,0.55,0.75,0.75,1.09,1.31,,,0.82,0.83,,0.1,0.03,―
m+p-ｷｼﾚﾝ,大田区東糀谷,一般,1.31,1.29,1.18,1.04,1,1.05,1.24,1.62,1.8,1.15,1.17,0.85,1.23,,0.1,0.03,2
m+p-ｷｼﾚﾝ,板橋区氷川町,一般,1.29,1.92,3.51,3.77,3.8,3.74,3.18,,,,,,3.03,,0.1,0.03,1.6
m+p-ｷｼﾚﾝ,環八通り八幡山,自排,0.62,0.64,0.81,0.58,0.63,0.95,1.03,1.34,1.2,0.78,0.74,0.53,0.81,,0.1,0.03,1.4
o-ｷｼﾚﾝ,江東区大島,一般,0.27,0.27,0.41,0.26,0.23,0.29,0.28,0.4,0.47,,,0.32,0.32,,0.1,0.03,―
o-ｷｼﾚﾝ,大田区東糀谷,一般,0.54,0.51,0.46,0.4,0.44,0.41,0.45,0.57,0.63,0.43,0.43,0.33,0.47,,0.1,0.03,0.68
o-ｷｼﾚﾝ,板橋区氷川町,一般,0.66,1.04,1.86,2.17,2.12,2.02,1.6,,,,,,1.65,,0.1,0.03,0.55
o-ｷｼﾚﾝ,環八通り八幡山,自排,0.25,0.25,0.31,0.23,0.25,0.37,0.4,0.5,0.45,0.31,0.28,0.21,0.32,,0.1,0.03,0.49
総ｷｼﾚﾝ,江東区大島,一般,0.94,0.93,1.51,0.91,0.78,1.04,1.03,1.49,1.78,,,1.14,1.15,,0.2,0.06,―
総ｷｼﾚﾝ,大田区東糀谷,一般,1.85,1.8,1.64,1.44,1.44,1.46,1.69,2.19,2.43,1.58,1.6,1.18,1.69,,0.2,0.06,2.7
総ｷｼﾚﾝ,板橋区氷川町,一般,1.95,2.96,5.37,5.94,5.92,5.76,4.78,,,,,,4.68,,0.2,0.06,2.2
総ｷｼﾚﾝ,環八通り八幡山,自排,0.87,0.89,1.12,0.81,0.88,1.32,1.43,1.84,1.65,1.09,1.02,0.74,1.13,,0.2,0.06,1.9
ｴﾁﾙﾍﾞﾝｾﾞﾝ,江東区大島,一般,0.99,0.93,1.84,0.83,0.77,1.15,1.18,1.8,2.01,,,1.24,1.26,,0.1,0.02,―
ｴﾁﾙﾍﾞﾝｾﾞﾝ,大田区東糀谷,一般,1.65,1.68,1.6,1.39,1.36,1.5,1.87,2.45,2.79,1.58,1.52,1.23,1.73,,0.1,0.02,2.7
ｴﾁﾙﾍﾞﾝｾﾞﾝ,板橋区氷川町,一般,2.39,3.48,5.46,6.27,5.97,6.11,4.19,,,,,,4.9,,0.1,0.02,2.1
ｴﾁﾙﾍﾞﾝｾﾞﾝ,環八通り八幡山,自排,0.76,0.85,1.03,0.65,0.73,1.05,1.29,1.71,1.55,0.9,0.87,0.72,1,,0.1,0.02,1.6
ｽﾁﾚﾝ,江東区大島,一般,0.15,0.13,0.22,0.21,0.2,0.21,0.21,0.38,0.46,,,0.2,0.24,,0.05,0.02,―
ｽﾁﾚﾝ,大田区東糀谷,一般,0.27,0.57,0.29,0.35,0.87,0.32,0.29,0.39,0.37,0.22,0.21,0.16,0.36,,0.05,0.02,0.25
ｽﾁﾚﾝ,板橋区氷川町,一般,0.24,0.29,0.53,0.57,0.61,0.71,0.54,,,,,,0.5,,0.05,0.02,0.2
ｽﾁﾚﾝ,環八通り八幡山,自排,0.14,0.15,0.23,0.19,0.21,0.27,0.3,0.5,0.43,0.18,0.16,0.11,0.24,,0.05,0.02,0.21
"1,1-ｼﾞｸﾛﾛｴﾀﾝ",江東区大島,一般,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,,,0.01,0.01,,0.05,0.02,―
"1,1-ｼﾞｸﾛﾛｴﾀﾝ",大田区東糀谷,一般,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,,0.05,0.02,＜0.04
"1,1-ｼﾞｸﾛﾛｴﾀﾝ",板橋区氷川町,一般,0.01,0.01,0.01,0.01,0.01,0.01,0.01,,,,,,0.01,,0.05,0.02,＜0.04
"1,1-ｼﾞｸﾛﾛｴﾀﾝ",環八通り八幡山,自排,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,,0.05,0.02,＜0.04
四塩化炭素,江東区大島,一般,0.45,0.44,0.49,0.46,0.42,0.48,0.49,0.46,0.44,,,0.43,0.46,,0.3,0.09,―
四塩化炭素,大田区東糀谷,一般,0.71,0.59,0.54,0.45,0.46,0.47,0.56,0.48,0.39,0.39,0.41,0.39,0.48,,0.3,0.09,0.56
四塩化炭素,板橋区氷川町,一般,0.37,0.41,0.59,0.38,0.4,0.45,0.38,,,,,,0.43,,0.3,0.09,0.56
四塩化炭素,環八通り八幡山,自排,0.37,0.4,0.5,0.47,0.43,0.44,0.42,0.4,0.37,0.36,0.33,0.37,0.4,,0.3,0.09,0.56
注１：環境基本法第１６条に基づく大気環境基準*付きは環境中の有害大気汚染物質による健康リスクの低減を図るための指針となる数値（指針値）,,,,,,,,,,,,,,,,,,,
注２：VOC連続計稼働当初より使用してきた定量下限値および検出下限値,,,,,,,,,,,,,,,,,,,
VOC連続計においてはデータ収集率を確保するため下限値設定のための測定を行わず、稼動当初に測定した定量下限値、検出下限値を採用している。,,,,,,,,,,,,,,,,,,,
注３：江東区大島局では測定を行っていないため「－」と表記,,,,,,,,,,,,,,,,,,,
