,時間,1（μｇ/m3）,2（μｇ/m3）,3（μｇ/m3）,4（μｇ/m3）,5（μｇ/m3）,6（μｇ/m3）,7（μｇ/m3）,8（μｇ/m3）,9（μｇ/m3）,10（μｇ/m3）,11（μｇ/m3）,12（μｇ/m3）,13（μｇ/m3）,14（μｇ/m3）,15（μｇ/m3）,16（μｇ/m3）,17（μｇ/m3）,18（μｇ/m3）,19（μｇ/m3）,20（μｇ/m3）,21（μｇ/m3）,22（μｇ/m3）,23（μｇ/m3）,24（μｇ/m3）
ジクロロメタン（Dichloromethane）,4月,0.74,0.73,0.89,0.99,0.98,0.88,0.84,0.83,0.67,0.64,0.77,0.74,0.73,0.67,0.66,0.74,0.75,0.69,0.7,0.61,0.68,0.68,0.65,0.7
ジクロロメタン（Dichloromethane）,5月,0.65,0.62,0.77,0.77,0.89,0.98,0.97,0.85,0.81,0.73,0.78,0.85,0.85,0.74,0.78,0.77,0.79,0.81,0.73,0.82,0.7,0.67,0.66,0.68
ジクロロメタン（Dichloromethane）,6月,1.1,1.1,1,1.1,1.3,1.3,1.2,1.1,0.97,1.1,1,1.1,1,1.2,1.1,1.2,1,0.99,1,1,0.93,1.1,0.99,1
ジクロロメタン（Dichloromethane）,7月,0.8,0.74,0.7,0.72,0.71,0.73,0.72,0.73,0.7,1,0.84,0.87,0.87,0.81,0.86,0.82,0.94,0.84,0.74,0.66,0.64,0.69,0.78,0.81
ジクロロメタン（Dichloromethane）,8月,0.57,0.56,0.58,0.6,0.68,0.73,0.77,0.76,0.72,0.68,0.66,0.67,0.69,0.63,0.58,0.6,0.5,0.52,0.52,0.46,0.42,0.47,0.47,0.48
ジクロロメタン（Dichloromethane）,9月,0.59,0.67,0.82,0.85,0.76,0.79,0.8,0.76,0.67,0.68,0.73,0.89,0.61,0.61,0.67,0.7,0.65,0.64,0.66,0.62,0.55,0.54,0.52,0.56
ジクロロメタン（Dichloromethane）,10月,0.84,0.92,0.96,0.96,0.95,0.97,1.1,0.91,0.88,0.8,0.97,0.8,0.97,0.94,0.94,0.79,0.91,1.1,1.1,0.8,0.78,0.81,0.83,0.9
ジクロロメタン（Dichloromethane）,11月,1.3,1.2,1.1,1.1,1.1,1.1,1.1,1.1,1,1.1,1.1,0.92,0.86,0.68,0.69,0.8,0.79,1.1,1.1,1.1,1.3,1.4,1.3,1.3
ジクロロメタン（Dichloromethane）,12月,2.1,2,1.9,1.8,1.7,1.5,1.7,1.3,1.2,1.2,1,1.1,0.92,0.8,0.92,1.2,1.1,1.4,1.5,1.7,1.7,1.9,1.7,1.8
ジクロロメタン（Dichloromethane）,1月,1.4,1.6,1.4,1.3,1.3,1.3,1.2,1.1,0.92,0.86,0.79,0.69,0.7,0.66,0.64,0.8,0.84,1.1,1.2,1.2,1.1,1.1,1.2,1.4
ジクロロメタン（Dichloromethane）,2月,0.82,1.1,1.1,1.1,1.1,1.1,1.1,1.1,0.96,0.91,1,0.91,0.79,0.75,0.65,0.64,0.58,0.6,0.64,0.69,0.73,0.71,0.78,0.92
ジクロロメタン（Dichloromethane）,3月,0.88,0.93,0.93,0.99,1,1.1,1,1.1,0.91,0.8,0.82,0.86,0.75,0.73,0.66,0.75,0.68,0.68,0.7,0.64,0.6,0.77,0.8,0.81
ジクロロメタン（Dichloromethane）,平均,0.98,1,1,1,1,1,1,0.97,0.87,0.87,0.87,0.87,0.82,0.77,0.77,0.81,0.8,0.87,0.9,0.85,0.84,0.89,0.88,0.96
,時間,1（μｇ/m3）,2（μｇ/m3）,3（μｇ/m3）,4（μｇ/m3）,5（μｇ/m3）,6（μｇ/m3）,7（μｇ/m3）,8（μｇ/m3）,9（μｇ/m3）,10（μｇ/m3）,11（μｇ/m3）,12（μｇ/m3）,13（μｇ/m3）,14（μｇ/m3）,15（μｇ/m3）,16（μｇ/m3）,17（μｇ/m3）,18（μｇ/m3）,19（μｇ/m3）,20（μｇ/m3）,21（μｇ/m3）,22（μｇ/m3）,23（μｇ/m3）,24（μｇ/m3）
塩化ビニルモノマー（Vinylchloride）,4月,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.06,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.02,0.02,0.02
塩化ビニルモノマー（Vinylchloride）,5月,0.03,0.07,0.02,0.02,0.03,0.05,0.02,0.01,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.01,0.03,0.04,0.19,0.03,0.03,0.03,0.01,0.01
塩化ビニルモノマー（Vinylchloride）,6月,0.06,0.05,0.05,0.08,0.12,0.11,0.1,0.06,0.06,0.05,0.04,0.03,0.03,0.05,0.08,0.08,0.03,0.04,0.03,0.04,0.02,0.02,0.02,0.07
塩化ビニルモノマー（Vinylchloride）,7月,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.03,0.03,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.03,0.02,0.04
塩化ビニルモノマー（Vinylchloride）,8月,0.07,0.05,0.06,0.06,0.04,0.02,0.02,0.03,0.02,0.01,0.02,0.02,0.04,0.01,0.02,0.01,0.01,0.02,0.02,0.02,0.02,0.01,0.01,0.03
塩化ビニルモノマー（Vinylchloride）,9月,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.03,0.03,0.02,0.03,0.01,0.02
塩化ビニルモノマー（Vinylchloride）,10月,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.03,0.03,0.04,0.01,0.01,0.02,0.02,0.01,0.01,0.01
塩化ビニルモノマー（Vinylchloride）,11月,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.03,0.02,0.01,0.05,0.06,0.05,0.05,0.05,0.06,0.04,0.04,0.03,0.03,0.01
塩化ビニルモノマー（Vinylchloride）,12月,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.02,0.03,0.03,0.05,0.1,0.07,0.14,0.15,0.09,0.04,0.03,0.02
塩化ビニルモノマー（Vinylchloride）,1月,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.05,0.04,0.04,0.04,0.04,0.03,0.03,0.02,0.01,0.01
塩化ビニルモノマー（Vinylchloride）,2月,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.03,0.02,0.01,0.02,0.03,0.05,0.05,0.04,0.05,0.06,0.04,0.02,0.01
塩化ビニルモノマー（Vinylchloride）,3月,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.02,0.03,0.02,0.02,0.02,0.01,0.02,0.02,0.02,0.01
塩化ビニルモノマー（Vinylchloride）,平均,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.03,0.03,0.03,0.03,0.1,0.04,0.03,0.03,0.02,0.02
,時間,1（μｇ/m3）,2（μｇ/m3）,3（μｇ/m3）,4（μｇ/m3）,5（μｇ/m3）,6（μｇ/m3）,7（μｇ/m3）,8（μｇ/m3）,9（μｇ/m3）,10（μｇ/m3）,11（μｇ/m3）,12（μｇ/m3）,13（μｇ/m3）,14（μｇ/m3）,15（μｇ/m3）,16（μｇ/m3）,17（μｇ/m3）,18（μｇ/m3）,19（μｇ/m3）,20（μｇ/m3）,21（μｇ/m3）,22（μｇ/m3）,23（μｇ/m3）,24（μｇ/m3）
"1,3-ブタジエン（1,3-Butadiene）",4月,0.077,0.07,0.065,0.077,0.071,0.11,0.11,0.13,0.092,0.081,0.087,0.11,0.077,0.064,0.065,0.062,0.069,0.065,0.082,0.075,0.092,0.089,0.14,0.097
"1,3-ブタジエン（1,3-Butadiene）",5月,0.051,0.04,0.04,0.037,0.047,0.061,0.067,0.094,0.08,0.064,0.067,0.062,0.064,0.065,0.069,0.082,0.13,0.16,0.12,0.12,0.19,0.13,0.094,0.06
"1,3-ブタジエン（1,3-Butadiene）",6月,0.16,0.11,0.21,0.17,0.098,0.13,0.11,0.16,0.14,0.11,0.12,0.14,0.1,0.091,0.097,0.13,0.098,0.1,0.13,0.16,0.2,0.17,0.19,0.3
"1,3-ブタジエン（1,3-Butadiene）",7月,0.05,0.057,0.04,0.051,0.06,0.085,0.086,0.11,0.089,0.089,0.083,0.075,0.073,0.078,0.079,0.066,0.059,0.07,0.087,0.084,0.077,0.08,0.09,0.097
"1,3-ブタジエン（1,3-Butadiene）",8月,0.16,0.093,0.093,0.1,0.09,0.12,0.11,0.14,0.081,0.065,0.056,0.063,0.082,0.044,0.062,0.042,0.047,0.055,0.075,0.091,0.11,0.1,0.13,0.09
"1,3-ブタジエン（1,3-Butadiene）",9月,0.071,0.056,0.054,0.084,0.071,0.061,0.1,0.17,0.096,0.11,0.077,0.076,0.057,0.067,0.065,0.1,0.087,0.095,0.1,0.11,0.11,0.12,0.15,0.11
"1,3-ブタジエン（1,3-Butadiene）",10月,0.071,0.067,0.055,0.064,0.054,0.074,0.12,0.12,0.13,0.082,0.078,0.068,0.07,0.069,0.084,0.093,0.12,0.12,0.14,0.14,0.12,0.1,0.11,0.09
"1,3-ブタジエン（1,3-Butadiene）",11月,0.12,0.091,0.074,0.081,0.088,0.12,0.14,0.17,0.13,0.11,0.093,0.08,0.067,0.074,0.091,0.1,0.14,0.34,0.25,0.2,0.15,0.14,0.13,0.14
"1,3-ブタジエン（1,3-Butadiene）",12月,0.18,0.19,0.17,0.21,0.15,0.15,0.26,0.23,0.21,0.15,0.13,0.12,0.098,0.11,0.1,0.16,0.4,0.36,0.44,0.44,0.32,0.3,0.33,0.23
"1,3-ブタジエン（1,3-Butadiene）",1月,0.12,0.11,0.089,0.12,0.13,0.1,0.11,0.16,0.11,0.13,0.1,0.07,0.07,0.077,0.09,0.11,0.14,0.24,0.25,0.23,0.25,0.18,0.16,0.13
"1,3-ブタジエン（1,3-Butadiene）",2月,0.066,0.06,0.067,0.081,0.08,0.095,0.11,0.14,0.1,0.095,0.079,0.07,0.084,0.064,0.1,0.11,0.084,0.11,0.16,0.15,0.14,0.14,0.082,0.081
"1,3-ブタジエン（1,3-Butadiene）",3月,0.073,0.064,0.056,0.12,0.056,0.098,0.12,0.11,0.11,0.076,0.081,0.08,0.068,0.072,0.077,0.066,0.066,0.089,0.12,0.1,0.11,0.24,0.17,0.1
"1,3-ブタジエン（1,3-Butadiene）",平均,0.1,0.084,0.084,0.1,0.083,0.1,0.12,0.14,0.11,0.097,0.088,0.084,0.076,0.073,0.082,0.093,0.12,0.15,0.16,0.16,0.15,0.15,0.15,0.13
,時間,1（μｇ/m3）,2（μｇ/m3）,3（μｇ/m3）,4（μｇ/m3）,5（μｇ/m3）,6（μｇ/m3）,7（μｇ/m3）,8（μｇ/m3）,9（μｇ/m3）,10（μｇ/m3）,11（μｇ/m3）,12（μｇ/m3）,13（μｇ/m3）,14（μｇ/m3）,15（μｇ/m3）,16（μｇ/m3）,17（μｇ/m3）,18（μｇ/m3）,19（μｇ/m3）,20（μｇ/m3）,21（μｇ/m3）,22（μｇ/m3）,23（μｇ/m3）,24（μｇ/m3）
アクリロニトリル（Acrylonitrile）,4月,0.11,0.1,0.1,0.07,0.07,0.06,0.07,0.05,0.1,0.12,0.09,0.14,0.18,0.33,0.17,0.11,0.08,0.07,0.07,0.06,0.08,0.09,0.13,0.12
アクリロニトリル（Acrylonitrile）,5月,0.06,0.05,0.07,0.06,0.07,0.09,0.09,0.09,0.12,0.16,0.1,0.08,0.07,0.25,0.17,0.14,0.2,0.21,0.13,0.18,0.21,0.1,0.07,0.08
アクリロニトリル（Acrylonitrile）,6月,0.14,0.11,0.09,0.08,0.06,0.05,0.06,0.06,0.07,0.07,0.05,0.08,0.07,0.23,0.17,0.19,0.12,0.1,0.07,0.07,0.12,0.12,0.06,0.17
アクリロニトリル（Acrylonitrile）,7月,0.04,0.04,0.03,0.02,0.03,0.03,0.03,0.02,0.04,0.09,0.08,0.09,0.11,0.06,0.09,0.09,0.06,0.06,0.05,0.03,0.04,0.04,0.05,0.07
アクリロニトリル（Acrylonitrile）,8月,0.17,0.11,0.11,0.12,0.11,0.08,0.07,0.09,0.07,0.06,0.1,0.12,0.16,0.06,0.05,0.11,0.12,0.09,0.09,0.07,0.1,0.07,0.08,0.1
アクリロニトリル（Acrylonitrile）,9月,0.04,0.04,0.04,0.07,0.05,0.02,0.02,0.03,0.03,0.03,0.05,0.06,0.04,0.06,0.05,0.08,0.07,0.07,0.06,0.04,0.06,0.04,0.03,0.07
アクリロニトリル（Acrylonitrile）,10月,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.04,0.03,0.04,0.05,0.08,0.1,0.08,0.05,0.05,0.04,0.04,0.04,0.04,0.03
アクリロニトリル（Acrylonitrile）,11月,0.06,0.05,0.04,0.04,0.04,0.04,0.05,0.04,0.04,0.04,0.08,0.05,0.04,0.16,0.12,0.1,0.19,0.14,0.13,0.11,0.13,0.12,0.09,0.07
アクリロニトリル（Acrylonitrile）,12月,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.06,0.08,0.05,0.05,0.06,0.07,0.25,0.16,0.23,0.19,0.14,0.1,0.08,0.07
アクリロニトリル（Acrylonitrile）,1月,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.03,0.04,0.07,0.1,0.11,0.09,0.09,0.07,0.07,0.06,0.06,0.05
アクリロニトリル（Acrylonitrile）,2月,0.04,0.04,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.06,0.06,0.07,0.08,0.1,0.08,0.11,0.11,0.1,0.1,0.07,0.05,0.04
アクリロニトリル（Acrylonitrile）,3月,0.05,0.05,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0.03,0.06,0.07,0.08,0.06,0.04,0.04,0.05,0.04,0.06,0.14,0.11,0.06
アクリロニトリル（Acrylonitrile）,平均,0.07,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.06,0.06,0.07,0.08,0.12,0.1,0.1,0.12,0.1,0.1,0.08,0.1,0.08,0.07,0.08
,時間,1（μｇ/m3）,2（μｇ/m3）,3（μｇ/m3）,4（μｇ/m3）,5（μｇ/m3）,6（μｇ/m3）,7（μｇ/m3）,8（μｇ/m3）,9（μｇ/m3）,10（μｇ/m3）,11（μｇ/m3）,12（μｇ/m3）,13（μｇ/m3）,14（μｇ/m3）,15（μｇ/m3）,16（μｇ/m3）,17（μｇ/m3）,18（μｇ/m3）,19（μｇ/m3）,20（μｇ/m3）,21（μｇ/m3）,22（μｇ/m3）,23（μｇ/m3）,24（μｇ/m3）
クロロホルム（Chloroform）,4月,0.11,0.11,0.11,0.11,0.11,0.11,0.12,0.1,0.1,0.1,0.11,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.1,0.1,0.1,0.1,0.11,0.11
クロロホルム（Chloroform）,5月,0.11,0.1,0.11,0.11,0.11,0.12,0.11,0.11,0.1,0.12,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.1,0.1,0.1,0.1,0.1,0.11,0.11
クロロホルム（Chloroform）,6月,0.17,0.17,0.18,0.17,0.16,0.15,0.15,0.15,0.14,0.15,0.14,0.14,0.14,0.14,0.15,0.15,0.14,0.14,0.15,0.15,0.15,0.15,0.15,0.19
クロロホルム（Chloroform）,7月,0.11,0.1,0.09,0.09,0.1,0.1,0.11,0.11,0.11,0.11,0.11,0.11,0.13,0.12,0.1,0.11,0.1,0.11,0.1,0.1,0.1,0.1,0.12,0.12
クロロホルム（Chloroform）,8月,0.11,0.11,0.1,0.11,0.11,0.12,0.12,0.12,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.08,0.09,0.09,0.09,0.09,0.09,0.09
クロロホルム（Chloroform）,9月,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.1,0.11,0.1,0.1,0.1,0.1,0.11,0.1,0.11
クロロホルム（Chloroform）,10月,0.11,0.11,0.12,0.11,0.11,0.11,0.11,0.1,0.1,0.11,0.1,0.09,0.1,0.1,0.1,0.1,0.1,0.1,0.12,0.12,0.11,0.12,0.14,0.12
