,時間,1（μｇ/m3）,2（μｇ/m3）,3（μｇ/m3）,4（μｇ/m3）,5（μｇ/m3）,6（μｇ/m3）,7（μｇ/m3）,8（μｇ/m3）,9（μｇ/m3）,10（μｇ/m3）,11（μｇ/m3）,12（μｇ/m3）,13（μｇ/m3）,14（μｇ/m3）,15（μｇ/m3）,16（μｇ/m3）,17（μｇ/m3）,18（μｇ/m3）,19（μｇ/m3）,20（μｇ/m3）,21（μｇ/m3）,22（μｇ/m3）,23（μｇ/m3）,24（μｇ/m3）
クロロホルム（Chloroform）,12月,0.14,0.16,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.13,0.14,0.15,0.14,0.11,0.12,0.12,0.15,0.14,0.13,0.13,0.14,0.15,0.14
クロロホルム（Chloroform）,1月,0.3,0.3,0.28,0.19,0.13,0.12,0.13,0.13,0.14,0.19,0.12,0.13,0.11,0.11,0.16,0.11,0.11,0.11,0.12,0.14,0.15,0.23,0.22,0.27
クロロホルム（Chloroform）,2月,0.15,0.15,0.14,0.13,0.14,0.13,0.14,0.14,0.13,0.13,0.14,0.13,0.13,0.13,0.12,0.13,0.12,0.14,0.15,0.15,0.13,0.13,0.14,0.14
クロロホルム（Chloroform）,3月,0.1,0.11,0.1,0.11,0.13,0.1,0.1,0.11,0.1,0.1,0.11,0.12,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.1,0.11,0.1
クロロホルム（Chloroform）,平均,0.15,0.15,0.15,0.14,0.14,0.13,0.14,0.14,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.14,0.13,0.13,0.1,0.13,0.13,0.14,0.15,0.15
,時間,1（μｇ/m3）,2（μｇ/m3）,3（μｇ/m3）,4（μｇ/m3）,5（μｇ/m3）,6（μｇ/m3）,7（μｇ/m3）,8（μｇ/m3）,9（μｇ/m3）,10（μｇ/m3）,11（μｇ/m3）,12（μｇ/m3）,13（μｇ/m3）,14（μｇ/m3）,15（μｇ/m3）,16（μｇ/m3）,17（μｇ/m3）,18（μｇ/m3）,19（μｇ/m3）,20（μｇ/m3）,21（μｇ/m3）,22（μｇ/m3）,23（μｇ/m3）,24（μｇ/m3）
"1,2－ジクロロエタン（1,2-Dichloroethane）",4月,0.13,0.12,0.13,0.16,0.13,0.13,0.14,0.13,0.13,0.13,0.13,0.14,0.15,0.14,0.14,0.14,0.15,0.15,0.16,0.15,0.15,0.14,0.14,0.14
"1,2－ジクロロエタン（1,2-Dichloroethane）",5月,0.14,0.13,0.13,0.14,0.13,0.13,0.13,0.12,0.12,0.11,0.11,0.11,0.12,0.12,0.12,0.14,0.15,0.14,0.13,0.13,0.13,0.14,0.13,0.13
"1,2－ジクロロエタン（1,2-Dichloroethane）",6月,0.11,0.12,0.11,0.11,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.13,0.11,0.12,0.13,0.1,0.096,0.098,0.1,0.095,0.096,0.12,0.11
"1,2－ジクロロエタン（1,2-Dichloroethane）",7月,0.087,0.091,0.096,0.1,0.12,0.11,0.1,0.097,0.099,0.1,0.1,0.1,0.1,0.11,0.11,0.11,0.12,0.13,0.11,0.11,0.096,0.093,0.089,0.12
"1,2－ジクロロエタン（1,2-Dichloroethane）",8月,0.12,0.11,0.11,0.1,0.11,0.1,0.1,0.1,0.12,0.1,0.1,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.12,0.11,0.12,0.11,0.11,0.12
"1,2－ジクロロエタン（1,2-Dichloroethane）",9月,0.14,0.14,0.14,0.11,0.11,0.11,0.11,0.095,0.085,0.087,0.083,0.085,0.077,0.078,0.082,0.075,0.079,0.093,0.11,0.091,0.1,0.092,0.079,0.1
"1,2－ジクロロエタン（1,2-Dichloroethane）",10月,0.11,0.11,0.1,0.098,0.095,0.096,0.092,0.094,0.094,0.095,0.1,0.092,0.096,0.097,0.1,0.12,0.12,0.11,0.13,0.13,0.18,0.14,0.13,0.12
"1,2－ジクロロエタン（1,2-Dichloroethane）",11月,0.092,0.087,0.088,0.083,0.083,0.089,0.089,0.092,0.087,0.084,0.084,0.087,0.085,0.084,0.089,0.092,0.092,0.11,0.091,0.081,0.082,0.084,0.09,0.087
"1,2－ジクロロエタン（1,2-Dichloroethane）",12月,0.09,0.089,0.085,0.083,0.078,0.079,0.079,0.077,0.077,0.08,0.08,0.082,0.087,0.074,0.082,0.082,0.078,0.091,0.09,0.091,0.089,0.086,0.091,0.09
"1,2－ジクロロエタン（1,2-Dichloroethane）",1月,0.08,0.077,0.081,0.076,0.078,0.077,0.072,0.077,0.075,0.073,0.072,0.071,0.075,0.077,0.075,0.077,0.083,0.08,0.079,0.08,0.079,0.085,0.082,0.085
"1,2－ジクロロエタン（1,2-Dichloroethane）",2月,0.12,0.11,0.11,0.11,0.11,0.12,0.1,0.11,0.099,0.1,0.096,0.1,0.1,0.11,0.12,0.11,0.13,0.15,0.16,0.12,0.16,0.11,0.12,0.12
"1,2－ジクロロエタン（1,2-Dichloroethane）",3月,0.085,0.088,0.084,0.083,0.084,0.083,0.08,0.081,0.078,0.078,0.081,0.078,0.081,0.085,0.086,0.086,0.083,0.094,0.17,0.095,0.09,0.17,0.09,0.087
"1,2－ジクロロエタン（1,2-Dichloroethane）",平均,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.099,0.098,0.097,0.096,0.098,0.1,0.099,0.1,0.11,0.11,0.11,0.12,0.11,0.12,0.11,0.11,0.11
,時間,1（μｇ/m3）,2（μｇ/m3）,3（μｇ/m3）,4（μｇ/m3）,5（μｇ/m3）,6（μｇ/m3）,7（μｇ/m3）,8（μｇ/m3）,9（μｇ/m3）,10（μｇ/m3）,11（μｇ/m3）,12（μｇ/m3）,13（μｇ/m3）,14（μｇ/m3）,15（μｇ/m3）,16（μｇ/m3）,17（μｇ/m3）,18（μｇ/m3）,19（μｇ/m3）,20（μｇ/m3）,21（μｇ/m3）,22（μｇ/m3）,23（μｇ/m3）,24（μｇ/m3）
トルエン（Toluene）,4月,2.2,2.3,2.5,2.9,3.3,3.1,4.1,3.7,3,2.9,2.5,2.9,2.1,2,2.3,2.2,2.6,2.2,2.1,1.9,1.9,2,2.1,2
トルエン（Toluene）,5月,2.1,2.9,3,2.9,3.2,3.4,3.9,3.6,3.2,3.7,3.3,2.7,2.1,2,2.1,2,3.3,2.7,2.6,2.2,2.1,2.1,2.1,2.2
トルエン（Toluene）,6月,2.1,2,2.4,2.8,3,3,2.7,2.5,2.3,5,3.3,5.6,2.9,2.9,2.8,2.5,2.8,2.9,2.4,2.2,1.9,1.9,1.8,2
トルエン（Toluene）,7月,3.4,3.1,3.6,3.6,3.9,4.2,4.6,4.7,4.2,5.8,5.3,11,5.4,5.1,5.7,4.7,4.8,5.8,4.9,4,3.3,3.3,3.5,3.6
トルエン（Toluene）,8月,3.1,2.9,2.9,2.9,3.5,4.2,4.5,3.5,3.4,4.8,6.6,10,7.4,6.1,8.8,5.2,5.2,4.3,3.7,3.3,2.6,2.5,2.8,2.5
トルエン（Toluene）,9月,3.3,3.2,3.7,3.7,3.8,4.3,4,3.5,2.9,3.5,3.9,3.4,3,2.9,3.3,3,3,3,2.7,3,3.2,2.9,2.9,2.9
トルエン（Toluene）,10月,7.4,6.1,6,6.1,6.3,6.2,6.5,6.5,5.7,6.2,7.1,5.8,5,4.9,5.3,5.2,6.1,13,12,8.6,8.6,8.3,8.2,7.7
トルエン（Toluene）,11月,13,11,11,10,9.3,9,8.8,8.5,8.7,9.6,8.9,11,8.1,7.3,8.3,8.1,12,12,11,12,11,12,12,12
トルエン（Toluene）,12月,8.1,8.6,7.9,6.7,7.3,7.1,7.3,7.5,7.2,7,8.2,8.5,8.3,8,7,7.2,7.9,10,9.3,9,7.6,8.2,8.1,7.7
トルエン（Toluene）,1月,5.2,5.3,4.8,4.8,5.2,5.4,5.1,5.1,5.4,6.4,6.9,7.1,6.6,5.5,5.4,5.3,5.8,7.6,7.2,6.7,5.9,5.5,5.4,5.5
トルエン（Toluene）,2月,6.3,6.4,6.6,6,6,6.2,6.6,7,5.8,7,7.2,7.2,6.7,6.1,5.2,4.9,5.2,5.1,5.1,5.4,5.4,5.9,5.8,5.7
トルエン（Toluene）,3月,3.1,3.7,3.6,4,4.5,4.3,4.2,4,3.9,4.1,4.2,4.3,3.3,2.6,2.8,3.1,3.6,3.4,3.5,2.8,2.7,2.9,3.2,3
トルエン（Toluene）,平均,4.9,4.8,4.8,4.7,4.9,5,5.2,5,4.6,5.5,5.6,6.7,5.1,4.6,4.9,4.5,5.2,6.1,5.6,5.1,4.7,4.8,4.9,4.7
,時間,1（μｇ/m3）,2（μｇ/m3）,3（μｇ/m3）,4（μｇ/m3）,5（μｇ/m3）,6（μｇ/m3）,7（μｇ/m3）,8（μｇ/m3）,9（μｇ/m3）,10（μｇ/m3）,11（μｇ/m3）,12（μｇ/m3）,13（μｇ/m3）,14（μｇ/m3）,15（μｇ/m3）,16（μｇ/m3）,17（μｇ/m3）,18（μｇ/m3）,19（μｇ/m3）,20（μｇ/m3）,21（μｇ/m3）,22（μｇ/m3）,23（μｇ/m3）,24（μｇ/m3）
m＋ｐ-キシレン（m+p-Xylene）,4月,0.54,0.52,0.52,0.59,0.61,0.59,0.66,0.62,0.59,0.62,0.57,0.58,0.52,0.45,0.63,0.56,0.65,0.6,0.56,0.57,0.55,0.53,0.67,0.52
m＋ｐ-キシレン（m+p-Xylene）,5月,0.57,0.72,0.8,0.68,0.71,0.65,0.68,0.55,0.59,0.61,0.54,0.64,0.48,0.55,0.63,0.71,0.91,0.79,0.73,0.64,0.55,0.61,0.57,0.61
m＋ｐ-キシレン（m+p-Xylene）,6月,0.54,0.54,0.6,0.66,0.74,0.69,0.64,0.58,0.53,1,0.8,1.1,0.71,0.69,0.85,0.58,0.7,0.61,0.58,0.64,0.58,0.51,0.48,0.51
m＋ｐ-キシレン（m+p-Xylene）,7月,0.89,0.81,0.9,0.92,1,1,1.1,1.1,0.98,1.4,1.1,1.5,1.1,0.81,1.1,0.87,1.2,1.2,1.1,1.2,0.94,0.77,0.83,0.88
m＋ｐ-キシレン（m+p-Xylene）,8月,0.66,0.77,0.75,0.82,0.87,0.92,0.86,0.67,0.77,1.2,1.4,1.7,1,0.89,1.3,1.1,1.3,1,0.93,0.84,0.8,0.71,0.72,0.66
m＋ｐ-キシレン（m+p-Xylene）,9月,0.69,0.72,0.79,0.77,0.75,0.83,0.84,0.71,0.61,0.7,0.68,0.68,0.5,0.49,0.6,0.66,0.84,0.78,0.78,0.8,0.78,0.78,0.76,0.65
m＋ｐ-キシレン（m+p-Xylene）,10月,1.3,1.3,1.3,1.2,1.2,1.2,1.2,1.3,1.1,1.3,1.3,1.1,1.3,1.1,4.2,5,4.7,4.5,2.3,2,1.9,2,1.8,1.8
m＋ｐ-キシレン（m+p-Xylene）,11月,2.1,1.8,1.7,1.6,1.4,1.4,1.4,1.3,1.3,1.5,1.4,3,1.7,1.5,2.8,2,2.3,2.4,2,2,2,2,2.1,2
m＋ｐ-キシレン（m+p-Xylene）,12月,1.3,1.3,1.2,1.1,1,1,1,1.1,1.1,1.1,1.1,1.3,1.2,1.1,1.1,1.2,1.3,1.4,1.5,1.5,1.3,1.3,1.3,1.3
m＋ｐ-キシレン（m+p-Xylene）,1月,0.98,0.92,0.84,0.8,0.82,0.83,0.79,0.84,0.88,0.96,0.96,0.99,0.96,0.85,0.87,0.93,0.96,1.1,1.2,1.4,1.2,1.1,1.1,1.1
m＋ｐ-キシレン（m+p-Xylene）,2月,1.1,1.1,1.1,0.95,0.97,0.96,1,1.2,1,1.1,1.1,1.1,1.1,1,0.99,0.96,1.1,1.4,1.6,1.4,1.1,1.2,1.1,1.1
m＋ｐ-キシレン（m+p-Xylene）,3月,0.55,0.57,0.58,0.58,0.6,0.57,0.59,0.6,0.56,0.61,0.65,0.69,0.56,0.52,0.61,0.65,0.68,0.63,0.66,0.6,0.56,0.56,0.61,0.56
m＋ｐ-キシレン（m+p-Xylene）,平均,0.94,0.91,0.92,0.89,0.9,0.89,0.9,0.88,0.84,1,0.97,1.2,0.92,0.83,1.3,1.3,1.4,1.4,1.2,1.1,1,1,1,0.96
,時間,1（μｇ/m3）,2（μｇ/m3）,3（μｇ/m3）,4（μｇ/m3）,5（μｇ/m3）,6（μｇ/m3）,7（μｇ/m3）,8（μｇ/m3）,9（μｇ/m3）,10（μｇ/m3）,11（μｇ/m3）,12（μｇ/m3）,13（μｇ/m3）,14（μｇ/m3）,15（μｇ/m3）,16（μｇ/m3）,17（μｇ/m3）,18（μｇ/m3）,19（μｇ/m3）,20（μｇ/m3）,21（μｇ/m3）,22（μｇ/m3）,23（μｇ/m3）,24（μｇ/m3）
o-キシレン（o-Xylene）,4月,0.21,0.2,0.2,0.22,0.23,0.23,0.26,0.24,0.24,0.24,0.22,0.23,0.2,0.19,0.24,0.22,0.24,0.23,0.22,0.22,0.21,0.2,0.22,0.19
o-キシレン（o-Xylene）,5月,0.24,0.3,0.31,0.27,0.28,0.26,0.28,0.23,0.24,0.25,0.23,0.25,0.2,0.22,0.25,0.27,0.35,0.3,0.29,0.25,0.22,0.25,0.24,0.24
o-キシレン（o-Xylene）,6月,0.21,0.21,0.24,0.25,0.28,0.27,0.26,0.24,0.22,0.34,0.29,0.39,0.27,0.26,0.31,0.23,0.26,0.24,0.23,0.25,0.24,0.21,0.2,0.2
o-キシレン（o-Xylene）,7月,0.38,0.34,0.36,0.37,0.42,0.43,0.42,0.43,0.39,0.53,0.42,0.54,0.4,0.32,0.4,0.33,0.42,0.42,0.41,0.44,0.36,0.31,0.33,0.43
o-キシレン（o-Xylene）,8月,0.27,0.3,0.3,0.32,0.34,0.36,0.34,0.27,0.3,0.43,0.48,0.62,0.37,0.31,0.43,0.41,0.44,0.4,0.36,0.33,0.31,0.28,0.29,0.26
o-キシレン（o-Xylene）,9月,0.26,0.27,0.3,0.29,0.29,0.32,0.32,0.28,0.26,0.28,0.26,0.27,0.22,0.2,0.24,0.25,0.31,0.3,0.3,0.31,0.3,0.3,0.31,0.25
o-キシレン（o-Xylene）,10月,0.43,0.42,0.41,0.4,0.41,0.41,0.42,0.45,0.41,0.45,0.48,0.4,0.43,0.38,2.2,1.4,1.3,1.2,0.7,0.63,0.59,0.61,0.57,0.56
o-キシレン（o-Xylene）,11月,0.69,0.59,0.57,0.54,0.49,0.48,0.47,0.46,0.47,0.52,0.5,0.88,0.56,0.49,0.82,0.65,0.75,0.82,0.67,0.66,0.64,0.66,0.68,0.66
o-キシレン（o-Xylene）,12月,0.48,0.46,0.44,0.4,0.38,0.38,0.4,0.41,0.43,0.39,0.42,0.47,0.44,0.43,0.41,0.42,0.46,0.51,0.54,0.54,0.48,0.47,0.47,0.46
o-キシレン（o-Xylene）,1月,0.37,0.35,0.31,0.3,0.31,0.31,0.3,0.32,0.34,0.36,0.36,0.36,0.35,0.31,0.32,0.34,0.35,0.4,0.43,0.49,0.44,0.42,0.43,0.4
o-キシレン（o-Xylene）,2月,0.41,0.4,0.39,0.36,0.36,0.35,0.38,0.44,0.39,0.43,0.41,0.39,0.39,0.38,0.37,0.36,0.39,0.48,0.53,0.48,0.39,0.42,0.41,0.39
o-キシレン（o-Xylene）,3月,0.21,0.22,0.22,0.22,0.22,0.22,0.22,0.23,0.22,0.24,0.25,0.25,0.22,0.2,0.23,0.24,0.25,0.24,0.25,0.23,0.21,0.21,0.23,0.21
o-キシレン（o-Xylene）,平均,0.35,0.34,0.34,0.33,0.33,0.34,0.34,0.33,0.33,0.37,0.36,0.42,0.34,0.31,0.52,0.42,0.46,0.47,0.4,0.4,0.37,0.36,0.37,0.35
,時間,1（μｇ/m3）,2（μｇ/m3）,3（μｇ/m3）,4（μｇ/m3）,5（μｇ/m3）,6（μｇ/m3）,7（μｇ/m3）,8（μｇ/m3）,9（μｇ/m3）,10（μｇ/m3）,11（μｇ/m3）,12（μｇ/m3）,13（μｇ/m3）,14（μｇ/m3）,15（μｇ/m3）,16（μｇ/m3）,17（μｇ/m3）,18（μｇ/m3）,19（μｇ/m3）,20（μｇ/m3）,21（μｇ/m3）,22（μｇ/m3）,23（μｇ/m3）,24（μｇ/m3）
総キシレン（total-Xylen）,4月,0.75,0.73,0.72,0.81,0.84,0.82,0.92,0.86,0.83,0.86,0.79,0.8,0.72,0.65,0.86,0.78,0.89,0.84,0.77,0.79,0.76,0.73,0.89,0.71
総キシレン（total-Xylen）,5月,0.81,1,1.1,0.95,0.99,0.91,0.96,0.78,0.83,0.86,0.76,0.89,0.68,0.77,0.87,0.98,1.3,1.1,1,0.89,0.77,0.86,0.82,0.85
総キシレン（total-Xylen）,6月,0.75,0.75,0.83,0.91,1,0.96,0.9,0.82,0.75,1.3,1.1,1.5,0.99,0.95,1.2,0.81,0.96,0.85,0.81,0.89,0.82,0.72,0.68,0.71
総キシレン（total-Xylen）,7月,1.3,1.2,1.3,1.3,1.5,1.5,1.5,1.5,1.4,2,1.5,2.1,1.5,1.1,1.5,1.2,1.6,1.6,1.5,1.6,1.3,1.1,1.2,1.3
総キシレン（total-Xylen）,8月,0.93,1.1,1.1,1.1,1.2,1.3,1.2,0.94,1.1,1.7,1.9,2.4,1.4,1.2,1.7,1.5,1.7,1.4,1.3,1.2,1.1,0.99,1,0.93
総キシレン（total-Xylen）,9月,0.95,0.99,1.1,1.1,1,1.2,1.2,0.99,0.86,0.98,0.94,0.95,0.72,0.69,0.83,0.91,1.1,1.1,1.1,1.1,1.1,1.1,1.1,0.9
総キシレン（total-Xylen）,10月,1.8,1.7,1.7,1.6,1.7,1.6,1.6,1.7,1.5,1.7,1.8,1.5,1.7,1.5,6.4,6.3,6,5.7,3,2.7,2.5,2.6,2.4,2.3
総キシレン（total-Xylen）,11月,2.8,2.4,2.3,2.1,1.9,1.9,1.8,1.8,1.8,2,1.9,3.9,2.2,1.9,3.6,2.7,3.1,3.3,2.7,2.7,2.6,2.7,2.8,2.6
総キシレン（total-Xylen）,12月,1.8,1.7,1.6,1.5,1.4,1.4,1.4,1.5,1.5,1.4,1.6,1.7,1.6,1.6,1.5,1.6,1.8,2,2,2,1.8,1.8,1.7,1.7
総キシレン（total-Xylen）,1月,1.4,1.3,1.2,1.1,1.1,1.1,1.1,1.2,1.2,1.3,1.3,1.4,1.3,1.2,1.2,1.3,1.3,1.5,1.6,1.9,1.7,1.6,1.6,1.5
総キシレン（total-Xylen）,2月,1.5,1.5,1.5,1.3,1.3,1.3,1.4,1.6,1.4,1.6,1.5,1.5,1.5,1.4,1.4,1.3,1.4,1.9,2.1,1.9,1.5,1.6,1.5,1.5
総キシレン（total-Xylen）,3月,0.75,0.8,0.8,0.8,0.82,0.78,0.81,0.83,0.78,0.85,0.89,0.94,0.78,0.72,0.84,0.89,0.93,0.87,0.91,0.83,0.78,0.77,0.84,0.78
総キシレン（total-Xylen）,平均,1.3,1.3,1.3,1.2,1.2,1.2,1.2,1.2,1.2,1.4,1.3,1.6,1.3,1.1,1.8,1.7,1.8,1.8,1.6,1.5,1.4,1.4,1.4,1.3
,時間,1（μｇ/m3）,2（μｇ/m3）,3（μｇ/m3）,4（μｇ/m3）,5（μｇ/m3）,6（μｇ/m3）,7（μｇ/m3）,8（μｇ/m3）,9（μｇ/m3）,10（μｇ/m3）,11（μｇ/m3）,12（μｇ/m3）,13（μｇ/m3）,14（μｇ/m3）,15（μｇ/m3）,16（μｇ/m3）,17（μｇ/m3）,18（μｇ/m3）,19（μｇ/m3）,20（μｇ/m3）,21（μｇ/m3）,22（μｇ/m3）,23（μｇ/m3）,24（μｇ/m3）
エチルベンゼン（Ethylbenzene）,4月,0.73,0.66,0.67,0.75,0.8,0.73,0.79,0.73,0.73,0.88,0.89,0.93,0.91,0.79,1.1,0.91,1,0.85,0.7,0.57,0.64,0.61,0.71,0.6
エチルベンゼン（Ethylbenzene）,5月,0.67,0.89,1.1,0.88,0.91,0.8,0.88,0.7,0.79,0.92,0.9,1.1,0.84,0.95,1.1,1.1,1.4,1.2,0.98,0.83,0.65,0.7,0.64,0.72
エチルベンゼン（Ethylbenzene）,6月,0.67,0.66,0.73,0.85,0.99,0.9,0.81,0.72,0.69,1.6,1.3,1.9,1.3,1.2,1.4,0.89,1.1,0.85,0.71,0.8,0.68,0.61,0.55,0.59
エチルベンゼン（Ethylbenzene）,7月,1.2,1,1.2,1.2,1.4,1.3,1.4,1.5,1.4,2.5,1.8,2.8,1.9,1.4,2,1.5,2,1.8,1.6,1.7,1.3,1,1.1,1.1
エチルベンゼン（Ethylbenzene）,8月,0.74,0.86,0.87,0.96,1,1.1,1,0.83,1,1.9,2.3,3,1.7,1.5,2.1,1.8,2,1.4,1.2,0.98,0.93,0.81,0.79,0.71
エチルベンゼン（Ethylbenzene）,9月,0.83,0.82,0.97,0.95,0.9,1,0.96,0.81,0.7,0.97,0.96,1.1,0.81,0.79,0.99,1.1,1.4,1.1,1,1,0.93,0.88,0.83,0.78
エチルベンゼン（Ethylbenzene）,10月,2.1,1.9,2,1.8,1.8,1.8,1.8,1.8,1.6,1.9,2.1,1.8,2.2,1.9,4.5,9,9.3,8.4,3.9,3.3,3,3.2,3,2.8
エチルベンゼン（Ethylbenzene）,11月,2.9,2.4,2.3,2.2,1.9,1.9,1.8,1.7,1.7,2.1,2.1,4.9,2.6,2.2,5.1,3.4,3.7,3.7,3.2,3,2.9,2.9,3,2.8
エチルベンゼン（Ethylbenzene）,12月,2,1.9,1.7,1.6,1.5,1.5,1.5,1.5,1.5,1.5,1.7,2.1,2,1.9,2,2.1,2.3,2.4,2.4,2.3,1.9,1.9,1.9,1.9
エチルベンゼン（Ethylbenzene）,1月,1.3,1.3,1.1,1.1,1.1,1.1,1,1.1,1.1,1.2,1.3,1.5,1.5,1.3,1.4,1.4,1.5,1.7,1.7,2,1.7,1.6,1.6,1.4
エチルベンゼン（Ethylbenzene）,2月,1.6,1.6,1.6,1.4,1.4,1.4,1.4,1.6,1.4,1.6,1.6,1.8,1.8,1.8,1.7,1.6,1.8,2.5,2.7,2.2,1.6,1.7,1.7,1.5
エチルベンゼン（Ethylbenzene）,3月,0.78,0.81,0.81,0.8,0.82,0.79,0.82,0.79,0.76,0.9,1,1.2,0.94,0.91,1.1,1.1,1.2,1,0.97,0.83,0.8,0.81,0.87,0.81
エチルベンゼン（Ethylbenzene）,平均,1.3,1.2,1.3,1.2,1.2,1.2,1.2,1.1,1.1,1.5,1.5,2,1.5,1.4,2,2.2,2.4,2.3,1.8,1.6,1.4,1.4,1.4,1.3
,時間,1（μｇ/m3）,2（μｇ/m3）,3（μｇ/m3）,4（μｇ/m3）,5（μｇ/m3）,6（μｇ/m3）,7（μｇ/m3）,8（μｇ/m3）,9（μｇ/m3）,10（μｇ/m3）,11（μｇ/m3）,12（μｇ/m3）,13（μｇ/m3）,14（μｇ/m3）,15（μｇ/m3）,16（μｇ/m3）,17（μｇ/m3）,18（μｇ/m3）,19（μｇ/m3）,20（μｇ/m3）,21（μｇ/m3）,22（μｇ/m3）,23（μｇ/m3）,24（μｇ/m3）
スチレン（Styrene）,4月,0.12,0.12,0.13,0.14,0.14,0.15,0.19,0.14,0.14,0.14,0.12,0.12,0.12,0.11,0.13,0.12,0.18,0.18,0.2,0.12,0.15,0.15,0.15,0.13
スチレン（Styrene）,5月,0.13,0.14,0.15,0.14,0.15,0.15,0.15,0.12,0.12,0.11,0.13,0.15,0.11,0.11,0.12,0.12,0.16,0.16,0.14,0.14,0.13,0.14,0.13,0.13
スチレン（Styrene）,6月,0.17,0.17,0.18,0.19,0.2,0.2,0.18,0.16,0.15,0.16,0.14,0.18,0.15,0.32,0.23,0.15,0.14,0.13,0.15,0.16,0.15,0.16,0.15,0.16
スチレン（Styrene）,7月,0.41,0.43,0.37,0.35,0.4,0.41,0.39,0.34,0.32,0.29,0.28,0.27,0.21,0.18,0.2,0.2,0.65,0.33,0.32,0.33,0.31,0.29,0.31,0.45
スチレン（Styrene）,8月,0.27,0.29,0.3,0.3,0.33,0.36,0.33,0.23,0.21,0.25,0.33,0.45,0.23,0.23,0.22,0.27,0.26,0.25,0.26,0.26,0.27,0.28,0.28,0.25
スチレン（Styrene）,9月,0.23,0.24,0.24,0.27,0.28,0.37,0.32,0.24,0.19,0.16,0.17,0.17,0.14,0.14,0.14,0.16,0.17,0.18,0.32,0.22,0.23,0.24,0.26,0.24
スチレン（Styrene）,10月,0.24,0.23,0.24,0.24,0.27,0.26,0.27,0.29,0.26,0.25,0.25,0.22,0.22,0.2,0.5,0.42,0.42,0.92,0.56,0.33,0.31,0.3,0.29,0.29
スチレン（Styrene）,11月,0.58,0.5,0.5,0.47,0.42,0.42,0.41,0.38,0.39,0.36,0.37,0.43,0.44,0.35,0.52,0.5,0.53,0.51,0.49,0.48,0.55,0.52,0.53,0.59
スチレン（Styrene）,12月,0.62,0.6,0.55,0.52,0.49,0.52,0.56,0.55,0.56,0.46,0.46,0.5,0.49,0.52,0.49,0.48,0.54,0.62,0.62,0.64,0.6,0.68,0.66,0.61
スチレン（Styrene）,1月,0.53,0.49,0.44,0.42,0.42,0.45,0.43,0.44,0.44,0.43,0.48,0.52,0.45,0.44,0.43,0.42,0.45,0.49,0.58,0.65,0.57,0.6,0.56,0.54
スチレン（Styrene）,2月,0.52,0.57,0.47,0.44,0.44,0.49,0.51,0.57,0.45,0.44,0.43,0.4,0.42,0.41,0.43,0.49,0.47,0.52,0.54,0.55,0.57,0.52,0.51,0.65
スチレン（Styrene）,3月,0.23,0.25,0.24,0.26,0.24,0.23,0.23,0.24,0.21,0.21,0.24,0.26,0.23,0.24,0.27,0.23,0.26,0.29,0.31,0.26,0.26,0.26,0.3,0.32
スチレン（Styrene）,平均,0.34,0.34,0.32,0.31,0.32,0.33,0.33,0.31,0.29,0.27,0.28,0.31,0.27,0.27,0.31,0.3,0.35,0.38,0.4,0.35,0.34,0.35,0.34,0.36
,時間,1（μｇ/m3）,2（μｇ/m3）,3（μｇ/m3）,4（μｇ/m3）,5（μｇ/m3）,6（μｇ/m3）,7（μｇ/m3）,8（μｇ/m3）,9（μｇ/m3）,10（μｇ/m3）,11（μｇ/m3）,12（μｇ/m3）,13（μｇ/m3）,14（μｇ/m3）,15（μｇ/m3）,16（μｇ/m3）,17（μｇ/m3）,18（μｇ/m3）,19（μｇ/m3）,20（μｇ/m3）,21（μｇ/m3）,22（μｇ/m3）,23（μｇ/m3）,24（μｇ/m3）
"1,1－ジクロロエタン（1,1-Dichloroethane）",4月,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
"1,1－ジクロロエタン（1,1-Dichloroethane）",5月,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
"1,1－ジクロロエタン（1,1-Dichloroethane）",6月,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
"1,1－ジクロロエタン（1,1-Dichloroethane）",7月,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
"1,1－ジクロロエタン（1,1-Dichloroethane）",8月,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
