[資料21]　大気　ダイオキシン類異性体等分析結果（第１回調査　 ２０２２（令和４)年５月：区部）,,,,,,,,,,,,,,,[資料21]　大気　ダイオキシン類異性体等分析結果（第１回調査　 ２０２２(令和４)年５月：多摩部）,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
実測濃度,,,（2022(令和4)年　5月18日～5月25日）,,,,,,,,,,単位：pg/m3,,実測濃度,,,（2022(令和4)年　5月18日～5月25日）,,,,単位：pg/m3,,,,,,,,,単位：pg/m3,,,,単位：pg/m3
化合物の名称等,,,"毒性
等価係数",定量下限値,検出下限値,"①中央区
晴海局","②大田区
東糀谷局","③世田谷区
世田谷局","④板橋区
氷川町局","⑤練馬区
石神井町局","⑥足立区
西新井局","⑦葛飾区
鎌倉","⑧江戸川区
春江町局",,化合物の名称等,,,"毒性
等価係数","定量
下限値","検出
下限値","⑨八王子市
片倉町局","?八王子市
大楽寺町局",,定量下限値,検出下限値,"⑪立川市
錦町","⑫町田市
能ヶ谷局","⑬小金井市
貫井北町","⑭福生市
本町局","⑮東大和市
奈良橋局","⑯清瀬市
下宿",,"⑰西多摩
郡檜原局",定量下限値,検出下限値
,,,,,,5月18日～25日,5月18日～25日,5月23日～30日,5月18日～25日,5月18日～25日,5月18日～25日,5月18日～25日,5月18日～25日,,,,,,,,5月18日～25日,5月18日～25日,,,,5月18日～25日,5月18日～25日,5月18日～25日,5月18日～25日,5月18日～25日,5月18日～25日,,5月18日～25日,,
,,HpCDFs,,,,0.031,0.04,0.026,0.036,0.031,0.058,0.031,0.033,,,,HpCDFs,,,,0.028,0.03,,,,0.039,0.025,0.03,0.024,0.03,0.034,,0.028,,
,,OCDF,0.0003,0.015,0.006,0.024,0.019,0.015,0.025,0.022,0.042,0.027,0.03,,,,OCDF,0.0003,0.023,0.007,0.021,0.015,,0.015,0.006,0.023,0.019,0.017,0.015,0.016,0.019,,0.012,0.005,0.002
,,Total PCDFs,,,,0.63,0.8,0.42,0.63,0.49,0.85,0.61,0.61,,,,Total PCDFs,,,,0.4,0.36,,,,0.6,0.41,0.61,0.35,0.48,0.5,,0.62,,
コプラナーPCBs,,"3,4,4',5TeCB (#81)",0.0003,0.005,0.001,0.019,0.019,0.051,0.018,0.01,0.019,0.013,0.014,,コプラナーPCBs,,"3,4,4',5TeCB (#81)",0.0003,0.008,0.002,0.008,0.006,,0.005,0.001,0.011,0.012,0.011,0.01,0.011,0.009,,0.011,0.0016,0.0005
,,"3,3',4,4'TeCB (#77)",0.0001,0.007,0.002,0.22,0.17,0.76,0.22,0.12,0.23,0.15,0.17,,,,"3,3',4,4'TeCB (#77)",0.0001,0.009,0.003,0.099,0.1,,0.007,0.002,0.11,0.15,0.13,0.11,0.15,0.11,,0.08,0.0022,0.0007
,,"3,3'4,4',5PeCB (#126)",0.1,0.004,0.001,0.017,0.02,0.014,0.018,0.01,0.02,0.014,0.012,,,,"3,3'4,4',5PeCB (#126)",0.1,0.008,0.003,0.01,0.009,,0.004,0.001,0.012,0.009,0.012,0.008,0.01,0.009,,0.013,0.0012,0.0004
,,"3,3',4,4',5,5'HxCB (#169)",0.03,0.009,0.003,ND,ND,ND,ND,ND,ND,ND,ND,,,,"3,3',4,4',5,5'HxCB (#169)",0.03,0.01,0.003,ND,ND,,0.009,0.003,ND,ND,ND,ND,ND,ND,,0.0032,0.003,0.0009
,,"2',3,4,4',5PeCB (#123)",0.00003,0.007,0.002,0.043,0.033,0.16,0.037,0.022,0.039,0.023,0.027,,,,"2',3,4,4',5PeCB (#123)",0.00003,0.008,0.002,0.026,0.02,,0.007,0.002,0.019,0.02,0.024,0.018,0.026,0.018,,0.011,0.0022,0.0007
,,"2,3',4,4',5PeCB (#118)",0.00003,0.009,0.003,1.8,1.4,7.2,1.6,0.79,1.6,0.97,1.2,,,,"2,3',4,4',5PeCB (#118)",0.00003,0.019,0.006,1.2,0.73,,0.009,0.003,0.67,0.74,0.99,0.69,0.95,0.64,,0.28,0.0029,0.0009
,,"2,3,3',4,4'PeCB (#105)",0.00003,0.007,0.002,0.63,0.51,2.3,0.55,0.29,0.58,0.35,0.44,,,,"2,3,3',4,4'PeCB (#105)",0.00003,0.01,0.003,0.37,0.24,,0.007,0.002,0.24,0.26,0.34,0.27,0.32,0.23,,0.11,0.0022,0.0007
,,"2,3,4,4',5PeCB (#114)",0.00003,0.007,0.002,0.058,0.054,0.21,0.05,0.029,0.052,0.033,0.036,,,,"2,3,4,4',5PeCB (#114)",0.00003,0.009,0.003,0.03,0.02,,0.007,0.002,0.023,0.025,0.034,0.024,0.029,0.023,,0.013,0.0022,0.0007
,,"2,3',4,4',5,5'HxCB (#167)",0.00003,0.005,0.001,0.04,0.033,0.081,0.035,0.02,0.037,0.026,0.032,,,,"2,3',4,4',5,5'HxCB (#167)",0.00003,0.007,0.002,0.028,0.018,,0.005,0.001,0.018,0.02,0.021,0.021,0.021,0.017,,0.0097,0.0017,0.0005
,,"2,3,3',4,4',5HxCB (#156)",0.00003,0.006,0.002,0.083,0.08,0.15,0.071,0.035,0.08,0.061,0.054,,,,"2,3,3',4,4',5HxCB (#156)",0.00003,0.009,0.003,0.059,0.031,,0.006,0.002,0.032,0.027,0.04,0.033,0.04,0.029,,0.016,0.0021,0.0006
,,"2,3,3',4,4',5'HxCB (#157)",0.00003,0.004,0.001,0.019,0.02,0.032,0.019,0.009,0.02,0.015,0.013,,,,"2,3,3',4,4',5'HxCB (#157)",0.00003,0.01,0.003,0.016,0.009,,0.004,0.001,0.009,0.007,0.011,0.009,0.011,0.008,,0.0065,0.0014,0.0004
,,"2,3,3',4,4',5,5'HpCB (#189)",0.00003,0.006,0.002,0.005,0.006,0.005,0.006,0.003,0.006,0.004,0.003,,,,"2,3,3',4,4',5,5'HpCB (#189)",0.00003,0.01,0.003,0.004,ND,,0.006,0.002,0.004,ND,0.004,0.003,ND,0.003,,0.0047,0.0021,0.0006
,,Total CoPCBs,,,,3,2.4,11,2.6,1.3,2.7,1.7,2,,,,Total CoPCBs,,,,1.8,1.2,,,,1.2,1.3,1.6,1.2,1.6,1.1,,0.56,,
Total (PCDDs+PCDFs+CoPCBs),,,,,,3.9,3.4,12,3.7,2.2,4.1,2.7,3,,Total (PCDDs+PCDFs+CoPCBs),,,,,,2.5,1.8,,,,2.1,1.9,2.6,1.8,2.4,1.9,,1.6,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
毒性等量,,,,,,,,,,,,,単位：pgTEQ/m3,,毒性等量,,,,,,,単位：pgTEQ/m3,,,,,,,,,単位：pgTEQ/m3,,,,単位：pgTEQ/m3
PCDDs ,,,,,,0.0024,0.0028,0.0017,0.0044,0.0023,0.0037,0.0026,0.0021,,PCDDs,,,,,,0.0021,0.002,,,,0.0024,0.0017,0.0027,0.0012,0.0024,0.0013,,0.004,,
PCDFs,,,,,,0.0046,0.0058,0.0036,0.0054,0.0038,0.007,0.0046,0.0046,,PCDFs,,,,,,0.0038,0.0038,,,,0.0051,0.0034,0.0053,0.0031,0.0042,0.004,,0.0055,,
coPCBs,,,,,,0.0019,0.0021,0.0018,0.0019,0.0011,0.0021,0.0015,0.0013,,coPCBs,,,,,,0.0011,0.001,,,,0.0013,0.001,0.0013,0.0009,0.0011,0.001,,0.0014,,
Total DXN,,,,,,0.0089,0.011,0.0072,0.012,0.0071,0.013,0.0087,0.0081,,Total DXN,,,,,,0.007,0.0068,,,,0.0088,0.0062,0.0092,0.0052,0.0077,0.0063,,0.011,,
備考：,,(1)毒性等価係数：WHOTEF 2006,,,,,,,,,,,,,備考：,,(1)毒性等価係数：WHOTEF 2006,,,,,,,,,,,,,,,,,,
,,(2)括弧付の数字：検出下限以上定量下限未満,,,,,,,,,,,,,,,(2)括弧付の数字：検出下限以上定量下限未満,,,,,,,,,,,,,,,,,,
,,"(3)TEQを換算する際に、分析値が検出下限未満のものについては""検出下限×1/2""として扱った。",,,,,,,,,,,,,,,"(3)TEQを換算する際に、分析値が検出下限未満のものについては""検出下限×1/2""として扱った。",,,,,,,,,,,,,,,,,,
,,(4)有効数字の関係上、合計量が合わない場合がある。,,,,,,,,,,,,,,,(4)有効数字の関係上、合計量が合わない場合がある。,,,,,,,,,,,,,,,,,,
,,(5)③世田谷区世田谷局は、５月21日（土）にキュービクル点検に伴う停電が予定されていたため、調査期間を５月23日（月）から５月30日（月）とした。,,,,,,,,,,,,,,,(5)西多摩郡檜原局については、吸引量を300L/minとして採取した。,,,,,,,,,,,,,,,,,,
