測定物質,測定局名,測定局の区分,４月（μg/m3）,５月（μg/m3）,６月（μg/m3）,７月（μg/m3）,８月（μg/m3）,９月（μg/m3）,１０月（μg/m3）,１１月（μg/m3）,１２月（μg/m3）,１月（μg/m3）,２月（μg/m3）,３月（μg/m3）,年間（μg/m3）,環境基準等（μg/m3）注1,定量下限値（μg/m3）注2,検出下限値（μg/m3）注2,公定法（μg/m3）注3（毎月24時間）
ｸﾛﾛﾎﾙﾑ,大田区東糀谷,一般,0.24,0.18,0.17,0.13,0.14,0.21,0.22,0.2,0.36,0.48,0.25,0.51,0.26,18,0.04,0.01,0.31
ｸﾛﾛﾎﾙﾑ,板橋区氷川町,一般,0.11,0.12,0.2,0.15,0.11,0.15,0.15,0.2,0.17,0.12,0.1,0.12,0.14,18,0.04,0.01,0.24
ｸﾛﾛﾎﾙﾑ,環八通り八幡山,自排,0.1,0.11,0.13,0.12,0.1,0.14,0.13,0.13,0.15,0.12,0.09,0.11,0.12,18,0.04,0.01,0.22
"1,2-ｼﾞｸﾛﾛｴﾀﾝ",江東区大島,一般,0.1,0.12,0.12,0.09,0.07,0.07,0.07,0.06,0.07,0.07,0.06,0.08,0.08,1.6,0.02,0.006,―
"1,2-ｼﾞｸﾛﾛｴﾀﾝ",大田区東糀谷,一般,0.11,0.13,0.13,0.08,0.08,0.1,0.07,0.09,0.09,0.09,0.06,0.09,0.09,1.6,0.02,0.006,0.11
"1,2-ｼﾞｸﾛﾛｴﾀﾝ",板橋区氷川町,一般,0.08,0.09,0.16,0.08,0.05,0.07,0.06,0.08,0.08,0.07,0.06,0.07,0.08,1.6,0.02,0.006,0.1
"1,2-ｼﾞｸﾛﾛｴﾀﾝ",環八通り八幡山,自排,0.1,0.11,0.11,0.07,0.05,0.07,0.06,0.08,0.09,0.09,0.06,0.08,0.08,1.6,0.02,0.006,0.11
ﾄﾙｴﾝ,江東区大島,一般,2.37,2.73,2.58,2.19,2.27,4.12,6.31,6.99,8.48,4.88,4,3.6,4.2,,0.1,0.03,―
ﾄﾙｴﾝ,大田区東糀谷,一般,4.81,3.91,4.17,3.85,3.87,6.08,6.17,9.23,11.78,6.59,5.1,5.17,5.92,,0.1,0.03,10
ﾄﾙｴﾝ,板橋区氷川町,一般,7.4,6.46,10.62,8.72,5.87,9.96,11.18,12.84,11.33,6.03,5.28,5.07,8.31,,0.1,0.03,9
ﾄﾙｴﾝ,環八通り八幡山,自排,3.53,3.7,4.46,4.46,3.69,6.39,6.66,7.68,10.43,6.98,4.19,4.23,5.48,,0.1,0.03,9.6
m+p-ｷｼﾚﾝ,江東区大島,一般,0.56,0.6,0.56,0.61,0.58,0.77,1,0.99,1.37,0.81,0.74,0.58,0.76,,0.1,0.03,―
m+p-ｷｼﾚﾝ,大田区東糀谷,一般,1.37,1.17,1.05,1.23,1.1,1.36,1.18,1.68,2.11,1.32,1,1.03,1.3,,0.1,0.03,1.9
m+p-ｷｼﾚﾝ,板橋区氷川町,一般,9.91,9.46,15.19,15.89,8.5,11.64,11.76,5.35,4.45,2.99,2.82,3,8.35,,0.1,0.03,1.3
m+p-ｷｼﾚﾝ,環八通り八幡山,自排,0.72,0.74,0.99,1.04,0.84,1.19,1.2,1.26,1.76,1.26,0.82,0.76,1.04,,0.1,0.03,1.6
o-ｷｼﾚﾝ,江東区大島,一般,0.22,0.23,0.21,0.23,0.22,0.3,0.36,0.36,0.49,0.29,0.32,0.21,0.29,,0.1,0.03,―
o-ｷｼﾚﾝ,大田区東糀谷,一般,0.48,0.46,0.4,0.43,0.43,0.51,0.48,0.62,0.78,0.49,0.37,0.39,0.49,,0.1,0.03,0.6
o-ｷｼﾚﾝ,板橋区氷川町,一般,2.94,2.93,4.87,5.32,3.03,4.23,4.38,1.92,1.66,1.17,1.12,1.26,2.89,,0.1,0.03,0.39
o-ｷｼﾚﾝ,環八通り八幡山,自排,0.28,0.28,0.37,0.38,0.32,0.46,0.46,0.48,0.66,0.46,0.3,0.28,0.39,,0.1,0.03,0.52
総ｷｼﾚﾝ,江東区大島,一般,0.78,0.83,0.77,0.84,0.8,1.07,1.36,1.35,1.86,1.1,1.06,0.79,1.05,,0.2,0.06,―
総ｷｼﾚﾝ,大田区東糀谷,一般,1.85,1.63,1.45,1.66,1.53,1.87,1.66,2.3,2.89,1.81,1.37,1.42,1.79,,0.2,0.06,2.5
総ｷｼﾚﾝ,板橋区氷川町,一般,12.85,12.39,20.06,21.21,11.53,15.87,16.14,7.27,6.11,4.16,3.94,4.26,11.24,,0.2,0.06,1.7
総ｷｼﾚﾝ,環八通り八幡山,自排,1,1.02,1.36,1.42,1.16,1.65,1.66,1.74,2.42,1.72,1.12,1.04,1.43,,0.2,0.06,2.1
ｴﾁﾙﾍﾞﾝｾﾞﾝ,江東区大島,一般,0.79,0.77,0.77,0.73,0.67,1.13,1.56,1.55,2.05,1.02,0.99,0.82,1.07,,0.1,0.02,―
ｴﾁﾙﾍﾞﾝｾﾞﾝ,大田区東糀谷,一般,2.39,1.84,1.48,1.51,1.31,1.83,1.64,2.49,3.01,1.63,1.34,1.39,1.82,,0.1,0.02,3.1
ｴﾁﾙﾍﾞﾝｾﾞﾝ,板橋区氷川町,一般,16.88,16.76,25.99,27.55,15.44,23.08,24.17,10.29,8.94,6.29,5.86,6.7,15.59,,0.1,0.02,1.9
ｴﾁﾙﾍﾞﾝｾﾞﾝ,環八通り八幡山,自排,0.86,0.82,1.16,1,0.84,1.39,1.49,1.63,2.36,1.6,0.94,0.92,1.24,,0.1,0.02,2
ｽﾁﾚﾝ,江東区大島,一般,0.1,0.13,0.11,0.2,0.22,0.25,0.31,0.34,1.06,0.33,0.22,0.11,0.29,,0.05,0.02,―
ｽﾁﾚﾝ,大田区東糀谷,一般,0.27,0.23,0.25,0.37,0.38,0.38,0.27,0.52,0.58,0.21,0.13,0.16,0.31,,0.05,0.02,0.19
ｽﾁﾚﾝ,板橋区氷川町,一般,0.87,0.88,1,0.96,0.63,1.09,1.16,0.84,0.82,0.45,0.37,0.4,0.79,,0.05,0.02,0.17
ｽﾁﾚﾝ,環八通り八幡山,自排,0.18,0.17,0.22,0.25,0.24,0.35,0.36,0.41,0.58,0.27,0.15,0.15,0.27,,0.05,0.02,0.19
"1,1-ｼﾞｸﾛﾛｴﾀﾝ",江東区大島,一般,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,,0.05,0.02,―
"1,1-ｼﾞｸﾛﾛｴﾀﾝ",大田区東糀谷,一般,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,,0.05,0.02,＜0.04
"1,1-ｼﾞｸﾛﾛｴﾀﾝ",板橋区氷川町,一般,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,,0.05,0.02,＜0.04
"1,1-ｼﾞｸﾛﾛｴﾀﾝ",環八通り八幡山,自排,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,,0.05,0.02,＜0.04
四塩化炭素,江東区大島,一般,0.4,0.5,0.39,0.43,0.44,0.44,0.45,0.34,0.39,0.4,0.37,0.37,0.41,,0.3,0.09,―
四塩化炭素,大田区東糀谷,一般,0.45,0.45,0.45,0.45,0.55,0.47,0.44,0.5,0.45,0.44,0.41,0.4,0.46,,0.3,0.09,0.6
四塩化炭素,板橋区氷川町,一般,0.34,0.35,0.49,0.43,0.36,0.4,0.37,0.45,0.42,0.35,0.37,0.34,0.39,,0.3,0.09,0.6
四塩化炭素,環八通り八幡山,自排,0.4,0.42,0.43,0.4,0.39,0.41,0.4,0.4,0.47,0.44,0.39,0.38,0.41,,0.3,0.09,0.62
注１：環境基本法第１６条に基づく大気環境基準*付きは環境中の有害大気汚染物質による健康リスクの低減を図るための指針となる数値（指針値）,,,,,,,,,,,,,,,,,,,
注２：VOC連続計稼働当初より使用してきた定量下限値および検出下限値,,,,,,,,,,,,,,,,,,,
VOC連続計においてはデータ収集率を確保するため下限値設定のための測定を行わず、稼動当初に測定した定量下限値、検出下限値を採用している。,,,,,,,,,,,,,,,,,,,
注３：江東区大島局では測定を行っていないため「－」と表記,,,,,,,,,,,,,,,,,,,
