測定物質,測定局名,測定局の区分,４月(μg/m3),５月(μg/m3),６月(μg/m3),７月(μg/m3),８月(μg/m3),９月(μg/m3),１０月(μg/m3),１１月(μg/m3),１２月(μg/m3),１月(μg/m3),２月(μg/m3),３月(μg/m3),年間(μg/m3),環境基準等(μg/m3)注1,定量下限値(μg/m3)注2,検出下限値(μg/m3)注2,公定法(μg/m3)注3（毎月24時間）
ﾃﾄﾗｸﾛﾛｴﾁﾚﾝ,板橋区氷川町,一般,0.22,0.21,0.22,0.17,0.14,0.21,0.14,0.24,0.35,0.29,0.16,0.29,0.22,200,0.2,0.06,0.36
ﾃﾄﾗｸﾛﾛｴﾁﾚﾝ,環八通り八幡山,自排,0.14,0.14,0.12,0.12,0.13,0.14,0.17,0.25,0.23,0.13,0.09,0.12,0.15,200,0.2,0.06,0.21
ｼﾞｸﾛﾛﾒﾀﾝ,江東区大島,一般,1.4,1.56,1.11,1.29,1.31,1.77,2.48,3.45,2.49,1.8,1.69,1.89,1.84,150,0.05,0.02,―
ｼﾞｸﾛﾛﾒﾀﾝ,大田区東糀谷,一般,0.94,1.02,0.81,0.8,1.01,1.14,1.74,2.28,1.48,1.62,1.13,1.17,1.26,150,0.05,0.02,1.6
ｼﾞｸﾛﾛﾒﾀﾝ,板橋区氷川町,一般,0.77,0.92,1.12,0.81,0.89,1.28,1.4,1.9,1.77,1.29,1.05,1.17,1.19,150,0.05,0.02,1.7
ｼﾞｸﾛﾛﾒﾀﾝ,環八通り八幡山,自排,0.83,0.84,0.78,0.76,0.87,0.93,1.01,1.53,1.29,0.94,0.74,0.91,0.95,150,0.05,0.02,1.4
塩化ﾋﾞﾆﾙﾓﾉﾏｰ,江東区大島,一般,0.04,0.08,0.1,0.11,0.07,0.03,0.05,0.03,0.02,0.03,0.04,0.04,0.05,10,0.03,0.01,―
塩化ﾋﾞﾆﾙﾓﾉﾏｰ,大田区東糀谷,一般,0.02,0.11,0.06,0.03,0.49,0.04,0.03,0.05,0.04,0.04,0.06,0.02,0.08,10,0.03,0.01,0.05
塩化ﾋﾞﾆﾙﾓﾉﾏｰ,板橋区氷川町,一般,0.01,0.02,0.04,0.02,0.03,0.02,0.01,0.02,0.02,0.02,0.02,0.01,0.02,10,0.03,0.01,0.03
塩化ﾋﾞﾆﾙﾓﾉﾏｰ,環八通り八幡山,自排,0.01,0.01,0.05,0.01,0.02,0.02,0.02,0.03,0.02,0.02,0.02,0.01,0.02,10,0.03,0.01,0.03
"1,3-ﾌﾞﾀｼﾞｴﾝ",江東区大島,一般,0.22,0.12,0.08,0.22,0.09,0.07,0.12,0.12,0.12,0.09,0.06,0.21,0.12,2.5,0.02,0.006,―
"1,3-ﾌﾞﾀｼﾞｴﾝ",大田区東糀谷,一般,0.27,0.34,0.29,0.57,0.28,0.35,0.19,0.21,0.21,0.21,0.15,0.31,0.28,2.5,0.02,0.006,0.43
"1,3-ﾌﾞﾀｼﾞｴﾝ",板橋区氷川町,一般,0.06,0.07,0.08,0.09,0.02,0.08,0.08,0.13,0.14,0.1,0.07,0.09,0.08,2.5,0.02,0.006,0.21
"1,3-ﾌﾞﾀｼﾞｴﾝ",環八通り八幡山,自排,0.14,0.12,0.12,0.11,0.16,0.2,0.15,0.24,0.21,0.16,0.12,0.12,0.15,2.5,0.02,0.006,0.28
ｱｸﾘﾛﾆﾄﾘﾙ,江東区大島,一般,0.19,0.26,0.12,0.33,0.14,0.07,0.05,0.08,0.08,0.04,0.05,0.13,0.13,2,0.1,0.03,―
ｱｸﾘﾛﾆﾄﾘﾙ,大田区東糀谷,一般,0.29,0.42,0.48,0.63,0.57,0.3,0.12,0.35,0.18,0.18,0.16,0.29,0.34,2,0.1,0.03,0.2
ｱｸﾘﾛﾆﾄﾘﾙ,板橋区氷川町,一般,0.04,0.08,0.09,0.07,0.04,0.05,0.04,0.06,0.06,0.03,0.04,0.09,0.06,2,0.1,0.03,0.07
ｱｸﾘﾛﾆﾄﾘﾙ,環八通り八幡山,自排,0.05,0.08,0.13,0.07,0.06,0.1,0.05,0.08,0.11,0.06,0.05,0.07,0.08,2,0.1,0.03,0.04
ｸﾛﾛﾎﾙﾑ,江東区大島,一般,0.15,0.15,0.14,0.12,0.12,0.15,0.12,0.17,0.13,0.12,0.11,0.13,0.13,18,0.04,0.01,―
ｸﾛﾛﾎﾙﾑ,大田区東糀谷,一般,0.19,0.33,0.32,0.18,0.3,0.33,0.47,0.5,0.19,0.29,0.33,0.26,0.31,18,0.04,0.01,0.28
ｸﾛﾛﾎﾙﾑ,板橋区氷川町,一般,0.13,0.14,0.19,0.13,0.15,0.17,0.12,0.19,0.19,0.14,0.11,0.14,0.15,18,0.04,0.01,0.22
ｸﾛﾛﾎﾙﾑ,環八通り八幡山,自排,0.13,0.14,0.14,0.11,0.14,0.16,0.12,0.16,0.14,0.12,0.1,0.12,0.13,18,0.04,0.01,0.19
"1,2-ｼﾞｸﾛﾛｴﾀﾝ",江東区大島,一般,0.12,0.14,0.12,0.09,0.07,0.08,0.06,0.09,0.07,0.08,0.09,0.11,0.09,1.6,0.02,0.006,―
"1,2-ｼﾞｸﾛﾛｴﾀﾝ",大田区東糀谷,一般,0.11,0.15,0.13,0.08,0.09,0.1,0.07,0.12,0.09,0.1,0.11,0.13,0.11,1.6,0.02,0.006,0.13
"1,2-ｼﾞｸﾛﾛｴﾀﾝ",板橋区氷川町,一般,0.09,0.12,0.13,0.08,0.08,0.08,0.05,0.09,0.08,0.09,0.09,0.12,0.09,1.6,0.02,0.006,0.12
"1,2-ｼﾞｸﾛﾛｴﾀﾝ",環八通り八幡山,自排,0.1,0.12,0.11,0.07,0.08,0.08,0.06,0.08,0.09,0.09,0.09,0.11,0.09,1.6,0.02,0.006,0.13
ﾄﾙｴﾝ,江東区大島,一般,3.93,2.77,2.34,2.72,2.99,3.24,5.29,10.9,8.29,5.27,4.18,4.12,4.64,,0.1,0.03,―
ﾄﾙｴﾝ,大田区東糀谷,一般,3.78,4.16,3.52,3.84,4.75,5.42,8.32,11.88,10.25,6.87,5,5.21,6.1,,0.1,0.03,7.1
ﾄﾙｴﾝ,板橋区氷川町,一般,4.31,4.79,6.05,4.98,4.95,5.96,5.97,11.66,10.23,6.53,4.54,5.37,6.2,,0.1,0.03,8.5
ﾄﾙｴﾝ,環八通り八幡山,自排,4.05,5.01,3.64,4.02,4.72,5.67,5.86,10.35,9.53,7.28,6.82,6.33,6.08,,0.1,0.03,7.3
m+p-ｷｼﾚﾝ,江東区大島,一般,0.74,0.64,0.59,0.8,0.61,0.57,0.82,1.65,1.24,0.9,0.81,0.84,0.85,,0.1,0.03,―
m+p-ｷｼﾚﾝ,大田区東糀谷,一般,0.95,1.08,0.93,1.2,1.13,1.13,1.45,2.11,1.97,1.31,0.92,1.08,1.28,,0.1,0.03,1.6
m+p-ｷｼﾚﾝ,板橋区氷川町,一般,3.76,6.3,9.82,10.91,6.58,4.49,2.1,2.19,1.95,1.18,0.93,1.27,4.29,,0.1,0.03,1.2
m+p-ｷｼﾚﾝ,環八通り八幡山,自排,0.75,0.79,0.76,0.78,0.91,1.12,1.15,3.42,1.68,0.98,0.79,0.96,1.17,,0.1,0.03,1.3
o-ｷｼﾚﾝ,江東区大島,一般,0.28,0.25,0.23,0.33,0.23,0.22,0.3,0.59,0.46,0.33,0.28,0.32,0.32,,0.1,0.03,―
o-ｷｼﾚﾝ,大田区東糀谷,一般,0.35,0.43,0.39,0.48,0.46,0.45,0.51,0.77,0.82,0.5,0.35,0.46,0.5,,0.1,0.03,0.53
o-ｷｼﾚﾝ,板橋区氷川町,一般,1.68,3.04,5.22,6.18,3.54,2.41,1.04,0.93,0.8,0.49,0.39,0.56,2.19,,0.1,0.03,0.38
o-ｷｼﾚﾝ,環八通り八幡山,自排,0.27,0.31,0.32,0.33,0.34,0.42,0.43,1.12,0.65,0.38,0.31,0.36,0.44,,0.1,0.03,0.43
総ｷｼﾚﾝ,江東区大島,一般,1.02,0.89,0.82,1.13,0.84,0.79,1.12,2.24,1.7,1.23,1.09,1.16,1.16,,0.2,0.06,―
総ｷｼﾚﾝ,大田区東糀谷,一般,1.3,1.51,1.32,1.68,1.59,1.58,1.96,2.88,2.79,1.81,1.27,1.54,1.78,,0.2,0.06,2.1
総ｷｼﾚﾝ,板橋区氷川町,一般,5.44,9.34,15.04,17.09,10.12,6.9,3.14,3.12,2.75,1.67,1.32,1.83,6.48,,0.2,0.06,1.6
総ｷｼﾚﾝ,環八通り八幡山,自排,1.02,1.1,1.08,1.11,1.25,1.54,1.58,4.54,2.33,1.36,1.1,1.32,1.61,,0.2,0.06,1.7
ｴﾁﾙﾍﾞﾝｾﾞﾝ,江東区大島,一般,1.22,0.99,0.99,1.11,0.97,0.94,1.29,2.59,1.86,1.28,1.22,1.38,1.31,,0.1,0.02,―
ｴﾁﾙﾍﾞﾝｾﾞﾝ,大田区東糀谷,一般,1.35,1.54,1.33,1.66,1.57,1.63,2.1,3.21,2.96,1.7,1.24,1.5,1.82,,0.1,0.02,2.2
ｴﾁﾙﾍﾞﾝｾﾞﾝ,板橋区氷川町,一般,8.41,13.37,20.91,22.8,11.3,8.17,3.74,3.7,2.93,1.78,1.47,2.14,8.38,,0.1,0.02,1.6
ｴﾁﾙﾍﾞﾝｾﾞﾝ,環八通り八幡山,自排,0.88,0.95,1.11,1.11,1.05,1.36,1.62,5,2.16,1.21,1.07,1.41,1.57,,0.1,0.02,1.6
ｽﾁﾚﾝ,江東区大島,一般,0.14,0.13,0.13,0.23,0.14,0.12,0.19,0.43,0.33,0.21,0.16,0.17,0.2,,0.05,0.02,―
ｽﾁﾚﾝ,大田区東糀谷,一般,0.15,0.23,0.27,0.41,0.38,0.23,0.26,0.46,0.32,0.3,0.17,0.2,0.28,,0.05,0.02,0.18
ｽﾁﾚﾝ,板橋区氷川町,一般,0.52,0.89,1.14,1.26,0.75,0.65,0.39,1.91,0.43,0.3,0.2,0.25,0.7,,0.05,0.02,0.11
ｽﾁﾚﾝ,環八通り八幡山,自排,0.14,0.15,0.16,0.19,0.21,0.23,0.23,0.46,0.37,0.25,0.18,0.2,0.23,,0.05,0.02,0.12
"1,1-ｼﾞｸﾛﾛｴﾀﾝ",江東区大島,一般,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,,0.05,0.02,―
"1,1-ｼﾞｸﾛﾛｴﾀﾝ",大田区東糀谷,一般,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,,0.05,0.02,＜0.04
"1,1-ｼﾞｸﾛﾛｴﾀﾝ",板橋区氷川町,一般,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,,0.05,0.02,＜0.04
"1,1-ｼﾞｸﾛﾛｴﾀﾝ",環八通り八幡山,自排,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,,0.05,0.02,＜0.04
四塩化炭素,江東区大島,一般,0.46,0.46,0.42,0.44,0.42,0.44,0.4,0.43,0.38,0.36,0.37,0.37,0.41,,0.3,0.09,―
四塩化炭素,大田区東糀谷,一般,0.45,0.47,0.4,0.44,0.44,0.46,0.52,0.54,0.4,0.43,0.39,0.41,0.44,,0.3,0.09,0.52
四塩化炭素,板橋区氷川町,一般,0.36,0.38,0.49,0.4,0.51,0.4,0.35,0.42,0.43,0.38,0.4,0.41,0.41,,0.3,0.09,0.52
四塩化炭素,環八通り八幡山,自排,0.4,0.39,0.42,0.4,0.4,0.41,0.39,0.42,0.44,0.39,0.36,0.38,0.4,,0.3,0.09,0.54
,,,,,,,,,,,,,,,,,,,
,注１：環境基本法第１６条に基づく大気環境基準　　　*付きは環境中の有害大気汚染物質による健康リスクの低減を図るための指針となる数値（指針値）,,,,,,,,,,,,,,,,,,
,注２：VOC連続計稼働当初より使用してきた定量下限値および検出下限値,,,,,,,,,,,,,,,,,,
,　　　VOC連続計においてはデータ収集率を確保するため下限値設定のための測定を行わず、稼動当初に測定した定量下限値、検出下限値を採用している。,,,,,,,,,,,,,,,,,,
,注３：江東区大島局では測定を行っていないため「－」と表記,,,,,,,,,,,,,,,,,,
