事業所規模,産業,和暦年,西暦年,年平均・月,一般労働者／出勤日数(日),一般労働者／総実労働時間(時間),一般労働者／所定内労働時間(時間),一般労働者／所定外労働時間(時間),パートタイム労働者／出勤日数(日),パートタイム労働者／総実労働時間(時間),パートタイム労働者／所定内労働時間(時間),パートタイム労働者／所定外労働時間(時間)
30人以上,"C 鉱業,採石業,砂利採取業",令和５,2023,2月,18,155.5,132.6,22.9,－,－,－,－
30人以上,"C 鉱業,採石業,砂利採取業",令和５,2023,3月,×,×,×,×,×,×,×,×
30人以上,"C 鉱業,採石業,砂利採取業",令和５,2023,4月,×,×,×,×,×,×,×,×
30人以上,"C 鉱業,採石業,砂利採取業",令和５,2023,5月,17.9,152.5,131.7,20.8,－,－,－,－
30人以上,"C 鉱業,採石業,砂利採取業",令和５,2023,6月,20.8,176,153.3,22.7,－,－,－,－
30人以上,"C 鉱業,採石業,砂利採取業",令和５,2023,7月,19.1,161.9,139.6,22.3,－,－,－,－
30人以上,"C 鉱業,採石業,砂利採取業",令和５,2023,8月,19.8,166.1,145.8,20.3,－,－,－,－
30人以上,"C 鉱業,採石業,砂利採取業",令和５,2023,9月,18.2,155.1,133.6,21.5,－,－,－,－
30人以上,"C 鉱業,採石業,砂利採取業",令和５,2023,10月,19,160.9,138.9,22,－,－,－,－
30人以上,"C 鉱業,採石業,砂利採取業",令和５,2023,11月,19.1,162.7,140.2,22.5,－,－,－,－
30人以上,"C 鉱業,採石業,砂利採取業",令和５,2023,12月,18.6,156.2,136.8,19.4,－,－,－,－
30人以上,D 建設業,平成30,2018,年平均,20.6,182.8,156.7,26.1,10.3,63.6,62.2,1.4
30人以上,D 建設業,平成31・令和元,2019,年平均,19.8,173.3,147.4,25.9,12.3,83.2,79.4,3.8
30人以上,D 建設業,令和２,2020,年平均,19.3,168.3,146.7,21.6,14.5,105.4,97.5,7.9
30人以上,D 建設業,令和３,2021,年平均,19.3,169.2,146.8,22.4,15.5,111.3,104.1,7.2
30人以上,D 建設業,令和４,2022,年平均,19.1,167.3,145.9,21.4,14.1,92.9,90.6,2.3
30人以上,D 建設業,令和５,2023,年平均,19.3,167.8,146.7,21.1,13.6,93.1,90.6,2.5
30人以上,D 建設業,令和５,2023,1月,17.7,155.5,135.7,19.8,12.5,87.8,85.6,2.2
30人以上,D 建設業,令和５,2023,2月,19,167.3,144.1,23.2,12.7,89.9,87.5,2.4
30人以上,D 建設業,令和５,2023,3月,19.5,172,148.3,23.7,13.7,96.9,94.3,2.6
30人以上,D 建設業,令和５,2023,4月,20.5,179.6,155.7,23.9,14.4,102.7,98.6,4.1
30人以上,D 建設業,令和５,2023,5月,18.3,158.3,139.5,18.8,13.7,95.2,92.5,2.7
30人以上,D 建設業,令和５,2023,6月,20.3,176.5,155.1,21.4,13.8,91,88.9,2.1
30人以上,D 建設業,令和５,2023,7月,20.1,174.3,152.7,21.6,14.7,102.8,99.4,3.4
30人以上,D 建設業,令和５,2023,8月,18,154.4,136.3,18.1,12.9,83.9,82.1,1.8
30人以上,D 建設業,令和５,2023,9月,19,163.7,144.3,19.4,14.1,99.5,96.4,3.1
30人以上,D 建設業,令和５,2023,10月,19.8,171.2,149.9,21.3,14.2,98.5,96.1,2.4
30人以上,D 建設業,令和５,2023,11月,19.9,172.7,152,20.7,14.9,103.6,101.2,2.4
30人以上,D 建設業,令和５,2023,12月,19.5,166.9,146,20.9,12.8,81.7,80.1,1.6
30人以上,E 製造業,平成30,2018,年平均,19,162.5,147.3,15.2,16,113,107.9,5.1
30人以上,E 製造業,平成31・令和元,2019,年平均,18.6,157.9,143.5,14.4,17,124.3,117,7.3
30人以上,E 製造業,令和２,2020,年平均,18.6,156,143.9,12.1,16.6,121.4,109.7,11.7
30人以上,E 製造業,令和３,2021,年平均,18.7,158.7,145.1,13.6,15.7,111.9,102.2,9.7
30人以上,E 製造業,令和４,2022,年平均,18.8,160,145.3,14.7,15.3,113.9,101.6,12.3
30人以上,E 製造業,令和５,2023,年平均,18.8,159.1,145.6,13.5,15.6,106.5,101.8,4.7
30人以上,E 製造業,令和５,2023,1月,17.5,148.2,135.6,12.6,14,92.6,87,5.6
30人以上,E 製造業,令和５,2023,2月,18.3,155.5,141.7,13.8,15.7,98.4,93.4,5
30人以上,E 製造業,令和５,2023,3月,19,161.7,146.9,14.8,15,107.5,101.9,5.6
30人以上,E 製造業,令和５,2023,4月,19.4,164.5,150.4,14.1,15.9,109.3,105,4.3
30人以上,E 製造業,令和５,2023,5月,18.2,153.7,140.8,12.9,14.6,101,96.7,4.3
30人以上,E 製造業,令和５,2023,6月,19.6,165.3,151.6,13.7,16.4,112.6,107.6,5
30人以上,E 製造業,令和５,2023,7月,19.6,165.6,152.4,13.2,16.1,112.2,107.8,4.4
30人以上,E 製造業,令和５,2023,8月,18,151.9,139.4,12.5,14.1,99.2,95,4.2
30人以上,E 製造業,令和５,2023,9月,18.7,157.9,144.8,13.1,16.6,116.1,110.8,5.3
30人以上,E 製造業,令和５,2023,10月,19.1,161.9,148.1,13.8,15.7,107.7,103.6,4.1
30人以上,E 製造業,令和５,2023,11月,19.5,164.7,150.6,14.1,16.8,116.1,110.6,5.5
30人以上,E 製造業,令和５,2023,12月,18.7,157.8,144.9,12.9,16,107.2,103.2,4
30人以上,F 電気・ガス・熱供給・水道業,平成30,2018,年平均,18.5,159.4,143.2,16.2,15.9,104.2,103.3,0.9
30人以上,F 電気・ガス・熱供給・水道業,平成31・令和元,2019,年平均,18.1,155.1,136.2,18.9,14.9,96.6,95.9,0.7
30人以上,F 電気・ガス・熱供給・水道業,令和２,2020,年平均,18.6,157.6,139.8,17.8,14.5,102.2,100.3,1.9
30人以上,F 電気・ガス・熱供給・水道業,令和３,2021,年平均,18.9,159.7,143.3,16.4,14.7,105.8,105,0.8
30人以上,F 電気・ガス・熱供給・水道業,令和４,2022,年平均,19,161.4,144.1,17.3,14.9,107.4,106.4,1
30人以上,F 電気・ガス・熱供給・水道業,令和５,2023,年平均,19.1,163.5,144.9,18.6,14.8,110.7,109.2,1.5
30人以上,F 電気・ガス・熱供給・水道業,令和５,2023,1月,17.7,150.9,134.3,16.6,14.2,106.9,105.2,1.7
30人以上,F 電気・ガス・熱供給・水道業,令和５,2023,2月,17.7,153.7,134.2,19.5,14.3,105.9,105,0.9
30人以上,F 電気・ガス・熱供給・水道業,令和５,2023,3月,×,×,×,×,×,×,×,×
30人以上,F 電気・ガス・熱供給・水道業,令和５,2023,4月,×,×,×,×,×,×,×,×
30人以上,F 電気・ガス・熱供給・水道業,令和５,2023,5月,18.5,158.7,140.7,18,14.7,109.6,108.6,1
30人以上,F 電気・ガス・熱供給・水道業,令和５,2023,6月,20.5,174.6,155.9,18.7,16.6,123.3,122.2,1.1
30人以上,F 電気・ガス・熱供給・水道業,令和５,2023,7月,19,162.4,144.4,18,15,112.6,111.1,1.5
30人以上,F 電気・ガス・熱供給・水道業,令和５,2023,8月,19.8,168.4,151.1,17.3,15.2,114.2,112.3,1.9
30人以上,F 電気・ガス・熱供給・水道業,令和５,2023,9月,18.5,159.2,140.6,18.6,13.9,104.8,102.9,1.9
30人以上,F 電気・ガス・熱供給・水道業,令和５,2023,10月,19.7,170.1,150.2,19.9,14.8,110.7,108.8,1.9
30人以上,F 電気・ガス・熱供給・水道業,令和５,2023,11月,18.9,161.9,144,17.9,14.6,109.2,107.5,1.7
30人以上,F 電気・ガス・熱供給・水道業,令和５,2023,12月,18.6,157.1,140.1,17,14.3,107.1,105.5,1.6
30人以上,G 情報通信業,平成30,2018,年平均,18.9,159.9,144.6,15.3,12.6,83.5,80.9,2.6
30人以上,G 情報通信業,平成31・令和元,2019,年平均,18.7,160.2,142.8,17.4,12.6,82.6,80.2,2.4
30人以上,G 情報通信業,令和２,2020,年平均,18.8,160.8,143.9,16.9,12.7,83.8,81.6,2.2
30人以上,G 情報通信業,令和３,2021,年平均,18.9,162.4,145.1,17.3,13.1,87.7,84.9,2.8
30人以上,G 情報通信業,令和４,2022,年平均,18.7,161.8,143.7,18.1,13.2,89.4,85,4.4
30人以上,G 情報通信業,令和５,2023,年平均,18.9,163.1,144.9,18.2,12.9,92.7,86.2,6.5
30人以上,G 情報通信業,令和５,2023,1月,17.5,152.3,134.4,17.9,12.2,88.1,84.8,3.3
30人以上,G 情報通信業,令和５,2023,2月,18,156.7,137.9,18.8,11.7,84.1,80.7,3.4
30人以上,G 情報通信業,令和５,2023,3月,19.6,169.3,149.6,19.7,11.9,84.4,81.2,3.2
30人以上,G 情報通信業,令和５,2023,4月,19.5,168.5,149.4,19.1,11.9,85,81.4,3.6
30人以上,G 情報通信業,令和５,2023,5月,18.3,158,140.6,17.4,12,86.7,82.8,3.9
30人以上,G 情報通信業,令和５,2023,6月,20,172.1,153.5,18.6,12.9,92.3,88.5,3.8
30人以上,G 情報通信業,令和５,2023,7月,19.2,165.2,147.4,17.8,12.2,87.1,83.1,4
30人以上,G 情報通信業,令和５,2023,8月,18.7,161.6,144.6,17,12.2,89.4,84.9,4.5
30人以上,G 情報通信業,令和５,2023,9月,18.5,159.8,142.4,17.4,16.6,119.4,104.5,14.9
30人以上,G 情報通信業,令和５,2023,10月,19.3,165.8,147.4,18.4,13.3,95,83.7,11.3
30人以上,G 情報通信業,令和５,2023,11月,19.2,165.5,147.1,18.4,14.2,103.3,91.7,11.6
30人以上,G 情報通信業,令和５,2023,12月,18.8,161.5,143.9,17.6,13.8,100.4,89,11.4
30人以上,"H 運輸業,郵便業",平成30,2018,年平均,19.6,166.8,147.2,19.6,14.8,104.2,94.5,9.7
30人以上,"H 運輸業,郵便業",平成31・令和元,2019,年平均,19.2,168,145.1,22.9,13.9,102,93,9
30人以上,"H 運輸業,郵便業",令和２,2020,年平均,18.3,158.9,137.6,21.3,13.9,101.2,91.5,9.7
30人以上,"H 運輸業,郵便業",令和３,2021,年平均,18.2,159.1,138.5,20.6,14,97.1,89.4,7.7
30人以上,"H 運輸業,郵便業",令和４,2022,年平均,18.7,166.2,143.7,22.5,14.8,101.4,93.8,7.6
30人以上,"H 運輸業,郵便業",令和５,2023,年平均,19,168.2,147.3,20.9,15.9,111.5,103.1,8.4
30人以上,"H 運輸業,郵便業",令和５,2023,1月,17.9,161.4,140.6,20.8,14.2,100.3,92.9,7.4
30人以上,"H 運輸業,郵便業",令和５,2023,2月,18.4,163.4,142.7,20.7,15.7,109.6,101.5,8.1
30人以上,"H 運輸業,郵便業",令和５,2023,3月,19,167.5,145.8,21.7,15.4,106.8,98.4,8.4
30人以上,"H 運輸業,郵便業",令和５,2023,4月,19.6,174.7,151.5,23.2,16.2,114.9,105.9,9
30人以上,"H 運輸業,郵便業",令和５,2023,5月,18.9,166.7,145.8,20.9,15.8,110.7,102.5,8.2
30人以上,"H 運輸業,郵便業",令和５,2023,6月,19.4,168.3,148.9,19.4,17.2,121.5,112.9,8.6
30人以上,"H 運輸業,郵便業",令和５,2023,7月,19.6,173.8,151.1,22.7,16.3,114,106,8
30人以上,"H 運輸業,郵便業",令和５,2023,8月,19.2,170.8,148.3,22.5,15.7,105.3,98.9,6.4
30人以上,"H 運輸業,郵便業",令和５,2023,9月,19,166,146.2,19.8,15.7,110.9,102.6,8.3
30人以上,"H 運輸業,郵便業",令和５,2023,10月,19.2,169.1,148.4,20.7,15.7,110,101.4,8.6
30人以上,"H 運輸業,郵便業",令和５,2023,11月,19.2,168.2,148.8,19.4,16.4,116.5,107.7,8.8
30人以上,"H 運輸業,郵便業",令和５,2023,12月,19.2,168.2,148.7,19.5,16.5,116.6,106.1,10.5
30人以上,"I 卸売業,小売業",平成30,2018,年平均,19.3,158.9,148.3,10.6,16,97.6,94.6,3
30人以上,"I 卸売業,小売業",平成31・令和元,2019,年平均,18.7,154.7,143.5,11.2,15.5,97.8,93,4.8
30人以上,"I 卸売業,小売業",令和２,2020,年平均,18.6,152.9,142.5,10.4,14.9,94.1,89.6,4.5
30人以上,"I 卸売業,小売業",令和３,2021,年平均,18.8,155.9,143,12.9,14.7,89.5,86.9,2.6
30人以上,"I 卸売業,小売業",令和４,2022,年平均,18.6,156.8,143.2,13.6,14.6,87.9,85.8,2.1
30人以上,"I 卸売業,小売業",令和５,2023,年平均,18.8,158.5,145.3,13.2,14.3,88.9,86.6,2.3
30人以上,"I 卸売業,小売業",令和５,2023,1月,17.9,151.2,138,13.2,13.8,85.9,83.7,2.2
30人以上,"I 卸売業,小売業",令和５,2023,2月,18,151.7,138.5,13.2,14.1,87.3,85,2.3
30人以上,"I 卸売業,小売業",令和５,2023,3月,18.9,161.2,147.6,13.6,14.1,85.6,83.6,2
30人以上,"I 卸売業,小売業",令和５,2023,4月,19.3,162.8,148.7,14.1,14.6,90.8,88.6,2.2
30人以上,"I 卸売業,小売業",令和５,2023,5月,18.5,155.8,142.6,13.2,14.1,87.5,85.4,2.1
30人以上,"I 卸売業,小売業",令和５,2023,6月,19.7,165.4,151.8,13.6,14.8,92.2,90,2.2
30人以上,"I 卸売業,小売業",令和５,2023,7月,19.5,162.9,149.7,13.2,14.6,90.5,88.2,2.3
30人以上,"I 卸売業,小売業",令和５,2023,8月,18.4,155,142.7,12.3,14.6,91.6,89.2,2.4
30人以上,"I 卸売業,小売業",令和５,2023,9月,18.5,155.6,142.9,12.7,14.3,88.7,86.4,2.3
30人以上,"I 卸売業,小売業",令和５,2023,10月,19.1,161.3,147.7,13.6,14.3,90.1,87.4,2.7
30人以上,"I 卸売業,小売業",令和５,2023,11月,19.1,161.5,148,13.5,14.1,87.7,85.3,2.4
30人以上,"I 卸売業,小売業",令和５,2023,12月,18.7,157.8,145,12.8,14.4,88.9,85.9,3
30人以上,"J 金融業,保険業",平成30,2018,年平均,19,156.9,138.9,18,15.3,100,98.2,1.8
30人以上,"J 金融業,保険業",平成31・令和元,2019,年平均,18.4,151.4,132.8,18.6,15.6,97.9,95.2,2.7
30人以上,"J 金融業,保険業",令和２,2020,年平均,18.4,154,133.7,20.3,15.4,102.4,99.6,2.8
30人以上,"J 金融業,保険業",令和３,2021,年平均,18.6,156.5,136.7,19.8,15.6,100.1,97.6,2.5
30人以上,"J 金融業,保険業",令和４,2022,年平均,18.4,155.6,135.5,20.1,15.4,99.4,96.6,2.8
30人以上,"J 金融業,保険業",令和５,2023,年平均,18.3,153.2,134.3,18.9,15.4,100.4,97.7,2.7
30人以上,"J 金融業,保険業",令和５,2023,1月,17.5,148.1,129.2,18.9,14.7,96.5,93.8,2.7
30人以上,"J 金融業,保険業",令和５,2023,2月,17.5,146.8,127.9,18.9,14.6,95.9,93.1,2.8
30人以上,"J 金融業,保険業",令和５,2023,3月,19.3,161.2,141,20.2,15.9,103.4,100.3,3.1
30人以上,"J 金融業,保険業",令和５,2023,4月,19.1,160.7,140,20.7,15.7,101.8,98.9,2.9
30人以上,"J 金融業,保険業",令和５,2023,5月,18.5,154.7,135.7,19,15.2,99.3,96.3,3
30人以上,"J 金融業,保険業",令和５,2023,6月,20,166.9,147.1,19.8,16.3,105.9,103,2.9
30人以上,"J 金融業,保険業",令和５,2023,7月,17.8,149.7,130.9,18.8,15.4,99.7,97.4,2.3
30人以上,"J 金融業,保険業",令和５,2023,8月,18,149.8,132.7,17.1,15.7,102.6,100.5,2.1
30人以上,"J 金融業,保険業",令和５,2023,9月,18.4,154.3,135.5,18.8,15.2,98.5,96.1,2.4
30人以上,"J 金融業,保険業",令和５,2023,10月,17.9,150.4,131.9,18.5,15.6,101.1,98.6,2.5
30人以上,"J 金融業,保険業",令和５,2023,11月,17.6,147.9,129.4,18.5,15.5,100.1,97.4,2.7
30人以上,"J 金融業,保険業",令和５,2023,12月,17.8,147.5,130,17.5,15.5,100.2,97.3,2.9
30人以上,"K 不動産業,物品賃貸業",平成30,2018,年平均,19.2,162.7,146.2,16.5,15.1,79.1,78,1.1
30人以上,"K 不動産業,物品賃貸業",平成31・令和元,2019,年平均,18.9,159.9,143.1,16.8,15,79.3,77.2,2.1
30人以上,"K 不動産業,物品賃貸業",令和２,2020,年平均,18.8,157.3,142.5,14.8,14.6,75.6,73.2,2.4
30人以上,"K 不動産業,物品賃貸業",令和３,2021,年平均,19,161.4,144.1,17.3,14.6,82.5,79.7,2.8
30人以上,"K 不動産業,物品賃貸業",令和４,2022,年平均,18.9,160.6,143.5,17.1,15.9,82.2,79.8,2.4
30人以上,"K 不動産業,物品賃貸業",令和５,2023,年平均,19,160,144.6,15.4,15.6,81.6,79.3,2.3
30人以上,"K 不動産業,物品賃貸業",令和５,2023,1月,17.9,151.6,137.1,14.5,14.6,79,76.9,2.1
30人以上,"K 不動産業,物品賃貸業",令和５,2023,2月,17.9,151.6,137.1,14.5,15.2,80.5,78.5,2
30人以上,"K 不動産業,物品賃貸業",令和５,2023,3月,19.2,162.4,146.2,16.2,15.3,80.8,78.5,2.3
30人以上,"K 不動産業,物品賃貸業",令和５,2023,4月,19.9,167.6,151.1,16.5,15.9,82.9,80.4,2.5
30人以上,"K 不動産業,物品賃貸業",令和５,2023,5月,18.8,158.4,142.9,15.5,15.1,81.2,78.7,2.5
30人以上,"K 不動産業,物品賃貸業",令和５,2023,6月,19.7,164.8,149.6,15.2,16.7,84.3,82.3,2
30人以上,"K 不動産業,物品賃貸業",令和５,2023,7月,19.8,165.2,150.2,15,15.9,82.3,80.3,2
30人以上,"K 不動産業,物品賃貸業",令和５,2023,8月,18.6,156.3,141.5,14.8,15.7,80.2,78,2.2
30人以上,"K 不動産業,物品賃貸業",令和５,2023,9月,18.8,158.5,143.4,15.1,15.9,82,79.8,2.2
30人以上,"K 不動産業,物品賃貸業",令和５,2023,10月,19.3,162.3,146.2,16.1,15.5,80.6,78.1,2.5
30人以上,"K 不動産業,物品賃貸業",令和５,2023,11月,19.2,162.7,146.9,15.8,15.8,84.7,82.5,2.2
30人以上,"K 不動産業,物品賃貸業",令和５,2023,12月,18.7,158.6,142.9,15.7,15.7,81.7,78.3,3.4
30人以上,"L 学術研究,専門・技術サービス業",平成30,2018,年平均,19,160.7,143.5,17.2,11.6,77.5,75.2,2.3
30人以上,"L 学術研究,専門・技術サービス業",平成31・令和元,2019,年平均,18.8,157.3,139.8,17.5,12,84.2,81.3,2.9
30人以上,"L 学術研究,専門・技術サービス業",令和２,2020,年平均,18.8,157.3,142,15.3,11.6,80.9,78.3,2.6
30人以上,"L 学術研究,専門・技術サービス業",令和３,2021,年平均,18.8,160.9,142.8,18.1,13.5,93.6,90.5,3.1
30人以上,"L 学術研究,専門・技術サービス業",令和４,2022,年平均,18.7,162.9,144.9,18,14.5,94,90.6,3.4
30人以上,"L 学術研究,専門・技術サービス業",令和５,2023,年平均,18.9,165,146.4,18.6,15.1,94.2,90.9,3.3
30人以上,"L 学術研究,専門・技術サービス業",令和５,2023,1月,17.3,152,134.8,17.2,14.3,90.6,86.9,3.7
30人以上,"L 学術研究,専門・技術サービス業",令和５,2023,2月,18.1,159.8,140.7,19.1,14.2,90.5,87,3.5
30人以上,"L 学術研究,専門・技術サービス業",令和５,2023,3月,19.7,173.7,153,20.7,14.9,95.5,92.1,3.4
30人以上,"L 学術研究,専門・技術サービス業",令和５,2023,4月,19.3,169.3,149.4,19.9,15.9,99.4,95.5,3.9
30人以上,"L 学術研究,専門・技術サービス業",令和５,2023,5月,18.4,160.7,142.6,18.1,14.9,93.5,89.9,3.6
30人以上,"L 学術研究,専門・技術サービス業",令和５,2023,6月,20.2,175.7,156.4,19.3,15.4,97.1,93.9,3.2
30人以上,"L 学術研究,専門・技術サービス業",令和５,2023,7月,19.2,166.1,148.3,17.8,15.5,97.4,93.7,3.7
30人以上,"L 学術研究,専門・技術サービス業",令和５,2023,8月,18.8,163.3,146.2,17.1,14.7,92.1,89.2,2.9
30人以上,"L 学術研究,専門・技術サービス業",令和５,2023,9月,18.6,162.5,144.9,17.6,15.3,94.7,91.7,3
30人以上,"L 学術研究,専門・技術サービス業",令和５,2023,10月,19.2,167.2,148.2,19,15,92.3,89.5,2.8
30人以上,"L 学術研究,専門・技術サービス業",令和５,2023,11月,19,166.5,147.5,19,15.4,94.7,91.6,3.1
30人以上,"L 学術研究,専門・技術サービス業",令和５,2023,12月,18.5,161.9,143.9,18,15.2,93.7,90.5,3.2
30人以上,"M 宿泊業,飲食サービス業",平成30,2018,年平均,20.2,178.9,160.5,18.4,13.3,77.8,74.9,2.9
30人以上,"M 宿泊業,飲食サービス業",平成31・令和元,2019,年平均,19.8,176.8,159,17.8,12.1,71.3,68,3.3
30人以上,"M 宿泊業,飲食サービス業",令和２,2020,年平均,16.2,136,127.3,8.7,9.8,53,51.4,1.6
30人以上,"M 宿泊業,飲食サービス業",令和３,2021,年平均,16.9,140.9,131.5,9.4,10.2,56.1,54.8,1.3
30人以上,"M 宿泊業,飲食サービス業",令和４,2022,年平均,18.4,158.5,144.6,13.9,10.7,65.8,62.4,3.4
30人以上,"M 宿泊業,飲食サービス業",令和５,2023,年平均,19.6,173.8,157.8,16,10.9,69.4,66,3.4
30人以上,"M 宿泊業,飲食サービス業",令和５,2023,1月,18.9,168.1,150.4,17.7,10.4,64.7,61.8,2.9
30人以上,"M 宿泊業,飲食サービス業",令和５,2023,2月,18.6,163.8,148.9,14.9,10.4,64.5,61.6,2.9
30人以上,"M 宿泊業,飲食サービス業",令和５,2023,3月,19.8,176.9,159.2,17.7,11.2,70.3,66.6,3.7
30人以上,"M 宿泊業,飲食サービス業",令和５,2023,4月,20.1,180.1,162.4,17.7,10.8,70,65.9,4.1
30人以上,"M 宿泊業,飲食サービス業",令和５,2023,5月,19.8,175.9,158.5,17.4,10.8,69.4,66.1,3.3
30人以上,"M 宿泊業,飲食サービス業",令和５,2023,6月,20,178.7,160.2,18.5,11,68.8,65.8,3
30人以上,"M 宿泊業,飲食サービス業",令和５,2023,7月,20,175,159.2,15.8,11.2,72,68.1,3.9
30人以上,"M 宿泊業,飲食サービス業",令和５,2023,8月,19.6,175.4,161.7,13.7,10.8,69.9,66.2,3.7
30人以上,"M 宿泊業,飲食サービス業",令和５,2023,9月,19.6,173.1,158.6,14.5,10.9,69.4,66.2,3.2
30人以上,"M 宿泊業,飲食サービス業",令和５,2023,10月,19.6,173.1,158.9,14.2,11.5,73.1,69.6,3.5
30人以上,"M 宿泊業,飲食サービス業",令和５,2023,11月,19.5,172,157.2,14.8,10.9,68.9,65.9,3
30人以上,"M 宿泊業,飲食サービス業",令和５,2023,12月,19.2,174.3,158.2,16.1,11.4,71.8,68,3.8
30人以上,"N 生活関連サービス業,娯楽業",平成30,2018,年平均,20,169,151.6,17.4,12.6,77.5,75.5,2
30人以上,"N 生活関連サービス業,娯楽業",平成31・令和元,2019,年平均,19.5,162.9,148.7,14.2,11.9,63.7,61.8,1.9
30人以上,"N 生活関連サービス業,娯楽業",令和２,2020,年平均,17.9,144.3,134.9,9.4,10.3,52.4,50.7,1.7
30人以上,"N 生活関連サービス業,娯楽業",令和３,2021,年平均,18.3,151.9,139.9,12,10.5,55.2,54.1,1.1
30人以上,"N 生活関連サービス業,娯楽業",令和４,2022,年平均,18.5,157.9,143.4,14.5,11.4,73.9,71.4,2.5
30人以上,"N 生活関連サービス業,娯楽業",令和５,2023,年平均,18.9,153,140.7,12.3,10.8,63.9,62.4,1.5
30人以上,"N 生活関連サービス業,娯楽業",令和５,2023,1月,17.9,143.4,131.8,11.6,10.1,58.2,56.6,1.6
30人以上,"N 生活関連サービス業,娯楽業",令和５,2023,2月,17.1,141.8,131.9,9.9,10.4,60.6,58.3,2.3
30人以上,"N 生活関連サービス業,娯楽業",令和５,2023,3月,18.8,157.1,144.7,12.4,9.9,56.6,55.4,1.2
30人以上,"N 生活関連サービス業,娯楽業",令和５,2023,4月,19.7,159.3,145.5,13.8,11.5,68.7,67,1.7
30人以上,"N 生活関連サービス業,娯楽業",令和５,2023,5月,19.2,152.7,140,12.7,11.1,65.4,63.8,1.6
30人以上,"N 生活関連サービス業,娯楽業",令和５,2023,6月,19.9,157.8,146.1,11.7,11.4,63.9,62.7,1.2
30人以上,"N 生活関連サービス業,娯楽業",令和５,2023,7月,19.6,157.4,144.6,12.8,10.8,61.2,60.1,1.1
30人以上,"N 生活関連サービス業,娯楽業",令和５,2023,8月,18.9,151.1,139.6,11.5,11.1,68.5,67.1,1.4
30人以上,"N 生活関連サービス業,娯楽業",令和５,2023,9月,18.4,145.9,133.9,12,11,66.2,64.8,1.4
30人以上,"N 生活関連サービス業,娯楽業",令和５,2023,10月,19.4,159.1,144.9,14.2,11,65.7,64.6,1.1
