事業所規模,和暦年,西暦年,年平均・月,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
100～499人,令和５,2023,2月,17.5,18.1,16.8,144.9,155,130.9,131.2,138.3,121.4,13.7,16.7,9.5
100～499人,令和５,2023,3月,18.3,19,17.4,152.6,163.5,137.3,138.1,145.9,127.2,14.5,17.6,10.1
100～499人,令和５,2023,4月,18.7,19.4,17.8,155.4,166.5,140,140.5,148.3,129.6,14.9,18.2,10.4
100～499人,令和５,2023,5月,17.9,18.4,17.2,147.7,156.7,135.5,134.2,140.4,125.8,13.5,16.3,9.7
100～499人,令和５,2023,6月,18.8,19.5,17.9,156.9,168.2,140.7,142.6,150.7,131.1,14.3,17.5,9.6
100～499人,令和５,2023,7月,18.6,19.2,17.8,153.7,164,139.1,139.9,147.2,129.6,13.8,16.8,9.5
100～499人,令和５,2023,8月,17.8,18.3,17.3,147.7,156.6,135.5,134.7,140.8,126.4,13,15.8,9.1
100～499人,令和５,2023,9月,18.1,18.5,17.4,150.4,159.6,137.1,136.5,143,127.1,13.9,16.6,10
100～499人,令和５,2023,10月,18.4,19,17.6,152.5,162.7,138.4,138.3,145.6,128.2,14.2,17.1,10.2
100～499人,令和５,2023,11月,18.5,19,17.7,152.7,163,138.6,138.5,145.9,128.4,14.2,17.1,10.2
100～499人,令和５,2023,12月,18.1,18.6,17.4,149.4,159.3,136.2,135.9,142.9,126.5,13.5,16.4,9.7
500人以上,平成30,2018,年平均,18.4,18.8,17.7,150.5,157.3,139.8,137.3,142.2,129.6,13.2,15.1,10.2
500人以上,平成31・令和元,2019,年平均,17.9,18.4,17.2,147.3,154.7,136,133.1,138.2,125.4,14.2,16.5,10.6
500人以上,令和２,2020,年平均,17.6,18.2,16.7,144.6,153.1,131.9,131.1,137.1,122,13.5,16,9.9
500人以上,令和３,2021,年平均,17.9,18.4,17.1,147.9,155.5,136.5,133.1,138.2,125.4,14.8,17.3,11.1
500人以上,令和４,2022,年平均,17.9,18.4,17.2,149,156.2,138.1,133.5,138.4,126.1,15.5,17.8,12
500人以上,令和５,2023,年平均,18.1,18.5,17.4,150,157.1,139.4,134.6,139.4,127.4,15.4,17.7,12
500人以上,令和５,2023,1月,17,17.5,16.4,142.3,148.7,132.4,127.4,131.7,120.8,14.9,17,11.6
500人以上,令和５,2023,2月,17,17.5,16.3,142.1,149.5,131.1,126.7,131.5,119.4,15.4,18,11.7
500人以上,令和５,2023,3月,18.5,19,17.7,154.6,161.9,143.5,138,142.9,130.5,16.6,19,13
500人以上,令和５,2023,4月,18.6,19.1,17.9,155.1,162.4,144.1,138.6,143.6,131.1,16.5,18.8,13
500人以上,令和５,2023,5月,17.8,18.2,17.2,147.7,154.4,137.9,132.6,137.1,126,15.1,17.3,11.9
500人以上,令和５,2023,6月,18.9,19.4,18.2,156.7,164.2,145.6,141.1,146.2,133.6,15.6,18,12
500人以上,令和５,2023,7月,18.6,19.1,17.8,153.2,161.1,141.9,138.1,143.6,130.2,15.1,17.5,11.7
500人以上,令和５,2023,8月,18,18.3,17.5,148.4,154.9,139.1,133.9,138.2,127.7,14.5,16.7,11.4
500人以上,令和５,2023,9月,17.7,18.1,17.1,146.7,153.7,136.6,132.1,136.9,125.2,14.6,16.8,11.4
500人以上,令和５,2023,10月,18.4,18.8,17.7,152.4,159.5,141.8,136.6,141.4,129.4,15.8,18.1,12.4
500人以上,令和５,2023,11月,18.3,18.8,17.5,152.2,159.7,141,136.5,141.9,128.5,15.7,17.8,12.5
500人以上,令和５,2023,12月,17.9,18.3,17.3,148.1,154.8,138.1,133.3,137.8,126.5,14.8,17,11.6
,,,,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和５年年報,,,,,,,,,,,,,,,
第８表　規模、性別常用労働者の１人平均月間出勤日数及び実労働時間（調査産業計）,,,,,,,,,,,,,,,
