通番号,年度,番号,名称,位置,用途,敷地面積(m2),建築面積(m2),延べ面積(m2),駐車場等面積(m2),高さ(m),階数,公開空地(m2),有効公開空地(m2),用途地域,許可年月日,52条,55条,56道路,56隣地,58条,種別,人口,戸数,備考
23,1982,3,池袋ターミナルホテル,豊島区西池袋1-6,ホテル,7648.5,4358,59087.5,5920.5,94.85,25,1972.9,2147.6,商業,1982/11/25,,,●,,,,2320,,
24,1983,1,赤坂六本木再開発,港区赤坂1-1104-6外,事・ホ・共,41186.61,22853.71,360608.87,56005.88,144.8,37,24711,22617.2,商業,1983/6/29,●,,●,,,,12800,515,中水・地冷
25,1983,2,興和築地ビル,中央区築地7-19-3,事務所,6708.31,1594.33,40772.13,7279.55,94.01,23,2861.5,2445.5,商業,1983/7/6,,,,●,,,1900,,
26,1983,3,Ｓ－2計画(17の増築),新宿区西新宿3-144-1,事・ホ,1526.86,766.3,13913.72,1698.88,65,18,4473.1,3663.03,商業,1983/8/30,,,●,●,,,1900,,
27,1983,4,大崎駅東口第一再開発,品川区大崎1-350,事・店・ホ,20598.55,12206.57,138159.45,12897.51,93.25,21,12380.08,8985.48,商業,1983/12/9,●,,●,,,,6500,,中水・地冷
28,1983,5,飛田給2丁目マンション,調布市飛田給2-33-1,共同住宅,3145.04,961.28,3757.57,199.5,15.4,5,1024.82,1054.46,一専・二専,1984/1/17,,●,,,,,,65,
29,1983,6,住友不動産芝公園ビル,港区芝2-31-3,事務所,3349.29,1160,17320.39,890.39,71.3,15,1438.12,1544,商業・近商,1984/3/2,,,●,●,,,1100,,
30,1984,1,全社協三井,千代田区霞ケ関3-11,事務所,7382.94,3170,59180,6690,85,19,2651.35,2804.02,商業,1984/6/26,●,,●,●,,,4500,,中水・地冷
31,1984,2,都営第2三鷹住宅,三鷹市下連雀6-508,共同住宅,7707.18,2239.73,8609.28,0,14.3,5,1874.8,1948.8,住居,1984/10/2,,,●,,,,,154,
32,1984,3,芝公園ビル(29の増築),港区芝2-31-3,共同住宅,3349.29,250,3780,530,47.7,13,1476.93,1588.03,商業・近商,1984/10/31,●,,,,,市,,36,
33,1984,4,芝大門ビル,港区芝大門2-304-4,事・共,1659.79,979.34,14435.97,1158.37,64.6,14,685.81,692.97,商業,1985/3/1,●,,,●,,市,1300,16,
34,1984,5,西落合二丁目団地,"新宿区西落合,中野区",共同住宅,10941.95,1760.2,13160.5,690,41.38,11,5394.35,3420.26,住居,1985/3/29,,●,●,●,●,,,163,
35,1985,1,東京温泉,中央区銀座6-13-16,事・共・浴,1835.4,1224.7,16961.4,1144.1,49.6,12,730.2,700.9,商業,1985/5/31,●,,●,●,●,市,1700,17,地冷
36,1985,2,住友倉庫越前堀ビル,中央区新川2-128-1,事務所,20504.31,6439.46,129015.55,17444,98.98,24,11804.57,11177.92,商業,1985/7/1,●,,,●,,,4500,,中水・地冷
37,1985,3,東宝日比谷ビル,千代田区有楽町1-14-1,事・店,6845.95,5280.67,70139.74,6264.21,79.4,18,1319.66,1449.84,商業,1985/7/29,●,,●,●,,,6000,,中水・地冷
38,1985,4,高樹町計画,港区西麻布4-172-1,事・共,7017.8,2190,37998.4,4227.9,79,19,3099.5,3676.8,二専・商業,1985/7/31,●,,●,●,●,市,1200,35,
39,1985,5,虎ノ門タワービル,港区虎ノ門2-10,事務所,9842.79,3271.9,67156.1,8106.1,85.05,20,3107,3728.4,商業,1985/8/28,,,●,●,,,3500,,
40,1985,6,柳橋ビル,台東区柳橋2-4,事・共,2793.96,1475,15700.93,691.58,48.25,12,889.23,904.2,商業,1985/8/28,●,,●,●,,市,800,14,
41,1985,7,フジイ一番ビル,千代田区一番町8-6,事・共,2357.02,1330.7,11763.24,660.8,35.23,8,648.35,737.41,住居・商業,1985/9/19,●,,●,●,,市,600,6,
42,1985,8,南砂マンション,江東区南砂5-618-1,共同住宅,11941.79,4841.41,36208.17,2835,92.15,28,5001.72,5010.11,準工,1985/9/24,,,●,●,,,,259,
43,1985,9,半蔵門グレースビルディング,千代田区麹町1-7,事務所,1668.56,837,13412,2400,48.93,12,750.32,838.28,商業・準工,1985/10/30,,,●,●,,,800,,
44,1985,10,芝浦成泉ビル,港区芝浦1-12,事・共,2556.58,1219.6,13852.18,815.24,49,12,1324.3,1538.4,準工,1985/11/1,●,,●,,,市,1000,50,
45,1985,11,島根会館ビル,港区南青山7渋谷区東4,舘・事・共,2862.63,1463.3,13442.84,1179.66,35.45,10,1425.88,1398.1,二専・近商,1985/11/5,●,,,●,,市,1000,54,
46,1985,12,光文恒産一ツ橋ビル,千代田区一ツ橋2-4,事務所,1008.21,564,6547.96,527.62,40.5,10,293.85,337.97,商業,1985/11/30,,,●,●,,,400,,
47,1985,13,三井倉庫箱崎再開発,中央区日本橋箱崎町19,事・共,24230.35,7526.2,156144,13927,108.32,25,10142.53,12009.66,商業,1985/11/30,●,,,●,,市,8000,200,
48,1985,14,東池袋大塚ビル計画,豊島区東池袋2-2427-6,事務所,2085.4,1161.46,10016.57,1085.11,34.04,8,957.81,974.68,住居・商業,1985/12/25,●,,●,●,,,400,,
49,1985,15,東急ドエル多摩川ビレジ,大田区矢口3-177-1,店・ス・共,17624,5420,41170,0,46,14,7007.2,7852.1,準工,1985/12/27,●,,●,,,市,1600,461,
50,1985,16,ライオンズマンション北綾瀬,足立区大谷田3-12-2,共同住宅,8026.16,1886.03,19402.71,0,41.9,12,3450,3852,住居,1986/1/21,●,,●,●,,市,,296,
51,1985,17,Ｆビル,杉並区荻窪4-88-1,事務所,5573.58,2118.28,31866.6,4028.59,75.7,17,2471,2530.62,商業,1986/1/21,,,●,●,,,2200,,
52,1985,18,相互第6ビル,千代田区平河町1-4,事・共,998.71,582.42,8063.56,1490.01,40.23,11,330.28,365.34,商業,1986/2/26,●,,●,●,,市,500,4,
53,1985,19,芝浦四丁目計画,港区芝浦4-13,事・共,9026.42,3762.47,50328.2,2939.5,77.5,24,5187.83,6043.48,準工,1986/3/29,●,,●,●,,市,1900,222,
54,1985,20,大東京火災新都心ビル,渋谷区代々木3-25-5,事・店,4499.71,2030.52,48900,9686,111.9,24,2514.68,2739.68,商業,1986/3/29,●,,●,●,,,2500,,
55,1986,1,日本橋プラザビル,中央区日本橋2-3,事務所,3493.8,2050,30775,5135,63.9,15,854.3,948.6,商業,1986/5/10,●,,●,●,,,4700,,地冷
56,1986,2,住友芝浦ビル,港区芝浦4-14,事・共,3622.35,1298.37,19924,1813.34,68.95,15,2281.4,2339.94,準工,1986/5/29,●,,,●,,市,1600,23,
57,1986,3,大川端R.C.21東ブロック,中央区佃2-50-4,共・店・ス,32579.8,16090,173887,20082,127.9,37,10759,11397,住居,1986/6/2,●,,●,●,,市,200,"1,330",
58,1986,4,大川端R.C.21西ブロック,中央区佃2-50-9,共・店・ス,31554.75,14515.19,180180,29980,132,40,9368,9886,住居,1986/6/27,●,,●,●,,市,200,"1,170",
59,1986,5,西新宿Ｋビル,新宿区西新宿7-25-1,事務所,5626.64,2807.56,38574.68,3593.2,66.4,16,1684.37,1952.87,商業,1986/6/27,●,,●,●,,,1400,,中水
60,1986,6,赤坂一丁目共同計画,港区赤坂1-1102-3,事・共,3868.36,1774.52,23106.98,2260.38,62.02,13,1718.6,1785.5,住居,1986/6/30,●,,●,●,,市,1000,22,公共空地
61,1986,7,全労済会館,渋谷区代々木2-12-6,事・館・展,2613.03,1688.95,18004.77,1751.72,54.44,12,633.52,748.37,商業,1986/8/2,●,,●,●,,,700,,中水
62,1986,8,中川ビル,墨田区江東橋3-4-1,事・店,1246.15,712.89,8038.86,415.27,39.05,10,436.95,520.16,商業,1986/8/2,●,,●,,,,500,,
63,1986,9,全電通新労働会館,千代田区神田駿河台3,事・店,1199.51,905.52,6902.21,503.04,40,10,350.09,343.42,商業,1986/8/30,,,●,●,,,700,,
64,1986,10,芝浦スクエア計画,港区芝浦4-1-3,事・共,11460.59,3953,75966,8552,95.3,23,6927.8,8313.3,準工,1986/9/22,●,,●,●,,市,3000,133,地冷・中水・通信
65,1986,11,東京ＯＨビル,文京区本郷2-13-9,事務所,4008.7,1276.24,21139.77,3559.18,76,15,1305,1439.6,近商,1986/9/24,●,,,●,,,1800,,
66,1986,12,代田橋駅南口再開発,世田谷区大原2-17-10,店・共,2396.06,1571.87,8842.32,706.5,35.5,9,898.41,900.47,近商,1986/12/3,●,,,,,市,400,84,取下げ
67,1986,13,三軒茶屋計画,世田谷区三軒茶屋2-11,事・店・共,4499.4,2840.88,26460.78,3638.51,75.88,18,2036.51,1942.37,住居・商業,1986/12/25,●,,●,●,,市,1755,36,
68,1986,14,ジュールＡ,港区麻布十番1-10-1,事・店・共,1158.19,880.96,9764.83,1952.9,54.8,11,955.39,716.33,商業,1986/12/25,●,,●,●,,市,350,14,
69,1986,15,ニチレイ明石町ビル,中央区明石町6-11,事・共,4163.9,1311.31,22105.9,1505,74.9,18,2338.97,2752.3,住居,1987/1/30,●,,,●,,市,1250,28,
70,1986,16,秀和東八重洲ビル,中央区八丁堀2-9,事・共,1712.99,1060.81,12430.52,703.99,49.5,12,549.16,654.94,商業,1987/1/30,●,,●,,,市,890,25,
71,1986,17,大森東京海上ビルディンク,大田区大森北1-5-2,事・店,2201.28,1060,14600,1395,47.2,11,574,660.88,商業,1987/2/26,,,●,●,,,700,,
72,1986,18,大井町Ｎビル,品川区大井町1-20-6,事務所,6441.1,2558.67,33539.65,1337.75,66,15,2262.6,2463.38,商業,1987/3/3,,,●,●,,,2700,,
73,1986,19,日比谷大阪ビルジング,千代田区内幸町1-2-2,事・店,3489.95,1679.7,30061.6,2009.3,84.2,21,1405.3,1686.2,商業,1987/3/3,●,,●,●,,,1800,,中水・防災倉庫
74,1986,20,紀尾井町ビルディング,千代田区紀尾井町3-3,事・共,9391.29,1994,62974,11528,114.9,25,6611,7131.1,住居,1987/3/31,●,,●,●,,市,2500,36,中水・地冷
75,1987,1,南青山ＩＩＳプロジェクト,港区南青山3-1-7,事・共,3607.58,1601.35,20791,3511,75.7,18,2685,2437,近商・住居,1987/6/1,●,,●,●,●,市,1800,20,取止め
76,1987,2,港南三丁目ビル,港区港南3-8,事・共,3185.08,1509,19826.88,3703.29,64.95,14,1607.24,1908.07,準工,1987/6/1,●,,,,,市,1000,32,
77,1987,3,三菱倉庫越前堀再開発,中央区新川1-302,事・共,19893.76,9626.38,137007.24,18558.83,80.6,22,7206.93,8228.13,商業,1987/6/25,●,,,,,市,1800,100,地冷・中水
78,1987,4,立花亀戸第二ビル,江東区亀戸2-25-2,事・店,1585.27,1028.31,8829.32,907.2,44.4,10,483.77,532.99,商業,1987/8/26,,,●,,,,927,,
79,1987,5,インペリアル浜田山,杉並区浜田山4-33,共同住宅,4745.53,1536.75,5999.1,299.81,14.6,4,1644.59,1973.51,一専,1987/8/27,●,,,,,市,140,28,
80,1987,6,北千住プロジェクト,足立区千住曙町9-4外,共同住宅,15870.33,4340,55900,3600,93.6,30,7278,7634.88,工業,1987/9/1,●,,,,,市,,408,
81,1987,7,三田ビル,港区芝5-6,事務所,1675.01,966.87,9738.62,1366.93,38.8,9,658.07,734.61,商業,1987/9/30,,,●,,,,600,,
82,1987,8,第一生命五反田第3ビル,品川区西五反田2-8-1,事務所,1555.84,816.3,10965.28,806.18,44.5,12,623.9,723.4,商業,1987/10/1,,,●,,,,750,,
83,1987,9,荒庄鳴河ビル,中央区日本橋富沢町2,事・共,956.48,560.3,7359.5,1140,41.8,9,364.39,393.49,商業,1987/10/2,●,,●,●,,市,315,5,
84,1987,10,駒沢パークハウス計画,世田谷区駒沢1-4-14,共同住宅,9252.11,2246.63,14178.16,300,27.9,7,3721.5,4465.8,一専,1987/10/2,,●,,,,,,68,
85,1987,11,新川ビル(Ａブロック),中央区新川2-31-4外,事・共,2775.19,1216.18,17810.35,1234.08,65,15,1645.29,1356.76,商業,1987/10/5,●,,●,,,市,1320,36,
86,1987,12,新川ビル(Ｂブロック),中央区新川2-20-14外,事務所,1532.06,776.08,8427.52,769.08,45.7,10,398.86,439,商業,1987/10/5,,,●,,,,680,,
87,1987,13,青柳池袋ビル計画,豊島区池袋2-900-1,事・店・共,1012,598.77,8272.99,575.4,48.15,12,341,321,商業,1987/11/27,,,●,,,,500,1,
88,1987,14,立花三丁目共同ビル,"墨田区立花3-3,7,9",店・共,1085.66,601.96,5874.94,294.15,54.9,14,659.64,617.42,商業,1987/11/27,●,,,,,市,8,68,
89,1987,15,日本交通新川計画,中央区新川2-124-5,事・共,1061.11,545.4,7119.86,1165.94,44.4,11,460.91,404.88,商業,1987/11/30,●,,●,●,,市,500,6,
90,1987,16,飯田橋ビル計画,千代田区飯田橋2-1,共同住宅,1579.6,601.21,10407.24,136.56,68.5,20,950.28,791.9,商業,1987/12/2,●,,●,●,,市,,113,
91,1987,17,杏雲堂ビル計画,千代田区駿河台2-2,事・店・共,4156.17,1589,26748,3340,62.8,15,2110.7,2420.04,商業,1988/1/19,●,,●,●,,市,1200,48,
92,1987,18,新川共同ビル,中央区新川1-23,事・診・共,1250.79,790.02,10461.96,726.96,57.5,14,365.15,426.85,商業,1988/1/19,●,,●,●,,市,710,6,
93,1987,19,住友入船ビル,中央区入船2-1,事・共,2356.34,1383.06,21204.58,2164.04,66.05,14,1041.45,1132.68,商業,1988/1/19,●,,,,,市,1500,18,
94,1987,20,南千住マンション,荒川区南千住6-122外,事・共,41216.56,22973.55,114130.48,21380,105.09,32,22298.66,25745.4,工業,1988/1/22,●,,,,,,,692,
95,1987,21,ジャパンタイムズ共同ビル,港区芝浦4-5-4,事・店・共,2470.75,1118.75,15625,3125,67,14,1425.37,1530.83,準工,1988/1/25,●,,●,,,市,400,10,
96,1987,22,ＭＴビル,中央区月島1-1502外,事・共,3302.08,1233.6,15127.3,1722.3,52.05,13,1938,2226.1,準工,1988/2/2,●,,●,●,,市,1000,50,
97,1987,23,金杉橋ビル,港区芝1-421-1外,事・店・共,3085.25,1635.28,23796.63,1915,65,15,1396.03,1407.92,商業,1988/2/15,●,,●,●,,市,1500,36,公園
98,1987,24,安東ビル,港区赤坂4-812外,事・共,710.71,424.95,6035.6,1086.98,57,13,211.56,239.44,商業,1988/2/29,●,,,●,,市,360,5,
99,1987,25,日本プロジェクト計画,港区芝3-48-1,事・共,1857.04,1114.4,12625.3,2402.3,48.9,12,716.89,606.89,商業,1988/3/31,●,,●,●,,市,600,12,
100,1987,26,フジタ工業小石川3丁目B,文京区小石川3-19-1外,事・店・共,1696.73,1077.42,11761.92,2588.92,47.6,14,641.25,700.85,商業,1988/3/31,●,,,,,市,360,95,
101,1987,27,麹町4再開発計画ビル,千代田区麹町4-8,事・店・共,3906,2086.8,23431.3,1993.8,64.05,17,2351.2,1926.4,商業,1988/3/31,●,,●,●,,,2165,44,地下鉄通路
102,1988,1,丸増新宿ビル,新宿区新宿6-226,事・店,1097.6,545.86,6423.83,936.35,43.76,10,391.89,438.14,住居・商業,1988/4/25,,,,●,,,366,,
103,1988,2,代官山プロパティ,渋谷区東1-32-33外,事・店・共,4225.43,2037.83,24246.42,3454.39,67.8,15,2161.5,2512.4,準工,1988/5/6,●,,,,,市,1500,24,
104,1988,3,御茶の水ＴＳビル,千代田区神田駿河台3,事・共,1214.7,629.76,8929.24,1233.6,51.4,12,541.74,573.22,商業,1988/5/27,●,,●,●,,市,330,8,
105,1988,4,神田須田町ビル,千代田区神田須田町2,事・店,1092.38,655.2,7079,454,40,9,324.12,345.23,商業,1988/5/27,,,●,●,,,900,,
106,1988,5,三幸・新川ビル,中央区新川1-203-3,事・共,1902.98,1060,11228,1275,41.05,10,664,769.6,商業,1988/5/30,●,,●,,,市,770,7,
107,1988,6,実教出版ビル,千代田区五番町5-1,事・店・共,1288.49,708.09,8619.56,867.63,46.15,11,362.2,403.8,商業,1988/7/1,●,,●,,,市,1700,4,
108,1988,7,下丸子パークハウス,大田区下丸子4-65外,店・共,33571.6,9060,95900,16300,81.1,23,13910,16692,住居・準工,1988/7/4,●,,,,,市,30,738,
109,1988,8,ぺんてる本社ビル,中央区日本橋小網町7,事・共,2121.59,1272.95,19132.82,2550.67,61.02,14,716.04,805.11,商業,1988/7/27,●,,●,,,市,500,13,
110,1988,9,小石川四丁目計画,文京区小石川4-216-16,共同住宅,5439.97,1350,26517,3289,77.57,23,2122.9,2539.8,住居,1988/8/2,●,,,●,,市,,122,
111,1988,10,住友銀行人形町ビル,中央区日本橋大伝馬町,事・共,1710,1019.2,13719.22,764.3,54.65,12,649.4,751.2,商業,1988/8/24,●,,●,,,市,850,11,
112,1988,11,ニチレイ勝鬨橋ビル,中央区築地6-1925-3外,事・共,4619.26,1564.75,38798.05,5192.97,99.7,22,2659.48,3216.96,商業,1988/8/26,●,,,●,,市,2275,30,中水・防災倉庫
113,1988,12,ＪＢＰ芝二ビル,港区芝2-14-13外,事・店・共,1546.74,778.63,11388.97,529.95,63,15,753.33,812.23,商業,1988/9/2,●,,,●,,市,600,9,
114,1988,13,ジュールＡ(68の増築),港区麻布十番1-10-1,事・店・共,1158.19,880.96,9831.09,1797.24,54.8,11,952.11,695.08,商業,1988/9/28,●,,●,●,,,,,地下鉄入口
115,1988,14,西池袋共同ビル,豊島区西池袋1-7,事・店,1581.88,947.49,16157.1,1532.7,60.9,14,569.72,646.1,商業,1988/10/3,●,,●,●,,,1300,,地冷
116,1988,15,城山プロジェクト,港区虎ノ門4-1101-1,事・共,27151.08,13291.96,156424.75,20513.73,158.4,36,11363.99,12284.46,二専・商業,1988/10/3,●,,,●,,市,13300,117,地冷・中水・備蓄
117,1988,16,三井倉庫箱崎B(47の増築),中央区日本橋箱崎町19,茶室,24230.35,7679.84,154559.36,13927,5.6,1,10142.68,12118.85,商業,1988/10/26,●,,,,,,,,
118,1988,17,人形町3-2ビル,中央区日本橋人形町3,事・共,1214.91,839.67,9837.65,589.6,47,11,360.79,420.75,商業,1988/10/26,●,,,,,市,600,4,地下鉄入口
119,1988,18,虎ノ門タワービル(39の増築),港区虎ノ門2-103-2外,展・店,9842.79,3743.74,68029.43,7903.05,14.5,3,3115.9,3879.1,商業,1988/10/27,●,,,,,,,,
120,1988,19,芝浦ハイツ,港区芝浦3-18-3,共同住宅,2836.32,900,18070,1220,73.7,24,1748,2018.5,準工,1988/10/31,●,,●,,,市,,154,
121,1988,20,浅草橋五丁目再開発,台東区浅草橋5-9外,事・店・共,5120.14,2461.78,35038.31,4073.24,80.8,18,1625.6,1992.17,商業,1988/10/31,●,,,,,市,,52,
122,1988,21,セイコー12ビル,豊島区東池袋1-30-6外,事・店,616.54,406.45,5420.67,860.67,45.1,12,"218,30",247.15,商業,1988/12/2,●,,●,●,,,300,,
123,1988,22,鉄鋼労連ビル,中央区新川1-102-9外,事・共,1236.61,726.56,9991.11,591.03,51.2,12,360.95,450.37,商業,1988/12/6,●,,●,●,,市,990,7,
124,1988,23,日本倉庫勝鬨3丁目Ｂ,中央区勝鬨3-2-20,事・共,12464.03,3687.7,54787.39,4799.39,76.85,18,7737,9517.2,準工,1988/12/27,●,,,,,市,3278,144,中水
125,1988,24,BCT・UBEプロジェクト,品川区東品川2-4-4,事・ホ・共,21969.08,12161.66,146784.4,13866,98.9,29,7866.74,8466.05,商業,1989/1/20,●,,,●,,市,5000,152,中水・防災倉庫
126,1988,25,ポートヒル,江東区枝川1-9-6,共・店,3032.5,1176.28,15521.85,2477.38,69.7,21,1939.89,2005.81,準工,1989/2/3,●,,,,,市,350,108,
127,1988,26,芝浦4丁目マンション,港区芝浦4-4-9外,共同住宅,2281,1017.1,15885,2677.2,46.75,15,1540.31,1527.08,準工,1989/2/8,●,,●,,,市,490,154,
128,1988,27,日通人形町ビル,中央区日本橋2-26-7,事・共,1515.75,885.3,12112.32,839.5,50.5,12,559.38,630.05,商業,1989/3/15,●,,●,●,,市,600,5,防災倉庫
129,1988,28,住友不動産両国ビル,墨田区両国2-2-6,事・博,2017.34,948,12500,705,58.5,13,946.39,1130.35,商業,1989/3/15,●,,,●,,,840,,博物館
130,1989,1,住友入船ビル(93の増築),中央区入船2-1,事・共,2356.14,1383.06,21246.83,2206.29,66.05,14,1041.45,1132.68,商業,1989/4/3,●,,,,,,,,
131,1989,2,BCT・UBEＰ．(125の増築),品川区東品川2-4-4,駅舎,21969.08,12937.45,148885,13866,98.9,29,7886.74,8446.05,商業,1989/4/4,●,,,,,,,,
132,1989,3,船堀駅前計画,江戸川区船堀3-600外,事・店・共,4681,2398.11,29490.67,1509,89.9,27,1693.6,2088.7,商業,1989/4/4,●,,,●,,市,300,220,
133,1989,4,南大塚2丁目共同ビル,豊島区南大塚2-37-5外,事・店・共,1036.59,507.53,6019.94,394.35,49.2,12,408.94,453.79,商業,1989/4/6,●,,●,●,,市,500,7,
134,1989,5,大手センタービル(18の増築),千代田区大手町1-2-2,事務所,5775.3,2557.32,67411.67,9878.3,100,25,2202.65,2409.6,商業,1989/4/24,,,●,●,,,,,
135,1989,6,石原ハイム計画,墨田区石原3-16,共・店,1629.45,902.38,7118.74,1206.54,28.4,8,788.11,870.48,商業,1989/4/28,●,,●,,,市,285,77,
136,1989,7,フジスター大伝馬町ビル,中央区日本橋大伝馬町,事・共,1476.01,972.47,12035.94,2069.49,39.29,10,488.62,575.92,商業,1989/5/10,●,,●,●,,市,,6,
137,1989,8,秀和第2神谷町ビル,港区虎ノ門3-47-7外,事・店・共,2217.34,1024.62,14683.68,672.11,68.5,16,949.34,1035.61,商業,1989/5/12,●,,●,●,,市,900,31,
138,1989,9,半蔵門グレースB(43の増築),千代田区麹町1-7,店舗,1668.56,836.94,13339.63,1757.4,46.43,12,750.32,882.26,商業,1989/5/31,●,,●,,,,,,
139,1989,10,大手町ＣＤＰビル,千代田区大手町1-6,事・店,11042.5,6176.12,146778.86,14611.8,105.7,23,5370.42,5845.15,商業,1989/6/1,●,,,,,,8000,,地冷・中水・地下鉄
140,1989,11,TOKYOPARKSIDE21計画,江東区木場5-13-3,事・共,6029.45,2400.52,26926.27,2324.23,65.5,14,3120.61,3803.24,準工,1989/6/29,●,,●,●,,市,1300,81,
141,1989,12,三井倉庫箱崎(47の増築),中央区日本橋箱崎町19,事務所,24230.35,7679.84,154707.1,13927,108.32,25,10142.68,12118.85,商業,1989/6/30,,,,,,,,,
142,1989,13,三信海岸ビル,港区海岸3-123外,事・共,5493.9,2200,34632,3930,76,18,3011,3377,準工,1989/7/5,●,,,●,,市,1950,107,
143,1989,14,両国シティコアー,墨田区両国2-2-10,事・共,5522.4,2885,41281,4755,79.5,18,2727.47,2370.77,商業,1989/7/7,●,,,●,,市,1500,64,中水・展示場
144,1989,15,丸の内野村ビル,千代田区大手町2-2-1,事・店,4422.87,2545.18,62179.26,10606.79,138,27,2281.8,2656.27,商業,1989/8/9,●,,●,,,,3000,,地冷・中水・防災倉庫
145,1989,16,虎の門3丁目ビル,港区虎ノ門3-12,事・店・共,1313.42,810.42,13755,2039.32,65.5,16,684.79,725.08,商業,1989/9/1,●,,,,,市,890,6,
146,1989,17,三洋電気湯島別館,文京区本郷3-10-15,事・展,2901.34,1450,22995,4595,51.6,11,1297.3,1472.44,商業,1989/9/1,●,,,,,,1200,,
147,1989,18,小森印刷機械㈱本社,墨田区吾嬬橋3-11-1,事務所,1568.46,711.87,6295.98,1252.17,32.9,7,558.11,705.15,準工,1989/9/1,●,,●,,,,250,,
148,1989,19,安田富士大手町共同Ｂ,千代田区大手町1-6-6,事・店,11037.84,7703.56,133340.68,18340.83,105,24,3702.34,3810.57,商業,1989/9/22,●,,,●,,,2500,,地冷・中水・地下鉄
