"設備_全国地方公共団体コード","施設_ID","設備_ID","設備_区分","設備_種類","設備_名称","設備_名称（カナ）","設備_名称（英字）","設備_説明","設備_状態","住所_全国地方公共団体コード","住所_町字ID","住所_都道府県","住所_市区町村（郡）","住所_町字","住所_番地以下","住所_建物名等(方書)","住所_連結表記","住所_緯度","住所_経度","住所_座標参照系","住所_座標参照系コード","住所_国名","住所_国コード","住所_郡","住所_市区町村","住所_政令市区","住所_大字・町","住所_小字","住所_住居表示フラグ","住所_街区符号","住所_住居番号","住所_地番","住所_建物名","住所_フロア名","住所_部屋番号","設備_サービス曜日","設備_開始時刻","設備_終了時刻","設備_日時備考","設備_URL","設備_備考","連絡先_名称","連絡先_電話番号","連絡先_内線番号","連絡先_メールアドレス","連絡先_FormURL","連絡先_備考（その他、SNSなど）","連絡先_郵便番号","連絡先_住所"
"132136","132136M00046","132136M00046","","","","","","","","132136","","東京都","東村山市","諏訪町2丁目","26-1","","東京都東村山市諏訪町2-26-1","35.770671","139.463848","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1890021",""
"132136","132136M00047","132136M00047","","","","","","","","132136","","東京都","東村山市","久米川町5丁目","13","","東京都東村山市久米川町5-13","35.771274","139.471705","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1890003",""
"132136","132136M00048","132136M00048","","","","","","","","132136","","東京都","東村山市","久米川町3丁目","16-4","","東京都東村山市久米川町3-16-4","35.766096","139.474206","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1890003",""
"132136","132136M00049","132136M00049","","","","","","","","132136","","東京都","東村山市","久米川町4丁目","43-9","","東京都東村山市久米川町4-43-9","35.765841","139.469180","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1890003",""
"132136","132136M00050","132136M00050","","","","","","","","132136","","東京都","東村山市","栄町2丁目","3-1","","東京都東村山市栄町2-3-1","35.750042","139.471988","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1890013",""
"132136","132136M00051","132136M00051","","","","","","","","132136","","東京都","東村山市","富士見町5丁目","4-51","","東京都東村山市富士見町5-4-51","35.746615","139.462885","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1890024",""
"132136","132136M00052","132136M00052","","","","","","","","132136","","東京都","東村山市","青葉町2丁目","第3仲よし広場","","東京都東村山市青葉町2丁目第3仲よし広場","35.761318","139.488253","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1890002",""
"132136","132136M00053","132136M00053","","","","","","","","132136","","東京都","東村山市","萩山町3丁目","17-2","","東京都東村山市萩山町3-17-2","35.746456","139.471472","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1890012",""
"132136","132136M00054","132136M00054","","","","","","","","132136","","東京都","東村山市","萩山町2丁目","2-2","","東京都東村山市萩山町2-2-2","35.740792","139.476255","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1890012",""
"132136","132136M00055","132136M00055","","","","","","","","132136","","東京都","東村山市","恩多町3丁目","33付近","","東京都東村山市恩多町3-33付近","35.754566","139.468300","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
