No.,名称,所在地,面積（㎡）,開園年月日,区有地,国有地,都有地,民有地,利用時間等の制限,備考,だれでもトイレ,簡易型でもトイレ等,ユニットトイレ,種別,施設1,施設2,施設3,施設4,施設5,緯度,経度,高さ
23,三田丘の上公園,三田1-4-6,3591.28,H6.10.1,有,,,,,,,,有,児童公園,,,,,,35.641953,139.716202,26.7
24,三田公園,三田2-10-31,2211.87,S58.12.24,有,,,,,,,,有,児童公園,,,,,,35.639099,139.712509,30.8
25,茶屋坂街かど公園,三田2-15-15,104.69,H7.3.31,有,,,,,,,,,街かど公園,,,,,,35.638744,139.708939,9.1
26,目黒川田道街かど公園,目黒1-24-11,148.76,H8.1.17,有,,,,,,,,,街かど公園,,,,,,35.634991,139.71077,4.8
27,田道広場公園,目黒1-25-8,3304.31,H5.3.31,,,有,,有,,,有,,広場公園,多目的広場,,,,,35.636326,139.709122,5.6
28,目黒区民ｾﾝﾀ-公園,目黒2-4-36,10000.15,S49.8.1,有,有,,,,,,,有,地域公園,,,,,,35.635323,139.707764,7.1
29,大塚山公園,目黒4-5-28,1708.12,S44.4.28,有,,,,,,有,,,児童公園,,,,,,35.633152,139.701721,26.7
30,下二南街かど公園,下目黒2-14-15,451.31,H17.3.25,有,,,,,,,有,,街かど公園,,,,,,35.628902,139.711472,6.1
31,大鳥公園,下目黒2-20-19,829.49,H3.3.31,有,,,,,,,,,児童公園,,,,,,35.633007,139.709503,6.3
32,不動公園,下目黒3-21-9,3332.23,S25.10.1,有,,,,,昭和9.12.25東京市開園,,有,,広場公園,,,,,,35.629047,139.707596,20.6
33,さくらの里街かど公園,下目黒5-13-10,223.17,H11.3.31,有,,,,,,,,,街かど公園,,,,,,35.627838,139.702728,27.3
34,元競馬南泉公園,下目黒5-24-16,371.45,H23.10.12,有,,,,,,,,,街かど公園,,,,,,35.62809,139.70105,24.9
35,油面公園,中町1-16-22,4513.17,S37.7.13,有,,,,,,,,有,広場公園,,,,,,35.632317,139.696228,28.5
36,中町せせらぎ緑地公園,中町2-4-1,1043.66,S49.4.9,有,,,,,,,,有,都市緑地,,,,,,35.634163,139.698029,27.1
37,三角山公園,中町2-34-14,1498.89,H3.3.31,有,,,,,,,,有,児童公園,,,,,,35.632977,139.693817,27.1
38,田切公園,五本木1-17-18,1396.32,S52.3.30,有,,,,,,有,,,児童公園,,,,,,35.638428,139.687103,30.4
39,芦毛塚街かど公園,五本木1-18-9,230.2,H14.3.6,有,,,,,,,,,街かど公園,,,,,,35.638874,139.686508,25
40,五本木ふれあい街かど公園,五本木2-19-6,576.64,H13.3.7,有,,,,,,,,,街かど公園,,,,,,35.634548,139.690842,29.9
41,五本木二丁目街かど公園,五本木2-43-10,425.96,H9.3.31,有,,,,,,,,,街かど公園,,,,,,35.633892,139.685959,32
42,五本木西みどり街かど公園,五本木3-13-5,489.22,H11.3.31,有,,,,,,,,有,街かど公園,,,,,,35.632797,139.683945,32.4
43,祐天寺一丁目ふれあい公園,祐天寺1-21-7,465.72,H17.10.3,有,,,,,,,,,街かど公園,,,,,,35.638802,139.693207,29.3
44,中央緑地公園,中央町2-26-6,3802.72,S58.12.1,有,,,,,,,,有,都市緑地,,,,,,35.629929,139.691147,29.7
45,こなべ野公園,目黒本町1-10-6,921.22,H5.3.31,有,,,,,,,,有,児童公園,,,,,,35.625793,139.696472,28
46,清水池公園,目黒本町2-12-10,5797.95,S25.10.1,有,,,,有,昭和10.12.1東京市開園、釣りができる,,有,有,地域公園,,,,,,35.623718,139.692383,26.8
47,月光原公園,目黒本町3-13-18,652.33,H6.12.28,有,有,,,,,,,有,児童公園,,,,,,35.623543,139.699493,28.6
48,本町みなみ街かど公園,目黒本町5-4-16,257.22,H2.5.18,有,,,,,,,,,街かど公園,,,,,,35.618576,139.700256,26.3
49,金杉原南緑地公園,目黒本町5-9-11,241.72,H5.3.31,有,,,,,,,,有,都市緑地,,,,,,35.617462,139.699112,24.3
50,本町五丁目西街かど公園,目黒本町5-22-4,200.5,H2.3.31,有,,,,,,,,,街かど公園,,,,,,35.618832,139.699387,27.7
51,本町北公園,目黒本町5-31-9,203.7,H17.9.9,有,,,,,,,,,街かど公園,,,,,,35.621155,139.698578,28.3
52,向原西街かど公園,目黒本町6-13-14,208.72,S63.12.27,有,,,,,,,,,街かど公園,,,,,,35.621025,139.694534,27.9
53,西小山公園,原町1-3-16,589.53,H17.3.22,有,,,,,,,,有,街かど公園,,,,,,35.616577,139.697052,24.8
54,原町タンポポ公園,原町1-24-10,221.23,H16.11.13,有,,,,,,,,,街かど公園,,,,,,35.616806,139.694214,27
55,洗足北街かど公園,洗足1-9-5,196.49,H3.1.30,有,,,,,,,,,街かど公園,,,,,,35.614651,139.695938,26.1
56,洗足ひだまり公園,洗足2-18-9,222.73,H22.4.1,有,,,,,,,,,街かど公園,,,,,,35.610485,139.693512,35.1
57,南一丁目緑地公園,南1-22-7,1262.39,H30.11.1,有,,,,有,,,,,都市緑地,,,,,,35.614147,139.688278,34.9
58,富士見台公園,南1-23-4,821.27,S59.12.1,有,,,,,,有,,,児童公園,,,,,,35.613396,139.688309,36.6
59,田向公園,碑文谷2-12-1,2772.87,S30.3.1,有,有,,,,,,,有,広場公園,,,,,,35.623432,139.687195,27.9
60,すずめのお宿緑地公園,碑文谷3-11-22,7493.72,S56.4.10,有,有,,,,,,,有,都市緑地,古民家,竹林,,,,35.618317,139.68425,33.9
61,碑文谷公園,碑文谷6-9-11,43533.81,S25.10.1,有,,,,有,昭和8.11.15東京市開園,有,有,,区民公園,ボート場,こども動物広場・ポニー園,,,,35.625141,139.682892,29.5
62,大岡山公園,大岡山1-8-4,754.93,S63.1.26,有,,,,,,,,有,児童公園,,,,,,35.609997,139.684143,36.1
63,境橋街かど公園,緑が丘3-10-37,88.2,H4.3.31,有,,,,,,,,,街かど公園,,,,,,35.603294,139.680695,17.2
64,自由が丘公園,自由が丘2-8-18,989.53,S47.3.30,有,,,,,,有,,,児童公園,,,,,,35.610302,139.66716,30.9
65,中根公園,中根2-6-33,8271.1,S46.4.23,有,,,,,,有,,,地域公園,,,,,,35.613476,139.677124,23.2
66,中根ねむの木公園,中根2-17-21,382.93,H18.12.27,有,,,,,,,,,街かど公園,,,,,,35.614693,139.673752,32.7
67,めぐろ区民キャンパス公園,八雲1-1-12,2300.02,H14.9.1,,,有,,,,,,,広場公園,,,,,,35.620903,139.674133,34.7
68,宮前公園,八雲3-19-12,4117.12,S47.3.30,有,,,,,,,,有,児童公園,,,,,,35.61692,139.665024,30.2
69,八雲三丁目緑地,八雲3-26-18,220.29,H12.3.28,有,,,,,,,,,都市緑地,,,,,,35.614479,139.663681,34.9
70,衾町公園,八雲5-7-2,6694.19,S37.12.26,有,,,,,,有,有,,地域公園,児童交通施設,,,,,35.623447,139.668488,37.5
71,やくも街かど公園,八雲5-15-1,618.93,H16.6.26,有,,,,,,,,,街かど公園,,,,,,35.622082,139.665771,30.6
72,東根公園,東が丘1-23-10,2866.11,S47.12.14,有,,,,,,有,,,広場公園,,,,,,35.62862,139.666687,37.2
73,芳窪街かど公園,東が丘1-31-23,569.97,H4.12.15,有,,,,,,,,,街かど公園,,,,,,35.62999,139.666092,33.9
