島名,事業項目,事業細目,事業細々目,箇所名,施工地又は受益地,事業主体,着工年度（年）,完了年度（年）,全体計画事業費（千円）,全体計画国費（千円）,05年度予算事業費（千円）,05年度予算国費（千円）,05年度予算都費（千円）,05年度予算町村費（千円）,05年度予算その他（千円）,事業概要
三宅島,,,,ハイオウガサ沢,三宅村伊豆,都,R5,R7,"214,000","117,700","4,000","2,200","1,800",0,0,用地
三宅島,,砂防計,,,,,,,"3,871,800","2,129,490","70,000","38,500","31,500",0,0,　
三宅島,,海岸事業,浸食対策事業,三池港,三宅村坪田,都,H17,R12,"3,280,000","1,804,000","20,000","11,000","9,000",0,0,離岸堤（潜堤）　　　　　　　　　　　　　　　　　　　
三宅島,,海岸事業計,,,,,,,"3,280,000","1,804,000","20,000","11,000","9,000",0,0,
三宅島,,地域住宅計画に基づく事業,地域住宅計画に基づく事業,埼玉団地,埼玉団地,村,R4,,"6,342","2,853",0,0,0,0,0,埼玉団地玄関扉改修工事
三宅島,,,,焼場団地,焼場団地,,,,"4,228","1,902",0,0,0,0,0,焼場団地玄関扉改修工事
三宅島,,,,焼場第二団地,焼場第二団地,,,,"6,342","2,853",0,0,0,0,0,焼場第二団地玄関扉改修工事
三宅島,,,,湯舟団地,湯舟団地,,,,"8,456","3,805",0,0,0,0,0,湯舟団地玄関扉改修工事
三宅島,,,,坊田第二団地,坊田第二団地,,,,"10,570","4,756",0,0,0,0,0,坊田第二団地玄関扉改修工事
三宅島,,,,坊田第三団地,坊田第三団地,,,,"5,285","2,378",0,0,0,0,0,坊田第三団地玄関扉改修工事
三宅島,,,,長沢第二団地,長沢第二団地,,,,"11,858","5,336",0,0,0,0,0,長沢第二団地玄関扉改修工事
,,,,二島第一団地,二島第一団地,,R5,,"10,021","4,509","10,021","4,509",0,"5,512",0,二島第一団地玄関扉改修工事
,,,,矢玉団地,矢玉団地,,,,"10,021","4,509","10,021","4,509",0,"5,512",0,矢玉団地玄関扉改修工事
,,,,清水ヶ原第五団地,清水ヶ原第五団地,,,,"46,392","20,876","46,392","20,876",0,"25,516",0,清水ヶ原第五団地雨戸サッシ改修工事
,,地域住宅計画に基づく事業計,,,,,,,"119,515","53,777","66,434","29,894",0,"36,540",0,
,,防災・安全交付金計,,,,,,,"8,269,315","4,486,267","246,434","124,394","85,500","36,540",0,
,農山漁村地域整備交付金,農業農村整備,水利施設整備事業,八重間,三宅村坪田,村,R1,R5,"324,000","178,200","58,460","32,153","11,692","14,615",0,パイプライン更新等
,,農林農村整備計,,,,,,,"324,000","178,200","58,460","32,153","11,692","14,615",0,
,,漁港海岸,浸食対策,阿古漁港,三宅村阿古,都,H26,R10,"888,000","488,400",0,0,0,0,0,離岸堤（改良）
,,漁港海岸計,,,,,,,"888,000","488,400",0,0,0,0,0,
,,農山漁村地域整備交付金計,,,,,,,"1,212,000","666,600","58,460","32,153","11,692","14,615",0,
,三　宅　島　計,,,,,,,,"60,356,968","40,905,970","2,372,313","1,556,413","764,445","51,455",0,
