年・期平均,西暦(年),四半期,男女計／１５歳以上人口（千人）,男女計／１５歳以上人口／労働力人口（千人）,男女計／１５歳以上人口／労働力人口／就業者数（千人）,男女計／１５歳以上人口／労働力人口／完全失業者数（千人）,男女計／１５歳以上人口／非労働力人口（千人）,男女計／労働力人口比率（％、ポイント）,男女計／就業率（％、ポイント）,男女計／完全失業率（％、ポイント）,男計／１５歳以上人口（千人）,男計／１５歳以上人口／労働力人口（千人）,男計／１５歳以上人口／労働力人口／就業者数（千人）,男計／１５歳以上人口／労働力人口／完全失業者数（千人）,男計／１５歳以上人口／非労働力人口（千人）,男計／労働力人口比率（％、ポイント）,男計／就業率（％、ポイント）,男計／完全失業率（％、ポイント）,女計／１５歳以上人口（千人）,女計／１５歳以上人口／労働力人口（千人）,女計／１５歳以上人口／労働力人口／就業者数（千人）,女計／１５歳以上人口／労働力人口／完全失業者数（千人）,女計／１５歳以上人口／非労働力人口（千人）,女計／労働力人口比率（％、ポイント）,女計／就業率（％、ポイント）,女計／完全失業率（％、ポイント）
実数／令和２年１～３月,2020,01～03,12384,8262,8049,213,4114,66.7,65,2.6,6060,4568,4433,135,1488,75.4,73.2,3,6324,3694,3616,78,2626,58.4,57.2,2.1
実数／令和２年４～６月,2020,04～06,12432,8398,8127,271,4027,67.6,65.4,3.2,6079,4633,4468,165,1442,76.2,73.5,3.6,6353,3765,3659,106,2585,59.3,57.6,2.8
実数／令和２年７～９月,2020,07～09,12429,8313,8022,291,4106,66.9,64.5,3.5,6075,4660,4499,161,1411,76.7,74.1,3.5,6354,3653,3522,131,2694,57.5,55.4,3.6
実数／令和２年10～12月,2020,10～12,12470,8552,8295,258,3910,68.6,66.5,3,6090,4726,4574,152,1360,77.6,75.1,3.2,6379,3826,3720,106,2550,60,58.3,2.8
実数／令和３年１～３月,2021,01～03,12467,8411,8180,231,4039,67.5,65.6,2.7,6086,4652,4514,138,1426,76.4,74.2,3,6381,3759,3666,93,2613,58.9,57.5,2.5
実数／令和３年４～６月,2021,04～06,12498,8431,8111,320,4058,67.5,64.9,3.8,6100,4639,4427,212,1455,76,72.6,4.6,6398,3792,3684,108,2602,59.3,57.6,2.8
実数／令和３年７～９月,2021,07～09,12476,8490,8228,263,3979,68.1,66,3.1,6089,4667,4502,165,1419,76.6,73.9,3.5,6387,3824,3726,98,2559,59.9,58.3,2.6
実数／令和３年10～12月,2021,10～12,12465,8608,8403,205,3851,69.1,67.4,2.4,6083,4729,4609,120,1352,77.7,75.8,2.5,6381,3879,3794,85,2500,60.8,59.5,2.2
実数／令和４年１～３月,2022,01～03,12457,8452,8212,240,3994,67.8,65.9,2.8,6080,4635,4494,140,1443,76.2,73.9,3,6377,3817,3718,99,2551,59.9,58.3,2.6
実数／令和４年４～６月,2022,04～06,12453,8604,8365,239,3841,69.1,67.2,2.8,6074,4712,4577,134,1359,77.6,75.4,2.8,6379,3892,3787,105,2482,61,59.4,2.7
実数／令和４年７～９月,2022,07～09,12453,8536,8319,217,3908,68.5,66.8,2.5,6074,4690,4563,127,1377,77.2,75.1,2.7,6379,3846,3756,90,2530,60.3,58.9,2.3
実数／令和４年10～12月,2022,10～12,12486,8638,8431,206,3839,69.2,67.5,2.4,6091,4718,4599,118,1369,77.5,75.5,2.5,6395,3920,3832,88,2470,61.3,59.9,2.2
実数／令和５年１～３月,2023,01～03,12497,8503,8281,222,3985,68,66.3,2.6,6098,4634,4497,136,1458,76,73.7,2.9,6398,3869,3784,85,2527,60.5,59.1,2.2
実数／令和５年４～６月,2023,04～06,12573,8646,8418,228,3917,68.8,67,2.6,6138,4728,4612,116,1403,77,75.1,2.5,6435,3918,3807,111,2514,60.9,59.2,2.8
実数／令和５年７～９月,2023,07～09,12582,8612,8391,222,3959,68.4,66.7,2.6,6145,4714,4587,127,1426,76.7,74.6,2.7,6437,3899,3804,94,2533,60.6,59.1,2.4
実数／令和５年10～12月,2023,10～12,12581,8611,8425,185,3965,68.4,67,2.1,6143,4711,4610,102,1428,76.7,75,2.2,6438,3899,3816,84,2537,60.6,59.3,2.2
実数／令和６年１～３月,2024,01～03,12586,8590,8377,213,3991,68.3,66.6,2.5,6147,4695,4570,125,1450,76.4,74.3,2.7,6439,3894,3807,88,2541,60.5,59.1,2.3
実数／令和６年４～６月,2024,04～06,12647,8694,8435,259,3946,68.7,66.7,3,6176,4703,4565,138,1469,76.1,73.9,2.9,6472,3991,3870,121,2476,61.7,59.8,3
対前年・対前年同期増減数／平成29年,2017,,93,140,165,-25,-48,0.6,0.9,-0.3,42,37,44,-8,5,0.1,0.3,-0.2,53,104,120,-18,-54,1.2,1.4,-0.6
対前年・対前年同期増減数／平成30年,2018,,93,225,240,-15,-134,1.4,1.5,-0.3,38,76,86,-11,-38,0.8,0.9,-0.3,53,149,155,-5,-96,2,2.1,-0.3
対前年・対前年同期増減数／平成31年・令和元年,2019,,92,121,139,-18,-33,0.5,0.6,-0.3,40,42,52,-10,-7,0.2,0.4,-0.2,53,79,86,-7,-27,0.7,0.9,-0.2
対前年・対前年同期増減数／令和２年,2020,,66,108,43,65,-38,0.5,0,0.8,27,54,15,40,-23,0.5,-0.1,0.8,39,54,29,25,-14,0.5,0.1,0.6
対前年・対前年同期増減数／令和３年,2021,,67,123,127,-3,-57,0.6,0.7,-0.1,22,34,28,6,-13,0.3,0.2,0.1,45,89,99,-9,-44,1,1.1,-0.3
対前年・対前年同期増減数／令和４年,2022,,-14,73,101,-29,-87,0.7,0.9,-0.4,-9,17,46,-29,-26,0.4,0.9,-0.6,-5,56,55,0,-61,0.9,0.9,0
対前年・対前年同期増減数／令和５年,2023,,96,35,47,-12,61,-0.3,-0.2,-0.1,51,8,17,-10,42,-0.5,-0.4,-0.2,45,27,29,-2,20,0,0.1,-0.1
対前年・対前年同期増減数／平成31年・令和元年４～６月,2019,04～06,84,150,187,-36,-61,0.7,1,-0.5,36,38,59,-21,-2,0.2,0.5,-0.5,49,113,127,-15,-58,1.3,1.6,-0.5
対前年・対前年同期増減数／平成31年・令和元年７～９月,2019,07～09,97,137,154,-16,-38,0.6,0.8,-0.2,41,49,68,-19,-9,0.3,0.6,-0.5,56,88,86,2,-29,0.9,0.9,0
対前年・対前年同期増減数／平成31年・令和元年10～12月,2019,10～12,93,48,39,8,41,-0.2,-0.2,0.1,42,13,-3,16,22,-0.3,-0.6,0.4,52,34,42,-8,18,0.1,0.2,-0.2
対前年・対前年同期増減数／令和２年１～３月,2020,01～03,93,18,-2,20,91,-0.4,-0.5,0.3,43,0,-28,27,51,-0.5,-0.9,0.6,50,19,25,-7,40,-0.2,0,-0.2
対前年・対前年同期増減数／令和２年４～６月,2020,04～06,84,46,-26,71,39,0,-0.6,0.8,38,8,-40,48,29,-0.4,-1.1,1.1,46,37,15,23,9,0.2,-0.2,0.6
対前年・対前年同期増減数／令和２年７～９月,2020,07～09,70,78,-31,109,-10,0.3,-0.7,1.3,28,69,19,50,-40,0.8,0,1.1,42,9,-51,60,29,-0.2,-1.2,1.7
対前年・対前年同期増減数／令和２年10～12月,2020,10～12,98,368,310,60,-270,2.5,2,0.6,36,176,142,34,-137,2.4,1.9,0.6,60,193,167,26,-133,2.5,2.1,0.6
対前年・対前年同期増減数／令和３年１～３月,2021,01～03,83,149,131,18,-75,0.8,0.6,0.1,26,84,81,3,-62,1,1,0,57,65,50,15,-13,0.5,0.3,0.4
対前年・対前年同期増減数／令和３年４～６月,2021,04～06,66,33,-16,49,31,-0.1,-0.5,0.6,21,6,-41,47,13,-0.2,-0.9,1,45,27,25,2,17,0,0,0
対前年・対前年同期増減数／令和３年７～９月,2021,07～09,47,177,206,-28,-127,1.2,1.5,-0.4,14,7,3,4,8,-0.1,-0.2,0,33,171,204,-33,-135,2.4,2.9,-1
対前年・対前年同期増減数／令和３年10～12月,2021,10～12,-5,56,108,-53,-59,0.5,0.9,-0.6,-7,3,35,-32,-8,0.1,0.7,-0.7,2,53,74,-21,-50,0.8,1.2,-0.6
対前年・対前年同期増減数／令和４年１～３月,2022,01～03,-10,41,32,9,-45,0.3,0.3,0.1,-6,-17,-20,2,17,-0.2,-0.3,0,-4,58,52,6,-62,1,0.8,0.1
対前年・対前年同期増減数／令和４年４～６月,2022,04～06,-45,173,254,-81,-217,1.6,2.3,-1,-26,73,150,-78,-96,1.6,2.8,-1.8,-19,100,103,-3,-120,1.7,1.8,-0.1
対前年・対前年同期増減数／令和４年７～９月,2022,07～09,-23,46,91,-46,-71,0.4,0.8,-0.6,-15,23,61,-38,-42,0.6,1.2,-0.8,-8,22,30,-8,-29,0.4,0.6,-0.3
対前年・対前年同期増減数／令和４年10～12月,2022,10～12,21,30,28,1,-12,0.1,0.1,0,8,-11,-10,-2,17,-0.2,-0.3,0,14,41,38,3,-30,0.5,0.4,0
対前年・対前年同期増減数／令和５年１～３月,2023,01～03,40,51,69,-18,-9,0.2,0.4,-0.2,18,-1,3,-4,15,-0.2,-0.2,-0.1,21,52,66,-14,-24,0.6,0.8,-0.4
対前年・対前年同期増減数／令和５年４～６月,2023,04～06,120,42,53,-11,76,-0.3,-0.2,-0.2,64,16,35,-18,44,-0.6,-0.3,-0.3,56,26,20,6,32,-0.1,-0.2,0.1
対前年・対前年同期増減数／令和５年７～９月,2023,07～09,129,76,72,5,51,-0.1,-0.1,0.1,71,24,24,0,49,-0.5,-0.5,0,58,53,48,4,3,0.3,0.2,0.1
対前年・対前年同期増減数／令和５年10～12月,2023,10～12,95,-27,-6,-21,126,-0.8,-0.5,-0.3,52,-7,11,-16,59,-0.8,-0.5,-0.3,43,-21,-16,-4,67,-0.7,-0.6,0
対前年・対前年同期増減数／令和６年１～３月,2024,01～03,89,87,96,-9,6,0.3,0.3,-0.1,49,61,73,-11,-8,0.4,0.6,-0.2,41,25,23,3,14,0,0,0.1
対前年・対前年同期増減数／令和６年４～６月,2024,04～06,74,48,17,31,29,-0.1,-0.3,0.4,38,-25,-47,22,66,-0.9,-1.2,0.4,37,73,63,10,-38,0.8,0.6,0.2
,,,,,,,,,,,,,,,,,,,,,,,,,,
東京の労働力統計データ（令和６年(2024年)４～６月期平均）,,,,,,,,,,,,,,,,,,,,,,,,,,
第２表　主な就業状態、男女別15歳以上人口　,,,,,,,,,,,,,,,,,,,,,,,,,,
