"名称","種別","総合支所","町丁目","公園面積[平方メートル]","調査区域面積[平方メートル]","樹木被覆地[平方メートル]","草地[平方メートル]","屋上緑地[平方メートル]","緑被地[平方メートル]","裸地[平方メートル]","水面[平方メートル]","緑被率[％]","樹木被覆率[％]","草地率[％]","屋上緑地率[％]","裸地率[％]","水面率[％]"
"港南緑水公園","区立公園","芝浦・港南地区","港南四丁目","20,206 ","20,103 ","4,059 ","8,420 ","67 ","12,546 ","203 ","102 ","62.41 ","20.19 ","41.89 ","0.33 ","1.01 ","0.51 "
"お台場レインボー公園","区立公園","芝浦・港南地区","台場一丁目","11,000 ","11,359 ","4,330 ","4,271 ","0 ","8,600 ","0 ","0 ","75.71 ","38.12 ","37.60 ","0.00 ","0.00 ","0.00 "
"金杉橋児童遊園","区立児童遊園","芝地区","芝一丁目","385 ","383 ","136 ","0 ","0 ","136 ","0 ","0 ","35.43 ","35.43 ","0.00 ","0.00 ","0.00 ","0.00 "
"芝園児童遊園","区立児童遊園","芝地区","芝二丁目","104 ","104 ","33 ","0 ","0 ","33 ","0 ","0 ","31.52 ","31.52 ","0.00 ","0.00 ","0.00 ","0.00 "
"芝新堀町児童遊園","区立児童遊園","芝地区","芝二丁目","352 ","335 ","126 ","0 ","0 ","126 ","0 ","0 ","37.56 ","37.56 ","0.00 ","0.00 ","0.00 ","0.00 "
"松本町児童遊園","区立児童遊園","芝地区","芝三丁目","247 ","238 ","120 ","0 ","0 ","120 ","0 ","0 ","50.56 ","50.56 ","0.00 ","0.00 ","0.00 ","0.00 "
"芝五丁目児童遊園","区立児童遊園","芝地区","芝五丁目","1,209 ","1,155 ","560 ","0 ","0 ","560 ","0 ","0 ","48.44 ","48.44 ","0.00 ","0.00 ","0.00 ","0.00 "
"三田小山町児童遊園","区立児童遊園","芝地区","三田一丁目","188 ","181 ","122 ","0 ","0 ","122 ","0 ","0 ","67.71 ","67.71 ","0.00 ","0.00 ","0.00 ","0.00 "
"三田二丁目児童遊園","区立児童遊園","芝地区","三田二丁目","504 ","507 ","201 ","0 ","0 ","201 ","0 ","0 ","39.69 ","39.69 ","0.00 ","0.00 ","0.00 ","0.00 "
"三田網町児童遊園","区立児童遊園","芝地区","三田二丁目","458 ","454 ","211 ","0 ","0 ","211 ","0 ","0 ","46.51 ","46.51 ","0.00 ","0.00 ","0.00 ","0.00 "
"浜松町四丁目児童遊園","区立児童遊園","芝地区","浜松町二丁目","429 ","446 ","256 ","0 ","0 ","256 ","101 ","0 ","57.45 ","57.45 ","0.00 ","0.00 ","22.65 ","0.00 "
"芝大門二丁目児童遊園","区立児童遊園","芝地区","芝大門二丁目","362 ","365 ","47 ","0 ","0 ","47 ","0 ","0 ","12.77 ","12.77 ","0.00 ","0.00 ","0.00 ","0.00 "
"虎ノ門三丁目児童遊園","区立児童遊園","芝地区","虎ノ門三丁目","120 ","121 ","89 ","0 ","0 ","89 ","0 ","0 ","73.51 ","73.51 ","0.00 ","0.00 ","0.00 ","0.00 "
"西久保巴町児童遊園","区立児童遊園","芝地区","虎ノ門三丁目","179 ","188 ","75 ","0 ","0 ","75 ","0 ","0 ","39.93 ","39.93 ","0.00 ","0.00 ","0.00 ","0.00 "
"南麻布一丁目児童遊園","区立児童遊園","麻布地区","南麻布一丁目","451 ","432 ","57 ","0 ","0 ","57 ","0 ","0 ","13.21 ","13.21 ","0.00 ","0.00 ","0.00 ","0.00 "
"南麻布新堀児童遊園","区立児童遊園","麻布地区","南麻布二丁目","534 ","460 ","91 ","0 ","0 ","91 ","0 ","0 ","19.74 ","19.74 ","0.00 ","0.00 ","0.00 ","0.00 "
"南麻布二丁目児童遊園","区立児童遊園","麻布地区","南麻布二丁目","466 ","486 ","243 ","0 ","0 ","243 ","0 ","0 ","49.85 ","49.85 ","0.00 ","0.00 ","0.00 ","0.00 "
"絶江児童遊園","区立児童遊園","麻布地区","南麻布二丁目","181 ","175 ","114 ","0 ","0 ","114 ","0 ","0 ","64.98 ","64.98 ","0.00 ","0.00 ","0.00 ","0.00 "
"古川橋児童遊園","区立児童遊園","麻布地区","南麻布二丁目","373 ","358 ","0 ","0 ","0 ","0 ","0 ","0 ","0.00 ","0.00 ","0.00 ","0.00 ","0.00 ","0.00 "
"広尾児童遊園","区立児童遊園","麻布地区","南麻布五丁目","173 ","178 ","85 ","0 ","0 ","85 ","0 ","0 ","47.90 ","47.90 ","0.00 ","0.00 ","0.00 ","0.00 "
"宮村児童遊園","区立児童遊園","麻布地区","元麻布二丁目","1,112 ","1,071 ","422 ","5 ","0 ","426 ","0 ","0 ","39.80 ","39.38 ","0.42 ","0.00 ","0.00 ","0.00 "
"笄児童遊園","区立児童遊園","麻布地区","西麻布二丁目","849 ","873 ","208 ","0 ","0 ","208 ","0 ","0 ","23.81 ","23.81 ","0.00 ","0.00 ","0.00 ","0.00 "
"西麻布二丁目児童遊園","区立児童遊園","麻布地区","西麻布二丁目","915 ","903 ","679 ","0 ","0 ","679 ","0 ","0 ","75.19 ","75.18 ","0.01 ","0.00 ","0.00 ","0.00 "
"六本木坂下児童遊園","区立児童遊園","麻布地区","六本木一丁目","553 ","607 ","285 ","0 ","0 ","285 ","0 ","0 ","46.90 ","46.90 ","0.00 ","0.00 ","0.00 ","0.00 "
"六本木坂上児童遊園","区立児童遊園","麻布地区","六本木一丁目","661 ","665 ","368 ","125 ","0 ","493 ","0 ","0 ","74.15 ","55.33 ","18.82 ","0.00 ","0.00 ","0.00 "
"六本木三丁目児童遊園","区立児童遊園","麻布地区","六本木三丁目","288 ","301 ","134 ","0 ","0 ","134 ","0 ","0 ","44.61 ","44.61 ","0.00 ","0.00 ","0.00 ","0.00 "
"飯倉雁木坂児童遊園","区立児童遊園","麻布地区","麻布台一丁目","172 ","166 ","73 ","0 ","0 ","73 ","0 ","0 ","44.07 ","44.07 ","0.00 ","0.00 ","0.00 ","0.00 "
"東麻布児童遊園","区立児童遊園","麻布地区","東麻布一丁目","882 ","894 ","701 ","0 ","0 ","701 ","0 ","0 ","78.39 ","78.39 ","0.00 ","0.00 ","0.00 ","0.00 "
"中ノ橋児童遊園","区立児童遊園","麻布地区","東麻布一丁目","376 ","377 ","2 ","0 ","0 ","2 ","0 ","0 ","0.59 ","0.59 ","0.00 ","0.00 ","0.00 ","0.00 "
"一ツ木児童遊園","区立児童遊園","赤坂地区","赤坂五丁目","197 ","196 ","72 ","8 ","0 ","80 ","0 ","0 ","40.72 ","36.86 ","3.86 ","0.00 ","0.00 ","0.00 "
"桑田記念児童遊園","区立児童遊園","赤坂地区","赤坂九丁目","1,537 ","1,427 ","254 ","0 ","0 ","254 ","0 ","0 ","17.82 ","17.82 ","0.00 ","0.00 ","0.00 ","0.00 "
"南一児童遊園","区立児童遊園","赤坂地区","南青山一丁目","467 ","450 ","140 ","0 ","0 ","140 ","0 ","0 ","30.99 ","30.99 ","0.00 ","0.00 ","0.00 ","0.00 "
"南青山三丁目児童遊園","区立児童遊園","赤坂地区","南青山三丁目","257 ","249 ","189 ","0 ","0 ","189 ","0 ","0 ","75.85 ","75.85 ","0.00 ","0.00 ","0.00 ","0.00 "
"南青山四丁目児童遊園","区立児童遊園","赤坂地区","南青山四丁目","355 ","313 ","157 ","0 ","0 ","157 ","0 ","0 ","50.24 ","50.24 ","0.00 ","0.00 ","0.00 ","0.00 "
"南青山六丁目児童遊園","区立児童遊園","赤坂地区","南青山六丁目","739 ","756 ","507 ","14 ","0 ","521 ","0 ","0 ","68.98 ","67.13 ","1.85 ","0.00 ","0.00 ","0.00 "
"北青山一丁目児童遊園","区立児童遊園","赤坂地区","北青山一丁目","2,459 ","2,455 ","1,070 ","138 ","0 ","1,208 ","0 ","0 ","49.19 ","43.57 ","5.62 ","0.00 ","0.00 ","0.00 "
"北青山三丁目児童遊園","区立児童遊園","赤坂地区","北青山三丁目","406 ","401 ","212 ","0 ","0 ","212 ","0 ","0 ","52.84 ","52.84 ","0.00 ","0.00 ","0.00 ","0.00 "
"青山五丁目児童遊園","区立児童遊園","赤坂地区","北青山三丁目","790 ","829 ","503 ","0 ","0 ","503 ","0 ","0 ","60.71 ","60.71 ","0.00 ","0.00 ","0.00 ","0.00 "
"豊岡町児童遊園","区立児童遊園","高輪地区","三田五丁目","191 ","182 ","75 ","0 ","0 ","75 ","0 ","0 ","40.92 ","40.92 ","0.00 ","0.00 ","0.00 ","0.00 "
"三田松坂児童遊園","区立児童遊園","高輪地区","三田五丁目","773 ","737 ","487 ","0 ","0 ","487 ","0 ","0 ","66.15 ","66.15 ","0.00 ","0.00 ","0.00 ","0.00 "
"松ヶ丘児童遊園","区立児童遊園","高輪地区","高輪一丁目","83 ","81 ","41 ","0 ","0 ","41 ","0 ","0 ","50.05 ","50.05 ","0.00 ","0.00 ","0.00 ","0.00 "
"高松児童遊園","区立児童遊園","高輪地区","高輪一丁目","545 ","563 ","297 ","0 ","0 ","297 ","0 ","0 ","52.74 ","52.74 ","0.00 ","0.00 ","0.00 ","0.00 "
"二本榎児童遊園","区立児童遊園","高輪地区","高輪一丁目","379 ","378 ","180 ","0 ","0 ","180 ","0 ","0 ","47.72 ","47.72 ","0.00 ","0.00 ","0.00 ","0.00 "
"泉岳寺前児童遊園","区立児童遊園","高輪地区","高輪二丁目","1,892 ","1,973 ","941 ","15 ","0 ","957 ","856 ","0 ","48.49 ","47.71 ","0.78 ","0.00 ","43.38 ","0.00 "
"車町児童遊園","区立児童遊園","高輪地区","高輪二丁目","447 ","447 ","397 ","0 ","0 ","397 ","0 ","0 ","88.66 ","88.66 ","0.00 ","0.00 ","0.00 ","0.00 "
"高輪南町児童遊園","区立児童遊園","高輪地区","高輪四丁目","618 ","644 ","537 ","48 ","0 ","585 ","0 ","0 ","90.82 ","83.39 ","7.43 ","0.00 ","0.00 ","0.00 "
"白金志田町児童遊園","区立児童遊園","高輪地区","白金一丁目","1,259 ","1,265 ","705 ","0 ","0 ","705 ","0 ","0 ","55.71 ","55.71 ","0.00 ","0.00 ","0.00 ","0.00 "
"白高児童遊園","区立児童遊園","高輪地区","白金一丁目","1,070 ","1,059 ","469 ","50 ","0 ","519 ","0 ","0 ","49.02 ","44.30 ","4.71 ","0.00 ","0.00 ","0.00 "
"白金一丁目児童遊園","区立児童遊園","高輪地区","白金一丁目","1,138 ","1,084 ","377 ","6 ","0 ","383 ","0 ","0 ","35.36 ","34.77 ","0.59 ","0.00 ","0.00 ","0.00 "
"四の橋通児童遊園","区立児童遊園","高輪地区","白金三丁目","497 ","491 ","169 ","0 ","0 ","169 ","244 ","0 ","34.43 ","34.43 ","0.00 ","0.00 ","49.64 ","0.00 "
"三光児童遊園","区立児童遊園","高輪地区","白金五丁目","1,641 ","1,698 ","0 ","0 ","0 ","0 ","0 ","0 ","0.00 ","0.00 ","0.00 ","0.00 ","0.00 ","0.00 "
"雷神山児童遊園","区立児童遊園","高輪地区","白金六丁目","990 ","941 ","910 ","0 ","0 ","910 ","0 ","0 ","96.68 ","96.68 ","0.00 ","0.00 ","0.00 ","0.00 "
"奥三光児童遊園","区立児童遊園","高輪地区","白金六丁目","213 ","218 ","0 ","0 ","0 ","0 ","0 ","0 ","0.00 ","0.00 ","0.00 ","0.00 ","0.00 ","0.00 "
"白金児童遊園","区立児童遊園","高輪地区","白金台二丁目","1,747 ","1,661 ","1,298 ","0 ","0 ","1,298 ","0 ","0 ","78.12 ","78.12 ","0.00 ","0.00 ","0.00 ","0.00 "
"白金台四丁目児童遊園","区立児童遊園","高輪地区","白金台四丁目","432 ","446 ","356 ","9 ","0 ","365 ","0 ","0 ","81.94 ","79.90 ","2.04 ","0.00 ","0.00 ","0.00 "
"白台児童遊園","区立児童遊園","高輪地区","白金台四丁目","592 ","579 ","354 ","0 ","0 ","354 ","0 ","0 ","61.13 ","61.13 ","0.00 ","0.00 ","0.00 ","0.00 "
"白金台どんぐり児童遊園","区立児童遊園","高輪地区","白金台五丁目","6,103 ","6,069 ","2,788 ","1,788 ","0 ","4,576 ","210 ","0 ","75.39 ","45.93 ","29.46 ","0.00 ","3.46 ","0.00 "
"南浜町児童遊園","区立児童遊園","芝浦・港南地区","芝浦一丁目","233 ","235 ","72 ","0 ","0 ","72 ","0 ","0 ","30.80 ","30.80 ","0.00 ","0.00 ","0.00 ","0.00 "
"船路橋児童遊園","区立児童遊園","芝浦・港南地区","芝浦二丁目","858 ","887 ","361 ","0 ","0 ","361 ","0 ","1 ","40.67 ","40.67 ","0.00 ","0.00 ","0.00 ","0.14 "
"末広橋児童遊園","区立児童遊園","芝浦・港南地区","海岸二丁目","113 ","115 ","89 ","0 ","0 ","89 ","0 ","0 ","77.42 ","77.42 ","0.00 ","0.00 ","0.00 ","0.00 "
"金杉濱町緑地","区立緑地","芝地区","芝一丁目","100 ","100 ","71 ","0 ","0 ","71 ","0 ","0 ","70.76 ","70.76 ","0.00 ","0.00 ","0.00 ","0.00 "
"芝二丁目緑地","区立緑地","芝地区","芝二丁目","46 ","44 ","37 ","0 ","0 ","37 ","0 ","0 ","84.16 ","84.16 ","0.00 ","0.00 ","0.00 ","0.00 "
"芝三丁目緑地","区立緑地","芝地区","芝三丁目","96 ","95 ","73 ","0 ","0 ","73 ","0 ","0 ","76.42 ","76.42 ","0.00 ","0.00 ","0.00 ","0.00 "
"三田二丁目緑地","区立緑地","芝地区","三田二丁目","40 ","40 ","0 ","0 ","0 ","0 ","0 ","0 ","0.00 ","0.00 ","0.00 ","0.00 ","0.00 ","0.00 "
"御成門緑地","区立緑地","芝地区","西新橋三丁目","233 ","237 ","70 ","0 ","0 ","70 ","0 ","0 ","29.61 ","29.61 ","0.00 ","0.00 ","0.00 ","0.00 "
"手まり坂緑地","区立緑地","芝地区","芝公園三丁目","447 ","449 ","138 ","16 ","0 ","154 ","0 ","0 ","34.16 ","30.71 ","3.45 ","0.00 ","0.00 ","0.00 "
"江戸見坂緑地","区立緑地","芝地区","虎ノ門四丁目","161 ","159 ","141 ","0 ","0 ","141 ","0 ","0 ","88.71 ","88.71 ","0.00 ","0.00 ","0.00 ","0.00 "
"虎ノ門五丁目緑地","区立緑地","芝地区","虎ノ門五丁目","96 ","96 ","47 ","0 ","0 ","47 ","0 ","0 ","48.91 ","48.91 ","0.00 ","0.00 ","0.00 ","0.00 "
"薬園坂緑地","区立緑地","麻布地区","南麻布三丁目","105 ","105 ","105 ","0 ","0 ","105 ","0 ","0 ","100.00 ","100.00 ","0.00 ","0.00 ","0.00 ","0.00 "
"古川沿緑地","区立緑地","麻布地区","南麻布三丁目","1,287 ","1,290 ","0 ","0 ","0 ","0 ","0 ","0 ","0.00 ","0.00 ","0.00 ","0.00 ","0.00 ","0.00 "
"元麻布三丁目緑地","区立緑地","麻布地区","元麻布三丁目","197 ","196 ","175 ","0 ","0 ","175 ","0 ","0 ","88.84 ","88.84 ","0.00 ","0.00 ","0.00 ","0.00 "
"西麻布一丁目緑地","区立緑地","麻布地区","西麻布一丁目","150 ","164 ","62 ","0 ","0 ","62 ","0 ","0 ","37.99 ","37.99 ","0.00 ","0.00 ","0.00 ","0.00 "
"牛坂緑地","区立緑地","麻布地区","西麻布四丁目","102 ","104 ","97 ","0 ","0 ","97 ","0 ","0 ","94.09 ","94.09 ","0.00 ","0.00 ","0.00 ","0.00 "
"西麻布四丁目緑地","区立緑地","麻布地区","西麻布四丁目","259 ","259 ","245 ","0 ","0 ","245 ","0 ","0 ","94.49 ","94.49 ","0.00 ","0.00 ","0.00 ","0.00 "
"六本木緑地","区立緑地","麻布地区","六本木六丁目","2,868 ","2,862 ","1,232 ","69 ","0 ","1,301 ","0 ","0 ","45.47 ","43.04 ","2.42 ","0.00 ","0.00 ","0.00 "
"六本木六丁目緑地","区立緑地","麻布地区","六本木六丁目","214 ","213 ","123 ","0 ","0 ","123 ","0 ","0 ","57.76 ","57.76 ","0.00 ","0.00 ","0.00 ","0.00 "
"赤坂榎坂町緑地","区立緑地","赤坂地区","赤坂一丁目","151 ","150 ","112 ","0 ","0 ","112 ","0 ","0 ","74.32 ","74.32 ","0.00 ","0.00 ","0.00 ","0.00 "
"南青山二丁目緑地","区立緑地","赤坂地区","南青山二丁目","150 ","181 ","75 ","0 ","0 ","75 ","0 ","0 ","41.53 ","41.53 ","0.00 ","0.00 ","0.00 ","0.00 "
"南青山三丁目緑地","区立緑地","赤坂地区","南青山三丁目","157 ","154 ","132 ","0 ","0 ","132 ","0 ","0 ","85.61 ","85.61 ","0.00 ","0.00 ","0.00 ","0.00 "
"南青山四丁目緑地","区立緑地","麻布地区","南青山四丁目","150 ","148 ","27 ","0 ","0 ","27 ","0 ","0 ","18.09 ","18.09 ","0.00 ","0.00 ","0.00 ","0.00 "
"南青山七丁目緑地","区立緑地","赤坂地区","南青山七丁目","224 ","226 ","167 ","0 ","0 ","167 ","0 ","0 ","73.86 ","73.86 ","0.00 ","0.00 ","0.00 ","0.00 "
"魚籃坂下緑地","区立緑地","高輪地区","白金一丁目","353 ","513 ","73 ","255 ","0 ","328 ","0 ","0 ","64.02 ","14.33 ","49.69 ","0.00 ","0.00 ","0.00 "
"高輪一丁目緑地","区立緑地","高輪地区","高輪一丁目","339 ","342 ","285 ","0 ","0 ","285 ","0 ","0 ","83.22 ","83.22 ","0.00 ","0.00 ","0.00 ","0.00 "
"伊皿子坂緑地","区立緑地","高輪地区","高輪二丁目","152 ","153 ","139 ","0 ","0 ","139 ","0 ","0 ","90.68 ","90.68 ","0.00 ","0.00 ","0.00 ","0.00 "
"白金二丁目緑地","区立緑地","高輪地区","白金二丁目","150 ","153 ","68 ","14 ","0 ","82 ","0 ","0 ","53.76 ","44.43 ","9.33 ","0.00 ","0.00 ","0.00 "
"明治坂緑地","区立緑地","高輪地区","白金六丁目","156 ","155 ","128 ","0 ","0 ","128 ","0 ","0 ","82.27 ","82.27 ","0.00 ","0.00 ","0.00 ","0.00 "
