地域階層,地域コード,項番 Item number,地域,District,事業所総数／Number of establishments Total,卸売業 Wholesale trade／計 Total,卸売業 Wholesale trade／各種商品卸売業 Wholesale trade， general merchandise,卸売業 Wholesale trade／繊維品卸売業 (衣服，身の回り品を除く) Textile products (except apparel， apparel accessories and notions),卸売業 Wholesale trade／衣服卸売業 Apparel,卸売業 Wholesale trade／身の回り品卸売業 Apparel accessories and notions,卸売業 Wholesale trade／農畜産物・水産物卸売業 Agricultural， animal and poultry farm and aquatic products,卸売業 Wholesale trade／食料・飲料卸売業 Food and beverages,卸売業 Wholesale trade／建築材料卸売業 Building materials,卸売業 Wholesale trade／化学製品卸売業 Chemicals and related products,卸売業 Wholesale trade／石油・鉱物卸売業 Petroleum and minerals,卸売業 Wholesale trade／鉄鋼製品卸売業 Iron and steel products,卸売業 Wholesale trade／非鉄金属卸売業 Non-ferrous metals,卸売業 Wholesale trade／再生資源卸売業 Recycled material,卸売業 Wholesale trade／産業機械器具卸売業 Industry machinery and equipment,卸売業 Wholesale trade／自動車卸売業 Motor vehicles,卸売業 Wholesale trade／電気機械器具卸売業 Electrical machinery， equipment and supplies,卸売業 Wholesale trade／その他の機械器具卸売業 Miscellaneous machinery and equipment,卸売業 Wholesale trade／家具・建具・じゅう器等卸売業 Furniture， fixtures and house furnishings,卸売業 Wholesale trade／医薬品・化粧品等卸売業 Drugs and toiletries,卸売業 Wholesale trade／紙・紙製品卸売業 Paper and paper products,卸売業 Wholesale trade／他に分類されない卸売業 Other products， n.e.c.,小売業 Retail trade／計 Total,小売業 Retail trade／百貨店，総合スーパー Department stores and general merchandise supermarkets,小売業 Retail trade／その他の各種商品小売業 (従業者が常時50人未満のもの) Miscellaneous retail trade， general merchandise (with less than 50 employees),小売業 Retail trade／呉服・服地・寝具小売業 Dry goods， cloth and bedding stores,小売業 Retail trade／男子服小売業 Men's clothing stores,小売業 Retail trade／婦人・子供服小売業 Women's and children's clothing stores,小売業 Retail trade／靴・履物小売業 Footwear stores,小売業 Retail trade／その他の織物・衣服・身の回り品小売業 Miscellaneous dry goods， apparel and apparel accessories stores,小売業 Retail trade／各種食料品小売業 Grocery stores,小売業 Retail trade／野菜・果実小売業 Vegetable and fruit stores,小売業 Retail trade／食肉小売業 Meat and poultry stores,小売業 Retail trade／鮮魚小売業 Fresh fish stores,小売業 Retail trade／酒小売業 Liquor stores,小売業 Retail trade／菓子・パン小売業 Confectioneries and bakeries,小売業 Retail trade／その他の飲食料品小売業 Retail food and beverage stores， n.e.c,小売業 Retail trade／自動車小売業 Motor vehicle stores,小売業 Retail trade／自転車小売業 Bicycle stores,小売業 Retail trade／機械器具小売業 (自動車，自転車を除く) Appliance stores， except motorcycles and bicycles,"小売業 Retail trade／家具・建具・畳小売業 Furniture， fixture and “Tatami"" mat stores",小売業 Retail trade／じゅう器小売業 Household utensil stores,小売業 Retail trade／医薬品・化粧品小売業 Drug and toiletry stores,小売業 Retail trade／農耕用品小売業 Farming and gardening supply stores,小売業 Retail trade／燃料小売業 Fuel stores,小売業 Retail trade／書籍・文房具小売業 Book and stationery stores,小売業 Retail trade／スポーツ用品・がん具・娯楽用品・楽器小売業 Sporting goods， toy， amusement goods and musical instrument stores,小売業 Retail trade／写真機・時計・眼鏡小売業 Camera， watch and  spectacles stores,小売業 Retail trade／他に分類されない小売業 Retail trade， n.e.c,小売業 Retail trade／通信販売・訪問販売小売業 Mail order houses and door-to-door sales,小売業 Retail trade／自動販売機による小売業 Vending machine sales,小売業 Retail trade／その他の無店舗小売業 Miscellaneous nonstore retailers
2,13112,12,世田谷区,Setagaya-ku,4568,853,5,8,41,33,67,89,70,29,5,13,18,8,68,46,84,35,34,56,20,124,3715,3,9,51,82,339,51,162,79,81,72,40,83,261,544,141,72,147,66,62,438,3,69,186,68,81,399,91,8,27
2,13113,13,渋谷区,Shibuya-ku,3992,1332,3,46,338,139,49,109,41,32,5,10,10,8,62,19,99,44,52,79,21,166,2660,5,5,24,170,416,84,299,24,41,19,18,48,130,329,12,18,64,29,34,203,-,15,96,114,70,279,97,2,15
2,13114,14,中野区,Nakano-ku,1881,436,3,4,13,21,27,58,43,14,1,5,11,4,33,11,39,18,16,34,11,70,1445,1,2,23,22,97,22,58,28,42,25,16,40,103,236,28,26,60,26,35,177,1,15,58,25,32,185,47,5,10
2,13115,15,杉並区,Suginami-ku,3102,634,-,7,20,24,44,83,68,30,2,5,6,11,49,34,52,22,26,29,24,98,2468,2,4,47,39,178,29,89,45,74,51,21,55,161,388,76,47,109,54,48,276,3,27,131,42,57,324,67,11,13
2,13116,16,豊島区,Toshima-ku,3081,856,3,6,25,41,77,77,55,59,6,14,16,11,80,19,102,53,26,53,22,111,2225,7,5,31,66,216,59,160,26,43,31,22,43,156,369,18,26,81,39,34,191,1,14,86,77,60,267,80,3,14
2,13117,17,北区,Kita-ku,2402,642,4,6,11,15,45,68,44,45,4,24,11,32,66,14,43,23,28,31,23,105,1760,3,3,35,41,101,22,57,30,50,36,23,59,126,312,44,33,70,33,31,210,1,29,76,33,40,205,48,3,6
2,13118,18,荒川区,Arakawa-ku,1816,609,1,19,14,46,30,45,47,54,9,17,17,56,40,15,36,14,16,21,28,84,1207,1,-,39,16,77,16,39,25,31,26,19,59,85,201,29,21,46,29,33,121,2,29,36,21,27,152,17,2,8
2,13119,19,板橋区,Itabashi-ku,2968,830,-,1,18,20,56,91,60,52,6,16,24,52,81,42,55,45,23,50,27,111,2138,5,6,27,23,110,29,55,59,57,43,18,61,143,375,92,40,97,43,45,265,2,36,108,38,54,220,68,5,14
2,13120,20,練馬区,Nerima-ku,3364,883,6,11,20,24,68,121,96,41,8,18,15,23,55,34,67,44,48,48,19,117,2481,5,3,45,46,146,25,51,61,52,44,24,73,167,426,118,56,126,37,32,305,3,60,125,41,63,229,86,11,21
2,13121,21,足立区,Adachi-ku,4649,1404,6,13,22,66,178,142,122,84,14,33,24,99,96,69,67,25,57,49,54,184,3245,7,22,57,56,185,46,98,59,89,64,34,116,194,563,168,65,141,67,52,324,4,107,135,48,66,356,83,20,19
2,13122,22,葛飾区,Katsushika-ku,3153,835,6,11,23,27,45,66,62,65,10,32,16,44,65,49,42,22,33,39,21,157,2318,5,6,39,29,147,27,80,42,66,52,45,65,185,370,96,50,97,61,39,262,-,65,84,39,56,242,41,11,17
2,13123,23,江戸川区,Edogawa-ku,3634,1057,2,11,29,40,90,105,97,59,17,51,22,58,87,83,43,27,40,29,18,149,2577,4,6,42,49,122,31,58,76,59,41,29,89,175,430,160,59,119,44,35,272,2,86,109,54,51,286,61,13,15
2,13199,24,境界未定地域,Areas where boundaries are not fixed,120,9,-,-,1,1,1,-,-,-,-,-,-,-,-,-,-,2,-,1,-,3,111,1,-,2,2,29,9,22,1,-,1,-,-,5,4,-,-,1,-,1,4,-,-,1,1,3,23,1,-,-
1,13200,,市部,All shi,21452,4281,15,23,97,83,399,485,539,178,39,45,52,105,378,243,411,190,169,255,63,512,17171,40,77,261,327,1198,236,685,480,335,241,121,377,1229,2529,1052,307,674,348,226,1921,50,484,699,430,430,1800,467,51,96
2,13201,1,八王子市,Hachioji-shi,3247,809,5,11,15,21,79,67,76,43,12,11,11,20,81,56,92,35,28,51,9,86,2438,5,12,37,49,138,37,105,58,39,30,19,41,167,365,202,33,101,53,32,250,8,90,99,74,59,233,85,4,13
2,13202,2,立川市,Tachikawa-shi,1212,308,1,-,5,3,17,35,33,7,1,1,2,5,35,12,58,18,18,16,7,34,904,2,3,15,23,80,18,60,18,10,11,5,16,59,149,41,26,30,20,14,93,-,18,29,34,24,77,19,2,8
2,13203,3,武蔵野市,Musashino-shi,1353,174,-,1,8,3,17,17,24,8,-,-,2,1,20,5,10,9,6,12,2,29,1179,4,3,18,33,165,27,90,16,16,8,8,15,92,150,20,23,27,28,19,113,1,4,40,46,37,149,22,1,4
2,13204,4,三鷹市,Mitaka-shi,691,138,-,-,4,3,12,16,13,4,2,4,4,7,16,8,15,5,6,6,1,12,553,1,2,5,8,35,4,9,13,17,10,7,18,36,90,28,11,19,14,2,96,4,11,24,9,10,50,14,1,5
2,13205,5,青梅市,Ome-shi,816,141,1,2,2,3,13,18,20,3,2,4,-,5,10,13,7,2,4,9,2,21,675,1,7,10,11,33,10,19,27,12,13,6,21,55,99,53,4,29,15,13,54,-,37,23,9,11,76,20,2,5
2,13206,6,府中市,Fuchu-shi,1248,321,-,2,3,7,39,36,42,20,2,1,4,5,22,10,30,19,11,26,7,35,927,2,5,11,14,30,7,24,22,29,10,12,32,56,175,49,23,36,20,14,100,1,14,41,28,23,114,23,6,6
2,13207,7,昭島市,Akishima-shi,680,164,2,-,1,8,21,24,19,7,6,2,5,4,12,7,14,4,4,4,2,18,516,3,5,11,7,37,7,21,12,6,6,3,13,44,87,31,12,18,6,6,41,1,21,24,9,11,54,12,3,5
2,13208,8,調布市,Chofu-shi,1135,217,2,-,6,5,17,47,31,7,2,2,3,5,12,10,12,7,7,14,5,23,918,2,3,15,18,74,11,30,22,21,18,3,24,76,115,46,18,34,12,11,123,4,15,41,18,28,99,31,2,4
2,13209,9,町田市,Machida-shi,2124,369,2,2,14,6,28,39,39,14,3,2,2,11,32,21,34,18,13,29,6,54,1755,4,4,27,45,153,29,87,57,20,14,8,24,101,219,130,20,68,39,24,200,7,38,63,59,42,201,54,6,12
2,13210,10,小金井市,Koganei-shi,447,85,-,1,2,1,4,14,13,2,-,1,-,4,10,3,6,-,4,3,1,16,362,1,1,5,3,17,3,10,11,7,6,3,8,24,62,12,7,19,6,3,43,2,7,22,6,11,50,9,1,3
2,13211,11,小平市,Kodaira-shi,827,145,-,-,1,4,8,17,31,4,1,-,-,3,12,10,16,8,3,8,-,19,682,2,-,10,9,35,8,11,24,15,7,3,18,54,103,35,19,28,10,12,78,2,21,35,21,18,82,19,2,1
2,13212,12,日野市,Hino-shi,622,128,-,1,3,1,8,13,20,8,1,1,3,3,18,3,13,12,3,7,1,9,494,-,-,10,6,22,4,13,20,9,5,3,13,34,72,30,9,29,9,6,74,1,14,24,3,14,44,19,2,5
2,13213,13,東村山市,Higashimurayama-shi,627,107,-,1,4,5,12,7,14,5,-,3,1,3,6,7,7,3,7,6,2,14,520,1,1,7,5,21,4,18,27,13,13,5,16,43,69,23,19,19,8,8,62,2,17,25,7,15,55,13,-,4
2,13214,14,国分寺市,Kokubunji-shi,568,108,-,-,6,1,6,10,12,5,1,-,3,1,11,3,7,8,3,11,3,17,460,-,2,6,9,47,5,18,11,12,6,5,9,33,68,20,4,20,4,5,64,1,12,19,8,11,52,9,-,-
2,13215,15,国立市,Kunitachi-shi,448,90,-,-,4,-,12,11,7,2,-,-,2,2,6,4,7,8,6,6,-,13,358,-,-,3,4,40,3,20,11,8,3,2,8,19,53,7,4,11,6,7,38,1,7,19,8,12,53,7,2,2
2,13218,16,福生市,Fussa-shi,362,72,-,-,-,1,4,8,10,4,2,2,1,2,6,3,9,1,2,8,1,8,290,1,2,5,14,10,3,7,7,5,4,-,7,18,34,31,6,8,9,2,44,-,16,8,8,7,27,7,-,-
2,13219,17,狛江市,Komae-shi,359,73,-,1,1,2,8,5,7,5,-,1,3,1,5,1,8,6,5,2,-,12,286,-,-,5,4,13,4,4,7,11,8,1,13,23,46,11,4,17,8,4,38,-,3,7,2,6,32,12,2,1
2,13220,18,東大和市,Higashiyamato-shi,484,83,1,-,4,1,8,8,12,4,-,-,-,1,10,7,11,2,2,3,1,8,401,1,-,7,6,15,4,6,11,10,12,3,9,30,68,25,6,20,12,8,49,1,13,16,10,6,39,10,3,1
2,13221,19,清瀬市,Kiyose-shi,351,65,-,-,2,-,12,10,10,4,1,-,-,1,2,1,7,2,2,6,2,3,286,1,1,4,1,20,1,7,4,11,6,1,11,29,46,9,6,15,5,2,43,3,8,13,5,5,24,4,-,1
2,13222,20,東久留米市,Higashikurume-shi,551,101,-,1,3,-,14,14,13,2,1,1,1,2,6,6,7,4,6,4,2,14,450,3,-,7,11,31,7,20,16,9,11,5,8,36,53,23,11,23,4,6,45,2,16,22,13,12,41,12,2,1
2,13223,21,武蔵村山市,Musashimurayama-shi,515,97,-,-,1,-,11,4,18,5,-,4,1,5,9,9,6,1,5,2,3,13,418,1,5,6,7,43,8,20,9,8,6,3,4,24,60,63,6,15,7,4,31,1,17,7,8,11,34,7,2,1
2,13224,22,多摩市,Tama-shi,720,129,-,-,4,2,12,20,11,2,-,3,2,3,16,13,15,5,2,6,2,11,591,2,3,12,17,49,11,37,13,6,4,3,6,47,86,26,6,28,8,5,67,2,11,33,15,19,47,22,1,5
2,13225,23,稲城市,Inagi-shi,306,65,-,-,1,2,6,2,17,2,-,-,1,3,4,6,5,3,5,3,-,5,241,-,2,2,3,11,2,6,13,4,5,1,4,18,37,19,3,9,7,3,33,-,10,10,5,5,19,5,1,4
2,13227,24,羽村市,Hamura-shi,327,68,-,-,-,3,7,7,8,3,1,-,-,5,7,8,4,2,3,6,1,3,259,-,5,-,4,6,2,7,16,4,4,1,3,17,45,31,5,13,3,1,17,-,18,7,8,6,25,8,3,-
2,13228,25,あきる野市,Akiruno-shi,499,69,1,-,-,-,6,13,18,1,1,1,1,2,2,6,3,4,3,-,-,7,430,-,7,11,4,16,4,12,15,11,7,3,11,31,56,43,7,11,16,4,33,4,31,14,7,6,53,10,-,3
2,13229,26,西東京市,Nishitokyo-shi,933,155,-,-,3,1,18,23,21,7,-,1,-,1,8,11,8,4,11,7,3,28,778,3,4,12,12,57,13,24,20,22,14,8,25,63,122,44,15,27,19,11,92,2,15,34,10,21,70,14,3,2
1,13300,,郡部,All gun,538,128,1,1,2,-,7,15,22,8,4,3,2,11,10,13,3,3,2,2,2,17,410,2,5,5,8,36,5,22,17,6,6,2,16,21,55,45,2,9,7,6,14,2,34,9,12,10,43,9,-,2
1,13350,,島部,All islands,403,39,-,1,-,1,12,11,6,-,-,-,-,-,2,1,1,-,1,-,1,2,364,-,2,2,3,11,5,6,32,2,4,5,18,21,54,18,-,16,7,12,8,10,32,16,19,4,50,3,1,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成30年）TOKYO STATISTICAL YEARBOOK ( 2018 )　12  商業・サービス・貿易 12  COMMERCE，SERVICES，AND FOREIGN TRADE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-2  卸売業，小売業の地域，産業小分類別事業所数 (平成26年7月1日) 12-2  WHOLESALE AND RETAIL TRADE ESTABLISHMENTS BY DISTRICT AND INDUSTRY GROUP ( July 1， 2014 ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
この表は，商業統計調査によるものであり，東京都が集計した結果である。 調査の時点は7月1日である。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
This table shows the results of the Statistical Survey on Commerce compiled by the TMG， conducted on July 1.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
資料：都総務局統計部産業統計課 「商業統計調査報告（卸売・小売業）」 Source: Bureau of General Affairs， TMG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
地域階層 (0:東京都　1:区部・市部・郡部・島部　2:区市町村),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
