年次（平成）,Year,月次,Month,調布飛行場 Chofu Airport／旅客数 Passenger／乗客 Embarked,調布飛行場 Chofu Airport／旅客数 Passenger／降客  Disembarked,大島空港 Oshima Airport／旅客数 Passenger／乗客 Embarked,大島空港 Oshima Airport／旅客数 Passenger／降客 Disembarked,大島空港 Oshima Airport／貨物 Freight／積荷 Loaded(t),大島空港 Oshima Airport／貨物 Freight／降荷 Unloaded(t),大島空港 Oshima Airport／郵便物 Mail／積荷 Loaded(t),大島空港 Oshima Airport／郵便物 Mail／降荷 Unloaded(t),三宅島空港 Miyakejima Airport／旅客数 Passenger／乗客 Embarked,三宅島空港 Miyakejima Airport／旅客数 Passenger／降客 Disembarked,三宅島空港 Miyakejima Airport／貨物 Freight／積荷 Loaded(t),三宅島空港 Miyakejima Airport／貨物 Freight／降荷 Unloaded(t),三宅島空港 Miyakejima Airport／郵便物 Mail／積荷 Loaded(t),三宅島空港 Miyakejima Airport／郵便物 Mail／降荷 Unloaded(t),八丈島空港 Hachijojima Airport／旅客数 Passenger／乗客 Embarked,八丈島空港 Hachijojima Airport／旅客数 Passenger／降客 Disembarked,八丈島空港 Hachijojima Airport／貨物 Freight／積荷 Loaded(t),八丈島空港 Hachijojima Airport／貨物 Freight／降荷 Unloaded(t),八丈島空港 Hachijojima Airport／郵便物 Mail／積荷 Loaded(t),八丈島空港 Hachijojima Airport／郵便物 Mail／降荷 Unloaded(t),新島空港 Niijima Airport／旅客数 Passenger／乗客 Embarked,新島空港 Niijima Airport／旅客数 Passenger／降客 Disembarked,新島空港 Niijima Airport／貨物 Freight／積荷 Loaded(t),新島空港 Niijima Airport／貨物 Freight／降荷 Unloaded(t),新島空港 Niijima Airport／郵便物 Mail／積荷 Loaded(t),新島空港 Niijima Airport／郵便物 Mail／降荷 Unloaded(t),神津島空港 Kozushima Airport／旅客数 Passenger／乗客 Embarked,神津島空港 Kozushima Airport／旅客数 Passenger／降客 Disembarked,神津島空港 Kozushima Airport／貨物 Freight／積荷 Loaded(t),神津島空港 Kozushima Airport／貨物 Freight／降荷 Unloaded(t),神津島空港 Kozushima Airport／郵便物 Mail／積荷 Loaded(t),神津島空港 Kozushima Airport／郵便物 Mail／降荷 Unloaded(t)
30,2018,8,Aug.,4450,5301,1023,940,60,1147,-,-,1584,1050,10,217,-,-,12831,11454,60555,26030,1313,3346,1719,1453,163,1329,-,-,1024,1042,147,55,-,-
30,2018,9,Sept.,3328,3973,709,635,58,1059,-,-,1137,813,1,195,-,-,9702,7967,45684,17982,1232,3135,1303,1110,113,1191,-,-,839,786,108,42,-,-
30,2018,10,Oct.,3736,4550,811,692,244,1184,-,-,1350,861,22,182,-,-,8341,7697,46091,14335,1620,4029,1399,1278,303,1352,-,-,1005,921,220,42,-,-
30,2018,11,Nov.,3419,4359,747,617,126,1056,-,-,1273,787,0,185,-,-,9009,8063,52318,14577,1422,3371,1368,1154,199,1263,-,-,987,872,270,13,-,-
30,2018,12,Dec.,3509,4466,800,669,153,1182,-,-,1342,756,17,227,-,-,7454,7088,74883,16884,1681,3510,1373,1232,274,1637,-,-,977,866,160,51,-,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成30年）TOKYO STATISTICAL YEARBOOK ( 2018 ) 4　運輸 4　TRANSPORT ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-23　航空輸送量 (3)  その他の空港 （国内線）（平成26～30年） 4-23 TRANSPORTATION BY ＡIR (3) OTHER AIRPORTS ( DOMESTIC )  ( 2014-2018 ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
資料： 都港湾局離島港湾部管理課 Source: Bureau of  Port and Harbor， TMG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
（単位：月別貨物郵便物取扱量（kg）） (Unit: The monthly amount of handling of freight is by kg),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
