年次(平成),Year,地域階層,地域コード,項番 Item number,地域,District,木造家屋 Wooden buildings／総数 Total／棟数 Number,木造家屋 Wooden buildings／総数 Total／床面積 Floor space (m2)　,木造家屋 Wooden buildings／専用住宅 Exclusive dwellings／棟数 Number,木造家屋 Wooden buildings／専用住宅 Exclusive dwellings／床面積 Floor space  (m2),木造家屋 Wooden buildings／併用住宅 Multi-use dwellings／棟数 Number,木造家屋 Wooden buildings／併用住宅 Multi-use dwellings／床面積 Floor space (m2),木造家屋 Wooden buildings／アパート Apartment houses／棟数 Number,木造家屋 Wooden buildings／アパート Apartment houses／床面積 Floor space (m2),木造家屋 Wooden buildings／その他 Others／棟数 Number,木造家屋 Wooden buildings／その他 Others／床面積 Floor space (m2),種類別非木造家屋 Non-wooden buildings by type／総数 Total／棟数 Number,種類別非木造家屋 Non-wooden buildings by type／総数 Total／床面積 Floor space (m2),種類別非木造家屋 Non-wooden buildings by type／事務所，店舗，百貨店 Offices， stores， department stores 1)／棟数 Number,種類別非木造家屋 Non-wooden buildings by type／事務所，店舗，百貨店 Offices， stores， department stores 1)／床面積(m2) Floor space,種類別非木造家屋 Non-wooden buildings by type／住宅，アパート Houses， apartment houses／棟数 Number,種類別非木造家屋 Non-wooden buildings by type／住宅，アパート Houses， apartment houses／床面積 Floor space (m2),種類別非木造家屋 Non-wooden buildings by type／病院，ホテルHospitals， hotels／棟数 Number,種類別非木造家屋 Non-wooden buildings by type／病院，ホテルHospitals， hotels／床面積 Floor space (m2),種類別非木造家屋 Non-wooden buildings by type／工場，倉庫，市場 Factories， storehouses， markets／棟数 Number,種類別非木造家屋 Non-wooden buildings by type／工場，倉庫，市場 Factories， storehouses， markets／床面積 Floor space (m2),種類別非木造家屋 Non-wooden buildings by type／劇場，娯楽場等，その他 Theaters， amusement & entertainment places， etc. ／棟数 Number,種類別非木造家屋 Non-wooden buildings by type／劇場，娯楽場等，その他 Theaters， amusement & entertainment places， etc. ／床面積 Floor space (m2),種類別非木造家屋 Non-wooden buildings by type／劇場，娯楽場等，その他Theaters， amusement & entertainment places， etc. ／うち劇場，娯楽場等 of which， Theaters， amusement & entertainment places／棟数 Number,種類別非木造家屋 Non-wooden buildings by type／劇場，娯楽場等，その他 Theaters， amusement & entertainment places， etc. ／うち劇場，娯楽場等 of which， Theaters， amusement & entertainment places／床面積 Floor space (m2),構造別非木造家屋 Non-wooden buildings by structure／鉄骨鉄筋コンクリート造 Steel reinforced concrete／棟数 Number,構造別非木造家屋 Non-wooden buildings by structure／鉄骨鉄筋コンクリート造 Steel reinforced concrete／床面積 Floor space (m2),構造別非木造家屋 Non-wooden buildings by structure／鉄筋コンクリート造 Reinforced concrete／棟数 Number,構造別非木造家屋 Non-wooden buildings by structure／鉄筋コンクリート造 Reinforced concrete／床面積 Floor space (m2),構造別非木造家屋 Non-wooden buildings by structure／鉄骨造 Steel-frame／棟数 Number,構造別非木造家屋 Non-wooden buildings by structure／鉄骨造 Steel-frame／床面積 Floor space (m2) ,構造別非木造家屋 Non-wooden buildings by structure／軽量鉄骨造 Light gauge steel／棟数 Number,構造別非木造家屋 Non-wooden buildings by structure／軽量鉄骨造 Light gauge steel／床面積 Floor space (m2),構造別非木造家屋 Non-wooden buildings by structure／れんが造，コンクリートブロック造等 Brick， concrete-block， etc.／棟数 Number,構造別非木造家屋 Non-wooden buildings by structure／れんが造，コンクリートブロック造等 Brick， concrete-block， etc.／床面積 Floor space (m2),構造別非木造家屋 Non-wooden buildings by structure／その他 Others／棟数 Number,構造別非木造家屋 Non-wooden buildings by structure／その他 Others／床面積 Floor space (m2)
31,2019,2,13108,8,江東区,Koto-ku,26463,2294232,19296,1563991,4008,396227,1865,239214,1294,94800,24600,28543660,2171,6573843,18401,15785178,87,390331,3784,5602974,157,191334,7,19167,1342,9985326,5134,10263244,15185,7975511,2485,305921,454,13658,-,-
31,2019,2,13109,9,品川区,Shinagawa-ku,40206,3881895,29324,2600635,4543,472973,5327,731883,1012,76404,22887,19453374,2000,6231458,18674,10969624,106,414026,1776,1788297,331,49969,3,10577,1186,7101765,9215,7973596,8088,3791970,3988,568517,410,17526,-,-
31,2019,2,13110,10,目黒区,Meguro-ku,33991,3884082,25630,2702360,2165,243781,5545,882320,651,55621,21625,9661115,1329,1555667,19300,7664607,44,252139,737,163987,215,24715,3,11535,513,1920264,12094,5683355,4634,1388225,4132,655413,252,13858,-,-
31,2019,2,13111,11,大田区,Ota-ku,95072,9616624,72745,6808241,8388,922708,11239,1702428,2700,183247,49184,26676801,2775,4128440,40270,16528089,214,311887,5148,5605888,777,102497,5,24049,1058,5707767,18901,12565436,17364,6761245,10963,1612616,898,29737,-,-
31,2019,2,13112,12,世田谷区,Setagaya-ku,126085,14304821,99801,10535968,5314,596363,18550,3028219,2420,144271,61094,24002269,2785,2624292,53977,20634446,102,138194,2957,490234,1273,115103,5,6452,611,2239385,32180,15727300,11369,3480032,15978,2517013,956,38539,-,-
31,2019,2,13113,13,渋谷区,Shibuya-ku,17801,1905834,12582,1253802,1313,141322,3178,466493,728,44217,21495,18495427,4100,7673236,16204,10064538,147,456547,798,198683,246,102423,14,86839,1618,6828457,12424,8642340,5088,2695031,2002,311659,363,17940,-,-
31,2019,2,13114,14,中野区,Nakano-ku,44753,4631844,31823,3005299,2761,277908,9359,1295466,810,53171,21964,8973121,1147,1333315,19627,7430669,42,89702,917,100785,231,18650,3,2263,471,1551873,9665,4935565,6233,1676331,5216,788585,379,20767,-,-
31,2019,2,13115,15,杉並区,Suginami-ku,92469,10164882,70919,7283607,4324,485037,15133,2287979,2093,108259,36461,12760081,1850,1368240,31755,10855455,70,150567,1938,318694,848,67125,4,19820,532,1435274,16004,7477404,7197,2037226,11800,1764539,928,45638,-,-
31,2019,2,13116,16,豊島区,Toshima-ku,31971,3206952,22321,2052064,2993,310788,5883,788174,774,55926,20585,12867560,2161,3963303,17218,8197283,225,451288,895,221347,86,34339,6,19289,1309,4478034,8112,5729287,7388,2136181,3411,489675,365,34383,-,-
31,2019,2,13117,17,北区,Kita-ku,43937,4121649,32848,2873831,3837,391388,6078,778337,1174,78093,20285,10041611,1366,1285205,16778,7741252,76,144700,1839,805695,226,64759,2,15647,576,2260421,5683,4431145,9383,2764969,4173,561669,470,23407,-,-
31,2019,2,13118,18,荒川区,Arakawa-ku,27235,2454173,19278,1597146,4596,460792,2167,289705,1194,106530,13898,6730407,816,699728,11457,5412293,85,118753,1444,442380,96,57253,2,2099,510,1596922,2920,2756025,8361,2116565,1842,245911,265,14984,-,-
31,2019,2,13119,19,板橋区,Itabashi-ku,63542,6331014,48109,4448993,5160,536620,8287,1205554,1986,139847,31957,16980648,1950,1602072,25208,13273107,123,270843,3940,1737952,736,96674,-,-,727,3228939,11813,8961974,11419,3759980,7079,995589,919,34166,-,-
31,2019,2,13120,20,練馬区,Nerima-ku,117040,12267346,96386,9570046,5584,613679,11963,1912611,3107,171010,37541,15319882,2048,1506179,31216,13053601,102,180909,3215,485920,960,93273,7,27173,513,1941238,13902,8610491,8862,2722067,13405,2011240,859,34846,-,-
31,2019,2,13121,21,足立区,Adachi-ku,104874,10024210,82965,7520234,9422,993495,7382,1199918,5105,310563,38872,17523949,2921,2042708,28108,12810948,199,370924,6905,2156325,739,143044,2,4014,569,2313334,5642,6862003,21242,6795467,10606,1530830,813,22315,-,-
31,2019,2,13122,22,葛飾区,Katsushika-ku,77279,7274439,60717,5390360,7618,768287,5833,921580,3111,194212,27346,10578055,1728,1180253,21171,8417765,105,165258,3891,769512,451,45267,2,980,309,1244633,4568,4374003,14443,3883712,7442,1058979,584,16728,-,-
31,2019,2,13123,23,江戸川区,Edogawa-ku,94719,9286050,76984,6931562,6734,718266,8205,1465474,2796,170748,35969,17118636,2294,1841960,28108,13313994,130,224657,4701,1660067,736,77958,1,3294,994,4189951,6629,5695612,19377,5951932,8420,1265824,549,15317,-,-
31,2019,1,13200,,市部,All shi,799961,82387280,686929,69442641,24845,2850081,42942,7899700,45245,2194858,219975,102277348,22809,20233387,147206,65004640,1280,2360201,30129,12321737,18551,2357383,…,…,2894,13269322,62991,49304418,50571,26146935,96313,13161205,6824,383083,382,12385
31,2019,2,13201,1,八王子市,Hachioji-shi,114498,11942260,99323,10334336,3722,457620,3956,778541,7497,371763,35393,15783715,3469,3152553,22961,9588461,252,483831,7967,2506887,744,51983,…,…,412,1987270,8347,6897336,7973,4517179,17885,2344137,758,35645,18,2148
31,2019,2,13202,2,立川市,Tachikawa-shi,31669,3003642,27006,2516476,1049,110247,1641,282338,1973,94581,11149,6010403,1751,1864841,7339,3175737,98,174177,1922,762012,39,33636,…,…,230,1037175,2945,2639738,3584,1767768,3999,534424,391,31298,-,-
31,2019,2,13203,3,武蔵野市,Musashino-shi,19630,2324344,16045,1860999,882,90777,2100,339598,603,32970,8047,4842475,1077,1369177,6461,3232779,39,89580,220,128363,250,22576,…,…,192,840642,2906,2670701,1688,837929,3083,484753,174,8329,4,121
31,2019,2,13204,4,三鷹市,Mitaka-shi,31638,3398526,26418,2604245,1059,123220,3172,612883,989,58178,9030,4063749,714,678347,7166,2906974,41,90333,771,246425,338,141670,…,…,110,334431,3473,2322602,1847,872246,3375,523091,222,11299,3,80
31,2019,2,13205,5,青梅市,Ome-shi,38883,3796359,31471,3213445,1303,148078,802,200145,5307,234691,7863,3032089,878,564298,3834,1535585,62,159265,3066,765835,23,7106,…,…,46,249784,1299,1103935,2623,1265362,3357,390253,538,22755,-,-
31,2019,2,13206,6,府中市,Fuchu-shi,40560,4161453,34426,3409242,1348,164790,2802,489735,1984,97686,15402,7652216,1201,1627828,11244,4379438,95,137681,1063,1031316,1799,475953,…,…,516,1446275,5179,3517566,3549,1863798,5655,800091,429,21801,74,2685
31,2019,2,13207,7,昭島市,Akishima-shi,20916,2055048,18079,1736451,778,91094,885,172715,1174,54788,5845,3393154,717,613575,3713,1726437,50,133670,1349,902844,16,16628,…,…,88,672769,1125,1138035,1791,1196100,2379,323635,448,62159,14,456
31,2019,2,13208,8,調布市,Chofu-shi,35285,3676848,29819,2959353,1046,122703,3166,529331,1254,65461,9414,5814093,1041,1075923,7112,4123033,40,90021,911,380144,310,144972,…,…,138,737812,3002,3339119,2280,1151141,3783,574260,211,11761,-,-
31,2019,2,13209,9,町田市,Machida-shi,89324,9859373,79557,8603022,1680,230868,4104,806992,3983,218491,25406,9103364,2186,1809341,15066,5944956,128,319331,1204,788299,6822,241437,…,…,145,1002273,9622,4517107,3432,1988735,11738,1582913,469,12336,-,-
31,2019,2,13210,10,小金井市,Koganei-shi,23123,2479738,19273,1966068,802,98406,2201,381744,847,33520,5621,2268009,466,328467,4547,1817516,18,39925,567,75638,23,6463,…,…,64,332550,1421,1124769,1160,381208,2839,421519,129,7668,8,295
31,2019,2,13211,11,小平市,Kodaira-shi,40114,3928598,34696,3320417,1463,139041,2377,394766,1578,74374,8518,3678328,849,653838,5947,2542701,30,35734,1127,380735,565,65320,…,…,66,296580,2286,1954884,1887,865807,4001,546057,268,14667,10,333
31,2019,2,13212,12,日野市,Hino-shi,35529,3741638,31392,3258466,668,80973,1814,331836,1655,70363,11537,4710633,823,738877,7802,2920520,52,66132,986,886891,1874,98213,…,…,151,348976,3199,2292213,1911,1245032,5722,804417,546,19715,8,280
31,2019,2,13213,13,東村山市,Higashimurayama-shi,31253,3077255,27936,2671763,1111,117516,1184,219582,1022,68394,5756,2745108,637,366042,4078,1940538,38,66346,768,302318,235,69864,…,…,56,329217,1299,1397800,1666,656071,2595,352851,140,9169,-,-
31,2019,2,13214,14,国分寺市,Kokubunji-shi,25108,2593332,21747,2160509,602,72674,1965,322462,794,37687,6993,2692266,671,508420,5145,1946783,41,31620,519,153441,617,52002,…,…,89,407854,2262,1436019,1314,443361,2928,392234,167,7470,233,5328
31,2019,2,13215,15,国立市,Kunitachi-shi,11943,1314499,10204,1081704,393,47374,918,162539,428,22882,4360,2057879,506,320643,3374,1452107,31,37031,417,198506,32,49592,…,…,51,258566,1315,1071183,1074,459851,1799,260479,121,7800,-,-
31,2019,2,13218,16,福生市,Fussa-shi,11821,1167388,9698,921365,568,66909,653,133286,902,45828,3152,1316314,471,232415,1930,910797,20,26807,553,131366,178,14929,…,…,23,92243,720,635201,1023,419370,1114,156810,269,12469,3,221
31,2019,2,13219,17,狛江市,Komae-shi,15000,1587108,12448,1239781,441,55509,1573,266877,538,24941,3472,1508771,232,183846,2754,1259170,13,6260,184,38118,289,21377,…,…,36,184753,1003,791706,811,302811,1519,226221,99,2980,4,300
31,2019,2,13220,18,東大和市,Higashiyamato-shi,17413,1768432,15026,1506174,663,54894,616,151290,1108,56074,3455,1714785,529,309030,2079,1136254,17,13980,682,216565,148,38956,…,…,20,139764,642,825667,968,504507,1695,224674,130,20173,-,-
31,2019,2,13221,19,清瀬市,Kiyose-shi,14287,1482208,12229,1226140,614,66430,776,147608,668,42030,2841,1216522,302,134713,1936,918480,18,37140,223,48149,362,78040,…,…,20,100682,667,693370,793,249877,1301,169741,60,2852,-,-
31,2019,2,13222,20,東久留米市,Higashikurume-shi,25691,2460517,22679,2138001,813,66308,1040,196373,1159,59835,5102,2217371,852,425461,2940,1412102,31,21213,476,175194,803,183401,…,…,107,312114,1567,1068796,1520,583673,1794,248606,114,4176,-,6
31,2019,2,13223,21,武蔵村山市,Musashimurayama-shi,18890,1847114,16868,1628976,487,56713,318,90533,1217,70892,4074,1451319,500,350156,1947,508612,16,13049,869,534938,742,44564,…,…,7,4938,555,300813,1447,899652,1944,233157,121,12759,-,-
31,2019,2,13224,22,多摩市,Tama-shi,14712,1637526,13022,1437161,291,38423,702,135473,697,26469,6696,5628753,599,1448062,4599,3554785,33,84164,848,241157,617,300585,…,…,165,1156111,3393,3220133,904,923767,2065,323770,169,4972,-,-
31,2019,2,13225,23,稲城市,Inagi-shi,13174,1368588,10817,1112733,400,48575,841,155213,1116,52067,4304,2335881,447,335140,2604,1678059,23,43991,1032,251954,198,26737,…,…,42,263073,1264,1306926,953,515450,1986,247487,59,2945,-,-
31,2019,2,13227,24,羽村市,Hamura-shi,12707,1255245,10795,1077286,427,51865,363,83552,1122,42542,3842,1914289,564,310737,1942,775651,23,30649,1312,796444,1,808,…,…,20,81702,617,608998,1179,1011131,1669,202303,357,10155,-,-
31,2019,2,13228,25,あきる野市,Akiruno-shi,30308,2799308,24091,2388901,710,86670,580,137012,4927,186725,5433,1035535,536,236655,2890,496942,29,26932,661,206943,1317,68063,…,…,8,43190,1012,192007,1393,484492,2737,302043,283,13803,-,-
31,2019,2,13229,26,西東京市,Nishitokyo-shi,36485,3660933,31864,3069627,1525,162404,2393,377276,703,51626,7270,4090327,791,595002,5796,3120223,42,101339,432,171255,209,102508,…,…,92,608578,1871,2237794,1801,740617,3351,491279,152,11927,3,132
31,2019,1,13300,,郡部,All gun,24722,2120429,18655,1790676,586,67192,254,68968,5227,193593,5652,1892339,625,447689,1789,298489,50,65355,1845,990599,1343,90207,…,…,31,140325,605,216280,2377,1295398,2399,231678,235,7959,5,699
31,2019,1,13350,,島部,All islands,15361,1224561,10777,916964,676,93818,107,15035,3801,198744,5279,656309,631,121825,2969,306241,124,73832,925,115614,630,38797,…,…,37,11106,1989,329023,700,154967,518,50687,2031,110238,4,288
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成30年）TOKYO STATISTICAL YEARBOOK ( 2018 )　3  建設・住居 3  CONSTRUCTION AND HOUSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3-2  地域， 種類， 構造別家屋の棟数及び床面積（平成27～31年） 3-2 NUMBER OF BUILDINGS AND TOTAL FLOOR SPACE BY DISTRICT， BUILDING TYPE ， AND STRUCTURE ( 2015～2019 ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
都及び区市町村において保管している固定資産課税台帳に登録されている家屋で，法定免税点未満の家屋も含む。ただし， 非課税家屋を除く。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
各年1月1日現在。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buildings listed in the fixed assets tax directories of Tokyo metropolis and the municipalities，  including those that do not surpass the tax exemption limit， but excluding non-taxable buildings. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figures are as of Jan. 1 of the year stated.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
注 1) 事務所，店舗，百貨店には銀行を含む。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: 1) Offices， stores， and department stores include banks.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
資料：都主税局資産税部固定資産税課 （区部），都総務局行政部市町村課（市部，郡部，島部）Source: Bureau of Taxation， TMG (ku); Bureau of General Affairs， TMG (shi， gun and islands)  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
地域階層（0:東京都総数　1:区部・市部・郡部・島部　2:区市町村）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
