年度末(平成),End of fiscal year,地域階層,地域コード,地域,District,浄水場数 Purification plants,給水所数 Distribution stations,営業所数 Service stations,配水管 Water pipes／総延長 Total length (m),配水管 Water pipes／配水本管 Water mains (m),配水管 Water pipes／配水小管 Service pipes (m),消火栓数 Fire hydrants,制水弁数 Hydraulic control valves,空気弁数 Air relief valves,排水弁数 Drainage valves
30,2018,2,13211,小平市,Kodaira-shi,-,-,1,419623,29494,390129,1509,5000,173,85
30,2018,2,13212,日野市,Hino-shi,-,2,1,525020,33852,491168,1924,7800,330,182
30,2018,2,13213,東村山市,Higashimurayama-shi,1,2,-,311121,23945,287176,993,4167,141,121
30,2018,2,13214,国分寺市,Kokubunji-shi,-,-,-,261585,15691,245894,1253,3234,74,87
30,2018,2,13215,国立市,Kunitachi-shi,-,-,-,179660,10718,168942,918,2385,76,87
30,2018,2,13218,福生市,Fussa-shi,-,-,-,161002,8576,152426,615,2257,89,43
30,2018,2,13219,狛江市,Komae-shi,-,-,-,156872,13628,143244,689,2518,71,90
30,2018,2,13220,東大和市,Higashiyamato-shi,-,1,1,248878,19500,229377,838,3587,138,128
30,2018,2,13221,清瀬市,Kiyose-shi,-,-,-,166776,12368,154408,516,1900,97,88
30,2018,2,13222,東久留米市,Higashikurume-shi,-,-,1,267598,19331,248267,1067,3588,164,121
30,2018,2,13223,武蔵村山市,Musashimurayama-shi,-,-,-,226289,18327,207962,644,2908,123,68
30,2018,2,13224,多摩市,Tama-shi,-,3,1,221901,10304,211597,932,3155,119,125
30,2018,2,13225,稲城市,Inagi-shi,-,2,-,195165,3030,192135,989,2829,105,45
30,2018,2,13228,あきる野市,Akiruno-shi,-,3,1,396079,26230,369850,1350,5307,442,206
30,2018,2,13229,西東京市,Nishitokyo-shi,-,-,-,372706,30051,342655,1629,5422,207,91
30,2018,2,13303,瑞穂町,Mizuho-machi,-,1,-,203619,18268,185351,770,2393,107,56
30,2018,2,13305,日の出町,Hinode-machi,-,1,-,113314,4634,108680,250,1446,183,135
30,2018,2,13308,奥多摩町,Okutama-machi,-,-,-,116012, - ,116012,354,1038,202,16
30,2018,2,,多摩ﾆｭｰﾀｳﾝ,Tama New Town,-,-,-,398184,55249,342935,1913,5448,548,210
30,2018,2,,その他,Others,2,1,-,15886,15632,254,-,19,33,25
30,2018,0,99999,都外,Outside Tokyo-to,3,-,-,10822,10704,118,1,17,29,20
,,,,,,,,,,,,,,,
東京都統計年鑑（平成30年）TOKYO STATISTICAL YEARBOOK ( 2018 )　6  電気・上下水道 6  ELECTRICITY， WATERWORKS， AND SEWERAGE,,,,,,,,,,,,,,,
6-3  地域別上水道施設及び付属設備（平成26～30年度末） 6-3  WATERWORKS FACILITIES AND EQUIPMENT BY DISTRICT ( End of Fiscal Years 2014-2018 ),,,,,,,,,,,,,,,
この表は， 都水道局の事業実績である。 区部及び多摩地区26市町に給水するほか， 武蔵野， 昭島， 羽村の 3市に分水している。,,,,,,,,,,,,,,,
The table shows business activities of the Bureau of Waterworks， Tokyo Metropolitan Government， with water supplied  to the “ku” area and the 26 cities and towns in the Tama area. Water is also shared with Musashino， Akishima and Hamura cities， which have their own water supply entities.,,,,,,,,,,,,,,,
資料：都水道局総務部企画調整課 Source: Bureau of  Waterworks， TMG　　　,,,,,,,,,,,,,,,
地域階層（0:東京都総数・都外　1:区部・市郡部　２:区市町村）,,,,,,,,,,,,,,,
