年度末(平成),End of fiscal year,地域階層,地域コード,項番 Item number,地域,District,飲食店 Eateries／総数 Total,飲食店 Eateries／旅館・ホテル Ryokan ･ hotel,飲食店 Eateries／バー・キャバレー Bars ･ cabarets,飲食店 Eateries／一般飲食店 Restaurant,飲食店 Eateries／民生食堂 Low-cost eatery,飲食店 Eateries／すし屋 Sushi restaurant,飲食店 Eateries／そば屋 Soba restaurant,飲食店 Eateries／仕出し屋 Caterer,飲食店 Eateries／弁当屋 Bento shop,飲食店 Eateries／そうざい店 Deli,飲食店 Eateries／その他 Others,喫茶店 Caf?s／店舗 Shop,喫茶店 Caf?s／その他 Others,乳類販売業 Dairy product sales,食肉販売業 Processed meat sales,魚介類販売業 Seafood sales,食料品等販売業 Food sales,アイスクリーム販売業 Ice cream sales,菓子販売業 Confectionary sales,魚介類加工品販売業 Fishery products sales
30,2018,2,13203,4,武蔵野市,Musashino-shi,2435,8,103,1831,-,55,43,15,88,106,186,61,208,287,152,161,346,475,509,225
30,2018,2,13204,5,三鷹市,Mitaka-shi,1037,-,12,708,-,40,35,16,50,50,126,16,127,246,135,123,261,317,334,151
30,2018,2,13205,6,青梅市,Ome-shi,1503,44,13,705,-,37,38,14,40,59,553,20,125,217,118,122,280,140,203,60
30,2018,2,13206,7,府中市,Fuchu-shi,2146,15,52,1387,-,45,60,20,80,97,390,40,320,449,215,223,456,450,412,381
30,2018,2,13207,8,昭島市,Akishima-shi,904,9,6,675,-,26,19,13,47,35,74,15,153,199,108,110,205,184,269,175
30,2018,2,13208,9,調布市,Chofu-shi,1723,2,32,1270,-,50,62,17,96,62,132,31,124,306,192,185,349,474,238,311
30,2018,2,13209,10,町田市,Machida-shi,2906,24,160,1810,-,62,71,31,164,244,340,40,251,614,323,309,582,626,867,663
30,2018,2,13210,11,小金井市,Koganei-shi,776,1,9,580,-,16,18,10,45,34,63,20,52,135,86,77,162,214,207,191
30,2018,2,13211,12,小平市,Kodaira-shi,1231,3,6,748,-,32,32,16,79,63,252,20,143,284,149,143,269,310,179,450
30,2018,2,13212,13,日野市,Hino-shi,1016,1,7,632,-,24,27,19,67,42,197,11,143,232,125,126,234,176,196,92
30,2018,2,13213,14,東村山市,Higashimurayama-shi,1061,10,35,758,-,38,29,13,58,50,70,14,83,190,105,104,161,136,179,113
30,2018,2,13214,15,国分寺市,Kokubunji-shi,1032,4,30,797,-,23,24,8,50,26,70,16,58,150,79,75,163,189,100,162
30,2018,2,13215,16,国立市,Kunitachi-shi,657,5,4,493,-,12,20,8,36,37,42,16,61,118,70,62,116,107,156,107
30,2018,2,13218,17,福生市,Fussa-shi,760,2,71,595,-,16,12,3,25,16,20,4,36,91,63,60,93,84,152,42
30,2018,2,13219,18,狛江市,Komae-shi,446,1,4,311,-,14,17,11,25,29,34,4,28,87,62,52,86,250,109,131
30,2018,2,13220,19,東大和市,Higashiyamato-shi,548,3,11,369,-,16,20,8,47,39,35,9,42,122,73,65,115,80,109,46
30,2018,2,13221,20,清瀬市,Kiyose-shi,471,-,10,331,-,12,11,12,30,25,40,7,40,112,58,53,109,73,90,54
30,2018,2,13222,21,東久留米市,Higashikurume-shi,647,1,5,428,-,26,19,13,53,52,50,12,64,164,102,100,180,117,150,98
30,2018,2,13223,22,武蔵村山市,Musashimurayama-shi,438,2,2,308,-,13,18,17,26,25,27,10,71,110,72,66,114,73,104,71
30,2018,2,13224,23,多摩市,Tama-shi,1015,10,20,692,-,22,20,11,73,60,107,24,143,224,106,102,260,169,186,88
30,2018,2,13225,24,稲城市,Inagi-shi,400,-,1,285,-,5,13,7,28,27,34,18,49,113,64,58,110,61,70,32
30,2018,2,13227,25,羽村市,Hamura-shi,690,1,49,524,-,16,10,4,22,23,41,4,96,100,58,56,97,75,139,40
30,2018,2,13228,26,あきる野市,Akiruno-shi,537,12,-,373,-,16,21,14,33,38,30,14,63,122,71,62,129,111,142,28
30,2018,2,13229,,西東京市,Nishitokyo-shi,1266,4,27,954,-,24,26,17,70,53,91,11,100,233,131,129,230,654,547,463
30,2018,1,13300,,郡部,All gun,535,35,-,365,-,11,23,8,17,32,44,11,70,139,74,67,173,221,367,71
30,2018,1,13500,,島部,All islands,1095,418,14,462,-,14,12,8,54,54,59,18,6,129,83,103,175,171,212,139
,,,,,,,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成30年）TOKYO STATISTICAL YEARBOOK ( 2018 )　19  医療・衛生・環境 19  MEDICAL CARE， SANITATION， AND ENVIRONMENT,,,,,,,,,,,,,,,,,,,,,,,,,,
19-8  食品衛生営業施設数 (平成26～30年度末) 19-8  BUSINESS FACILITIES REGULATED BY THE FOOD SANITATION ACT ( End of Fiscal Years 2014-2018 )  ,,,,,,,,,,,,,,,,,,,,,,,,,,
資料：都福祉保健局総務部総務課 「福祉・衛生統計年報」 Source: Bureau of Social Welfare and Public Health， TMG,,,,,,,,,,,,,,,,,,,,,,,,,,
地域階層（0:東京都総数　1:区部・市部・郡部・島部　2:区市町村),,,,,,,,,,,,,,,,,,,,,,,,,,
