年次（平成）,Year,月次,month,平均海面気圧 Average atmospheric pressure (sea level) (hPa),気温 Temperature／平均 Average (℃),気温 Temperature／最高気温平均 Average highs (℃) ,気温 Temperature／最低気温平均 Average lows (℃),湿度 Humidity／平均 Average (%),湿度 Humidity／最小湿度 Minimum humidity／湿度 Humidity (%),湿度 Humidity／最小湿度 Minimum humidity／月/日 Month/Date,平均雲量 Average amount of clouds (0-10),日照 Sunshine／日照時間 Duration of sunshine (Hour),日照 Sunshine／日照率 Percentage of sunshine (%),風速 Wind speed／平均 Average (m/s),風速 Wind speed／最大風速 Maximum wind speed／風速 Speed (m/s),風速 Wind speed／最大風速 Maximum wind speed／方向 Direction,風速 Wind speed／最大風速 Maximum wind speed／月/日 Month/Date,降水 Precipitation／総数 Total precipitation (mm),降水 Precipitation／最大日量 Maximum daily precipitation／降水量 Precipitation (mm),降水 Precipitation／最大日量 Maximum daily precipitation／月/日 Month/Date,降水 Precipitation／日数 Number of days／≧0.5mm,降水 Precipitation／日数 Number of days／≧1.0mm,降水 Precipitation／日数 Number of days／≧10mm,降水 Precipitation／日数 Number of days／≧30mm,天気日数 Weather days／快晴 Clear,天気日数 Weather days／曇天 Cloudy,天気日数 Weather days／雨 Rainy,天気日数 Weather days／雪 Snowy,天気日数 Weather days／積雪 Snow cover,天気日数 Weather days／霧 Fog,天気日数 Weather days／雷 Thunder storm,天気日数 Weather days／不照 No sunshine,天気日数 Weather days／風速10m以上 Maximum wind speed 10m/s or more,地震回数（震度1以上）Earthquakes on record (seismic intensity of one or greater)
30,2018,8,Aug.,1008.7,28.1,32.5,24.6,77,29,2018/8/17,7.5,217.4,52,3.5,11,南南東 SSE,2018/8/24,86.5,41,2018/8/8,10,8,3,1,-,15,10,-,-,-,6,2,3,4
30,2018,9,Sept.,1013.5,22.9,26.6,19.9,86,38,2018/9/19,9.1,96.7,26,3,12.9,南 S,2018/9/4,365,40.5,2018/9/18，2018/9/20,19,19,11,6,-,24,19,-,-,-,2,9,3,4
30,2018,10,Oct.,1015.8,19.1,23,15.8,74,30,2018/10/21,7,139,40,2.6,18.2,南 S,2018/10/1,61.5,18,2018/10/1,12,8,2,-,2,15,12,-,-,-,2,5,1,8
30,2018,11,Nov.,1019.8,14,17.7,10.6,72,30,2018/11/1，2018/11/23,6.9,151,49,2.1,6.4,北西 NW,2018/11/1,63,35.5,2018/11/6,11,9,1,1,1,10,11,-,-,-,-,3,-,5
30,2018,12,Dec.,1018.7,8.3,12.1,4.7,61,18,2018/12/29,6,145.3,48,2.6,9,北西 NW,2018/12/28,44,18,2018/12/6,7,4,2,-,4,9,7,-,-,-,-,2,-,5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑 （平成30年）TOKYO STATISTICAL YEARBOOK ( 2018 )　1  土地・気象 1   LAND AND CLIMATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-5  気象概況 （平成8年～30年） 1-5  CLIMATE ( 1996-2018 ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
この表の気圧，気温，湿度の平均値は1～24時毎正時の24回平均，雲量は 3，9，15，21時の4回平均である。最高気温平均と最低気温平均は毎日の最高，最低の1カ月の平均値を示し，平均風速は毎10分の144回平均 （ただし平成20年6月までは24時間の全風程から求めた)，天気日数における「快晴日」は日平均雲量1.5未満，「曇天日」は日平均雲量8.5以上をいう。雲量は雲が全天を占める時を10とし全天に対する雲の占める比である。各年の雪日数及び積雪日数は，前年8月から当年7月までの期間で算出している。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Average atmospheric pressure， temperature， and humidity are the average of 24 observations a day  (at every hour on the hour) and average cloudiness is the average of  4 observations (at 3， 9， 15 and 21hours). Average maximum and minimum temperatures are the monthly averages of daily highs and lows. Average wind speed is the average of 144 observations a day taken every 10 minutes (but are 24 hour averages up to June 2008). “Clear days” are days with an average amount of clouds less than 1.5， and “cloudy days” 8.5 or more. “Average amount of clouds” shows the ratio of cloudiness， assuming this to be 10 when clouds cover the entire sky. The number of snowy days and snow cover days of each year are derived over the period from the previous August to July of the stated year.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
注 1) 平成30年の1月及び5月の平均湿度と同年５月の最小湿度は，欠測等により統計を行う対象資料が許容範囲で欠けている 。 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2) 平成29年の最大風速は，欠測等により統計を行う対象資料が許容範囲を越えて欠けている。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: 1) The average humidity in January and May 2018 and the minimum humidity in May 2018 indicate that an acceptable portion of data needed for the calculation was missing due to measurement failure or other reasons.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2) The maximum wind speed in 2017 indicates that an unacceptably large portion of data needed for the calculation was missing due to measurement failure or other reasons.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
資料：気象庁（地震回数は千代田区大手町の観測所で観測した地震回数） Source: Japan Meteorological Agency website  (earthquake frequency data from Otemachi monitoring station),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
