年次（平成）,Year,地域階層,地域コード,項番,地域,District,総数 Total ,宅地 Land for buildings／計  Total ,宅地 Land for buildings／商業地区 Commercial district ,宅地 Land for buildings／工業地区 Industrial district ,宅地 Land for buildings／住宅地区 Residential district ,宅地 Land for buildings／その他  Others  ,田 Paddy fields  ,畑 Ordinary fields  ,山林 Forests  ,原野 Waste land  ,池沼 Ponds and swamps  ,雑種地 Miscellaneous land  ,免税点未満 Land under the legal tax exemption limit  
31,2019,3,13203,3,武蔵野市,Musashino-shi,677.92,634.76,61.3,17.71,555.75,-,-,26.83,0.02,-,-,15.13,1.18
31,2019,3,13204,4,三鷹市,Mitaka-shi,1030.76,867.16,30.99,29.61,805.85,0.71,-,141.72,7.79,-,0.01,10.92,3.15
31,2019,3,13205,5,青梅市,Ome-shi,6036.21,1261.46,18.27,120.69,1015.57,106.94,19.06,389.24,3252.09,509.45,0.52,367.6,236.8
31,2019,3,13206,6,府中市,Fuchu-shi,1512.7,1300.52,29.87,207.32,1063.33,-,41.05,76.22,-,-,-,89.68,5.23
31,2019,3,13207,7,昭島市,Akishima-shi,915.97,762.73,51.13,120.76,590.83,0.01,6.41,52.92,18.25,0.02,0.07,73.36,2.2
31,2019,3,13208,8,調布市,Chofu-shi,1197.38,1022.74,29.73,24.47,968.47,0.07,8.26,122.91,2.39,-,-,38.35,2.73
31,2019,3,13209,9,町田市,Machida-shi,4190.52,2835.86,68.13,57.84,2639.26,70.63,44.03,437.47,487.66,-,-,279.13,106.37
31,2019,3,13210,10,小金井市,Koganei-shi,668.14,576.49,17.28,0.65,558.56,-,-,63.6,3.93,-,-,21.66,2.46
31,2019,3,13211,11,小平市,Kodaira-shi,1312.76,1030.19,25.58,69.84,934.6,0.16,-,174.37,1.46,-,-,102.64,4.1
31,2019,3,13212,12,日野市,Hino-shi,1441.42,1129.01,11.47,181.09,936.23,0.21,15.05,120.36,52.29,-,-,114.21,10.5
31,2019,3,13213,13,東村山市,Higashimurayama-shi,993.17,774.53,19.13,45.67,709.73,-,0.67,142.82,11.08,-,-,60.13,3.94
31,2019,3,13214,14,国分寺市,Kokubunji-shi,806.14,640.95,12.46,24.06,604.36,0.07,-,134.56,3.8,-,-,24.66,2.16
31,2019,3,13215,15,国立市,Kunitachi-shi,477.78,413.51,17.58,20.29,375.55,0.09,10.24,41.05,1.11,-,-,10.5,1.37
31,2019,3,13218,16,福生市,Fussa-shi,389.76,362.14,18.56,11.49,332.09,-,0.1,11.69,1.3,-,-,14.21,0.32
31,2019,3,13219,17,狛江市,Komae-shi,398.67,343.72,16.95,10.85,315.92,-,-,37.4,0.73,-,-,16.32,0.5
31,2019,3,13220,18,東大和市,Higashiyamato-shi,605.13,518.06,14.87,21.22,481.96,0.01,-,57.54,16.99,-,-,9.16,3.38
31,2019,3,13221,19,清瀬市,Kiyose-shi,589.49,363.42,12.33,8.83,342.26,0,-,180.07,7.89,-,-,31.67,6.44
31,2019,3,13222,20,東久留米市,Higashikurume-shi,845.18,672.97,26.26,21.18,619.99,5.54,-,143.12,4.51,-,-,16.99,7.59
31,2019,3,13223,21,武蔵村山市,Musashimurayama-shi,888.46,544.86,33.79,78.23,432.82,0.02,0.32,157.86,36.21,0.98,-,115.81,32.42
31,2019,3,13224,22,多摩市,Tama-shi,1010.81,813.19,117.03,-,696.14,0.02,2.06,36.15,30.11,-,-,128.42,0.89
31,2019,3,13225,23,稲城市,Inagi-shi,939.22,491.01,17.95,10.46,460.9,1.7,8.46,120.67,111.15,5.31,-,194.81,7.8
31,2019,3,13227,24,羽村市,Hamura-shi,607.61,544.34,18.83,170.82,354.64,0.05,4.62,31.76,4.47,-,0.55,14.93,6.94
31,2019,3,13228,25,あきる野市,Akiruno-shi,3775.29,834.51,10.86,39.43,697.64,86.58,49.47,415.4,1732.19,214.49,0.02,326.91,202.3
31,2019,3,13229,26,西東京市,Nishitokyo-shi,1043.24,887.28,26.03,16.39,844.86,-,-,125.5,0.66,-,-,27.52,2.28
31,2019,1,13300,,郡部,All gun,13091.53,874.37,23.8,207,388.05,255.52,7.54,688.95,9967.54,510.08,2.07,194.88,846.09
31,2019,3,13303,1,瑞穂町,Mizuho-machi,934.73,497.76,12.78,188.09,239.97,56.92,-,251.33,53.05,0.14,-,82.43,50.01
31,2019,3,13305,2,日の出町,Hinode-machi,1630.49,247.59,11.02,18.91,135.08,82.58,2.69,141.28,902.55,174.66,-,68.53,93.19
31,2019,3,13307,3,檜原村,Hinohara-mura,4585.47,42.75,-,-,-,42.75,0.32,178.92,3885.01,317.17,-,14.65,146.66
31,2019,3,13308,4,奥多摩町,Okutama-machi,5940.84,86.27,-,-,13,73.27,4.53,117.42,5126.93,18.11,2.07,29.27,556.23
31,2019,1,13350,,島部,All islands,13600.5,778.84,-,-,329.72,449.12,1.21,2415.91,5748.08,109.09,-,308.37,4238.99
31,2019,2,13360,,大島支庁,Oshima-shicho,5604.19,375.06,-,-,51.27,323.79,-,1277.99,2367.92,42.2,-,98.97,1442.04
31,2019,3,13361,1,大島町,Oshima-machi,4284.74,278.01,-,-,51.27,226.74,-,892.18,1756.03,33.51,-,90.1,1234.9
31,2019,3,13362,2,利島村,Toshima-mura,232.3,6.45,-,-,-,6.45,-,30.73,179.97,8.69,-,1.72,4.75
31,2019,3,13363,3,新島村,Niijima-mura,586.33,67.12,-,-,-,67.12,-,216.96,200.91,-,-,6.16,95.18
31,2019,3,13364,4,神津島村,Kouzushima-mura,500.82,23.48,-,-,-,23.48,-,138.12,231.01,-,-,0.99,107.21
31,2019,2,13380,,三宅支庁,Miyake-shicho,3147.82,96.76,-,-,-,96.76,-,625.54,1351.74,38.78,-,181.39,853.6
31,2019,3,13381,1,三宅村,Miyake-mura,2821.37,92.51,-,-,-,92.51,-,591.17,1089.92,38.78,-,181.39,827.59
31,2019,3,13382,2,御蔵島村,Mikurajima-mura,326.45,4.25,-,-,-,4.25,-,34.37,261.82,-,-,-,26.01
31,2019,2,13400,,八丈支庁,Hachijo-shicho,4306.48,286.01,-,-,278.45,7.56,1.21,486.69,1934.54,28.09,-,25.37,1544.57
31,2019,3,13401,1,八丈町,Hachijo-machi,4174.82,278.45,-,-,278.45,-,1.21,473.57,1899.76,5.07,-,23.52,1493.24
31,2019,3,13402,2,青ヶ島村,Aogashima-mura,131.66,7.56,-,-,-,7.56,-,13.12,34.78,23.02,-,1.85,51.33
31,2019,2,13420,,小笠原支庁,Ogasawara-shicho,542.01,21.01,-,-,-,21.01,-,25.69,93.88,0.02,-,2.64,398.78
31,2019,3,13421,1,小笠原村,Ogasawara-mura,542.01,21.01,-,-,-,21.01,-,25.69,93.88,0.02,-,2.64,398.78
,,,,,,,,,,,,,,,,,,,
東京都統計年鑑 （平成30年）TOKYO STATISTICAL YEARBOOK ( 2018 )　1  土地・気象 1   LAND AND CLIMATE,,,,,,,,,,,,,,,,,,,
1-3  地域，地目別土地面積（平成27～31年） 1-3  LAND AREA BY DISTRICT AND CATEGORY ( 2015-2019 ）,,,,,,,,,,,,,,,,,,,
この表は，各年1月1日現在の固定資産税の対象となる土地面積である。また，国・公有地，公共用地，墓地，道路，用水路，溜池，保安林，私立学校用地，宗教法人の境内など，固定資産税が非課税とされている土地は除かれている。,,,,,,,,,,,,,,,,,,,
Figures refer to land area subject to assessment for the fixed assets tax as of Jan. 1 of the year stated. It does not include land that is exempted from the fixed assets tax， including national and local government-owned land， land for public use， graveyards， roads， irrigation channels， reservoirs， reserved forests， private school sites， compounds of religious bodies， etc.,,,,,,,,,,,,,,,,,,,
注 1) 宅地のその他は，村落又は観光地区(市，郡，島部)，農業用施設の用に供する宅地及び生産緑地区内の宅地である。,,,,,,,,,,,,,,,,,,,
2) 雑種地とは宅地，田，畑，山林，原野，池沼以外の土地で，野球場，テニスコート，ゴルフ場，運動場，高圧鉄塔敷地，軌道用地等をいう。,,,,,,,,,,,,,,,,,,,
3) 免税点未満とは，土地に対して課する固定資産税の課税標準となるべき額が30万円に満たないものである。,,,,,,,,,,,,,,,,,,,
4) 三宅村の原野には27.95ヘクタールの牧場を含む。,,,,,,,,,,,,,,,,,,,
5) 八丈町の原野には4.04ヘクタールの牧場を含む。,,,,,,,,,,,,,,,,,,,
6) 青ヶ島村の原野には7.14ヘクタールの牧場を含む。,,,,,,,,,,,,,,,,,,,
7) 端数処理のため各項の和と表示した総数は必ずしも一致しない。,,,,,,,,,,,,,,,,,,,
"Note: 1) ""Others"" in land for buildings are villages and tourist destinations  (shi， gun and island areas)， housing lands used for agricultural facilities， and housing lands located in productive green areas.",,,,,,,,,,,,,,,,,,,
"2) ""Miscellaneous land"" indicates baseball grounds， tennis courts， golf links， playgrounds， high-voltage transmission tower sites， railway sites， etc.， that do not fall under the other categories.",,,,,,,,,,,,,,,,,,,
3) Land under the legal tax exemption limit refers to land with a tax base for fixed asset tax of less than 300，000 yen.,,,,,,,,,,,,,,,,,,,
4) The waste land of Miyake-mura includes 27.95ha of pasture.,,,,,,,,,,,,,,,,,,,
5) The waste land of Hachijo-machi includes 4.04ha of pasture.,,,,,,,,,,,,,,,,,,,
6) The waste land of Aogashima-mura includes 7.14ha of pasture.,,,,,,,,,,,,,,,,,,,
7) Figures may not add up to the totals shown due to rounding of figures.,,,,,,,,,,,,,,,,,,,
資料：都主税局資産税部固定資産税課 （区部）， 都総務局行政部市町村課 （市部， 郡部， 島部） Source : Bureau of Taxation， TMG (All ku)，  Bureau of General Affairs， TMG (All shi， gun and islands),,,,,,,,,,,,,,,,,,,
地域階層（0:東京都　1:区部・市部・郡部・島部　2:各支庁　3:区市町村）,,,,,,,,,,,,,,,,,,,
（単位　ヘクタ－ル）(In hectare),,,,,,,,,,,,,,,,,,,
