会計,Account,区分,Classification,区分,Classification,区分,Classification,当初予算額 Original budget,最終予算額 Final budget,決算額 Settled account
臨海地域開発事業 ,Tokyo waterfront area development projects,収益的収支 ,Balance of revenue and expenditure of profit-making business,収入 ,Revenue,,,45412,45412,48689
臨海地域開発事業 ,Tokyo waterfront area development projects,収益的収支 ,Balance of revenue and expenditure of profit-making business,収入 ,Revenue,開発事業収益,Development,45412,45412,48689
臨海地域開発事業 ,Tokyo waterfront area development projects,収益的収支 ,Balance of revenue and expenditure of profit-making business,支出 ,Expenditure,,,37627,37627,39836
臨海地域開発事業 ,Tokyo waterfront area development projects,収益的収支 ,Balance of revenue and expenditure of profit-making business,支出 ,Expenditure,開発事業費用,Development,37627,37627,39836
臨海地域開発事業 ,Tokyo waterfront area development projects,資本的収支 ,Capital revenue and expenditure,収入 ,Revenue,,,426,426,387
臨海地域開発事業 ,Tokyo waterfront area development projects,資本的収支 ,Capital revenue and expenditure,収入 ,Revenue,資本的収入,Capital,426,426,387
臨海地域開発事業 ,Tokyo waterfront area development projects,資本的収支 ,Capital revenue and expenditure,支出 ,Expenditure,,,16460,19007,7850
臨海地域開発事業 ,Tokyo waterfront area development projects,資本的収支 ,Capital revenue and expenditure,支出 ,Expenditure,資本的支出,Capital,16460,19007,7850
港湾事業,Port and harbor,収益的収支 ,Balance of revenue and expenditure of profit-making business,収入 ,Revenue,,,4709,4709,4892
港湾事業,Port and harbor,収益的収支 ,Balance of revenue and expenditure of profit-making business,収入 ,Revenue,港湾事業収益,Port and harbor,4709,4709,4892
港湾事業,Port and harbor,収益的収支 ,Balance of revenue and expenditure of profit-making business,支出 ,Expenditure,,,3839,3839,3195
港湾事業,Port and harbor,収益的収支 ,Balance of revenue and expenditure of profit-making business,支出 ,Expenditure,港湾事業費用,Port development,3839,3839,3195
港湾事業,Port and harbor,資本的収支 ,Capital revenue and expenditure,収入 ,Revenue,,,1,1,-
港湾事業,Port and harbor,資本的収支 ,Capital revenue and expenditure,収入 ,Revenue,資本的収入,Capital,1,1,-
港湾事業,Port and harbor,資本的収支 ,Capital revenue and expenditure,支出 ,Expenditure,,,883,1044,674
港湾事業,Port and harbor,資本的収支 ,Capital revenue and expenditure,支出 ,Expenditure,資本的支出,Capital,883,1044,674
交通事業 ,Transportation,収益的収支,Balance of revenue and expenditure of profit-making business,収入 ,Revenue,,,62987,62987,56329
交通事業 ,Transportation,収益的収支,Balance of revenue and expenditure of profit-making business,収入 ,Revenue,自動車運送事業収益,Bus,46806,46806,44533
交通事業 ,Transportation,収益的収支,Balance of revenue and expenditure of profit-making business,収入 ,Revenue,軌道事業収益,Tramcar,9421,9421,5370
交通事業 ,Transportation,収益的収支,Balance of revenue and expenditure of profit-making business,収入 ,Revenue,新交通事業収益,New transportation,6547,6547,6294
交通事業 ,Transportation,収益的収支,Balance of revenue and expenditure of profit-making business,収入 ,Revenue,懸垂電車事業収益,Monorail train,213,213,131
交通事業 ,Transportation,収益的収支,Balance of revenue and expenditure of profit-making business,支出 ,Expenditure,,,64529,64529,55786
交通事業 ,Transportation,収益的収支,Balance of revenue and expenditure of profit-making business,支出 ,Expenditure,自動車運送事業費,Bus,47180,47180,43146
交通事業 ,Transportation,収益的収支,Balance of revenue and expenditure of profit-making business,支出 ,Expenditure,軌道事業費,Tramcar,9800,9800,5699
交通事業 ,Transportation,収益的収支,Balance of revenue and expenditure of profit-making business,支出 ,Expenditure,新交通事業費,New transportation,7341,7341,6822
交通事業 ,Transportation,収益的収支,Balance of revenue and expenditure of profit-making business,支出 ,Expenditure,懸垂電車事業費,Monorail train,208,208,119
交通事業 ,Transportation,資本的収支 ,Capital revenue and expenditure,収入 ,Revenue,,,7294,7294,5938
交通事業 ,Transportation,資本的収支 ,Capital revenue and expenditure,収入 ,Revenue,自動車運送事業資本的収入,Bus,4033,4033,3260
交通事業 ,Transportation,資本的収支 ,Capital revenue and expenditure,収入 ,Revenue,軌道事業資本的収入,Tramcar,414,414,200
交通事業 ,Transportation,資本的収支 ,Capital revenue and expenditure,収入 ,Revenue,新交通事業資本的収入,New transportation,2847,2847,2478
交通事業 ,Transportation,資本的収支 ,Capital revenue and expenditure,支出 ,Expenditure,,,12823,13748,11783
交通事業 ,Transportation,資本的収支 ,Capital revenue and expenditure,支出 ,Expenditure,自動車運送事業資本的支出,Bus,8500,9249,7811
交通事業 ,Transportation,資本的収支 ,Capital revenue and expenditure,支出 ,Expenditure,軌道事業資本的支出,Tramcar,491,667,502
交通事業 ,Transportation,資本的収支 ,Capital revenue and expenditure,支出 ,Expenditure,新交通事業資本的支出,New transportation,3832,3832,3471
高速電車事業 ,Urban rapid transit railway,収益的収支 ,Balance of revenue and expenditure of profit-making business,収入 ,Revenue,,,178178,178178,180069
高速電車事業 ,Urban rapid transit railway,収益的収支 ,Balance of revenue and expenditure of profit-making business,収入 ,Revenue,高速電車事業収益,Subway,178178,178178,180069
高速電車事業 ,Urban rapid transit railway,収益的収支 ,Balance of revenue and expenditure of profit-making business,支出 ,Expenditure,,,154306,154306,140136
高速電車事業 ,Urban rapid transit railway,収益的収支 ,Balance of revenue and expenditure of profit-making business,支出 ,Expenditure,高速電車事業費,Subway,154306,154306,140136
高速電車事業 ,Urban rapid transit railway,資本的収支 ,Capital revenue and expenditure,収入 ,Revenue,,,20945,20945,16939
高速電車事業 ,Urban rapid transit railway,資本的収支 ,Capital revenue and expenditure,収入 ,Revenue,高速電車事業資本的収入,Subway,20945,20945,16939
高速電車事業 ,Urban rapid transit railway,資本的収支 ,Capital revenue and expenditure,支出 ,Expenditure,,,100926,106283,90339
高速電車事業 ,Urban rapid transit railway,資本的収支 ,Capital revenue and expenditure,支出 ,Expenditure,高速電車事業資本的支出,Subway,100926,106283,90339
電気事業 ,Electricity,収益的収支 ,Balance of revenue and expenditure of profit-making business,収入 ,Revenue,,,1286,1286,1723
電気事業 ,Electricity,収益的収支 ,Balance of revenue and expenditure of profit-making business,収入 ,Revenue,電気事業収益,Electric,1286,1286,1723
電気事業 ,Electricity,収益的収支 ,Balance of revenue and expenditure of profit-making business,支出 ,Expenditure,,,1234,1234,1015
電気事業 ,Electricity,収益的収支 ,Balance of revenue and expenditure of profit-making business,支出 ,Expenditure,電気事業費,Electric,1234,1234,1015
電気事業 ,Electricity,資本的収支 ,Capital revenue and expenditure,収入 ,Revenue,,,-,-,-
電気事業 ,Electricity,資本的収支 ,Capital revenue and expenditure,収入 ,Revenue,電気事業資本的収入,Electric,-,-,-
電気事業 ,Electricity,資本的収支 ,Capital revenue and expenditure,支出 ,Expenditure,,,285,285,197
電気事業 ,Electricity,資本的収支 ,Capital revenue and expenditure,支出 ,Expenditure,電気事業資本的支出,Electric,285,285,197
水道事業 ,Waterworks,収益的収支 ,Balance of revenue and expenditure of profit-making business,収入 ,Revenue,,,374947,374947,363578
水道事業 ,Waterworks,収益的収支 ,Balance of revenue and expenditure of profit-making business,収入 ,Revenue,水道事業収益,Waterworks,374947,374947,363578
水道事業 ,Waterworks,収益的収支 ,Balance of revenue and expenditure of profit-making business,支出 ,Expenditure,,,369175,369175,324188
水道事業 ,Waterworks,収益的収支 ,Balance of revenue and expenditure of profit-making business,支出 ,Expenditure,水道経営費,Waterworks,369175,369175,324188
水道事業 ,Waterworks,資本的収支 ,Capital revenue and expenditure,収入 ,Revenue,,,75410,75410,29349
水道事業 ,Waterworks,資本的収支 ,Capital revenue and expenditure,収入 ,Revenue,資本的収入,Capital,75410,75410,29349
水道事業 ,Waterworks,資本的収支 ,Capital revenue and expenditure,支出 ,Expenditure,,,158767,180267,119667
水道事業 ,Waterworks,資本的収支 ,Capital revenue and expenditure,支出 ,Expenditure,資本的支出,Capital,158767,180267,119667
工業用水道事業 ,Industrial waterworks,収益的収支 ,Balance of revenue and expenditure of profit-making business,収入 ,Revenue,,,2454,2454,1750
工業用水道事業 ,Industrial waterworks,収益的収支 ,Balance of revenue and expenditure of profit-making business,収入 ,Revenue,工業用水道事業収益,Industrial waterworks,2454,2454,1750
工業用水道事業 ,Industrial waterworks,収益的収支 ,Balance of revenue and expenditure of profit-making business,支出 ,Expenditure,,,2454,2454,1718
工業用水道事業 ,Industrial waterworks,収益的収支 ,Balance of revenue and expenditure of profit-making business,支出 ,Expenditure,工業用水道経営費,Industrial waterworks,2454,2454,1718
工業用水道事業 ,Industrial waterworks,資本的収支 ,Capital revenue and expenditure,収入 ,Revenue,,,346,346,238
工業用水道事業 ,Industrial waterworks,資本的収支 ,Capital revenue and expenditure,収入 ,Revenue,資本的収入,Capital,346,346,238
工業用水道事業 ,Industrial waterworks,資本的収支 ,Capital revenue and expenditure,支出 ,Expenditure,,,600,600,423
工業用水道事業 ,Industrial waterworks,資本的収支 ,Capital revenue and expenditure,支出 ,Expenditure,資本的支出,Capital,600,600,423
下水道事業 ,Sewerage,収益的収支 ,Balance of revenue and expenditure of profit-making business,収入 ,Revenue,,,400013,400013,389898
下水道事業 ,Sewerage,収益的収支 ,Balance of revenue and expenditure of profit-making business,収入 ,Revenue,下水道事業収益,Sewerage,367413,367413,360577
下水道事業 ,Sewerage,収益的収支 ,Balance of revenue and expenditure of profit-making business,収入 ,Revenue,流域下水道事業収益,Comprehensive river basin drainage,32600,32600,29321
下水道事業 ,Sewerage,収益的収支 ,Balance of revenue and expenditure of profit-making business,支出 ,Expenditure,,,363776,363776,344627
下水道事業 ,Sewerage,収益的収支 ,Balance of revenue and expenditure of profit-making business,支出 ,Expenditure,下水道管理費,Sewerage,330062,330062,314632
下水道事業 ,Sewerage,収益的収支 ,Balance of revenue and expenditure of profit-making business,支出 ,Expenditure,流域下水道経営費,Comprehensive river basin drainage,33714,33714,29996
下水道事業 ,Sewerage,資本的収支 ,Capital revenue and expenditure,収入 ,Revenue,,,201907,201907,183277
下水道事業 ,Sewerage,資本的収支 ,Capital revenue and expenditure,収入 ,Revenue,下水道事業資本的収入,Sewerage,188456,188456,169301
下水道事業 ,Sewerage,資本的収支 ,Capital revenue and expenditure,収入 ,Revenue,流域下水道事業資本的収入,Comprehensive river basin drainage,13451,13451,13975
下水道事業 ,Sewerage,資本的収支 ,Capital revenue and expenditure,支出 ,Expenditure,,,380977,420492,356812
下水道事業 ,Sewerage,資本的収支 ,Capital revenue and expenditure,支出 ,Expenditure,下水道事業資本的支出,Sewerage,361228,398484,336547
下水道事業 ,Sewerage,資本的収支 ,Capital revenue and expenditure,支出 ,Expenditure,流域下水道事業資本的支出,Comprehensive river basin drainage,19749,22008,20265
,,,,,,,,,,
東京都統計年鑑（平成30年）TOKYO STATISTICAL YEARBOOK ( 2018 )　21  財政 21  PUBLIC FINANCE,,,,,,,,,,
21-4 公営企業会計予算，決算額 (平成30年度) 21-4  BUDGET AND SETTLED ACCOUNT OF PUBLIC ENTERPRISES ( Fiscal Year 2018 ),,,,,,,,,,
注) 最終予算額には，前年度からの繰越額を含む。 ,,,,,,,,,,
Note: The final budget includes the account brought from the previous fiscal year.,,,,,,,,,,
資料：都財務局主計部財政課 Source: Bureau of Finance， TMG,,,,,,,,,,
（単位　百万円）(In millions of yen),,,,,,,,,,
