年度(平成),Fiscal year,科名,Courses,入校者 Enrolled,修了者 Completed,就職状況 Placement／就職 Employed,就職状況 Placement／自営 Self-employed,就職状況 Placement／就職率 Employment rate (%)
30,2018,グリーンエクステリア,Gardening and exterior work,49,50,45,1,92
30,2018,セキュリティサービス,Security services,48,45,39,1,88.9
30,2018,電気・通信工事,Electrical/telecommunications wiring,44,41,28,2,73.2
30,2018,印刷企画営業,Print design and marketing,27,21,12,1,61.9
30,2018,グラフィック印刷,Graphic printing,16,8,7,-,87.5
30,2018,ＤＴＰ,DTP,60,50,43,2,90
30,2018,医療事務,Medical billing,148,107,83,-,77.6
30,2018,貿易実務,International trade documentation,107,85,64,-,75.3
30,2018,ＯＡソフト管理,Office software management,82,71,31,-,43.7
30,2018,ネットワーク構築,Network construction,42,32,12,-,37.5
30,2018,配管,Plumbing,13,8,7,1,100
30,2018,観光ビジネス,Tourism business,60,55,26,-,47.3
30,2018,ショップマネジメント,store management,37,35,18,-,51.4
30,2018,ファッションリテール,Fashion retail,13,9,8,-,88.9
30,2018,調理,Cooking,59,47,31,3,72.3
30,2018,介護サービス,Nursing care,281,242,216,2,90.1
30,2018,ビルクリーニング管理,Building custodial services,37,30,30,-,100
30,2018,福祉調理,Cooking for welfare institutions,43,40,37,1,95
30,2018,福祉用具,Assistive equipment,23,21,18,-,85.7
30,2018,介護福祉用具,Nursing care equipment,30,25,22,-,88
30,2018,マンション改修施工,Condominium renovation,45,35,24,6,85.7
30,2018,造園土木施工,Gardening and landscape construction,38,35,31,2,94.3
30,2018,三次元ＣＡＤ,3D CAD,104,92,54,3,62
30,2018,マンション維持管理,Condominium maintenance and management,57,53,45,1,86.8
30,2018,パソコン実践,Computer operations,439,423,186,-,44
30,2018,内装施工,Interior construction work,51,46,35,3,82.6
30,2018,ビル管理,Building management,170,157,142,2,91.7
30,2018,電気設備管理,Electrical facility management,64,62,58,-,93.5
30,2018,電気設備管理 (高年齢者向),Electrical facility management (for elderly people),71,62,41,-,66.1
30,2018,電気設備保全,Electrical facility maintenance,50,46,40,-,87
30,2018,経営管理実務,Business management,74,64,35,-,54.7
30,2018,ビジネス経理,Business accounting,58,52,26,-,50
30,2018,庭園施工管理,Gardening management,60,56,40,12,92.9
30,2018,生活支援サービス,Living support services,33,33,24,2,78.8
30,2018,ホテル・レストランサービス,Hotel and restaurant services,56,44,35,-,79.5
30,2018,設備保全,Facility maintenance,28,23,16,-,69.6
30,2018,板金溶接,Sheet metal welding,20,19,16,2,94.7
30,2018,施設警備,Security services for facilities,18,18,18,-,100
30,2018,クリーンスタッフ養成,Cleaning staff training,59,57,55,-,96.5
30,2018,自動車運転 (城東),Vehicle driving (Joto),2,2,-,-,-
,,,,,,,,
東京都統計年鑑（平成30年）TOKYO STATISTICAL YEARBOOK ( 2018 )　7  労働 7  LABOR,,,,,,,,
7-2  都立職業能力開発センター (職業訓練校) 修了者就職状況 (平成29，30年度) 7-2  PLACEMENT OF TRAINEES OF ＴMG VOCATIONAL SKILLS DEVELOPMENT CENTERS ( VOCATIONAL TRAINING FACILITIES ) ( Fiscal Years 2017 and 2018 ),,,,,,,,
この表の数字には，２か月以下の訓練，障害者訓練及び受託訓練を含まない。,,,,,,,,
Figures do not include training courses of two months or less， those for the disabled， or courses commissioned by others.,,,,,,,,
