年次(平成),Year,地域階層,地域コード,項番 Item number,地域,District,発生件数 Number of fires／総数 Total,発生件数 Number of fires／建物 Buildings,発生件数 Number of fires／車両 Vehicles,発生件数 Number of fires／船舶 Vessels,発生件数 Number of fires／林野 Forests,発生件数 Number of fires／その他 Others,被災世帯数 Households damaged／全損 Total destruction,被災世帯数 Households damaged／半損 Significant partial destruction,被災世帯数 Households damaged／小損 Partial destruction,被災延面積 Total area damaged／建物 Buildings (m2),被災延面積 Total area damaged／林野 Forests (m2),死傷者 Killed or injured／死者 Killed,死傷者 Killed or injured／傷者 Injured,損害見積額 Estimated amount of loss (千円 in thousand yen)
30,2018,2,13213,13,東村山市,Higashimurayama-shi,38,19,1,-,-,18,2,-,15,70,-,1,3,9013
30,2018,2,13214,14,国分寺市,Kokubunji-shi,29,20,-,-,-,9,2,1,17,85,-,-,7,28082
30,2018,2,13215,15,国立市,Kunitachi-shi,22,17,1,-,-,4,1,-,11,163,-,-,6,28173
30,2018,2,13218,16,福生市,Fussa-shi,18,13,-,-,-,5,1,2,6,559,-,-,1,63559
30,2018,2,13219,17,狛江市,Komae-shi,21,11,1,-,-,9,-,2,8,41,-,-,3,10070
30,2018,2,13220,18,東大和市,Higashiyamato-shi,18,10,1,-,-,7,-,-,5,-,-,-,3,62
30,2018,2,13221,19,清瀬市,Kiyose-shi,26,16,2,-,-,8,3,-,19,83,-,1,3,12799
30,2018,2,13222,20,東久留米市,Higashikurume-shi,29,21,-,-,-,8,-,-,16,-,-,-,2,723
30,2018,2,13223,21,武蔵村山市,Musashimurayama-shi,22,15,2,-,-,5,1,3,9,874,-,2,6,62408
30,2018,2,13224,22,多摩市,Tama-shi,45,30,1,-,-,14,-,-,13,663,-,5,86,2443150
30,2018,2,13225,23,稲城市,Inagi-shi,28,13,2,-,-,13,-,2,9,31,-,-,2,13397
30,2018,2,13227,24,羽村市,Hamura-shi,13,9,2,-,-,2,-,1,4,22,-,-,4,6351
30,2018,2,13228,25,あきる野市,Akiruno-shi,31,14,-,-,-,17,1,-,11,326,-,-,1,24161
30,2018,2,13229,26,西東京市,Nishitokyo-shi,27,15,3,-,-,9,1,2,16,48,-,1,3,35516
30,2018,1,13300,,郡部,All gun,25,12,3,-,1,9,1,-,4,172,409,-,3,18088
30,2018,2,13303,1,瑞穂町,Mizuho-machi,11,5,2,-,-,4,-,-,1,-,-,-,2,884
30,2018,2,13305,2,日の出町,Hinode-machi ,8,3,-,-,-,5,-,-,2,-,-,-,-,1493
30,2018,2,13307,3,檜原村,Hinohara-mura,3,2,1,-,-,-,-,-,1,52,-,-,-,3991
30,2018,2,13308,4,奥多摩町,Okutama-machi,3,2,-,-,1,-,1,-,-,120,409,-,1,11720
30,2018,1,13350,,島部,All islands,24,14,-,-,2,8,5,-,10,1664,22,2,8,37250
30,2018,2,13361,1,大島町,Oshima-machi,7,5,-,-,-,2,2,-,-,612,-,-,1,-
30,2018,2,13362,2,利島村,Toshima-mura,-,-,-,-,-,-,-,-,-,-,-,-,-,-
30,2018,2,13363,3,新島村,Niijima-mura ,2,2,-,-,-,-,1,-,6,415,-,1,7,-
30,2018,2,13364,4,神津島村,Kozushima-mura,-,-,-,-,-,-,-,-,-,-,-,-,-,-
30,2018,2,13381,5,三宅村,Miyake-mura ,6,2,-,-,2,2,1,-,-,199,22,1,-,-
30,2018,2,13382,6,御蔵島村,Mikurajima-mura,-,-,-,-,-,-,-,-,-,-,-,-,-,-
30,2018,2,13401,7,八丈町,Hachijo-machi,8,5,-,-,-,3,1,-,4,438,-,-,-,37250
30,2018,2,13402,8,青ヶ島村,Aogashima-mura,1,-,-,-,-,1,-,-,-,-,-,-,-,-
30,2018,2,13421,9,小笠原村,Ogasawara-mura ,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成30年）TOKYO STATISTICAL YEARBOOK ( 2018 ) 20  司法・警察・消防 20  JUSTICE， POLICE， AND FIRE FIGHTING SERVICES,,,,,,,,,,,,,,,,,,,,
20-17  地域別火災の発生件数 （平成29，30年） 20-17 NUMBER OF FIRES BY DISTRICT ( 2017 and 2018 ),,,,,,,,,,,,,,,,,,,,
注) 死傷者には消防吏員及び消防団員を含む。,,,,,,,,,,,,,,,,,,,,
Note: Firefighter personnel and fire corps volunteers are included in the number of people killed or injured.,,,,,,,,,,,,,,,,,,,,
資料：都総務局総合防災部防災管理課 Source: Bureau of General Affairs， TMG,,,,,,,,,,,,,,,,,,,,
地域階層(0:東京都総数　1:区部・市部・郡部・島部　2:区市町村),,,,,,,,,,,,,,,,,,,,
