年度(平成),Fiscal year,組織,Form of organization,業種,Contractor classification,資本金階層別 ,By size of capital,企業数 Enterprises,完成工事高 Value of construction work completed／元請 Original contract／総数 Total,完成工事高 Value of construction work completed／元請 Original contract／民間発注 Private contract／総数 Total,完成工事高 Value of construction work completed／元請 Original contract／民間発注 Private contract／土木 Civil engineering,完成工事高 Value of construction work completed／元請 Original contract／民間発注 Private contract／建築 Building construction,完成工事高 Value of construction work completed／元請 Original contract／民間発注 Private contract／機械 Machinery,完成工事高 Value of construction work completed／元請 Original contract／公共発注 Public contract／総数 Total,完成工事高 Value of construction work completed／元請 Original contract／公共発注 Public contract／土木 Civil engineering,完成工事高 Value of construction work completed／元請 Original contract／公共発注 Public contract／建築 Building construction,完成工事高 Value of construction work completed／元請 Original contract／公共発注 Public contract／機械 Machinery,完成工事高 Value of construction work completed／下請 Subcontract／総数 Total,完成工事高 Value of construction work completed／下請 Subcontract／土木 Civil engineering,完成工事高 Value of construction work completed／下請 Subcontract／建築 Building construction,完成工事高 Value of construction work completed／下請 Subcontract／機械 Machinery
29,2017,総合工事業,General construction work,土木工事業,Civil engineering work,,,916,903351,410661,313045,57999,39617,492690,485873,4878,1940,624004,592837,16462,14705
29,2017,総合工事業,General construction work,造園工事業,Gardening work,,,379,38569,14638,14205,434,-,23930,23930,-,-,62150,60761,1358,31
29,2017,総合工事業,General construction work,水道施設工事業,Plumbing work,,,253,164413,22850,3328,567,18955,141564,58300,847,82417,57583,41954,74,15555
29,2017,総合工事業,General construction work,舗装工事業,Paving work,,,286,362681,95827,86998,8528,301,266855,266268,587,-,541352,538057,2920,374
29,2017,総合工事業,General construction work,しゅんせつ工事業,Dredging work,,,7,2051,67,67,-,-,1984,1984,-,-,20892,20880,-,12
29,2017,総合工事業,General construction work,建築工事業,Building work (except wooden buildings),,,2881,4156545,3884335,26350,3718407,139577,272210,29331,217965,24914,"725,510","42,671","652,337","30,502"
29,2017,総合工事業,General construction work,木造建築工事業,Building work (wooden buildings),,,"1,018","1,202,482","1,200,835",43,"1,200,793",-,"1,646",45,"1,601",-,"29,934",-,"29,934",-
29,2017,職別工事業,Construction work by specialist contractor ,総数,Total,,,7578,"1,173,079","954,334","159,825","761,252","33,257","218,746","52,864","150,339","15,542","2,467,783","427,441","1,986,217","54,124"
29,2017,設備工事業,Equipment installation work,総数,Total,,,5726,"5,304,824","4,354,832","684,853","1,882,196","1,787,784","949,991","78,762","329,278","541,953","3,167,376","98,935","2,260,877","807,564"
29,2017,（再掲）建設業専業会社,(Relisted) Companies exclusively engaged in construction,総数,Total,,,14964,"15,876,440","11,875,926","1,648,988","9,738,563","488,373","4,000,514","2,746,342","1,205,298","48,875","5,574,669","1,296,506","3,863,377","414,786"
29,2017,（再掲）建設業専業会社,(Relisted) Companies exclusively engaged in construction,個人,Sole proprietorship,,,893,"5,897","5,894","1,575","4,320",-,4,-,-,4,17454,2627,13979,849
29,2017,（再掲）建設業専業会社,(Relisted) Companies exclusively engaged in construction,法人,Corporation,,,14071,15870542,11870032,1647413,9734244,488373,4000511,2746342,1205298,48871,5557216,1293879,3849398,413938
29,2017,（再掲）建設業専業会社,(Relisted) Companies exclusively engaged in construction,,,200万円未満 ,Under 2 million yen,215,776,776,390,386,-,-,-,-,-,33253,9825,23428,-
29,2017,（再掲）建設業専業会社,(Relisted) Companies exclusively engaged in construction,,,200万円～500万円未満 ,2-5 million yen,3461,97361,95653,3843,91454,356,1708,1614,94,-,245309,48542,178569,18198
29,2017,（再掲）建設業専業会社,(Relisted) Companies exclusively engaged in construction,,,500万円～1000万円未満 ,5-10 million yen,2032,74767,62208,14486,47271,450,12560,5235,7053,272,141885,51926,82754,7206
29,2017,（再掲）建設業専業会社,(Relisted) Companies exclusively engaged in construction,,,1000万円～3000万円未満 ,10-30 million yen,6601,686457,476652,80289,385010,11352,209805,98913,106780,4112,1150482,229448,830472,90562
29,2017,（再掲）建設業専業会社,(Relisted) Companies exclusively engaged in construction,,,3000万円～5000万円未満 ,30-50 million yen,911,723377,584105,53425,518034,12646,139272,86889,50079,2304,471708,135008,281065,55635
29,2017,（再掲）建設業専業会社,(Relisted) Companies exclusively engaged in construction,,,5000万円～1億円未満 ,50-100 million yen,553,572001,408841,78318,294678,35845,163160,64118,84272,14770,720011,196679,464307,59025
29,2017,（再掲）建設業専業会社,(Relisted) Companies exclusively engaged in construction,,,1億円～10億円未満 ,100 million yen to 1 billion yen,216,1403762,1128372,155083,859339,113950,275390,181820,79895,13675,1067279,253175,739344,74760
29,2017,（再掲）建設業専業会社,(Relisted) Companies exclusively engaged in construction,,,10億円～50億円未満 ,1-5 billion yen,43,1490606,1177732,144668,910327,122737,312874,212140,89666,11068,776977,110677,581349,84951
29,2017,（再掲）建設業専業会社,(Relisted) Companies exclusively engaged in construction,,,50億円以上 ,5 billion yen or more,39,10821435,7935693,1116912,6627744,191037,2885742,2095613,787459,2670,950311,258600,668110,23601
29,2017,（再掲）建設業専業会社,(Relisted) Companies exclusively engaged in construction,都内元請完成工事高及び施工企業数,Value of original contracts and number of enterprises completing construction work within Tokyo-to ,,,13598,8263330,6427881,640575,5489250,298055,1835449,892313,770703,172433,…,…,…,…
,,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成30年）TOKYO STATISTICAL YEARBOOK ( 2018 )　3  建設・住居 3  CONSTRUCTION AND HOUSING,,,,,,,,,,,,,,,,,,,,,
3-6  経営組織，業種別による企業数，完成工事高（平成25～29年度） 3-6  ENTERPRISES， VALUE OF CONSTRUCTION WORK COMPLETED BY FORM OF ORGANIZATION AND CONTRACTOR CLASSIFICATION ( Fiscal Years 2013～2017 ）,,,,,,,,,,,,,,,,,,,,,
許可業者列から知事許可列までは経営組織別の分類。　,,,,,,,,,,,,,,,,,,,,,
総合工事業列から設備工事業列までは業種別（許可業者）別の分類。　,,,,,,,,,,,,,,,,,,,,,
From Licensed contractors row to Licensed by governor row are categorized by form of organization.,,,,,,,,,,,,,,,,,,,,,
From General construction work row to Equipment installation work row are categorized by contractor classification (licensed contractors).,,,,,,,,,,,,,,,,,,,,,
資料：国土交通省 「建設工事施工統計調査報告」 Source: Ministry of Land， Infrastructure， Transport and Tourism,,,,,,,,,,,,,,,,,,,,,
（単位　金額　百万円）(Value in millions of yen),,,,,,,,,,,,,,,,,,,,,
