項番 Item number,地域,District,消防署,Fire Station,マーク Mark,4階以上の建築物数 Buildings with 4 stories and more／総数 Total,4階以上の建築物数 Buildings with 4 stories and more／4階 4 Stories,4階以上の建築物数 Buildings with 4 stories and more／5階 5 Stories,4階以上の建築物数 Buildings with 4 stories and more／6階 6 Stories,4階以上の建築物数 Buildings with 4 stories and more／7階 7 Stories,4階以上の建築物数 Buildings with 4 stories and more／8階 8 Stories,4階以上の建築物数 Buildings with 4 stories and more／9階 9 Stories,4階以上の建築物数 Buildings with 4 stories and more／10階 10 Stories,4階以上の建築物数 Buildings with 4 stories and more／11階 11 Stories,4階以上の建築物数 Buildings with 4 stories and more／12階 12 Stories,4階以上の建築物数 Buildings with 4 stories and more／13～29階 13～29 Stories,4階以上の建築物数 Buildings with 4 stories and more／30階以上 30 Stories and higher,地階を有する建築物数 Buildings with basements／総数 Total,地階を有する建築物数 Buildings with basements／地下1階 1 Basement level,地階を有する建築物数 Buildings with basements／地下2階 2 Basement levels,地階を有する建築物数 Buildings with basements／地下3階 3 Basement levels,地階を有する建築物数 Buildings with basements／地下4階以下 4 Basement levels and lower
43,北区,Kita-ku,滝野川署,Takinogawa F. Sta.,,1846,709,465,182,131,89,59,63,47,31,70,-,548,524,22,2,-
44,荒川区,Arakawa-ku,荒川署,Arakawa F. Sta.,,2206,665,439,271,194,149,112,125,80,44,118,9,495,462,27,3,3
45,荒川区,Arakawa-ku,尾久署,Ogu F. Sta.,,955,379,194,98,72,52,25,47,26,20,42,-,146,138,4,2,2
46,板橋区,Itabashi-ku,板橋署,Itabashi F. Sta.,,3171,1242,822,338,190,146,96,91,82,44,119,1,1012,954,53,2,3
47,板橋区,Itabashi-ku,志村署,Shimura F. Sta.,,3460,1299,961,382,245,161,92,84,99,42,94,1,1194,1109,78,6,1
48,練馬区,Nerima-ku,練馬署,Nerima F. Sta.,,2345,940,531,284,209,136,71,74,22,20,57,1,817,773,36,8,-
49,練馬区,Nerima-ku,光が丘署,Hikarigaoka F. Sta.,,991,331,271,130,71,51,21,25,14,11,64,2,354,336,14,2,2
50,練馬区,Nerima-ku,石神井署,Shakujii F. Sta.,,1674,672,524,176,117,92,31,27,13,6,15,1,644,621,23,-,-
51,足立区,Adachi-ku,千住署,Senju F. Sta.,,1032,358,223,109,58,58,33,34,30,36,92,1,250,231,14,2,3
52,足立区,Adachi-ku,足立署,Adachi F. Sta.,,3049,861,1019,323,288,179,127,89,46,25,92,-,318,297,15,4,2
53,足立区,Adachi-ku,西新井署,Nishiarai F. Sta.,,1287,460,392,125,91,85,43,27,29,8,27,-,167,158,7,2,-
54,葛飾区,Katsushika-ku,本田署,Honden F. Sta.,,2395,1000,538,243,211,114,67,64,44,33,81,-,328,305,19,4,-
55,葛飾区,Katsushika-ku,金町署,Kanamachi F. Sta.,,1300,486,372,146,99,50,29,23,24,17,52,2,230,211,13,6,-
56,江戸川区,Edogawa-ku,江戸川署,Edogawa F. Sta.,,1698,647,381,174,150,94,56,60,35,26,73,2,277,255,19,3,-
57,江戸川区,Edogawa-ku,葛西署,Kasai F. Sta.,,2424,539,468,328,306,213,137,146,92,50,145,-,393,381,9,2,1
58,江戸川区,Edogawa-ku,小岩署,Koiwa F. Sta.,,1388,551,327,156,127,60,43,39,22,19,44,-,252,234,12,6,-
,消防事務受託地区,Areas entrusting fire service to the Tokyo Fire Department,消防事務受託地区,Areas entrusting fire service to the Tokyo Fire Department,,25723,9246,8465,2442,1637,1250,688,670,495,229,591,10,10303,9596,620,66,21
1,消防事務受託地区,Areas entrusting fire service to the Tokyo Fire Department,立川署 ,Tachikawa F. Sta. ,1),2502,820,853,271,169,121,89,73,18,34,53,1,937,885,48,4,-
2,消防事務受託地区,Areas entrusting fire service to the Tokyo Fire Department,武蔵野署,Musashino F. Sta.,,1554,595,382,155,137,109,52,58,23,20,22,1,1043,949,85,7,2
3,消防事務受託地区,Areas entrusting fire service to the Tokyo Fire Department,三鷹署,Mitaka F. Sta.,,1117,413,267,125,103,86,40,24,22,16,21,-,555,515,37,3,-
4,消防事務受託地区,Areas entrusting fire service to the Tokyo Fire Department,府中署,Fuchu F. Sta.,,1754,580,439,196,154,125,59,86,40,16,57,2,655,617,34,3,1
5,消防事務受託地区,Areas entrusting fire service to the Tokyo Fire Department,昭島署,Akishima F. Sta.,,578,250,147,40,41,25,12,11,36,2,14,-,199,189,7,3,-
6,消防事務受託地区,Areas entrusting fire service to the Tokyo Fire Department,調布署,Chofu F. Sta.,,1609,602,505,170,101,78,37,46,24,17,28,1,713,680,30,3,-
7,消防事務受託地区,Areas entrusting fire service to the Tokyo Fire Department,小金井署,Koganei F. Sta.,,593,219,167,63,49,28,14,19,14,5,15,-,326,311,14,1,-
8,消防事務受託地区,Areas entrusting fire service to the Tokyo Fire Department,小平署,Kodaira F. Sta.,,1082,441,418,91,47,33,19,8,12,-,13,-,359,349,9,-,1
9,消防事務受託地区,Areas entrusting fire service to the Tokyo Fire Department,東村山署,Higashimurayama F. Sta.,,797,272,272,92,48,23,21,16,24,6,23,-,280,268,12,-,-
10,消防事務受託地区,Areas entrusting fire service to the Tokyo Fire Department,国分寺署,Kokubunji F. Sta.,,758,261,223,101,48,46,24,15,9,9,20,2,469,432,35,1,1
11,消防事務受託地区,Areas entrusting fire service to the Tokyo Fire Department,狛江署,Komae F. Sta.,,401,141,164,42,19,10,8,4,7,-,6,-,155,152,3,-,-
12,消防事務受託地区,Areas entrusting fire service to the Tokyo Fire Department,北多摩西部署 ,Kitatama-seibu F. Sta. ,2),603,242,212,38,23,25,18,13,12,5,15,-,157,151,5,1,-
13,消防事務受託地区,Areas entrusting fire service to the Tokyo Fire Department,清瀬署,Kiyose F. Sta.,,446,182,181,21,27,12,9,4,2,1,7,-,120,110,10,-,-
14,消防事務受託地区,Areas entrusting fire service to the Tokyo Fire Department,東久留米署,Higashikurume F. Sta.,,558,129,282,38,36,18,10,20,8,9,8,-,165,162,3,-,-
15,消防事務受託地区,Areas entrusting fire service to the Tokyo Fire Department,西東京署,Nishitokyo F. Sta.,,1061,398,301,105,77,81,23,27,16,12,20,1,399,371,27,1,-
16,消防事務受託地区,Areas entrusting fire service to the Tokyo Fire Department,八王子署,Hachioji F. Sta.,,3810,1355,1110,360,250,215,137,118,92,42,130,1,1376,1265,92,11,8
17,消防事務受託地区,Areas entrusting fire service to the Tokyo Fire Department,青梅署,Ome F. Sta.,,607,276,166,62,36,23,9,10,13,6,6,-,251,228,20,2,1
18,消防事務受託地区,Areas entrusting fire service to the Tokyo Fire Department,町田署,Machida F. Sta.,,2300,764,992,170,94,80,41,54,21,17,66,1,955,864,76,9,6
19,消防事務受託地区,Areas entrusting fire service to the Tokyo Fire Department,日野署,Hino F. Sta.,,1005,393,354,87,49,33,21,21,18,6,23,-,342,313,19,9,1
20,消防事務受託地区,Areas entrusting fire service to the Tokyo Fire Department,福生署 ,Fussa F. Sta. ,3),822,411,255,67,32,26,13,3,6,2,7,-,209,201,7,1,-
21,消防事務受託地区,Areas entrusting fire service to the Tokyo Fire Department,多摩署,Tama F. Sta.,,1611,407,734,136,91,53,32,39,78,4,37,-,458,420,34,4,-
22,消防事務受託地区,Areas entrusting fire service to the Tokyo Fire Department,秋川署,Akikawa F. Sta. ,4),144,88,37,12,6,-,-,1,-,-,-,-,126,117,8,1,-
23,消防事務受託地区,Areas entrusting fire service to the Tokyo Fire Department,奥多摩署,Okutama F. Sta.,,11,7,4,-,-,-,-,-,-,-,-,-,54,47,5,2,-
,,,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成30年）TOKYO STATISTICAL YEARBOOK ( 2018 )　3  建設・住居 3  CONSTRUCTION AND HOUSING,,,,,,,,,,,,,,,,,,,,,,
3-1  階数別４階以上及び地階を有する建築物数（平成30年末） 3-1  FOUR-STORY OR HIGHER BUILDINGS AND BUILDINGS WITH BASEMENTS BY NUMBER OF FLOORS ( End of 2018 ),,,,,,,,,,,,,,,,,,,,,,
4階以上を有する建築物とは，地上階数4以上を有する建築物をいう。地階を有する建築物とは， 建築基準法施行令第1条第2号による地階を有する建築物をいう。 この表の地域は区部及び東京消防庁消防事務受託地区である。,,,,,,,,,,,,,,,,,,,,,,
"The terminology ""four-story or higher buildings"" refers to buildings with four stories or more above ground， and ""buildings with basements"" refers to those  as defined in Article 1 par. 2 of the Building Standards Law Enforcement Ordinance.   The figures below are for the 23 wards and the areas entrusting fire service to the Tokyo Fire Department.  ",,,,,,,,,,,,,,,,,,,,,,
注 1) 立川市，国立市 ,,,,,,,,,,,,,,,,,,,,,,
2) 東大和市，武蔵村山市  ,,,,,,,,,,,,,,,,,,,,,,
3) 福生市，羽村市及び瑞穂町  ,,,,,,,,,,,,,,,,,,,,,,
4) あきる野市，日の出町及び檜原村,,,,,,,,,,,,,,,,,,,,,,
Note: 1) Tachikawa-shi and Kunitachi-shi  ,,,,,,,,,,,,,,,,,,,,,,
2) Higashiyamato-shi and Musashimurayama-shi  ,,,,,,,,,,,,,,,,,,,,,,
3) Fussa-shi， Hamura-shi， and Mizuho-machi ,,,,,,,,,,,,,,,,,,,,,,
4) Akiruno-shi， Hinode-machi， and Hinohara-mura,,,,,,,,,,,,,,,,,,,,,,
資料：東京消防庁企画調整部企画課 「東京の消防白書」 Source: Tokyo Fire Department,,,,,,,,,,,,,,,,,,,,,,
