年次（平成）,Year,月次,Month,区分,Classification,総数 Total,北海道 Hokkaido,九州 Kyushu,四国 Shikoku,沖縄 Okinawa,伊豆諸島 Izu islands,伊豆諸島 Izu islands／うち of which／大島 Oshima,伊豆諸島 Izu islands／うち of which／三宅島 Miyakejima,伊豆諸島 Izu islands／うち of which／八丈島 Hachijojima,小笠原 Ogasawara,その他 Others,外国 Overseas
30,2018,1,Jan.,降船者, Left,31902,-,1592,-,-,-,-,-,-,1779,24010,4521
30,2018,2,Feb.,降船者, Left,37915,-,673,-,-,13815,12069,994,198,2076,21351,-
30,2018,3,Mar.,降船者, Left,62361,-,1897,-,-,22197,17908,1734,847,3235,34758,274
30,2018,4,Apr.,降船者, Left,61486,-,1424,-,-,15978,10606,1542,509,2180,40495,1409
30,2018,5,May,降船者, Left,78667,-,1790,-,-,25036,13861,2321,1284,2574,46644,2623
30,2018,6,June,降船者, Left,70282,273,865,-,-,16826,11064,1864,374,2286,46761,3271
30,2018,7,July,降船者, Left,85408,-,998,-,-,31331,15747,2272,911,3506,49573,-
30,2018,8,Aug.,降船者, Left,156510,-,2952,-,-,54604,23285,3886,3079,4166,93600,1188
30,2018,9,Sept.,降船者, Left,109040,-,1498,-,-,32428,15759,2780,1151,2615,70747,1752
30,2018,10,Oct.,降船者, Left,77715,-,1523,-,-,18926,12121,2171,484,2442,51164,3660
30,2018,11,Nov.,降船者, Left,73100,-,1299,-,-,17952,13159,2371,503,1750,46297,5802
30,2018,12,Dec.,降船者, Left,63907,-,1113,-,-,14682,11713,1766,344,1796,45953,363
,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成30年）TOKYO STATISTICAL YEARBOOK ( 2018 ) 4　運輸 4　TRANSPORT ,,,,,,,,,,,,,,,,,
4-20　航路別乗降船人員 (平成26～30年)（東京港） 4-20 VESSEL PASSENGERS BY LINE ( 2014-2018 )( Port of Tokyo ),,,,,,,,,,,,,,,,,
資料：都港湾局港湾経営部振興課「東京港港勢」 Source: Bureau of Port and Harbor， TMG,,,,,,,,,,,,,,,,,
