年度末(平成),End of fiscal year,地域階層,地域コード,地域,District,マーク Mark,総数 Total,都営住宅 Metropolitan housing,福祉住宅等 Welfare housing etc. 2),都民住宅 Tokyo Metropolitan Tomin housing／都施行 Built by TMG,都民住宅 Tokyo Metropolitan Tomin housing／その他 Others,区市町村住宅 Municipal housing 4)／公営 Public,区市町村住宅 Municipal housing 4)／その他 Others,高齢者向け優良賃貸住宅 Good quality rental housing for the elderly／都施行 Built by TMG,高齢者向け優良賃貸住宅 Good quality rental housing for the elderly／区市施行 Built by municipalities,公社一般賃貸住宅 Tokyo Metropolitan Public Housing Corporation housing,都市機構賃貸住宅 Urban Renaissance Agency housing 1) 
30,2018,1,13200,市部,All shi,,195386,88779,-,1951,1001,6509,367,34,76,33443,63226
30,2018,2,13201,八王子市,Hachioji-shi,,24334,10762,-,608,-,1374,-,-,-,3723,7867
30,2018,2,13202,立川市,Tachikawa-shi,,12364,5048,-,58,-,545,5,-,-,1750,4958
30,2018,2,13203,武蔵野市,Musashino-shi,,4390,1966,-,2,81,212,97,-,-,-,2032
30,2018,2,13204,三鷹市,Mitaka-shi,,6815,3823,-,85,66,129,16,-,-,-,2696
30,2018,2,13205,青梅市,Ome-shi,,2128,405,-,16,-,699,-,-,-,1008,-
30,2018,2,13206,府中市,Fuchu-shi,,6552,4455,-,44,41,679,130,-,-,-,1203
30,2018,2,13207,昭島市,Akishima-shi,,6375,3835,-,16,-,20,13,-,-,991,1500
30,2018,2,13208,調布市,Chofu-shi,,8454,4306,-,82,37,278,12,-,-,670,3069
30,2018,2,13209,町田市,Machida-shi,,27340,8065,-,125,104,548,7,-,-,9830,8661
30,2018,2,13210,小金井市,Koganei-shi,,2788,654,-,-,52,178,20,-,-,1282,602
30,2018,2,13211,小平市,Kodaira-shi,,8366,5470,-,14,38,27,11,-,-,21,2785
30,2018,2,13212,日野市,Hino-shi,,9778,2828,-,8,36,651,2,12,17,906,5318
30,2018,2,13213,東村山市,Higashimurayama-shi,,7906,5686,-,35,40,91,-,-,-,622,1432
30,2018,2,13214,国分寺市,Kokubunji-shi,,2971,1687,-,3,405,20,13,-,-,-,843
30,2018,2,13215,国立市,Kunitachi-shi,,4875,2009,-,470,-,-,-,-,-,-,2396
30,2018,2,13218,福生市,Fussa-shi,,3582,757,-,2,-,320,5,-,-,1634,864
30,2018,2,13219,狛江市,Komae-shi,,2662,1801,-,-,17,45,3,-,-,786,10
30,2018,2,13220,東大和市,Higashiyamato-shi,,5200,3076,-,3,-,26,1,-,-,2094,-
30,2018,2,13221,清瀬市,Kiyose-shi,,7148,3692,-,40,-,132,1,-,13,1140,2130
30,2018,2,13222,東久留米市,Higashikurume-shi,,7661,2582,-,9,-,-,1,22,46,2865,2136
30,2018,2,13223,武蔵村山市,Musashimurayama-shi,,4391,4153,-,1,-,24,-,-,-,-,213
30,2018,2,13224,多摩市,Tama-shi,,12402,4641,-,4,-,112,1,-,-,1630,6014
30,2018,2,13225,稲城市,Inagi-shi,,4485,1240,-,146,37,10,-,-,-,1650,1402
30,2018,2,13227,羽村市,Hamura-shi,,1321,349,-,1,-,131,-,-,-,-,840
30,2018,2,13228,あきる野市,Akiruno-shi,,211,-,-,-,-,211,-,-,-,-,-
30,2018,2,13229,西東京市,Nishitokyo-shi,,10887,5489,-,179,47,47,29,-,-,841,4255
30,2018,1,13300,郡部,All gun,,1314,978,-,17,-,206,113,-,-,-,-
30,2018,2,13303,瑞穂町,Mizuho-machi,,1067,978,-,17,-,72,-,-,-,-,-
30,2018,2,13305,日の出町,Hinode-machi,,67,-,-,-,-,67,-,-,-,-,-
30,2018,2,13308,奥多摩町,Okutama-machi,,115,-,-,-,-,44,71,-,-,-,-
30,2018,2,13307,檜原村,Hinohara-mura,,65,-,-,-,-,23,42,-,-,-,-
30,2018,1,13350,島部,All islands,,1514,-,393,-,-,1053,68,-,-,-,-
30,2018,0,99999,都外,Out of Tokyo-to,＊ 3),2,-,2,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成30年）TOKYO STATISTICAL YEARBOOK ( 2018 )　3  建設・住居 3  CONSTRUCTION AND HOUSING,,,,,,,,,,,,,,,,,
3-5  都営・区市町村・公社・都市機構等賃貸住宅管理戸数（平成27～30年度末） 3-5  RENTAL HOUSING UNITS BY TYPE OF MANAGEMENT ( End of Fiscal Year 2015～2018 ）,,,,,,,,,,,,,,,,,
注 1) ２市以上にまたがる都市再生機構の各団地は，それぞれの戸数の多くが所在する市に統一集計した。,,,,,,,,,,,,,,,,,
2) 福祉住宅等には引揚者住宅及び小笠原住宅を含む。,,,,,,,,,,,,,,,,,
3) ＊神奈川県相模原市所在の引揚者住宅。,,,,,,,,,,,,,,,,,
4) 区市町村住宅の内訳は、公営：公営住宅、借上公営住宅 /その他：特定公共賃貸住宅、特定優良賃貸住宅、改良住宅、区市町村単独住宅等。,,,,,,,,,,,,,,,,,
5) 北区の都市機構賃貸住宅には，北区施行の高齢者向け優良賃貸住宅が含まれるため，区分ごとの合計が計と一致しない。,,,,,,,,,,,,,,,,,
Note: 1) Figures for Urban Renaissance Agency residences straddling two or more cities are included in the city where the majority of the residential units are located.,,,,,,,,,,,,,,,,,
2) Welfare housing etc. includes repatriation housing and Ogasawara housing.,,,,,,,,,,,,,,,,,
3) * Repatriation housing located in Kanagawa prefecture.,,,,,,,,,,,,,,,,,
"4) Municipal housing's ""public"" is public housing and leased public housing， and ""others"" include  specified public rental housing， specified good quality rental housing， upgraded housing， and housing built without state subsidies.",,,,,,,,,,,,,,,,,
5) As data on UR housing in Kita-ku includes good quality rental housing for the elderly， the sum of the categories does not match the total.,,,,,,,,,,,,,,,,,
資料：都住宅政策本部住宅企画部企画経理課「事業概要」 Source: Office for Housing Policy， TMG,,,,,,,,,,,,,,,,,
地域階層（0:東京都総数・都外　1:区部・市部・郡部・島部　2:区市町村）,,,,,,,,,,,,,,,,,
