地域階層,地域コード,地域,District,延べ面積 Area of floor space／29m2以下and under,延べ面積 Area of floor space／30～49m2,延べ面積 Area of floor space／50～69m2,延べ面積 Area of floor space／70～99m2,延べ面積 Area of floor space／100～149m2,延べ面積 Area of floor space／150m2以上 and over,所有関係別主世帯数 Principal households by tenure of dwelling／持ち家 Owner's dwelling,所有関係別主世帯数 Principal households by tenure of dwelling／借家 Rented dwelling
2,13119,板橋区,Itabashi-ku,64570,58950,56750,46450,15980,6740,113830,135630
2,13120,練馬区,Nerima-ku,71260,53820,73580,65220,39380,15960,152960,166270
2,13121,足立区,Adachi-ku,48470,73000,78380,56240,28860,15130,148190,151890
2,13122,葛飾区,Katsushika-ku,29710,36670,50270,43320,21210,9310,106350,84140
2,13123,江戸川区,Edogawa-ku,56170,63070,68170,59520,26070,13420,133380,153030
1,13500,市町村部,All shi， machi & mura,308200,293700,345600,454400,283000,105600,973900,816700
2,13201,八王子市,Hachioji-shi,46590,27500,41550,62190,49090,14940,138730,103140
2,13202,立川市,Tachikawa-shi,14530,13930,16990,17960,7870,3210,35290,39200
2,13203,武蔵野市,Musashino-shi,19640,10190,10520,12800,8480,4140,30040,35740
2,13204,三鷹市,Mitaka-shi,18010,12380,15200,19930,11090,3340,37790,42150
2,13205,青梅市,Ome-shi,3530,6750,10070,12550,10650,5000,34640,13910
2,13206,府中市,Fuchu-shi,20320,19270,23160,27060,13210,5690,58440,50270
2,13207,昭島市,Akishima-shi,4760,10040,11060,12520,5790,2150,24770,21550
2,13208,調布市,Chofu-shi,25300,20340,19840,24100,10740,3140,48610,54840
2,13209,町田市,Machida-shi,22750,36000,28230,45110,40480,13360,107270,78650
2,13210,小金井市,Koganei-shi,14440,9580,9660,10730,6080,3210,24320,29390
2,13211,小平市,Kodaira-shi,13380,11350,15700,22690,10560,3730,41150,36260
2,13212,日野市,Hino-shi,14250,12260,15580,17890,12600,4560,40510,36630
2,13213,東村山市,Higashimurayama-shi,9410,9450,13800,18730,8530,3120,37190,25840
2,13214,国分寺市,Kokubunji-shi,15710,7590,9290,15260,7820,3040,29830,28900
2,13215,国立市,Kunitachi-shi,7180,6440,6910,7880,3930,1510,15430,18420
2,13218,福生市,Fussa-shi,3980,5720,5660,4840,3090,1610,11960,12930
2,13219,狛江市,Komae-shi,8850,7470,6740,6980,4360,2090,17460,19030
2,13220,東大和市,Higashiyamato-shi,2080,6010,7990,10750,4690,2420,20750,13210
2,13221,清瀬市,Kiyose-shi,4150,6890,7490,8220,4410,1330,16030,16470
2,13222,東久留米市,Higashikurume-shi,2900,10350,11300,13090,6790,2810,28150,19100
2,13223,武蔵村山市,Musashimurayama-shi,1610,3540,6530,8560,4420,1690,16250,10110
2,13224,多摩市,Tama-shi,9560,12380,14390,17680,8360,2700,34330,30730
2,13225,稲城市,Inagi-shi,4540,5020,6310,9490,7330,1930,20100,14530
2,13227,羽村市,Hamura-shi,3030,4150,4840,5390,4050,1620,13210,9880
2,13228,あきる野市,Akiruno-shi,1090,3440,3530,9480,8150,3470,22330,6830
2,13229,西東京市,Nishitokyo-shi,13270,12600,17730,23650,11300,4580,44840,38280
2,13303,瑞穂町,Mizuho-machi,720,1280,1720,3570,3300,1670,8480,3790
2,13305,日の出町,Ｈinode-machi,20,240,840,1730,1950,730,4950,530
,,,,,,,,,,,
東京都統計年鑑（平成30年）TOKYO STATISTICAL YEARBOOK ( 2018 )　3  建設・住居 3  CONSTRUCTION AND HOUSING,,,,,,,,,,,
3-12  地域別，延べ面積別住宅数，住宅の所有関係別主世帯数（平成25年） 3-12  DWELLINGS BY DISTRICT AND FLOOR SPACE AREA， AND PRINCIPAL HOUSEHOLDS BY TENURE OF DWELLING ( 2013 ),,,,,,,,,,,
表章単位未満の位で四捨五入しているため，総数と内訳の合計は必ずしも一致しない（総数・区部計・市町村部計については，10位を四捨五入して100位まで有効数字として表章。それ以外については，1位を四捨五入して10位まで有効数字として表章。）。また，町村は人口が1万5千以上の場合のみ掲載している。  ,,,,,,,,,,,
"Totals may not equal the sum of components due to rounding (Figures in ""Tokyo-to"" ""All ku"" and ""All shi， machi & mura"" rows are rounded to the nearest 100， and the others to the nearest 10.). Among machi and mura， only those with 15000 or more population are shown in the table.",,,,,,,,,,,
注) 延べ面積 「不詳」 を含む。,,,,,,,,,,,
Note: Includes dwellings whose floor space area is unknown.,,,,,,,,,,,
資料：都都市整備局住宅政策推進部住宅政策課 「平成25年住宅 ・土地統計調査報告に係る東京都特別集計」 Source: Office for Housing Policy， TMG,,,,,,,,,,,
地域階層（0:東京都総数　1:区部・市部　2:区市町村）,,,,,,,,,,,
