地域階層,地区コード,項番,地域,District,総数 All manufacturing／事業所数 Establishments,総数 All manufacturing／従業者数 Employees,総数 All manufacturing／現金給与総額 Total cash wages,総数 All manufacturing／原材料使用額等 Value of raw materials used， etc.,総数 All manufacturing／製造品出荷額等 Shipment value of manufactured goods， etc.,総数 All manufacturing／粗付加価値額 Gross value added,事業所数 Establishments／食料品 Food,事業所数 Establishments／飲料・たばこ・飼料 Beverages， tobacco and feed,事業所数 Establishments／繊維工業 Textiles,事業所数 Establishments／木材・木製品(家具を除く)  a),事業所数 Establishments／家具・装備品 Furniture and fixtures,事業所数 Establishments／パルプ・紙・紙加工品 Pulp， paper and paper products,事業所数 Establishments／印刷・同関連業 Printing and allied industries,事業所数 Establishments／化学工業 Chemicals,事業所数 Establishments／石油・石炭製品 Petroleum and coal products,事業所数 Establishments／プラスチック製品(別掲を除く) b),事業所数 Establishments／ゴム製品 Rubber products,事業所数 Establishments／なめし革・同製品・毛皮 c),事業所数 Establishments／窯業・土石製品 Ceramic， stone and clay products,事業所数 Establishments／鉄鋼業 Iron and steel,事業所数 Establishments／非鉄金属 d),事業所数 Establishments／金属製品 Fabricated metal products,事業所数 Establishments／はん用機械器具 e),事業所数 Establishments／生産用機械器具 Production machinery,事業所数 Establishments／業務用機械器具 Business use machinery,事業所数 Establishments／電子部品・デバイス・電子回路 f),事業所数 Establishments／電気機械器具 g),事業所数 Establishments／情報通信機械器具 h),事業所数 Establishments／輸送用機械器具 Transportation equipment,事業所数 Establishments／その他 Others,従業者数 Persons engaged／食料品 Food,従業者数 Persons engaged／飲料・たばこ・飼料 Beverages， tobacco and feed,従業者数 Persons engaged／繊維工業 Textiles,従業者数 Persons engaged／木材・木製品(家具を除く) a),従業者数 Persons engaged／家具・装備品 Furniture and fixtures,従業者数 Persons engaged／パルプ・紙・紙加工品 Pulp， paper and paper products,従業者数 Persons engaged／印刷・同関連業 Printing and allied industries,従業者数 Persons engaged／化学工業 Chemicals,従業者数 Persons engaged／石油・石炭製品 Petroleum and coal products,従業者数 Persons engaged／プラスチック製品(別掲を除く) b),従業者数 Persons engaged／ゴム製品 Rubber products,従業者数 Persons engaged／なめし革・同製品・毛皮 c),従業者数 Persons engaged／窯業・土石製品 Ceramic， stone and clay products,従業者数 Persons engaged／鉄鋼業 Iron and steel,従業者数 Persons engaged／非鉄金属 d),従業者数 Persons engaged／金属製品 Fabricated metal products,従業者数 Persons engaged／はん用機械器具 e),従業者数 Persons engaged／生産用機械器具 Production machinery,従業者数 Persons engaged／業務用機械器具 Business use machinery,従業者数 Persons engaged／電子部品・デバイス・電子回路 f),従業者数 Persons engaged／電気機械器具 g),従業者数 Persons engaged／情報通信機械器具 h),従業者数 Persons engaged／輸送用機械器具 Transportation equipment,従業者数 Persons engaged／その他 Others,製造品出荷額等 Value of manufactured goods shipments， etc.／食料品 Food,製造品出荷額等 Value of manufactured goods shipments， etc.／飲料・たばこ・飼料 Beverages， tobacco and feed,製造品出荷額等 Value of manufactured goods shipments， etc.／繊維工業 Textiles,製造品出荷額等 Value of manufactured goods shipments， etc.／木材・木製品(家具を除く) a),製造品出荷額等 Value of manufactured goods shipments， etc.／家具・装備品 Furniture and fixtures,製造品出荷額等 Value of manufactured goods shipments， etc.／パルプ・紙・紙加工品 Pulp， paper and paper products,製造品出荷額等 Value of manufactured goods shipments， etc.／印刷・同関連業 Printing and allied industries,製造品出荷額等 Value of manufactured goods shipments， etc.／化学工業 Chemicals,製造品出荷額等 Value of manufactured goods shipments， etc.／石油・石炭製品 Petroleum and coal products,製造品出荷額等 Value of manufactured goods shipments， etc.／プラスチック製品(別掲を除く) b),製造品出荷額等 Value of manufactured goods shipments， etc.／ゴム製品 Rubber products,製造品出荷額等 Value of manufactured goods shipments， etc.／なめし革・同製品・毛皮 c),製造品出荷額等 Value of manufactured goods shipments， etc.／窯業・土石製品 Ceramic， stone and clay products,製造品出荷額等 Value of manufactured goods shipments， etc.／鉄鋼業 Iron and steel,製造品出荷額等 Value of manufactured goods shipments， etc.／非鉄金属 d),製造品出荷額等 Value of manufactured goods shipments， etc.／金属製品 Fabricated metal products,製造品出荷額等 Value of manufactured goods shipments， etc.／はん用機械器具 e),製造品出荷額等 Value of manufactured goods shipments， etc.／生産用機械器具 Production machinery,製造品出荷額等 Value of manufactured goods shipments， etc.／業務用機械器具 Business use machinery,製造品出荷額等 Value of manufactured goods shipments， etc.／電子部品・デバイス・電子回路 f),製造品出荷額等 Value of manufactured goods shipments， etc.／電気機械器具 g),製造品出荷額等 Value of manufactured goods shipments， etc.／情報通信機械器具 h),製造品出荷額等 Value of manufactured goods shipments， etc.／輸送用機械器具 Transportation equipment,製造品出荷額等 Value of manufactured goods shipments， etc.／その他 Others
2,13208,8,調布市,Chofu-shi,87,2073,1080034,2307676,4730925,2266664,8,1,2,-,3,2,11,-,-,4,-,-,3,1,1,4,5,3,8,9,14,2,2,4,141,54,36,-,20,18,161,-,-,52,-,-,36,16,5,113,49,50,150,103,988,17,34,30,672125,x,x,-,17416,x,176991,-,-,46365,-,-,221075,x,x,121626,53709,70347,332716,116398,2205691,x,x,25563
2,13209,9,町田市,Machida-shi,130,4603,1853199,5214692,9515907,4038915,13,1,3,1,-,2,8,2,1,9,1,-,-,2,2,13,6,10,9,13,12,7,5,10,1244,15,51,7,-,43,78,58,22,149,15,-,-,22,26,204,178,281,751,244,315,534,62,304,1792410,x,46850,x,-,x,90606,x,x,214375,x,-,-,x,x,453876,321729,1180172,1349152,555416,590920,1425320,65343,811580
2,13210,10,小金井市,Koganei-shi,15,329,154254,186057,382315,181335,2,-,1,-,-,1,2,1,-,1,-,-,1,1,-,-,-,1,2,-,-,-,1,1,13,-,5,-,-,16,8,28,-,15,-,-,5,6,-,-,-,14,35,-,-,-,29,155,x,-,x,-,-,x,x,x,-,x,-,-,x,x,-,-,-,x,x,-,-,-,x,x
2,13211,11,小平市,Kodaira-shi,68,3349,2103820,7102782,9737692,2516655,7,-,3,-,3,3,7,1,-,4,2,-,1,-,1,6,4,9,-,7,7,2,-,1,707,-,40,-,19,30,121,6,-,37,227,-,23,-,21,54,186,128,-,135,86,1524,-,5,1298542,-,21117,-,19691,46888,140331,x,-,40317,x,-,x,-,x,90279,971208,182000,-,126228,127737,x,-,x
2,13212,12,日野市,Hino-shi,59,12015,7218018,28548337,55956108,25774136,1,1,1,-,-,2,7,-,-,2,-,-,2,-,1,4,2,4,5,11,8,1,4,3,76,7,4,-,-,17,156,-,-,16,-,-,38,-,5,43,13,58,219,1265,2924,25,7136,13,x,x,x,-,-,x,257335,-,-,x,-,-,x,-,x,40327,x,100386,373180,984539,18098612,x,35723331,16976
2,13213,13,東村山市,Higashimurayama-shi,77,3034,1159294,3818560,7475147,3409622,11,1,2,-,-,2,10,7,-,7,-,-,1,-,2,5,2,2,4,7,10,1,1,2,726,33,23,-,-,57,298,346,-,86,-,-,41,-,11,110,640,22,29,444,114,13,11,30,2318857,x,x,-,-,x,332123,1051039,-,105234,-,-,x,-,x,161208,x,x,63727,808979,108678,x,x,x
2,13214,14,国分寺市,Kokubunji-shi,24,988,605848,916502,1784411,825210,-,-,2,-,-,-,6,1,-,-,-,-,-,-,-,2,-,2,4,2,1,1,-,3,-,-,13,-,-,-,67,7,-,-,-,-,-,-,-,47,-,24,624,64,70,4,-,68,-,-,x,-,-,-,89498,x,-,-,-,-,-,-,-,x,-,x,1213759,x,x,x,-,173757
2,13215,15,国立市,Kunitachi-shi,22,388,127212,222027,479613,241077,6,-,-,-,-,-,1,-,-,1,-,-,-,-,-,-,-,1,4,-,2,2,3,2,144,-,-,-,-,-,4,-,-,9,-,-,-,-,-,-,-,10,128,-,20,30,30,13,134168,-,-,-,-,-,x,-,-,x,-,-,-,-,-,-,-,x,149496,-,x,x,59453,x
2,13218,16,福生市,Fussa-shi,39,1133,503863,1031034,2099821,981301,3,2,1,-,-,-,4,-,-,1,-,-,1,-,1,4,1,4,4,-,5,1,5,2,103,47,9,-,-,-,429,-,-,8,-,-,27,-,9,76,8,91,69,-,75,7,160,15,107516,x,x,-,-,-,936127,-,-,x,-,-,x,-,x,206769,x,141290,96982,-,141960,x,276631,x
2,13219,17,狛江市,Komae-shi,23,408,178849,922610,1733689,801375,2,1,1,-,-,-,4,1,-,-,-,-,-,-,-,3,2,2,1,-,2,3,-,1,29,4,5,-,-,-,130,25,-,-,-,-,-,-,-,39,26,65,39,-,11,27,-,8,x,x,x,-,-,-,321353,x,-,-,-,-,-,-,-,58691,x,x,x,-,x,59516,-,x
2,13220,18,東大和市,Higashiyamato-shi,36,1228,521237,5213519,8385973,2970226,3,1,-,-,2,1,3,-,-,2,-,-,-,-,1,4,-,3,6,3,6,1,-,-,636,8,-,-,25,10,36,-,-,13,-,-,-,-,4,104,-,21,125,27,199,20,-,-,7232920,x,-,-,x,x,25053,-,-,x,-,-,-,-,x,90601,-,136466,448171,19337,369792,x,-,-
2,13221,19,清瀬市,Kiyose-shi,20,901,393763,894653,1858390,908066,2,1,-,-,1,1,2,4,-,2,-,-,-,-,-,1,1,1,1,-,1,-,2,-,59,10,-,-,5,65,11,299,-,16,-,-,-,-,-,7,9,6,12,-,42,-,360,-,x,x,-,-,x,x,x,795872,-,x,-,-,-,-,-,x,x,x,x,-,x,-,x,-
