年次(平成),Year,地域階層,地域コード,地域,District,マーク Mark,総数 Total,国有 National forest／計 Total,国有 National forest／林野庁 Forestry Agency,国有 National forest／その他官庁 Other government agencies,民有 Non-national forests／計 Total,民有 Non-national forests／独立行政法人等 Incorporated administrative agency 1),民有 Non-national forests／公有 Publicly owned／都道府県 Prefecture,民有 Non-national forests／公有 Publicly owned／森林整備法人 Forest improvement corporation,民有 Non-national forests／公有 Publicly owned／市区町村 Cities， wards， towns and villages,民有 Non-national forests／公有 Publicly owned／財産区 Property wards,民有 Non-national forests／私有 Privately owned
27,2015,1,13300,郡部,All gun,,33169,-,-,-,33169,119,10051,850,810,-,21339
27,2015,2,13303,瑞穂町,Mizuho-machi,,278,-,-,-,278,-,180,-,2,-,96
27,2015,2,13305,日の出町,Hinode-machi,,1905,-,-,-,1905,-,65,4,152,-,1684
27,2015,2,13307,檜原村,Hinohara-mura,,9751,-,-,-,9751,32,1208,138,61,-,8312
27,2015,2,13308,奥多摩町,Okutama-machi,,21235,-,-,-,21235,87,8598,708,595,-,11247
27,2015,1,13350,島部,All islands,,22819,3732,3710,22,19087,11,1146,-,5799,1444,10687
27,2015,2,13361,大島町,Oshima-machi,,4676,-,-,-,4676,-,544,-,128,1444,2560
27,2015,2,13362,利島村,Toshima-mura,,272,-,-,-,272,-,-,-,50,-,222
27,2015,2,13363,新島村,Niijima-mura,,1804,19,-,19,1785,-,19,-,1473,-,293
27,2015,2,13364,神津島村,Kouzushima-mura,,1425,13,13,-,1412,-,41,-,970,-,401
27,2015,2,13381,三宅村,Miyake-mura,,4081,63,62,1,4018,-,201,-,1426,-,2391
27,2015,2,13382,御蔵島村,Mikurajima-mura,,1827,1,-,1,1826,-,12,-,1117,-,697
27,2015,2,13401,八丈町,Hachijo-machi,,3964,25,25,-,3939,-,105,-,593,-,3241
27,2015,2,13402,青ヶ島村,Aogashima-mura,,361,-,-,-,361,-,-,-,14,-,347
27,2015,2,13421,小笠原村,Ogasawara-mura,,4409,3611,3610,1,798,11,224,-,28,-,535
,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成30年）TOKYO STATISTICAL YEARBOOK ( 2018 ) 9　農林水産業 9 AGRICULTURE， FORESTRY， AND FISHERIES,,,,,,,,,,,,,,,,,
9-4  地域，所有形態別現況森林面積 （平成12年～27年） 9-4 CURRENT FOREST AREA BY TYPE OF OWNERSHIP AND DISTRICT ( 2000-2015 ),,,,,,,,,,,,,,,,,
「農林業センサス（農山村地域調査）」による。,,,,,,,,,,,,,,,,,
Data are based on the Census of Agriculture and Forestry (Survey on Agriculture and Forestry Area).,,,,,,,,,,,,,,,,,
注 1) 平成12年は緑資源公団。平成17年は緑資源機構。,,,,,,,,,,,,,,,,,
2) 三宅村は含まず。 ,,,,,,,,,,,,,,,,,
Note: 1) For 2000，Japan Green Resources Corporation. For 2005，Japan Green Resources Agency.,,,,,,,,,,,,,,,,,
2) Excluding Miyake-mura,,,,,,,,,,,,,,,,,
資料：農林水産省 「2015年農林業センサス」 Source: Ministry of Agriculture， Forestry and Fisheries,,,,,,,,,,,,,,,,,
地域階層(0:総数　1:区部・市部・郡部・島部　2:区市町村),,,,,,,,,,,,,,,,,
（単位　ヘクタール）（In hectare）,,,,,,,,,,,,,,,,,
