区名,昭和58年(%),昭和59年(%),昭和60年(%),昭和61年(%),昭和62年(%),昭和63年(%),昭和64年(%),平成２年(%),平成３年(%),平成４年(%),平成５年(%),平成６年(%),平成７年(%),平成８年(%),平成９年(%),平成10年(%),平成11年(%),平成12年(%),平成13年(%),平成14年(%),平成15年(%),平成16年(%),平成17年(%),平成18年(%),平成19年(%),平成20年(%),平成21年(%),平成22年(%),平成23年(%),平成24年(%),平成25年(%),平成26年(%),平成27年(%),平成28年(%),平成29年(%),平成30年(%),平成31年(%),令和2年(%),令和3年(%),令和4年(%)
大田区,3.68,3.05,3.69,2.06,10.47,5.06,5.08,2.23,4.23,7.04,12.1,8.01,18.84,2.13,-0.49,1.56,0.79,3.14,0.36,0.08,-0.74,0.9,7.42,-1.41,0.2,1.97,1.12,1.33,-0.46,3.79,-0.33,-1.06,-1.08,2.24,-0.26,-0.11,0.49,0.02,2.09,-0.89
世田谷区,1.12,2.22,4.71,4.5,14.07,6.53,3.95,4.59,4.89,4.9,7.97,12.13,10.07,10.85,4.16,7.92,1.65,-0.89,0.02,-0.82,1.84,-1.65,-0.67,-2.56,-0.57,4.71,-0.73,0.64,-0.17,-0.14,-1.37,-4.04,0.09,-0.59,10.95,-0.89,-0.27,-0.5,0.2,1.79
渋谷区,2.72,2.9,3.69,3.14,5.67,7.08,7.9,7.77,4.76,4.25,6.88,10.07,10.55,3.81,5.31,5.95,4.11,1.57,5.28,0.68,1.05,1.88,1.21,-0.6,-0.47,1.36,0.23,1.9,-0.07,0.05,2.25,1.8,-0.28,-0.92,0.57,1.92,0.89,-0.2,2.59,3.77
中野区,2.45,1.2,1.18,2.33,14.45,2.66,4.53,10.22,1.4,5.82,9.69,20.53,15.84,8.21,2.05,25.39,2.84,5.05,-0.44,-0.85,1.79,-0.31,1.57,-1.33,-0.78,2.45,-0.71,-0.75,-0.57,0,-0.73,21.68,-0.51,-0.54,-0.1,-0.04,0.03,0.13,-0.29,0.11
杉並区,2.5,2.44,4.29,2.28,10.71,4.23,8.9,3.37,3.44,7.48,4.17,9.2,13.04,7.09,4.6,1.18,0.53,0.71,-0.55,-0.98,0.99,0.34,-0.24,-1.92,-0.8,1.84,0.73,-0.56,-0.79,-0.43,-1.77,-0.27,-0.82,0.26,-1.44,-0.97,-0.55,-0.67,-0.16,0.03
豊島区,3.06,3.09,4.26,2.98,7.51,6.59,12.27,11.84,35.87,6.26,8.47,7.95,6.7,2.11,1.46,1.4,0.39,-0.23,0.26,0.44,0.96,0.09,-0.48,-0.58,-0.19,0.92,0.08,-0.19,-0.06,0.58,-0.39,-0.26,-0.55,-0.03,-0.3,-0.25,0.02,-0.29,-0.04,4.41
北区,2.43,0.34,-1.01,1.71,15.44,1.74,18.29,3.62,7.46,6.51,4.28,4.69,17.54,12.86,1.83,0.55,1.1,1.46,0.73,-0.46,-0.24,1.09,1.76,-1.52,0.9,1.9,3.72,-0.81,1.42,-0.87,0.04,2.83,-1.14,-0.04,1.22,0.12,-1.07,0.66,-1.35,1.18
荒川区,0,1.14,0.56,0,5.59,13.23,12.15,7.92,10.81,5.23,9.6,10.57,19.4,10.53,1.45,1.02,0.4,0.02,-0.42,0.69,1.25,0.82,-1.15,-2.51,4.2,-0.51,1.52,0.16,-0.25,-0.19,0.54,-0.31,0.31,0.16,-0.43,0.19,-0.69,0.06,-0.41,0.16
板橋区,0.98,3.41,5.41,3.13,8.87,4.77,2.66,5.18,4.57,8.24,12.11,9.56,8.47,2.56,0.8,0.79,5.48,0.65,-0.58,0.75,-0.7,1.57,-0.79,-1.24,-1.69,1.42,-0.64,1.05,-1.92,0.43,-0.49,2.58,0.6,0.41,0.28,-0.78,-0.64,0.76,0.02,-0.13
練馬区,3.92,1.74,1.14,3.1,13.93,3.36,5.57,3.08,5.54,4.85,6.74,7.22,10.77,11.4,0.68,3.39,0.66,-0.86,-0.1,1.86,-0.44,-1.19,-0.34,-3.53,-0.83,2.19,-1.5,-0.2,0.39,0,-0.44,0.18,0.28,-0.11,-0.38,-0.75,-1.45,1.82,0.72,-1.44
足立区,2.81,2.46,3.2,3.62,11.22,3.81,6.91,5.66,3.82,6.45,5.54,4.26,10.69,1.85,2.09,3.28,0.66,0.87,0.95,1.15,-0.85,-0.62,-0.41,-2.75,-0.8,3.86,-0.73,-0.27,0.84,-1.45,-0.06,-0.29,1.31,1.22,1.93,0.81,2.69,0.27,1.41,0.16
葛飾区,2.1,2.05,5.7,0.32,9.49,5.78,5.19,2.6,7.09,4.26,4.08,3.05,9.09,1.36,1.15,2.08,1.11,-1.52,0.2,0.1,-1.08,-0.42,-2.1,-2.35,0.25,2.78,-0.59,1.43,-0.29,0,-0.78,-1.08,0.09,-1.26,3.81,0.53,0.22,-0.63,0.55,-0.19
江戸川区,2.92,9.22,2.92,7.26,7.06,21.98,10.36,6.73,3.82,11.23,6.13,22.62,18.83,1.61,1.48,1.97,0.2,-0.3,1.28,0.61,-0.29,-0.29,0.01,-1.8,0.28,2.54,0.1,0.28,-0.59,-0.7,1.24,-2.34,0.08,0.62,0.9,0.39,0.02,-3.7,0.44,0.99
計,3.03,3.06,3.43,2.64,6.53,6.03,6.2,5.6,6.09,5.96,6.19,7.98,7.02,4.19,3.92,2.5,1.49,1.01,1.25,0.55,1.69,3.09,1.86,-0.35,0.87,1.61,0.79,0.53,0.08,0.88,0.53,0.34,0.69,0.65,0.25,0.5,0.65,0.86,0.39,0.23
都心3区,3.17,3.28,2.91,2.71,4.71,5.65,5.36,4.89,4.41,4.88,3.1,5.13,3.64,3.36,2.38,1.38,1.2,0.38,1.45,0.33,2.85,4.8,2.16,0.47,1.23,1.45,0.97,0.44,-0.08,0.46,-0.32,-0.09,1.66,0.91,0.16,1.07,0.82,1.82,0.31,-0.37
都心5区,3.08,2.99,3.42,2.7,5.09,5.64,5.44,5.19,4.52,4.83,4.24,5.54,4.28,3.95,3.72,1.69,1.28,0.66,1.58,0.34,2.27,4,2.04,0.07,0.85,1.33,0.73,0.5,-0.01,0.34,0.4,0.35,1.24,0.57,0.19,0.97,0.73,1.43,0.55,-0.08
他18区,2.89,3.23,3.46,2.48,10.51,7.04,8.17,6.64,10.03,8.65,10.66,13.25,12.53,4.64,4.28,3.97,1.87,1.64,0.68,0.93,0.65,1.44,1.52,-1.15,0.92,2.12,0.88,0.57,0.27,1.87,0.77,0.33,-0.33,0.8,0.36,-0.37,0.51,-0.19,0.08,0.83
