区分,昭和58年（％）,昭和59年（％）,昭和60年（％）,昭和61年（％）,昭和62年（％）,昭和63年（％）,昭和64年（％）,平成2年（％）,平成3年（％）,平成4年（％）,平成5年（％）,平成6年（％）,平成7年（％）,平成8年（％）,平成9年（％）,平成10年（％）,平成12年（％）,平成13年（％）,平成14年（％）,平成15年（％）,平成16年（％）,平成17年（％）,平成18年（％）,平成19年（％）,平成20年（％）,平成21年（％）,平成22年（％）,平成23年（％）,平成24年（％）,平成25年（％）,平成26年（％）,平成27年（％）,平成28年（％）,平成29年（％）
区部＿渋谷区,133.3,136,139.2,140.7,144.7,149.2,153.6,157,159.8,162.9,166.5,172.9,179.9,184.7,191,198.1,208.1,213.2,217.3,220.5,223.8,226.9,225.8,227,229.7,232.2,236,236.6,239.2,241.7,243.9,245.7,246.7,247.7
区部＿中野区,84,85,86.2,86,86.6,89.3,89.3,89.7,91.1,92.9,95.8,99.6,102.9,105.8,108.1,112.9,112.4,117.5,118.5,119.6,120.8,121.8,121,121.9,122.8,123.4,124.4,125.6,126.5,127.4,130.2,131.2,132.5,133.1
区部＿杉並区,65.2,66,67.4,66.3,69.6,70.5,72,72.7,75.2,76.1,77.5,78.9,80.7,84.3,87.6,89,91,92.6,93.8,94.3,95.6,96.5,96.5,97.4,98.5,99.2,100.3,100.9,101.6,102,102.6,103.5,104.2,104.8
区部＿豊島区,119.5,121.5,119.1,119.4,122.5,126.3,129.7,133.9,141.6,145.8,149.2,154.4,160.4,164,166.4,169.5,174.1,176.5,178.4,180.6,181.8,182.7,187.5,190.4,195.2,196.1,198.2,194.3,196.3,198.2,199.7,201.5,203.8,204.6
区部＿北区,95.1,96.7,97.8,97.5,100,99.7,104.4,106.3,109.5,110.9,111.7,113.5,117.1,119.6,123.3,125.2,128,129.9,131.1,132,133.4,134.8,134.1,135.3,137.2,138.5,139.4,139.1,140.2,142,142.8,143.8,144.6,146.4
区部＿荒川区,101.9,102.8,103.9,102.9,104.8,106.6,109.7,111.1,114.6,118.5,119.6,124.4,127.3,128.6,131,134,137.8,140.9,142.5,145.3,146.7,148.1,148.2,150.3,152.1,155.7,158,160,162,162.9,164,165.1,166.8,168.4
区部＿板橋区,77,78.2,80.3,81.4,83.7,84.9,86.7,88.2,90.1,93.2,96,98.4,100.3,101.9,104.1,105.9,108.1,109.6,111.7,113.4,114.6,115.4,115.6,117,118.2,119.5,120.7,120.6,121.8,122.8,123.7,124.8,126.3,127.4
区部＿練馬区,51.8,52.5,54.6,54.8,57.8,59.2,61.5,63.7,65.1,67.2,68.7,71.2,73.3,75,77,79,81.3,82.6,83.8,85,86.2,87.2,87.2,88.2,89.1,89.7,90.6,91.3,92.1,92.8,93.4,94.1,95,95.6
区部＿足立区,60.9,60.8,62,62.5,63.9,65.7,67.6,69.1,70.9,72.9,74.1,75.4,76.8,77.9,80,81.6,83.6,84.3,84.2,85,86.3,87.2,87.2,88.1,89.8,91.7,92.8,93.4,94.1,95.3,95.8,96.1,97.3,98.4
区部＿葛飾区,64.8,65.7,67.5,67.8,69,70.1,72.1,74,76.4,78.7,80.4,81.7,82.7,84.5,87,88.5,90.2,90.9,92.7,93.7,94.6,95,95.1,96.9,97.9,99.1,99.7,100.9,101.5,102.2,103.1,104.1,105.1,106.3
区部＿江戸川区,57.8,57.8,59.7,59.6,60.2,62.9,66,69.1,71.1,74.5,77,80.8,83.8,85.9,88.6,92.1,95.7,97.1,97.8,99.1,100.4,101.9,102.5,103.5,104.5,105.3,106.4,107.2,107.6,108.2,109,110,110.8,111.9
区部＿区部計,90.6,92,94.2,94.6,97.4,99.3,102,104.6,107.7,110.8,113.2,116.7,120.1,122.8,126.1,129.1,132.5,134.7,136.1,137.9,140.3,142.5,143.1,145.1,147.7,149.5,151.1,152,153.5,154.6,155.7,157.2,158.5,159.7
市部＿八王子市,44.3,45.8,46.3,47.5,48.5,49.5,50.6,52,54.4,55.6,57,57.6,59,59.9,61.1,61.9,63.9,64.5,65.1,65.5,66.6,67.5,67.7,68.1,68.4,68.6,69.4,69.8,70.2,70.5,70.6,71.2,71.3,71.7
市部＿立川市,47.4,49.2,50.5,52,53,54.1,55.1,56.1,57.5,59.2,60.6,61.8,65.8,66.8,66.7,67.4,70,71.6,72.3,72.3,72.5,73.9,74.4,75.6,76.5,77.7,78.3,78.1,78.1,78.4,78.5,79.9,79.1,81.6
市部＿武蔵野市,71.6,73.2,74.9,77.3,79.1,80.6,83,85.5,82.1,83.7,84.9,86.3,87.4,89,89.6,91,94.2,96.5,97,97.5,98.7,100.6,101.3,102.3,103.5,104.7,105.6,107.6,107.1,107.2,110,111.6,112.7,113
市部＿三鷹市,60.4,61.2,62,63.5,65,66.2,67.3,68.5,63.7,64.7,65.6,67.4,68.8,69.6,71.1,72.1,74.3,74.5,75.1,76,76.7,77.7,79.6,80.4,81,81.1,81.6,82.7,83.2,83,83.5,84.7,85.1,85.7
市部＿青梅市,38.4,38.7,39.4,39.9,40.3,41,42.1,43.1,44,45,48.4,45.7,46.9,47.5,48,48.6,49.6,50.1,51.1,51.4,51.7,52.1,52.6,52.9,53.4,53.7,54.2,54.4,54.5,54.6,54.3,53.9,54.5,54.8
市部＿府中市,49.4,50.4,51.5,52.8,54.1,55.4,56.4,57.7,58.8,60,63.2,65.8,67.2,68.7,70.6,72.1,74.3,75.3,76.5,76.4,78.8,79.7,81.7,82.6,83.6,84.3,85.1,85.8,86.4,86.8,87.9,88.8,89.4,89.8
市部＿昭島市,42.3,43.2,44.6,45.8,46.6,47.6,48.6,49.2,50.8,51.8,52.7,54.4,54.9,55.5,56.9,57.5,58.4,58.5,60.1,60.8,62.9,64.2,65.7,66.7,67.3,67.7,68.6,68.6,69,69.1,69.1,69.5,70,71
市部＿調布市,58.6,59.6,61.1,62.1,63.2,64.5,66,67.2,68.7,69.6,70.3,71,72.4,73.7,74.7,75.8,77.5,78.6,80,80.2,81.2,83.5,84.5,84.5,85.6,87.1,87.6,88.3,88.5,89.7,90.1,90.5,91.2,92
市部＿町田市,41,41.1,41.9,43.1,44.5,45.5,46.6,47.7,48.7,49.9,50.4,50.9,51.8,52.7,53.6,54.3,55.8,57.2,58.2,59.8,59.3,60.3,60.3,61.3,62.1,62.8,63.3,63.6,64.4,64.8,65.3,65.7,66,66.6
市部＿小金井市,50.5,51.5,52.5,53.5,54.2,54.7,56,57.2,58.5,60.5,61.1,62.5,63.5,65.2,66.8,67.9,68.3,70,70.7,72.1,73,73.8,74.4,74.9,75.7,76.3,78.1,78.5,79.1,79.6,80.4,80.5,81.2,81.7
市部＿小平市,47.8,49,50.1,50.8,51.9,52.3,53.2,54.5,56.3,57.8,58.4,59.3,60.6,61.8,63,63.7,65.3,65.5,66.3,66.9,67.4,67.6,68.5,69.6,70.2,70.3,70.7,70.8,71.2,71.7,72.1,72.5,73,73.6
市部＿日野市,45.5,47.2,49.4,51.1,52.1,52.5,53.4,55.1,56.2,57.4,58.7,58.7,59.9,60.7,61.8,62.7,64.8,65.2,66.4,66.7,67.9,68.3,69.4,69.8,70.5,70.9,71.3,71.1,71.5,70.7,71.5,72,73,74.8
市部＿東村山市,46.3,46.8,47.7,49.3,50.4,51.8,53.5,54.5,55.7,57.4,57.6,58.8,59.7,60.3,60.8,62.7,64.8,65.9,66.2,67,67.7,68.8,69.1,69.6,70.4,71.3,72.2,72.4,72.6,73.4,73.6,74,74.1,74.2
市部＿国分寺市,45.6,46.7,48.4,49.7,51.1,52,53.9,55,57.6,59.8,60.8,62.1,63.2,64.4,65.9,67.1,69,70.5,72.5,73,73.4,74.3,75.2,75.9,76.4,76.9,77.5,77.7,78.2,79.2,79.2,79.6,79.8,80
市部＿国立市,44.6,45.3,46.6,47.8,48.7,49.7,51.1,51.6,53.1,55.4,56.5,57.9,59,60.4,61.5,62.4,65.7,67.4,69.7,70,72,72,72.7,73.6,75,75.4,75.9,76.4,76.9,78,78.2,78.6,80.2,80.5
市部＿福生市,46.2,45.3,46,47.3,47.6,48.6,50.6,51.7,53,54.5,55.4,56.4,57.1,57.9,58.7,59.9,60.9,61.8,62.5,62.4,62.8,65,65.3,65.6,65.9,66.1,66.6,66.9,66.9,67.2,67.3,67.7,67.8,68.1
市部＿狛江市,56,57.1,57.9,60.1,61,66.2,66.9,67.9,69.2,70.6,71.3,72.3,73.1,74.8,75.4,76.5,78.7,79.5,80.6,81.3,82.6,83.6,88,88.2,88,87.9,90.9,91.8,90.5,91.5,92.7,92.1,93.2,88.6
市部＿東大和市,40.3,41.3,42.1,43.1,43.3,44.2,44.9,46.1,47.1,48,48.3,50.1,51,51.7,52.9,53.8,55.8,56,56.6,57.8,59.5,60,60.3,61.7,63,63.3,63.6,64.2,64.2,65.2,65.2,66.2,66.3,66.7
市部＿清瀬市,44.2,45.2,46.5,47.6,49.7,50.4,51.6,52.8,54.1,55,56,57.1,57.7,59.5,60.2,61.2,64.4,65.2,66.1,65.2,66.5,69.8,70.2,70.5,70.9,71.5,71.7,72.3,72.4,72.6,72.9,73.3,73.5,73.9
市部＿東久留米市,43.9,44.7,45.7,46.7,48,47.9,49,50.3,51,51.7,52.3,52.8,54,55.5,57.2,58.9,60.7,61.3,62.3,61.6,62.2,62.6,63.5,63.7,64.7,65.3,65.9,66,66.6,66.2,67.8,68.5,68.7,69.2
市部＿武蔵村山市,40.2,41,41.9,42.5,43.2,44,45.3,45.9,47.1,47.6,48.5,49.7,50.4,50.8,51.2,51.9,52.7,52.8,48,56,55.5,56.2,55.4,55.2,58.2,58.8,59.7,59.9,60.1,59.8,59.5,59.8,59.9,59.7
市部＿多摩市,38.9,39.6,42.1,44.5,47.8,50.9,53.1,57.2,59.6,62.7,65,67.9,70,71.3,72.5,74.3,75.6,76.7,76.9,77.7,79.2,79.6,80.2,81.3,83.3,84.3,85,84.8,83.7,84.5,89.6,87.2,87.5,88.4
市部＿稲城市,43,45,46.7,47.8,49.2,49.7,52.1,55.4,56,56.6,58.2,58.3,58.5,59.7,61.4,60.9,62.1,64.1,64.8,65.5,67.4,67.6,67.4,66.2,66.8,68.6,69.1,71,71.7,71.8,72.6,72.9,73.2,74.7
市部＿羽村市,39.8,38.4,39.1,39.9,40.8,41.5,42.9,43.9,45.3,33.8,47.3,48.5,50.1,50.6,51.1,51.7,52.6,52.9,53.1,53.4,54,54.3,54.5,55.1,55.2,55.3,56.5,56.7,57.3,57.5,57,57.1,57.3,57.7
市部＿あきる野市,31.4,32.1,32.4,33,33.3,34,34.4,35,35.6,36.6,37.1,37.5,38.1,39.1,39.6,39.7,40.5,41.4,42.3,42.7,43.1,43.5,43.7,44.3,44.6,45,45.3,45.5,45.7,45.8,46,46,46.2,46.3
市部＿西東京市,50.5,51.6,52.7,53.9,55,55.9,57,57.9,59.1,60.3,61.7,62.9,64.5,66.6,68,69.4,71,72,73.2,73.5,75.4,77.1,78.6,79.9,79.7,80.5,81.4,83.3,83.8,84.4,84.3,84.8,85.7,86.1
市部＿市部計,46.5,47.5,48.5,49.8,50.9,51.9,53.1,54.4,55.5,56.6,57.8,58.7,59.9,60.7,61.7,62.7,64.4,65.3,66,66.7,67.6,68.5,69.2,69.8,70.5,71.1,71.8,72.2,72.5,72.8,73.3,73.7,74.1,74.7
西多摩郡＿瑞穂町,29.8,30.4,31.7,32.3,33.3,34.5,35,36.1,38,39.2,40.6,41.3,41.5,41.5,42,42.5,43,43.6,44,45.8,46,46,47,47,48.9,48.1,48.2,48.3,48.3,48.3,48.4,48.2,48.4,48.7
西多摩郡＿日の出町,29.5,30.2,30.4,31,31.5,31.4,31.7,32,31.8,31.3,32.2,32.9,32.9,33.6,33.6,34.1,34.7,34.9,35.3,35.7,36.2,36,36,36,39.8,39.6,40.3,40.4,40.8,41.3,41,41.1,41.1,41.2
西多摩郡＿檜原村,42.9,43.1,43.1,43.2,43.9,43.6,43.9,43.6,45.3,45.8,45.9,45.9,45.8,45.6,45.6,45.6,45.5,45.7,45.8,45.4,45.8,45.7,44.8,44.8,44.8,45.1,45.1,45,46.1,46.1,44.3,44.1,43.5,45.6
西多摩郡＿奥多摩町,45.7,45.6,45.1,45.1,44.8,44.6,44.9,44.8,48.3,48,47.6,47.6,47.6,48,48,48,47.5,47.2,47.2,47.2,47.4,47.4,45.6,45.6,45.9,45.6,45.3,44.9,46.8,46.8,44.8,44.4,44.1,46.3
西多摩郡＿西多摩郡計,35.2,35.1,33.9,36.4,37,37.6,38.2,38.9,40.2,37.9,38.7,39.3,39.5,40.4,40.6,41,41.4,41.7,42,43.1,43.4,43.4,43.7,43.7,45.9,45.3,45.5,45.6,45.9,46.1,45.7,45.6,45.6,46.2
多摩地域計,45.8,46.7,47.9,48.9,50,51,52.2,53.4,54.5,55.8,57,57.8,59,60.1,61.1,62,63.6,64.5,65.2,66,66.8,67.7,68.3,68.9,69.6,70.2,70.8,71.3,71.6,71.9,72.4,72.8,73.1,73.7
区部・多摩計,73.3,74.4,76.3,76.6,78.6,80.1,82.1,84,86.2,88.4,90.2,92.4,94.8,96.7,98.9,100.9,103.3,104.8,105.9,107.2,108.8,110.4,110.8,112.1,113.7,114.8,116,116.6,117.5,118.2,118.9,119.8,120.6,121.5
