区市町村名　/　昭和・平成　年,58年,59年,60年,61年,62年,63年,64年,2年,3年,4年,5年,6年,7年,8年,9年,10年,11年,12年,13年,14年,15年,16年,18年,19年,20年,21年,22年,23年,24年,25年,26年,27年,28年,29年,30年
大田区,100,103.6,113,165.9,347.2,334.4,304.6,305.5,291.8,223.5,178.6,164,156,145.9,132.9,126.1,119.8,113.9,111,109.6,109.2,109.1,112.6,127.9,129.6,114.7,110.5,109.5,108.8,109.1,110.9,112.9,116.6,119.7,120.2
世田谷区,100,103.3,112.1,182.2,357.7,326.6,303.4,308,298.1,232.2,181.3,164.4,157.7,152.7,151,148.7,143.6,140.7,138.6,136.7,134.5,133.5,144.1,164.2,165.1,142.3,137.8,135.9,134.9,135.5,137.6,139.8,143.7,148.2,149.2
渋谷区,100,108.9,123.7,173.2,344.3,316.8,306,308.8,298.3,213.3,157.8,116.5,104,92.9,90.9,89.7,86.7,86.1,86.3,86.3,86.4,88,107.2,132.1,127.2,109.2,106.2,104.5,103.8,105,108.4,111.8,115.6,119.7,120.1
中野区,100,101.7,104,135,260.1,244,224,224.2,212.1,172.4,131,115.8,106.9,100.7,100.1,99.8,97.1,95.9,95.1,93.4,92.4,92,94.3,105.4,107.6,96,91.8,90.9,90.4,91.2,92.4,94.1,96.9,100.1,100.9
杉並区,100,103,109.7,159.6,325.6,312.3,288.9,295.8,285.7,218.3,168.7,152.7,146.7,138,135.7,132.3,128.6,125.5,123.6,121.9,120.1,119.5,124.9,138.5,138.6,122.3,119.9,119.2,119,119.7,121.9,125.2,129,133.3,134
豊島区,100,103.6,108.5,139,255.2,247.3,246.1,250.3,243.5,191.6,146.8,123.6,115.1,106.7,103.1,100.1,94.5,89.3,85.1,81.2,78.2,76.8,81,94,98.3,88.5,86.3,84.3,83.8,84.3,86.2,88.7,91.4,95.1,97.4
北区,100,102.6,106.5,122.3,205.6,207.9,206.9,213.7,210.1,180.7,149.1,136.3,128.4,120.8,114.9,109.7,103.9,99.1,94.5,90.3,87.5,85.7,89.2,98.1,99.4,91.8,90,89.1,88.9,88.9,89.7,91.5,94.2,98.2,101
荒川区,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
板橋区,100,102.2,104.1,112.1,241.6,240.9,239.9,242.5,240.1,200.2,165,146,139.4,134.2,132.1,130.1,123.7,118.6,114.8,110.2,106.9,104.8,107.2,118.9,122.2,110.5,107.2,105.4,104.9,105.2,106.7,108.5,111.1,114.9,117.2
練馬区,100,101.7,104,121.2,278.3,280.5,265.9,270.2,259.4,206.2,175.9,163.2,157.7,153.4,150.3,145.8,136.9,128.8,123.2,119.3,116.7,115.5,118.2,131,135.4,119,116.3,115.4,115,115.3,117.7,118.6,120.3,122.6,123.6
足立区,100,101.7,102.7,107.6,157.5,220.8,222.3,237.9,237.7,207.3,177.4,166.6,156.6,146.3,139.7,133.4,123.9,114.9,108.1,103.2,100.1,99,112.5,123.2,128.1,120,115.6,113.9,113.2,113.3,114.3,115.4,117.2,121.1,122.7
葛飾区,100,100.2,100.4,106.7,208.8,225.1,229.2,242.5,242.5,217.3,174.1,162.1,159.3,155.3,150.5,144.2,129.9,121.7,116.7,112.8,109.8,108.4,111.1,121.3,124.1,117.2,114.5,113.4,112.8,112.7,113.4,114,114.8,117.1,117.6
江戸川区,100,102.9,104.8,112.1,222.1,283.2,286,297.4,298.6,268.4,206.1,188.8,184.6,175.6,169.3,156.4,142.6,131.8,124.8,119.9,116.4,114.3,119.3,131.5,133,122.3,118.8,116.6,116.1,116.2,117.7,119.1,121.1,124.8,126.3
区部,100,103.2,108.9,142.1,276.8,289.3,278,283.8,275.6,223,176.8,157,147,138.2,133.8,129.7,123.1,118.1,114.6,111.9,109.9,109,116.5,131.8,133.8,119.6,115.9,114.4,113.8,114.4,116.6,119,122.2,126.2,127.5
八王子市,100,102.8,105.1,108.8,167.4,218.1,214.6,215.9,212.4,199.4,181.5,170.8,166.5,161.5,157,146.2,131.4,117.6,106.1,95.3,88.2,83.4,82.7,87.8,90.2,83.2,80.2,78.8,78.2,78.2,78.5,78.9,79.1,79.3,79.3
立川市,100,103.6,106.5,110.5,202.4,241.7,225.5,231.6,221.6,188.4,159.4,154.6,153.7,149.7,147.9,145.4,139.3,131.8,125.2,117.6,110.1,104,104.7,117.5,123,113.4,107.6,106.3,106.3,108.7,110.8,111.4,112,113.5,114.8
武蔵野市,100,102.9,107,133.9,345.6,316.6,288.1,288.1,275.4,219.8,173.4,158.5,153.1,149.4,148.1,143.8,134.3,129.7,126,121.8,120,119.1,127.1,143.1,146,133.4,130.6,130.3,130.3,132.6,136.3,139.7,145.7,151.3,150.6
三鷹市,100,102.8,106.3,129.8,310.6,278,248.8,251,239.7,193.7,163.1,150.9,146.2,143.3,142.4,140.3,129.2,124,120.3,115.4,111.8,110.5,113.7,126.5,126.5,116,112.8,112.2,112,113.1,114.2,115.5,119.1,122.2,122.1
青梅市,100,101.9,103.7,106.7,137,199.2,195.6,196,196.6,187.8,178.4,173.2,171.1,166,163.3,154.3,133.6,123,113.4,102.3,94.1,86.3,82.5,86.2,87.1,82.4,77.4,76.1,74.9,74.6,74.8,74.6,74.1,73.6,73.2
府中市,100,102.9,105.6,120.5,261.8,260.8,251.4,256.7,248.7,215.1,180.3,163.9,158.7,152.5,150.1,145,137.2,133.2,128.4,123.4,119,116.1,118.2,132.4,137.1,125.1,122.3,120.8,120.2,120.8,122.7,123.8,124.9,126.1,126.1
昭島市,100,102.8,104.7,107.5,173.9,194.9,194.3,198,191.9,171.4,151.3,146.6,145.6,142.5,141.5,138.1,130.9,123.7,116.5,106.5,97.2,90.2,88.6,96.5,100.6,92.2,88.6,88,88,89.9,91.6,92.3,92.5,93.2,93.1
調布市,100,102.8,105.6,124.2,310.6,306.6,287,291.6,278.8,238.1,196,174.6,166.9,159.2,155.5,150.7,143.2,137.9,132.9,128.2,122.4,120.2,125.6,140.9,145,128.5,124,123,122.5,122.9,124.7,126.2,127.3,128.6,129.1
町田市,100,102.1,104.2,106.5,190.6,249.5,235.3,237.4,236,215,192,180.1,172.9,164.1,159.3,152.1,138.3,125,114,102.7,95,91.3,89.8,96.1,98.9,93.6,91.3,90.3,90,90.4,90.7,91,91,91.1,91
小金井市,100,102.3,104.9,124.2,299.3,278.6,261.3,260.8,255.8,208.5,178.1,166.9,164.6,153.2,151.2,147,140.1,134.9,130.9,125.4,120.1,115.9,115.7,127.5,131.5,118.8,115.5,114.2,113.8,114.7,116.3,117.3,119.5,121.1,122.8
小平市,100,101.9,103.7,112.8,247.9,241.7,231.5,235.9,226.7,192.9,161.3,152.3,148.3,143.9,142.2,136.1,123.4,116.5,111.6,106.7,103.7,101.7,104,112.2,112.7,105.3,100.6,99,98.1,98.5,99.8,100.7,101.7,103.1,102.7
日野市,100,102.7,105.4,108.7,181.7,206.2,189.9,194.5,188.1,167.4,146.8,144.3,144,139,136.4,132.3,121.5,112.1,103.3,95.4,88.4,83,81.9,89.1,92.3,84.3,80.3,79.5,79.5,80.9,82.4,83.2,83.7,84.5,84.5
東村山市,100,102.4,104.4,108.4,242.2,250.7,235.2,235.4,229.8,201.8,169.3,163.9,160.9,153.2,149.4,144.6,124.5,113.7,110.4,104.7,101,97,95.3,103,105.4,96.3,92.8,91.3,91.1,91.8,93.1,93.8,94.6,95.4,95.4
国分寺市,100,102.8,105.8,123.3,309,279.3,250,256.8,254.5,214.5,184.9,177.7,175.9,170.3,167.6,164.4,153.7,145.6,140,135.4,130.1,126.6,125.2,134.1,137.2,121.5,118.5,116.5,116.1,116.6,117.3,117.9,118.3,119.1,119.9
国立市,100,103.1,106.2,135.6,340.6,332.8,307.8,311.2,300.6,242.3,203.8,180.8,174.3,165.9,163.2,159.4,149.7,143.7,139,134.4,130.8,127.6,131.4,138.5,138.1,119.2,115.4,113,112.9,115,117.1,118.4,119.2,120,121.3
福生市,100,101.9,103.7,105.7,141.1,214.9,213.6,218.5,216.8,197.1,181.5,175.1,173.2,166.4,164.2,155.8,139,130.4,122.8,120,113.4,102.7,101.3,109.9,111.1,104,98,96.8,95.5,95.9,97.5,99.2,100.2,100.7,100.7
狛江市,100,102.5,105.2,125.3,274,272.1,264.5,272.2,262.4,227.2,184.9,167.7,162.7,155.9,152.5,146.9,139,132.2,125.6,122.2,116.7,113.7,115.9,127.3,131.1,116.2,114.6,113.4,112.6,112.5,113.6,114.4,115.1,116.2,116.6
東大和市,100,102,103.5,109.6,197.5,191.4,190.1,194.7,192,179.7,155.6,154,152.6,149.1,147.9,142,124,115.3,109.7,104.3,99.9,96.2,96.2,103.4,103,96.3,92.6,90.8,89.6,89.8,90.7,90.8,91.5,91.9,91.8
清瀬市,100,101.7,103.5,107.3,211.1,211.9,205.5,209.6,204.4,184.8,161.9,159.5,157.7,153.9,150.8,143.9,125.3,117,112.5,108.1,104,100.3,99.1,105.9,107.8,98.4,94.9,93.6,93.4,94.1,95,95.6,96.4,97.2,97.1
東久留米市,100,101.8,103.6,107.5,221.3,222.2,208.6,213.6,209.1,185.5,159.3,156.4,154.7,148.7,145.9,139.6,121.2,112.8,108.7,102.9,97.7,93.4,91.1,98.3,100.9,92.5,90,88.8,88.6,89.4,90.3,91.3,92,93,93
武蔵村山市,100,102.1,103.7,105.3,176.7,173,172.7,174.6,175.1,170.7,156.7,156.2,155.6,154.8,154.2,147.3,129.6,117.9,109.2,99.6,91,86.8,85.8,91.6,91.5,85.3,81.8,80.1,78.9,78.9,79.6,80.3,80.5,80.7,80.7
多摩市,100,102.8,105.7,111.4,262.5,326.3,287.1,282.5,275.4,239.9,192.2,179.1,172.3,164.9,159.8,152,138.3,126.7,115.5,107.1,99.1,94.1,91.9,97.1,98.6,91.7,89.2,88.1,87.4,87.6,88.1,88.4,88.2,88.2,88.1
稲城市,100,102.7,105.3,114,196.8,207.4,205.1,205.3,200.4,186.6,166.3,157.3,154.9,150.9,147.7,143.4,135.1,129.6,121.4,113.4,105.7,101.4,98.4,102.6,102.7,99.5,98.8,98.1,98.1,98.7,99.9,101.5,103.3,105.4,105.5
羽村市,100,101.6,103.1,105.2,143.8,209.9,206.3,211.9,211.9,197.7,184.1,178,176,172,170.1,164.3,146.1,139.2,128.8,123,111.9,107.2,105.8,115,115,107,101.7,100.2,98.8,98.9,100.3,101.6,102.1,102.3,102.2
あきる野市,100,101.7,102.8,104.5,127,175,174,177.5,178.9,174.4,168.8,164.9,164.6,162.3,161.5,155.4,134,124.9,117,109.1,98.8,91,88.4,93.5,96.6,91.4,85.3,84.3,83.3,83.1,83.5,84,83.9,83.8,83.8
西東京市,100,102.4,104.2,112.8,262.2,240.6,230,233.5,226.6,194.1,163.2,157.7,155.1,148.7,146.4,140.5,127,119.7,115.2,111.1,106.5,104,105.3,115.1,119.5,108.5,106.1,105.2,105.1,105.9,107.1,108.1,109.3,110.7,111.3
瑞穂町,100,101.4,102.9,104.5,158.4,215.7,214.8,221.5,222.8,219,215.7,211,206.1,202,201,193.2,174.3,159.7,147.5,138.4,124,116.8,113.9,115.8,115.8,110.4,104.3,104.3,102.6,102.7,103.4,104.1,104.8,104.7,104.9
日の出町,100,101.8,102.7,102.7,120.2,177.1,174.3,174.3,174.3,172.2,166.3,161,159.1,156.4,154.5,146.3,122.6,114.8,105.3,97,87,82.5,78.3,79.3,79.3,74.3,68.7,67.4,66.3,65.9,65.8,65.8,65.8,65.6,65.7
檜原村,100,101.7,103,104.2,119.7,217,210.7,210.7,210.7,210.7,204.4,200.9,200.5,200.1,199.7,195.9,175.9,167.5,159.3,148.1,136.6,124.5,115.8,113.6,111.5,107.2,99,97.4,92.1,88.4,85.7,83.8,83.7,82.8,82.7
奥多摩町,100,102.1,104.2,106.5,112.9,172.1,172.1,172.1,172.1,172.1,166.9,163.4,163.1,162.8,162.8,160.8,153.2,146.2,139.4,133,123,112,106,104.6,103.3,99.7,92,86.4,81.6,78.5,75.8,73.6,72,70.8,71.2
多摩地域,100,102.4,104.8,113.3,221.4,249.1,237.1,240.2,234.9,208.8,181.9,172.6,168.8,163.1,160,153.4,139.6,129.8,121.6,113.4,106.6,101.9,101.3,109.2,111.6,103.1,99.5,93.9,93.3,93.8,94.7,95.3,92.8,93.4,93.5
大島町,100,100.6,101,101.4,102.3,102.8,103.2,103.7,104.4,104.6,104.6,104.6,104.6,104.6,104.6,104.6,104.6,104.6,104.6,104.6,104.6,104.6,104.6,104.6,104.6,102.4,101.5,101.5,98.8,96.6,94.8,93.4,93.4,93.4,93.4
新島村,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
神津島村,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
三宅村,100,100.4,100.7,101.3,102.2,102.8,103.1,103.1,103.4,103.4,103.4,103.4,103.4,103.4,103.4,103.4,103.4,103.4,,,,,,,,,,,,,,,,,
八丈町,100,100.5,101.2,101.5,102.3,102.6,103.4,104.2,104.8,104.9,104.9,104.9,104.9,104.9,104.9,104.9,104.9,104.9,104.9,104.9,104.9,104.9,104.9,104.9,104.9,101.6,95.4,94.2,89,84.4,83,81.9,81.1,81.1,81.1
小笠原村,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東京都,100,102.8,106.7,126.8,244.7,265,253.9,258,251.6,214.6,179.4,165.6,159,151.8,148.2,143,132.8,125.4,119.5,113.9,109.2,106.2,109.1,119.9,122.2,111.5,107.8,107.8,107.2,107.7,109.2,110.6,112.3,114.3,114.9
