用途,昭和58年,昭和63年,平成5年,平成6年,平成7年,平成8年,平成9年,平成10年,平成11年,平成12年,平成13年,平成14年,平成15年,平成16年,平成17年,平成18年,平成19年,平成20年,平成21年,平成22年,平成23年,平成24年,平成25年,平成26年,平成27年,平成28年,平成29年,平成30年,平成31年,令和2年,令和3年
多摩地域／住宅・アパート／割合(%),75.8,75.2,73.6,73.4,74,74.3,74.4,74.6,74.8,75.3,75.1,75.8,75.9,76.2,76.6,76.3,76.5,76.4,76.6,76.6,76.7,77,77.3,77.4,77.7,77.8,77.9,78.6,78.1,78.3,78.3
多摩地域／事務所・店舗等(千m2),7047,9968,14035,14451,15343,15855,16437,16737,16951,17350,17615,17537,17917,18289,18525,18817,19039,19665,19809,20274,20454,20474,20509,20875,20846,20941,20964,20600,21286,21291,21354
多摩地域／事務所・店舗等／割合(%),7.9,9.5,11.3,11.4,11.7,11.8,11.9,11.9,11.8,12,11.8,11.6,11.6,11.6,11.5,11.5,11.4,11.6,11.5,11.7,11.7,11.6,11.5,11.6,11.5,11.4,11.3,11.3,11.3,11.2,11.1
多摩地域／工場・倉庫(千m2),9657,11307,13122,13376,13480,13525,13733,13786,13875,14025,14066,13757,13657,13567,13540,13497,13569,13597,13657,13770,13767,13636,13577,13435,13585,13532,13897,12725,13735,13886,14077
多摩地域／工場・倉庫／割合(%),10.8,10.7,10.6,10.5,10.3,10.1,10,9.8,9.7,9.2,9.4,9.1,8.9,8.6,8.4,8.2,8.2,8,8,7.9,7.8,7.7,7.6,7.5,7.5,7.4,7.5,7,7.3,7.3,7.3
多摩地域／その他(千m2),5016,4862,5661,6010,5254,5240,5096,5231,5327,5318,5384,5452,5518,5516,5559,6434,6514,6638,6604,6604,6597,6584,6469,6441,6240,6266,6202,5939,6268,6123,6124
多摩地域／その他／割合(%),5.6,4.6,4.6,4.7,4,3.9,3.7,3.7,3.7,3.5,3.6,3.6,3.6,3.5,3.5,3.9,3.9,3.9,3.9,3.8,3.8,3.7,3.6,3.6,3.4,3.4,3.3,3.2,3.3,3.2,3.2
多摩地域／計(千m2),89667,105261,124216,127174,131188,134452,137634,140753,143489,146354,149073,151591,153911,157319,160734,163771,166369,169406,171530,173800,175490,176934,178350,180292,182055,183650,185788,183060,188838,190243,191811
多摩地域／計／割合(%),100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
区部多摩合計／住宅・アパート(千m2),263157,293116,329736,337038,345333,352939,360857,370489,377378,383861,391461,399395,406457,415502,424978,430220,437739,445413,451975,458317,462667,468171,473174,478371,484203,489773,495323,497692,504546,508874,513216
区部多摩合計／住宅・アパート／割合(%),71,70.5,68.7,68.3,67.9,67.9,67.9,68.1,68.2,68.4,68.6,69,69.3,69.4,69.7,69.9,70.1,70.2,70.4,70.5,70.7,70.9,71,71.3,71.4,71.6,71.8,72,71.9,72,72
区部多摩合計／事務所・店舗等(千m2),55974,68211,89207,94806,100763,104465,108467,111117,112659,114165,116018,116464,118283,121422,123557,123694,125256,127390,128580,129624,130096,131196,132402,133324,134016,134826,134988,135238,136718,137673,138015
区部多摩合計／事務所・店舗等／割合(%),15.1,16.4,18.6,19.2,19.8,20.1,20.4,20.4,20.4,20.3,20.3,20.1,20.2,20.3,20.3,20.1,20.1,20.1,20,20,19.9,19.9,19.9,19.9,19.8,19.7,19.6,19.6,19.5,19.5,19.4
区部多摩合計／工場・倉庫(千m2),39467,40612,43707,44204,44927,44942,45108,45162,45071,44957,44784,43950,43392,42800,42281,41270,41002,40961,40711,40846,40652,40177,39836,39335,39382,39012,39292,38333,39201,39319,39677
区部多摩合計／工場・倉庫／割合(%),10.6,9.8,9.1,9,8.8,8.6,8.5,8.3,8.1,8,7.8,7.6,7.4,7.1,6.9,6.7,6.6,6.5,6.3,6.3,6.2,6.1,6,5.9,5.8,5.7,5.7,5.5,5.6,5.6,5.6
区部多摩合計／その他(千m2),12016,13810,17035,17615,17285,17216,17283,17572,17946,18146,18345,18698,18785,18907,18997,20091,20442,20691,20811,20903,20878,21027,20407,20295,20225,20217,20319,20372,21021,21034,21541
区部多摩合計／その他／割合(%),3.2,3.3,3.6,3.6,3.4,3.3,3.3,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.1,3.3,3.3,3.3,3.2,3.2,3.2,3.1,3.1,3,3,3,2.9,2.9,3,3,3
区部多摩合計／計(千m2),370614,415749,479785,493661,508309,519561,531714,544340,553054,561130,570608,578508,586917,598630,609813,615275,624439,634455,642077,649690,654293,660570,665820,671324,677827,683828,689922,691635,701485,706900,712449
区部多摩合計／計／割合(%),100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
