区名,平成21年／件数(件),平成21年／面積(m2),平成22年／件数(件),平成22年／面積(m2),平成23年／件数(件),平成23年／面積(m2),平成24年／件数(件),平成24年／面積(m2),平成25年／件数(件),平成25年／面積(m2),平成26年／件数(件),平成26年／面積(m2),平成27年／件数(件),平成27年／面積(m2),平成28年／件数(件),平成28年／面積(m2),平成29年／件数(件),平成29年／面積(m2),平成30年／件数(件),平成30年／面積(m2),平成31年／件数(件),平成31年／面積(m2)
国等／練馬区,370,49684,298,25304,306,45923,377,56441,351,40447,435,55803,455,54268,394,66403,223,26483,235,42810,229,34544
国等／足立区,122,20932,112,10697,164,20104,143,39966,135,21278,123,16257,146,25484,113,9723,121,14049,158,51475,130,5071
国等／葛飾区,144,96089,95,7016,99,13636,246,40804,296,20330,154,16672,308,15265,172,23612,234,22560,241,9193,186,8498
国等／江戸川区,354,37344,200,24832,196,19534,215,16300,196,11898,222,27877,126,12978,171,7436,250,16577,248,19910,182,12524
国等／合計,1953,368154,1366,238293,1489,341074,2017,373814,1856,285346,1881,284384,2314,386696,2483,289766,2517,262520,2486,298296,2203,235891
合計／千代田区,502,78123,654,112984,558,118233,667,74388,678,72513,764,78559,745,82679,811,70780,857,74504,797,85650,737,74991
合計／中央区,964,101224,824,100566,750,89306,840,93397,1031,102972,997,93513,1428,114128,1305,104393,1205,85382,1288,88688,1117,93368
合計／港区,1281,530167,1497,394291,1350,374125,1436,172392,1755,274274,1956,267200,1965,246872,1893,299328,1813,254556,1759,248302,1605,169290
合計／新宿区,1995,300010,2452,750498,2282,439681,2515,206085,2572,228632,2826,238439,2532,250700,2791,257397,2746,242783,2801,244324,2849,226277
合計／文京区,1231,217342,1376,134654,1221,226030,1573,107870,1829,131587,1760,132052,1817,132063,1754,133250,1871,145017,1701,124653,1719,117420
合計／台東区,1081,114774,1272,123829,1206,162566,1354,95444,1381,105020,1390,103192,1578,120290,1631,124431,1797,133618,1999,147837,1914,140597
合計／墨田区,1144,98373,1528,158879,1594,130113,1838,147257,1914,148304,2181,175488,2282,158900,2094,156062,2297,169772,2076,162529,2423,172013
合計／江東区,1583,269519,1804,292515,1662,543318,1926,272269,2074,313448,2023,253557,2251,297206,2133,390317,2263,222727,2635,261784,2559,292464
合計／品川区,2493,671310,2449,364361,2325,357348,2732,219951,2766,240559,2884,226303,2590,204082,2856,230572,3180,244772,3054,229546,3124,235867
合計／目黒区,2074,658079,2114,302515,1880,219727,2383,190618,2325,200249,2105,208984,2307,199559,2417,217712,2355,209653,2397,212087,2447,224252
合計／大田区,4451,542865,4692,573102,4550,531408,4849,441216,5152,477624,5461,544305,6144,580319,6208,589531,6152,553797,6036,538971,6383,529401
合計／世田谷区,6952,926487,6975,1780722,6769,877791,7484,708313,8252,798410,8319,861659,8659,804451,8558,791699,8714,822018,8402,770026,8751,817522
合計／渋谷区,1571,212329,1793,205691,1574,222168,2070,192642,2476,215254,2312,211731,2066,218758,2106,205541,2484,242049,2150,198924,2251,211799
合計／中野区,2159,199505,2178,213371,2495,252509,2750,213154,2834,227449,3016,218202,3414,307877,2911,214304,3191,265969,2809,229204,3280,247225
合計／杉並区,4352,464297,4813,546960,4691,552756,5260,455541,5981,556530,5492,489790,6395,600869,5865,497129,5755,492455,5735,471837,6114,539487
合計／豊島区,2090,191175,2129,226931,1814,199659,2266,174069,2375,176620,2518,174281,2505,187417,2693,190373,2895,213996,2635,178216,2813,184009
合計／北区,1844,180196,1952,217115,1981,196547,2177,162313,2236,184232,2244,288788,2720,223041,2958,212443,2648,225868,2970,277816,3028,239022
合計／荒川区,1451,333922,1308,142357,1353,108689,1652,106293,1718,107303,1590,124886,1718,119585,1908,146064,1864,130293,2109,145598,2138,131363
合計／板橋区,2906,380427,3330,463602,3471,379649,4014,369354,4087,368658,4054,356057,4363,383441,4203,372000,4075,362831,4135,363840,4379,347114
合計／練馬区,5468,592728,5849,657270,6048,702280,6339,587419,6802,615410,7254,663127,7681,652311,7960,742316,7284,632435,7377,685364,7581,636762
合計／足立区,5301,439883,5862,526655,6245,615691,7524,580324,8133,633112,8078,646392,7684,687211,6945,598379,8113,638386,7446,691524,7663,593745
合計／葛飾区,3438,505667,3863,337872,4148,389587,4331,359874,4777,353633,4508,330189,5007,357116,4632,373249,5451,389993,5198,371323,5336,372244
合計／江戸川区,4803,442261,5034,476187,4389,460909,5321,423423,5721,446189,5557,454074,5857,493706,5479,459872,6027,504085,5991,471966,5763,440535
合計／合計,61134,8450663,65748,9102926,64356,8150089,73301,6353605,78869,6977980,79289,7140768,83708,7422581,82111,7377142,85037,7256959,83500,7200009,85974,7036767
