区市町村名,合計面積(千m2),住宅・アパート／面積(千m2),住宅・アパート／構成比(%),事務所・店舗等／面積(千m2),事務所・店舗等／構成比(%),事務所・店舗等／事務所・銀行／面積(千m2),事務所・店舗等／事務所・銀行／構成比(%),工場・倉庫／面積(千m2),工場・倉庫／構成比(%),その他／面積(千m2),その他／構成比(%)
西多摩郡／檜原村,192,142,73.9,7,3.5,,,14,7.3,29,15.3
西多摩郡／奥多摩町,384,294,76.6,16,4.2,,,27,7.1,47,12.2
西多摩郡／西多摩郡計,4099,2309,56.3,470,11.5,,,1038,25.3,283,6.9
多摩地域計,191811,150256,78.3,21354,11.1,10165,5.3,14077,7.3,6124,3.2
島しょ／大島町,557,414,74.3,44,7.9,,,26,4.7,72,13
島しょ／利島村,21,13,60.2,2,7,,,5,22.7,2,10.1
島しょ／新島村,273,201,73.5,26,9.6,,,26,9.5,20,7.4
島しょ／神津島村,150,102,67.8,7,4.7,,,19,12.8,22,14.8
島しょ／三宅村,219,149,68.3,15,7,,,27,12.2,27,12.5
島しょ／御蔵島村,13,9,71.3,0,3.6,,,2,15.9,1,9.2
島しょ／八丈町,567,393,69.4,49,8.7,,,55,9.7,69,12.2
島しょ／青ヶ島村,11,6,57.2,2,15.2,,,3,24.6,0,3
島しょ／小笠原村,76,41,53.4,14,18.8,,,8,10.7,13,17.1
島しょ／島しょ計,1887,1328,70.4,160,8.5,,,171,9.1,228,12.1
合計,714336,514544,72,138175,19.3,105619,14.8,39848,5.6,21769,3
