区市町村名,昭和58年（％）,昭和63年（％）,平成4年（％）,平成9年（％）,平成14年（％）,平成17年（％）,平成18年（％）,平成19年（％）,平成20年（％）,平成21年（％）,平成22年（％）,平成23年（％）,平成24年（％）,平成25年（％）,平成26年（％）,平成27年（％）,平成28年（％）,平成29年（％）,平成30年（％）
市部／立川市,47.4,54.1,59.2,66.7,72.3,73.9,74.4,75.6,76.5,77.7,78.3,78.1,78.1,78.4,78.5,79.9,79.1,81.6,82.4
市部／武蔵野市,71.6,80.6,83.7,89.6,97.0,100.6,101.3,102.3,103.5,104.7,105.6,107.6,107.1,107.2,110.0,111.6,112.7,113.0,113.1
市部／三鷹市,60.4,66.2,64.7,71.1,75.1,77.7,79.6,80.4,81.0,81.1,81.6,82.7,83.2,83.0,83.5,84.7,85.1,85.7,85.7
市部／青梅市,38.4,41.0,45.0,48.0,51.1,52.1,52.6,52.9,53.4,53.7,54.2,54.4,54.5,54.6,54.3,53.9,54.5,54.8,54.2
市部／府中市,49.4,55.4,60.0,70.6,76.5,79.7,81.7,82.6,83.6,84.3,85.1,85.8,86.4,86.8,87.9,88.8,89.4,89.8,90.5
市部／昭島市,42.3,47.6,51.8,56.9,60.1,64.2,65.7,66.7,67.3,67.7,68.6,68.6,69.0,69.1,69.1,69.5,70.0,71.0,71.5
市部／調布市,58.6,64.5,69.6,74.7,80.0,83.5,84.5,84.5,85.6,87.1,87.6,88.3,88.5,89.7,90.1,90.5,91.2,92.0,92.4
市部／町田市,41.0,45.5,49.9,53.6,58.2,60.3,60.3,61.3,62.1,62.8,63.3,63.6,64.4,64.8,65.3,65.7,66.0,66.6,66.6
市部／小金井市,50.5,54.7,60.5,66.8,70.7,73.8,74.4,74.9,75.7,76.3,78.1,78.5,79.1,79.6,80.4,80.5,81.2,81.7,82.0
市部／小平市,47.8,52.3,57.8,63.0,66.3,67.6,68.5,69.6,70.2,70.3,70.7,70.8,71.2,71.7,72.1,72.5,73.0,73.6,73.0
市部／日野市,45.5,52.5,57.4,61.8,66.4,68.3,69.4,69.8,70.5,70.9,71.3,71.1,71.5,70.7,71.5,72.0,73.0,74.8,74.9
市部／東村山市,46.3,51.8,57.4,60.8,66.2,68.8,69.1,69.6,70.4,71.3,72.2,72.4,72.6,73.4,73.6,74.0,74.1,74.2,75.1
市部／国分寺市,45.6,52.0,59.8,65.9,72.5,74.3,75.2,75.9,76.4,76.9,77.5,77.7,78.2,79.2,79.2,79.6,79.8,80.0,80.2
市部／国立市,44.6,49.7,55.4,61.5,69.7,72.0,72.7,73.6,75.0,75.4,75.9,76.4,76.9,78.0,78.2,78.6,80.2,80.5,81.1
市部／福生市,46.2,48.6,54.5,58.7,62.5,65.0,65.3,65.6,65.9,66.1,66.6,66.9,66.9,67.2,67.3,67.7,67.8,68.1,68.3
市部／狛江市,56.0,66.2,70.6,75.4,80.6,83.6,88.0,88.2,88.0,87.9,90.9,91.8,90.5,91.5,92.7,92.1,93.2,88.6,90.0
市部／東大和市,40.3,44.2,48.0,52.9,56.6,60.0,60.3,61.7,63.0,63.3,63.6,64.2,64.2,65.2,65.2,66.2,66.3,66.7,67.0
市部／清瀬市,44.2,50.4,55.0,60.2,66.1,69.8,70.2,70.5,70.9,71.5,71.7,72.3,72.4,72.6,72.9,73.3,73.5,73.9,74.0
市部／東久留米市,43.9,47.9,51.7,57.2,62.3,62.6,63.5,63.7,64.7,65.3,65.9,66.0,66.6,66.2,67.8,68.5,68.7,69.2,69.6
市部／武蔵村山市,40.2,44.0,47.6,51.2,48.0,56.2,55.4,55.2,58.2,58.8,59.7,59.9,60.1,59.8,59.5,59.8,59.9,59.7,60.5
市部／多摩市,38.9,50.9,62.7,72.5,76.9,79.6,80.2,81.3,83.3,84.3,85.0,84.8,83.7,84.5,89.6,87.2,87.5,88.4,89.0
市部／稲城市,43.0,49.7,56.6,61.4,64.8,67.6,67.4,66.2,66.8,68.6,69.1,71.0,71.7,71.8,72.6,72.9,73.2,74.7,74.9
市部／羽村市,39.8,41.5,33.8,51.1,53.1,54.3,54.5,55.1,55.2,55.3,56.5,56.7,57.3,57.5,57.0,57.1,57.3,57.7,57.9
市部／あきる野市,31.4,34.0,36.6,39.6,42.3,43.5,43.7,44.3,44.6,45.0,45.3,45.5,45.7,45.8,46.0,46.0,46.2,46.3,46.0
市部／西東京市,50.5,55.9,60.3,68.0,73.2,77.1,78.6,79.9,79.7,80.5,81.4,83.3,83.8,84.4,84.3,84.8,85.7,86.1,86.5
市部／市部計,46.5,51.9,56.6,61.7,66.0,68.5,69.2,69.8,70.5,71.1,71.8,72.2,72.5,72.8,73.3,73.7,74.1,74.7,74.9
西多摩郡／瑞穂町,29.8,34.5,39.2,42.0,44.0,46.0,47.0,47.0,48.9,48.1,48.2,48.3,48.3,48.3,48.4,48.2,48.4,48.7,48.6
西多摩郡／日の出町,29.5,31.4,31.3,33.6,35.3,36.0,36.0,36.0,39.8,39.6,40.3,40.4,40.8,41.3,41.0,41.1,41.1,41.2,40.9
西多摩郡／檜原村,42.9,43.6,45.8,45.6,45.8,45.7,44.8,44.8,44.8,45.1,45.1,45.0,46.1,46.1,44.3,44.1,43.5,45.6,45.5
西多摩郡／奥多摩町,45.7,44.6,48.0,48.0,47.2,47.4,45.6,45.6,45.9,45.6,45.3,44.9,46.8,46.8,44.8,44.4,44.1,46.3,45.9
西多摩郡／西多摩郡計,35.2,37.6,37.9,40.6,42.0,43.4,43.7,43.7,45.9,45.3,45.5,45.6,45.9,46.1,45.7,45.6,45.6,46.2,46.0
多摩地域計,45.8,51.0,55.8,61.1,65.2,67.7,68.3,68.9,69.6,70.2,70.8,71.3,71.6,71.9,72.4,72.8,73.1,73.7,73.9
区部・多摩計,73.3,80.1,88.4,98.9,105.9,110.4,110.8,112.1,113.7,114.8,116.0,116.6,117.5,118.2,118.9,119.8,120.6,121.5,122.3
